HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:48:26 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 12 Oct 2020 21:22:04 GMT
ETag: "452ce4-3f586-5b17fe3c98ca8"
Accept-Ranges: bytes
Content-Length: 259462
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201012|A|38919|0|281112|Q
20201012|AA|527989|30|1579955|Q
20201012|AAA|106|0|207|Q
20201012|AAAU|18426|0|39154|Q
20201012|AACG|218279|9154|351922|Q
20201012|AACQ|42489|0|133250|Q
20201012|AACQU|664|0|1732|Q
20201012|AACQW|13330|0|19595|Q
20201012|AADR|767|0|110118|Q
20201012|AAL|4182451|21641|12041173|Q
20201012|AAMC|66|0|69|Q
20201012|AAN|29073|0|111418|Q
20201012|AAOI|47045|641|95400|Q
20201012|AAON|15260|97|22743|Q
20201012|AAP|56514|94|153540|Q
20201012|AAPL|29746088|143669|84464419|Q
20201012|AAT|18588|0|23303|Q
20201012|AAU|51874|0|134565|Q
20201012|AAWW|37818|100|84904|Q
20201012|AAXJ|50939|478|129375|Q
20201012|AAXN|31324|477|97010|Q
20201012|AB|366656|2066|575451|Q
20201012|ABB|81952|547|206763|Q
20201012|ABBV|505055|3153|2267738|Q
20201012|ABC|78625|0|172579|Q
20201012|ABCB|10463|0|21779|Q
20201012|ABEO|574094|0|1074195|Q
20201012|ABEV|1069455|0|2321231|Q
20201012|ABG|13495|0|19449|Q
20201012|ABIO|114061|2502|190696|Q
20201012|ABM|12396|0|59976|Q
20201012|ABMD|42703|0|58601|Q
20201012|ABR|96931|872|293936|Q
20201012|ABRpA|2000|0|4013|Q
20201012|ABRpB|494|0|1788|Q
20201012|ABRpC|100|0|1274|Q
20201012|ABT|487877|961|973771|Q
20201012|ABTX|1375|0|7476|Q
20201012|ABUS|79118|308|255438|Q
20201012|AC|172|0|179|Q
20201012|ACA|17519|0|58154|Q
20201012|ACAD|94866|9|237660|Q
20201012|ACB|3154586|28346|6804897|Q
20201012|ACBI|3889|0|5473|Q
20201012|ACC|44371|0|321544|Q
20201012|ACCD|34622|0|56672|Q
20201012|ACCO|26199|582|79683|Q
20201012|ACEL|22453|2529|87432|Q
20201012|ACER|29380|0|38845|Q
20201012|ACES|12265|0|39855|Q
20201012|ACET|10553|0|20647|Q
20201012|ACGL|37602|25|391838|Q
20201012|ACGLO|2027|0|3706|Q
20201012|ACGLP|3160|0|6351|Q
20201012|ACH|6207|0|8406|Q
20201012|ACHC|51666|0|156099|Q
20201012|ACHV|25255|0|38966|Q
20201012|ACI|262083|1964|821391|Q
20201012|ACIA|21352|0|125620|Q
20201012|ACIO|29276|0|30294|Q
20201012|ACIU|62494|0|88887|Q
20201012|ACIW|100243|0|294383|Q
20201012|ACLS|15607|675|183279|Q
20201012|ACM|91072|400|418383|Q
20201012|ACMR|62425|1200|143639|Q
20201012|ACN|156962|722|305884|Q
20201012|ACNB|806|0|5120|Q
20201012|ACND|810|0|75420|Q
20201012|ACND/U|385|0|985|Q
20201012|ACND/WS|2428|0|2428|Q
20201012|ACOR|821876|19105|1511560|Q
20201012|ACP|19510|0|27965|Q
20201012|ACRE|11397|500|31872|Q
20201012|ACRS|304184|12577|550631|Q
20201012|ACRX|1301809|14491|2084247|Q
20201012|ACSG|140|0|145|Q
20201012|ACSI|200|0|270|Q
20201012|ACST|393819|1262|644463|Q
20201012|ACT|466|0|981|Q
20201012|ACTCU|30|0|260|Q
20201012|ACTG|7966|0|14814|Q
20201012|ACU|1799|0|3716|Q
20201012|ACV|7996|0|16873|Q
20201012|ACWF|392|0|752|Q
20201012|ACWI|66526|462|209534|Q
20201012|ACWV|19972|0|292181|Q
20201012|ACWX|18125|0|131262|Q
20201012|ACY|1110|200|2098|Q
20201012|ADAP|24534|0|62232|Q
20201012|ADBE|191179|1226|608927|Q
20201012|ADC|25311|0|57386|Q
20201012|ADCT|20487|0|30066|Q
20201012|ADES|3238|0|19615|Q
20201012|ADI|345168|37|758706|Q
20201012|ADIL|163435|21737|356062|Q
20201012|ADM|236989|4410|456908|Q
20201012|ADMA|286723|4420|677605|Q
20201012|ADME|4935|0|6916|Q
20201012|ADMP|1903867|19084|3722826|Q
20201012|ADMS|10011|0|27135|Q
20201012|ADNT|78320|0|118677|Q
20201012|ADP|279970|630|696175|Q
20201012|ADPT|106754|1363|353416|Q
20201012|ADRE|3300|0|5964|Q
20201012|ADS|62505|0|159544|Q
20201012|ADSK|97318|63|573726|Q
20201012|ADSW|30212|0|172180|Q
20201012|ADT|154830|200|542218|Q
20201012|ADTN|25589|0|58931|Q
20201012|ADTX|66750|0|136141|Q
20201012|ADUS|2595|0|14063|Q
20201012|ADVM|47707|3243|116880|Q
20201012|ADX|39384|100|81848|Q
20201012|ADXS|148026|1064|306515|Q
20201012|AE|1910|34|4051|Q
20201012|AEB|1386|0|4266|Q
20201012|AEE|48178|0|128922|Q
20201012|AEF|1200|0|30991|Q
20201012|AEFC|10563|156|15771|Q
20201012|AEG|100852|524|363346|Q
20201012|AEGN|3697|0|26139|Q
20201012|AEHR|24328|2400|88199|Q
