HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:48:16 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 13 Oct 2020 21:22:05 GMT
ETag: "454890-3f10d-5b19401b72040"
Accept-Ranges: bytes
Content-Length: 258317
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201013|A|72655|0|242610|Q
20201013|AA|554906|2233|2090066|Q
20201013|AAAU|85948|0|136011|Q
20201013|AACG|24275|0|78599|Q
20201013|AACQ|22269|0|27562|Q
20201013|AACQU|19|0|966|Q
20201013|AACQW|18947|0|26122|Q
20201013|AADR|758|0|5754|Q
20201013|AAL|8227335|13184|20329550|Q
20201013|AAMC|52|0|552|Q
20201013|AAME|8909|0|13556|Q
20201013|AAN|48409|600|184012|Q
20201013|AAOI|45923|100|64802|Q
20201013|AAON|11592|0|31010|Q
20201013|AAP|84924|0|209515|Q
20201013|AAPL|37803827|218975|102112654|Q
20201013|AAT|11685|0|76755|Q
20201013|AAU|61594|0|190380|Q
20201013|AAWW|23566|0|68417|Q
20201013|AAXJ|90155|0|169520|Q
20201013|AAXN|36580|200|117190|Q
20201013|AB|155882|2099|272323|Q
20201013|ABB|68502|0|128588|Q
20201013|ABBV|718920|1151|2044300|Q
20201013|ABC|83462|300|160901|Q
20201013|ABCB|25574|0|45965|Q
20201013|ABEO|272279|1673|579892|Q
20201013|ABEQ|3070|0|3740|Q
20201013|ABEV|1617274|1540|2521668|Q
20201013|ABG|5639|2|13766|Q
20201013|ABIO|62449|414|134374|Q
20201013|ABM|13228|0|40696|Q
20201013|ABMD|33955|0|46459|Q
20201013|ABR|75486|905|139822|Q
20201013|ABRpC|226|0|426|Q
20201013|ABT|468988|847|1316213|Q
20201013|ABTX|2196|0|2688|Q
20201013|ABUS|79801|3115|246005|Q
20201013|AC|412|100|635|Q
20201013|ACA|15270|700|48224|Q
20201013|ACAD|34032|0|98745|Q
20201013|ACAMW|2874|500|7273|Q
20201013|ACB|1416765|14000|3603537|Q
20201013|ACBI|1144|0|3071|Q
20201013|ACC|191814|0|674086|Q
20201013|ACCD|48483|0|98017|Q
20201013|ACCO|24398|65|59533|Q
20201013|ACEL|8086|0|35352|Q
20201013|ACER|12486|0|21535|Q
20201013|ACES|105314|906|124451|Q
20201013|ACET|6569|0|24142|Q
20201013|ACEV|100|0|48100|Q
20201013|ACEVU|29|0|2333|Q
20201013|ACEVW|800|0|2000|Q
20201013|ACGL|56619|0|193580|Q
20201013|ACGLO|1508|0|2249|Q
20201013|ACGLP|5961|0|8770|Q
20201013|ACH|10822|3400|18131|Q
20201013|ACHC|30146|200|85955|Q
20201013|ACHV|17258|0|24920|Q
20201013|ACI|277814|10281|595995|Q
20201013|ACIA|56613|0|82441|Q
20201013|ACIO|10046|0|26835|Q
20201013|ACIU|37078|0|378450|Q
20201013|ACIW|110614|0|405855|Q
20201013|ACLS|13990|140|46966|Q
20201013|ACM|76167|50|214044|Q
20201013|ACMR|13330|0|51912|Q
20201013|ACN|268068|1762|418901|Q
20201013|ACNB|431|0|482|Q
20201013|ACND|6691|0|27433|Q
20201013|ACND/U|5|0|105|Q
20201013|ACND/WS|495|0|495|Q
20201013|ACOR|249517|27120|761291|Q
20201013|ACP|13196|2185|32775|Q
