HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:47:26 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 19 Oct 2020 21:22:27 GMT
ETag: "4580aa-3f8a2-5b20cb60d4560"
Accept-Ranges: bytes
Content-Length: 260258
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201019|A|45023|0|91790|Q
20201019|AA|594766|5270|1611227|Q
20201019|AAA|199|0|1049|Q
20201019|AAAU|23343|0|127656|Q
20201019|AACG|186003|1461|351196|Q
20201019|AACQ|1403|0|219596|Q
20201019|AACQU|276|0|869|Q
20201019|AACQW|29498|0|45502|Q
20201019|AADR|334|0|1170|Q
20201019|AAL|5983871|141340|17106036|Q
20201019|AAMC|4503|0|8371|Q
20201019|AAME|2085|270|3795|Q
20201019|AAN|28321|0|64781|Q
20201019|AAOI|39755|76|61421|Q
20201019|AAON|12537|0|31175|Q
20201019|AAP|63932|0|141026|Q
20201019|AAPL|15053956|69403|43894927|Q
20201019|AAT|13038|0|108223|Q
20201019|AAU|162608|8937|347308|Q
20201019|AAWW|26773|1|101952|Q
20201019|AAXJ|47075|0|83491|Q
20201019|AAXN|140595|484|258656|Q
20201019|AB|85361|1546|159573|Q
20201019|ABB|165026|645|291539|Q
20201019|ABBV|915737|4932|2057097|Q
20201019|ABC|56065|3|108490|Q
20201019|ABCB|22204|800|65825|Q
20201019|ABEO|166819|0|327170|Q
20201019|ABEQ|1779|0|4689|Q
20201019|ABEV|1014272|9181|2274892|Q
20201019|ABG|15156|0|42030|Q
20201019|ABIO|28452|11|59842|Q
20201019|ABM|25524|0|41483|Q
20201019|ABMD|35475|0|52056|Q
20201019|ABR|182568|27092|295080|Q
20201019|ABRpA|472|0|572|Q
20201019|ABRpC|345|0|779|Q
20201019|ABT|459754|2756|941495|Q
20201019|ABTX|1016|0|2173|Q
20201019|ABUS|210708|4001|354415|Q
20201019|AC|105|0|115|Q
20201019|ACA|33795|0|87014|Q
20201019|ACAD|47319|214|143423|Q
20201019|ACAM|735|0|2050|Q
20201019|ACAMW|1000|0|1000|Q
20201019|ACB|4685622|43328|9386956|Q
20201019|ACBI|2774|0|17485|Q
20201019|ACC|109550|2|280222|Q
20201019|ACCD|35424|0|46902|Q
20201019|ACCO|13656|700|38965|Q
20201019|ACEL|16586|0|47063|Q
20201019|ACER|4129|0|11656|Q
20201019|ACES|132651|0|155165|Q
20201019|ACET|3382|0|7614|Q
20201019|ACEVW|100|0|100|Q
20201019|ACGL|43482|1013|130064|Q
20201019|ACGLO|2983|0|9262|Q
20201019|ACGLP|5294|0|6834|Q
20201019|ACH|2082|0|3058|Q
20201019|ACHC|29952|0|61760|Q
20201019|ACHV|7445|0|15505|Q
20201019|ACI|705371|3711|1514840|Q
20201019|ACIA|25113|0|189932|Q
20201019|ACIO|16588|0|17302|Q
20201019|ACIU|33589|0|94076|Q
20201019|ACIW|222438|300|372191|Q
20201019|ACLS|10973|0|47689|Q
20201019|ACM|34005|0|124030|Q
20201019|ACMR|20893|0|44649|Q
20201019|ACN|245656|1232|434480|Q
20201019|ACNB|419|0|1989|Q
20201019|ACND|6916|0|8321|Q
20201019|ACND/U|75|0|76|Q
20201019|ACND/WS|918|0|2618|Q
20201019|ACOR|285511|1817|596584|Q
20201019|ACP|9059|0|49423|Q
20201019|ACRE|16404|0|37319|Q
20201019|ACRS|85181|772|180612|Q
20201019|ACRX|320058|299|831720|Q
20201019|ACST|371481|24|616523|Q
20201019|ACT|31|0|271|Q
20201019|ACTCU|700|0|1102|Q
20201019|ACTG|10716|0|62425|Q
20201019|ACU|7501|0|9135|Q
20201019|ACV|5474|100|16299|Q
20201019|ACWF|9|0|2152|Q
20201019|ACWI|400448|0|480081|Q
20201019|ACWV|26616|50|70838|Q
20201019|ACWX|33068|4451|123879|Q
20201019|ACY|3963|0|9499|Q
20201019|ADAP|612155|15356|1299129|Q
20201019|ADBE|106533|1411|349091|Q
20201019|ADC|64716|0|156919|Q
20201019|ADCT|52509|0|118891|Q
20201019|ADES|9241|0|17100|Q
20201019|ADI|411912|8|580463|Q
20201019|ADIL|204613|100|309441|Q
20201019|ADM|283764|41|860613|Q
20201019|ADMA|321805|5091|740337|Q
20201019|ADME|3372|0|27022|Q
20201019|ADMP|532844|8754|1318728|Q
20201019|ADMS|18437|0|38910|Q
20201019|ADNT|16349|0|73612|Q
20201019|ADP|179160|9|836910|Q
20201019|ADPT|57675|100|166437|Q
20201019|ADRE|740|0|2381|Q
20201019|ADS|216498|0|359036|Q
20201019|ADSK|385926|0|699942|Q
20201019|ADSW|36216|0|78566|Q
20201019|ADT|484567|2067|777946|Q
20201019|ADTN|62132|0|111476|Q
20201019|ADTX|388560|2738|764401|Q
20201019|ADUS|3492|0|5348|Q
20201019|ADVM|177735|0|259699|Q
20201019|ADX|30111|300|75303|Q
20201019|ADXS|785514|99000|1487032|Q
20201019|AE|2785|0|3824|Q
20201019|AEB|5221|0|6658|Q
20201019|AEE|57328|0|138830|Q
20201019|AEF|4706|0|31805|Q
20201019|AEFC|18852|3449|37005|Q
20201019|AEG|166086|8624|298650|Q
20201019|AEGN|12833|0|120709|Q
20201019|AEHL|480823|500|756215|Q
20201019|AEHR|10445|0|22046|Q
20201019|AEIS|19282|520|36227|Q
20201019|AEL|1493120|111486|3085285|Q
20201019|AELpA|26308|300|37984|Q
20201019|AELpB|5705|0|12012|Q
20201019|AEM|91893|100|151818|Q
20201019|AEMD|50018|100|113630|Q
20201019|AEO|1803681|2248|3850125|Q
20201019|AEP|380757|300|564306|Q
20201019|AEPPL|1488|490|3656|Q
20201019|AEPPZ|4562|1880|5543|Q
20201019|AER|251333|117|569738|Q
20201019|AERI|376421|9791|1059487|Q
20201019|AES|1511942|4190|2873402|Q
20201019|AESE|84850|3841|201069|Q
20201019|AESR|974|0|3669|Q
20201019|AEY|28510|0|47714|Q
20201019|AEYE|23836|0|40969|Q
20201019|AEZS|209991|180|327032|Q
20201019|AFB|4583|0|22689|Q
20201019|AFC|2528|0|6733|Q
20201019|AFG|21753|0|57248|Q
20201019|AFGB|1094|0|3224|Q
20201019|AFGC|230|0|407|Q
20201019|AFGD|155|0|1983|Q
20201019|AFGE|160|0|712|Q
20201019|AFGH|10179|5200|12723|Q
20201019|AFI|86355|1063|157169|Q
20201019|AFIB|55042|0|86391|Q
20201019|AFIF|731|0|24867|Q
20201019|AFIN|48672|1833|142381|Q
20201019|AFINP|969|0|6257|Q
20201019|AFK|601|0|3830|Q
20201019|AFL|199946|2260|494212|Q
20201019|AFMD|53944|713|115496|Q
20201019|AFT|4392|0|36763|Q
20201019|AFTY|123|0|515|Q
20201019|AFYA|37740|0|76944|Q
20201019|AG|595446|2894|1217951|Q
20201019|AGBAW|1900|0|3000|Q
20201019|AGCO|28583|300|101977|Q
20201019|AGCUU|2224|0|40246|Q
20201019|AGD|2943|0|6066|Q
20201019|AGE|83809|350|154515|Q
20201019|AGEN|138686|52|367237|Q
20201019|AGFS|2333|0|49496|Q
20201019|AGG|732942|2652|1597222|Q
20201019|AGGY|19960|0|42889|Q
20201019|AGI|85757|3198|399729|Q
20201019|AGIO|112168|300|288027|Q
20201019|AGLE|6182|0|56913|Q
20201019|AGM|5529|0|10944|Q
20201019|AGMH|1200|0|1930|Q
20201019|AGMpC|34|0|34|Q
20201019|AGMpD|2|0|2106|Q
20201019|AGMpF|3601|800|9391|Q
20201019|AGNC|903116|0|1921478|Q
20201019|AGNCM|2845|0|8443|Q
20201019|AGNCN|8218|0|14205|Q
20201019|AGNCO|7619|0|17738|Q
20201019|AGNCP|2917|0|27911|Q
20201019|AGO|57940|500|138589|Q
20201019|AGOpB|300|0|3477|Q
20201019|AGOpE|381|0|3445|Q
20201019|AGOpF|1330|0|2052|Q
20201019|AGQ|160628|43942|500164|Q
20201019|AGR|68305|0|109838|Q
20201019|AGRO|16673|2200|124435|Q
20201019|AGRX|91640|508|158091|Q
20201019|AGS|30159|0|63094|Q
20201019|AGT|81|0|82|Q
20201019|AGTC|26659|0|54154|Q
20201019|AGX|7124|0|23017|Q
20201019|AGYS|8042|103|13674|Q
20201019|AGZ|11544|0|27567|Q
20201019|AGZD|224|0|1899|Q
20201019|AHACU|900|0|2000|Q
20201019|AHC|8045|0|17859|Q
20201019|AHCO|49643|0|103602|Q
20201019|AHH|21931|0|36137|Q
20201019|AHHpA|2505|0|2739|Q
20201019|AHLpC|2006|300|4419|Q
20201019|AHLpD|2288|0|3501|Q
20201019|AHLpE|2201|0|7418|Q
20201019|AHPI|36514|0|57582|Q
20201019|AHT|344755|3800|559101|Q
20201019|AHTpF|2200|0|10515|Q
20201019|AHTpG|1810|0|7065|Q
20201019|AHTpH|199|0|199|Q
20201019|AHTpI|200|0|7786|Q
20201019|AI|20372|1200|50569|Q
20201019|AIA|23596|0|29999|Q
20201019|AIEQ|1483|0|4682|Q
20201019|AIF|4413|750|16376|Q
20201019|AIG|399580|2|1321745|Q
20201019|AIG/WS|12593|0|22353|Q
20201019|AIGpA|4757|1000|8415|Q
20201019|AIH|49537|0|78334|Q
20201019|AIHS|11680817|228376|21073258|Q
20201019|AIIQ|108|0|361|Q
20201019|AIKI|102571|0|209220|Q
20201019|AIM|103992|700|278460|Q
20201019|AIMC|18094|0|55734|Q
20201019|AIN|6685|0|20404|Q
20201019|AINC|29|0|1625|Q
20201019|AINV|39575|0|73323|Q
20201019|AIO|16323|0|41891|Q
20201019|AIQ|4244|0|5956|Q
20201019|AIR|18484|100|29272|Q
20201019|AIRG|4651|0|11238|Q
20201019|AIRI|2977|0|3196|Q
20201019|AIRR|1093|700|2048|Q
20201019|AIRT|10|0|35|Q
20201019|AIRTP|1|0|1|Q
20201019|AIRTW|1739|0|6615|Q
20201019|AIT|17571|0|24090|Q
20201019|AIV|76571|2500|185454|Q
20201019|AIW|294|294|494|Q
20201019|AIZ|13101|0|23062|Q
20201019|AJG|138471|1012|283376|Q
20201019|AJRD|38790|0|93127|Q
20201019|AJX|2016|0|4928|Q
20201019|AKAM|189216|51|436482|Q
20201019|AKBA|1173488|3120|2268125|Q
20201019|AKER|8270|0|20109|Q
20201019|AKR|29958|100|149706|Q
20201019|AKRO|38408|7131|98699|Q
20201019|AKTS|92636|3297|131645|Q
20201019|AKTX|3347|0|31107|Q
20201019|AKU|2828|0|116605|Q
20201019|AKUS|27481|0|41111|Q
20201019|AL|59697|675|153631|Q
20201019|ALAC|1|0|402|Q
20201019|ALACR|1000|0|1000|Q
20201019|ALACW|100|0|4700|Q
20201019|ALB|82695|0|134349|Q
