HTTP/1.1 200 OK
Date: Fri, 30 Oct 2020 02:30:06 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 29 Oct 2020 21:23:29 GMT
ETag: "45f9f4-405b6-5b2d5e431ac00"
Accept-Ranges: bytes
Content-Length: 263606
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201029|A|76769|0|244115|Q
20201029|AA|243108|2159|819671|Q
20201029|AAA|50|0|1750|Q
20201029|AAAU|78655|0|186867|Q
20201029|AACQ|12720|0|334483|Q
20201029|AACQW|12405|5|13805|Q
20201029|AADR|968|0|8361|Q
20201029|AAIC|35937|0|76312|Q
20201029|AAICpB|200|0|200|Q
20201029|AAICpC|470|0|1193|Q
20201029|AAL|5097549|99385|12832439|Q
20201029|AAMC|106|0|212|Q
20201029|AAME|65|0|66|Q
20201029|AAN|83642|0|211321|Q
20201029|AAOI|77047|1|151808|Q
20201029|AAON|26089|0|52570|Q
20201029|AAP|136049|335|212509|Q
20201029|AAPL|15310199|63327|41461446|Q
20201029|AAT|35604|3300|132744|Q
20201029|AAU|129803|10839|305202|Q
20201029|AAWW|54255|0|103786|Q
20201029|AAXJ|62602|0|171651|Q
20201029|AAXN|35940|0|157667|Q
20201029|AB|142854|0|271886|Q
20201029|ABB|194658|1936|349711|Q
20201029|ABBV|965373|10100|2417805|Q
20201029|ABC|250167|0|433306|Q
20201029|ABCB|34940|712|69426|Q
20201029|ABCM|42213|0|65052|Q
20201029|ABEO|285416|0|1555685|Q
20201029|ABEQ|2292|0|2353|Q
20201029|ABEV|1937480|3400|4723736|Q
20201029|ABG|21458|0|32171|Q
20201029|ABIO|13447|40|31141|Q
20201029|ABM|28807|500|80868|Q
20201029|ABMD|141129|1400|312794|Q
20201029|ABR|150493|12|324377|Q
20201029|ABRpB|300|0|399|Q
20201029|ABRpC|100|0|300|Q
20201029|ABST|38265|0|88992|Q
20201029|ABT|468844|947|1373758|Q
20201029|ABTX|3266|0|6629|Q
20201029|ABUS|69083|2435|178175|Q
20201029|AC|428|0|936|Q
20201029|ACA|34388|0|65530|Q
20201029|ACACU|65390|0|84818|Q
20201029|ACAD|86890|600|205113|Q
20201029|ACAM|2516|0|104778|Q
20201029|ACAMW|3601|0|6601|Q
20201029|ACB|1404711|13993|2455549|Q
20201029|ACBI|764|0|9642|Q
20201029|ACC|95880|0|168478|Q
20201029|ACCD|72156|219|125107|Q
20201029|ACCO|107518|605|182510|Q
20201029|ACEL|9032|0|20796|Q
20201029|ACER|3615|0|6606|Q
20201029|ACES|30341|0|34776|Q
20201029|ACET|5009|0|6552|Q
20201029|ACEVW|502|0|513|Q
20201029|ACGL|180625|0|1408819|Q
20201029|ACGLO|1289|0|5026|Q
20201029|ACGLP|2695|0|11156|Q
20201029|ACH|2948|0|12894|Q
20201029|ACHC|78563|600|127967|Q
20201029|ACHV|6418|0|14803|Q
20201029|ACI|845343|4574|1196334|Q
20201029|ACIA|25581|0|102411|Q
20201029|ACIC/U|1503|0|28916|Q
20201029|ACIO|647|0|2034|Q
20201029|ACIU|17616|0|27729|Q
20201029|ACIW|70445|0|264586|Q
20201029|ACLS|9413|0|62554|Q
20201029|ACM|63282|1111|177481|Q
20201029|ACMR|25109|0|42162|Q
20201029|ACN|163701|7769|313488|Q
20201029|ACNB|1065|0|1880|Q
20201029|ACND|2572|0|2761|Q
20201029|ACOR|430174|7300|856953|Q
20201029|ACP|10922|0|21693|Q
20201029|ACRE|45193|600|78107|Q
