HTTP/1.1 200 OK
Date: Tue, 03 Nov 2020 00:47:53 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 02 Nov 2020 22:23:31 GMT
ETag: "4605dd-403e7-5b327323ef320"
Accept-Ranges: bytes
Content-Length: 263143
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201102|A|145372|4|401055|Q
20201102|AA|421899|15581|1312648|Q
20201102|AAA|659|0|659|Q
20201102|AAAU|50114|0|56183|Q
20201102|AACG|10081|0|18360|Q
20201102|AACQ|5715|0|286956|Q
20201102|AACQU|50537|0|130597|Q
20201102|AACQW|9164|0|20313|Q
20201102|AADR|131|0|2839|Q
20201102|AAIC|22652|87|50518|Q
20201102|AAL|4696778|22179|12452406|Q
20201102|AAMC|410|0|511|Q
20201102|AAME|105|0|226|Q
20201102|AAN|35004|0|115543|Q
20201102|AAOI|82578|0|155380|Q
20201102|AAON|25283|0|38664|Q
20201102|AAP|167682|4459|243033|Q
20201102|AAPL|14949156|164872|41069424|Q
20201102|AAT|13712|8000|40661|Q
20201102|AAU|126860|400|415883|Q
20201102|AAWW|80706|0|131191|Q
20201102|AAXJ|116497|0|176812|Q
20201102|AAXN|63913|300|137816|Q
20201102|AB|62182|0|127039|Q
20201102|ABB|77417|144|240927|Q
20201102|ABBV|1254135|7738|2940318|Q
20201102|ABC|150084|174|544795|Q
20201102|ABCB|35965|2103|69781|Q
20201102|ABCM|73646|0|115532|Q
20201102|ABEO|246160|9600|481887|Q
20201102|ABEQ|5|0|5|Q
20201102|ABEV|2567341|0|4290360|Q
20201102|ABG|27920|1788|39023|Q
20201102|ABIO|173567|992|280694|Q
20201102|ABM|16324|917|39901|Q
20201102|ABMD|64929|0|105806|Q
20201102|ABR|325704|5643|841287|Q
20201102|ABRpA|1550|0|1985|Q
20201102|ABRpB|301|0|639|Q
20201102|ABRpC|1107|0|1807|Q
20201102|ABST|3243|0|6344|Q
20201102|ABT|679284|21573|1226054|Q
20201102|ABTX|3824|0|5238|Q
20201102|ABUS|119015|100|239836|Q
20201102|AC|56|0|928|Q
20201102|ACA|34560|0|109334|Q
20201102|ACACU|11178|4100|113892|Q
20201102|ACAD|64080|938|177164|Q
20201102|ACAM|8925|0|590066|Q
20201102|ACAMU|25|0|30|Q
20201102|ACAMW|1000|0|3360|Q
20201102|ACB|3321474|23649|7768569|Q
20201102|ACBI|2125|0|3132|Q
20201102|ACC|98709|1703|577028|Q
20201102|ACCD|40667|0|69770|Q
20201102|ACCO|53131|200|134107|Q
20201102|ACEL|18770|0|103728|Q
20201102|ACER|11279|0|14793|Q
20201102|ACES|26603|0|30403|Q
20201102|ACET|5225|0|21673|Q
20201102|ACGL|176329|0|426056|Q
20201102|ACGLO|566|0|3367|Q
20201102|ACGLP|3658|0|9385|Q
20201102|ACH|2012|0|3445|Q
20201102|ACHC|72202|484|176976|Q
20201102|ACHV|9855|0|20636|Q
20201102|ACI|662585|2522|1390736|Q
20201102|ACIA|43622|0|151391|Q
20201102|ACIC/U|16370|5120|53022|Q
20201102|ACIO|20098|0|21441|Q
20201102|ACIU|31358|0|64082|Q
20201102|ACIW|54730|900|130457|Q
20201102|ACLS|16705|0|34145|Q
20201102|ACM|135311|0|381942|Q
20201102|ACMR|30167|700|49665|Q
20201102|ACN|150759|164|334959|Q
20201102|ACNB|571|0|1099|Q
20201102|ACND|17019|0|23713|Q
20201102|ACND/WS|71|0|4737|Q
20201102|ACOR|1923222|27676|3627474|Q
20201102|ACP|15505|200|23282|Q
20201102|ACRE|28282|1000|54446|Q
20201102|ACRS|18247|3914|95529|Q
20201102|ACRX|247701|4008|367470|Q
20201102|ACST|167300|686|511945|Q
20201102|ACTCU|523|0|31987|Q
20201102|ACTG|11682|0|27317|Q
20201102|ACTV|709|0|1576|Q
20201102|ACU|2629|0|8033|Q
20201102|ACV|7117|0|15771|Q
20201102|ACVF|75|0|76|Q
20201102|ACWF|34632|0|37086|Q
20201102|ACWI|330534|0|409125|Q
20201102|ACWV|21649|0|213449|Q
20201102|ACWX|160175|0|332997|Q
20201102|ACY|2642|1615|5451|Q
20201102|ADAP|278519|2919|462299|Q
20201102|ADBE|178623|1015|586245|Q
20201102|ADC|57138|1794|170902|Q
20201102|ADCT|26931|0|35501|Q
20201102|ADES|5927|98|23264|Q
20201102|ADI|365519|0|624072|Q
20201102|ADIL|81117|2500|128694|Q
20201102|ADILW|30|0|1177|Q
20201102|ADM|433266|1750|1189082|Q
