HTTP/1.1 200 OK
Date: Fri, 06 Nov 2020 06:47:11 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 04 Nov 2020 22:23:50 GMT
ETag: "4610de-3f48c-5b34f6f0ca428"
Accept-Ranges: bytes
Content-Length: 259212
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201104|A|73554|0|476532|Q
20201104|AA|600753|11311|1691064|Q
20201104|AAA|102|0|202|Q
20201104|AAAU|115341|0|156507|Q
20201104|AACG|5166|800|12630|Q
20201104|AACQ|55587|0|108519|Q
20201104|AACQU|2474|0|1047704|Q
20201104|AACQW|11248|0|12734|Q
20201104|AAIC|34714|4600|80091|Q
20201104|AAICpB|350|0|1020|Q
20201104|AAL|4304689|29336|12596641|Q
20201104|AAN|28135|0|87357|Q
20201104|AAOI|140351|831|195664|Q
20201104|AAON|26334|570|43690|Q
20201104|AAP|122932|0|213666|Q
20201104|AAPL|12184201|96093|38998059|Q
20201104|AAT|4686|0|24854|Q
20201104|AAU|45323|3605|196493|Q
20201104|AAWW|84438|0|144166|Q
20201104|AAXJ|197163|0|354647|Q
20201104|AAXN|55375|0|269986|Q
20201104|AB|80731|0|137370|Q
20201104|ABB|221980|1315|315671|Q
20201104|ABBV|2710624|46821|7710634|Q
20201104|ABC|241473|100|601822|Q
20201104|ABCB|77407|0|137477|Q
20201104|ABCM|12545|0|18980|Q
20201104|ABEO|223864|11285|468822|Q
20201104|ABEQ|1518|0|2118|Q
20201104|ABEV|3193812|5200|7470377|Q
20201104|ABG|19007|0|29157|Q
20201104|ABIO|107248|919|178025|Q
20201104|ABM|20776|0|33397|Q
20201104|ABMD|55975|0|77379|Q
20201104|ABR|214004|0|459289|Q
20201104|ABRpA|104|0|104|Q
20201104|ABRpC|900|0|2702|Q
20201104|ABST|5705|100|10924|Q
20201104|ABT|1023273|18401|2732773|Q
20201104|ABTX|3921|0|6042|Q
20201104|ABUS|70023|1814|202733|Q
20201104|AC|316|0|1111|Q
20201104|ACA|57965|2027|129363|Q
20201104|ACACU|25|0|348|Q
20201104|ACAD|133808|3287|542473|Q
20201104|ACAM|13310|0|21222|Q
20201104|ACAMW|3000|0|5000|Q
20201104|ACB|5963583|190961|9161564|Q
20201104|ACBI|5994|0|13494|Q
20201104|ACC|140159|0|198935|Q
20201104|ACCD|30747|0|107575|Q
20201104|ACCO|36699|876|84995|Q
20201104|ACEL|15821|0|25873|Q
20201104|ACER|12446|0|30834|Q
20201104|ACES|50852|0|236810|Q
20201104|ACET|1619|0|7657|Q
20201104|ACGL|116095|0|337382|Q
20201104|ACGLO|3833|0|7054|Q
20201104|ACGLP|4557|1246|7721|Q
20201104|ACH|4471|0|7956|Q
20201104|ACHC|117581|0|207597|Q
20201104|ACHV|7928|0|9948|Q
20201104|ACI|581191|13990|970622|Q
20201104|ACIA|253553|0|415098|Q
20201104|ACIC/U|1220|0|1183135|Q
20201104|ACIO|21878|0|26636|Q
20201104|ACIU|524920|1244|1131672|Q
20201104|ACIW|168362|0|191856|Q
20201104|ACLS|19402|0|43383|Q
20201104|ACM|177705|1858|801115|Q
20201104|ACMR|74929|100|146342|Q
20201104|ACN|189358|1|328462|Q
20201104|ACNB|710|0|1228|Q
20201104|ACND|4001|0|5202|Q
20201104|ACND/WS|900|0|900|Q
20201104|ACOR|873710|85572|1781266|Q
20201104|ACP|13464|1507|24597|Q
20201104|ACRE|14503|3800|60338|Q
20201104|ACRS|32691|3009|105110|Q
20201104|ACRX|68879|0|256973|Q
20201104|ACST|408760|48572|705842|Q
20201104|ACTG|8459|0|17193|Q
20201104|ACTV|1556|0|1556|Q
20201104|ACU|161|0|2025|Q
