HTTP/1.1 200 OK
Date: Sat, 07 Nov 2020 07:16:56 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 06 Nov 2020 22:24:10 GMT
ETag: "461bb1-3f7fc-5b377abf39608"
Accept-Ranges: bytes
Content-Length: 260092
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201106|A|81334|102|201310|Q
20201106|AA|369612|275|1243850|Q
20201106|AAAU|45526|0|85485|Q
20201106|AACG|11702|0|22022|Q
20201106|AACQ|100|0|2022|Q
20201106|AACQU|3058|0|6066|Q
20201106|AACQW|2791|0|3591|Q
20201106|AADR|55|0|1949|Q
20201106|AAIC|50470|0|113663|Q
20201106|AAICpB|288|0|288|Q
20201106|AAL|3217171|27015|10553085|Q
20201106|AAMC|515|0|1714|Q
20201106|AAN|60701|0|104820|Q
20201106|AAOI|466971|40076|753070|Q
20201106|AAON|34459|0|47804|Q
20201106|AAP|107808|309|238510|Q
20201106|AAPL|10893679|66448|33230223|Q
20201106|AAT|21192|0|48117|Q
20201106|AAU|181848|0|309358|Q
20201106|AAWW|87417|100|155838|Q
20201106|AAXJ|701677|0|816340|Q
20201106|AAXN|385863|5977|677661|Q
20201106|AB|61740|1100|128239|Q
20201106|ABB|94518|200|216542|Q
20201106|ABBV|625806|2036|1774403|Q
20201106|ABC|125726|120|226314|Q
20201106|ABCB|52967|0|93849|Q
20201106|ABCM|20897|0|51666|Q
20201106|ABEO|137839|0|292054|Q
20201106|ABEQ|1679|0|3079|Q
20201106|ABEV|2332775|4449|4670632|Q
20201106|ABG|16934|0|33730|Q
20201106|ABIO|49825|896|79525|Q
20201106|ABM|23489|0|29017|Q
20201106|ABMD|43137|0|56310|Q
20201106|ABR|182689|1499|496805|Q
20201106|ABRpB|272|0|272|Q
20201106|ABRpC|225|0|225|Q
20201106|ABST|6496|0|7298|Q
20201106|ABT|384027|702|824566|Q
20201106|ABTX|2544|0|6042|Q
20201106|ABUS|173400|3380|369717|Q
20201106|AC|246|0|346|Q
20201106|ACA|35371|0|75936|Q
20201106|ACACU|350|0|18010|Q
20201106|ACAD|55915|500|270808|Q
20201106|ACAM|2581|0|284793|Q
20201106|ACAMU|2190|0|3090|Q
20201106|ACAMW|3300|0|45200|Q
20201106|ACB|117179071|197418|165834061|Q
20201106|ACBI|2287|0|3746|Q
20201106|ACC|170421|173|424208|Q
20201106|ACCD|14811|75|26414|Q
20201106|ACCO|57386|0|134743|Q
20201106|ACEL|9852|0|36314|Q
20201106|ACER|13313|0|25626|Q
20201106|ACES|36138|0|60827|Q
20201106|ACET|3145|0|15334|Q
20201106|ACEVU|500|0|2000|Q
20201106|ACGL|177773|289|441128|Q
20201106|ACGLO|1719|0|4347|Q
20201106|ACGLP|5405|140|9797|Q
20201106|ACH|6800|0|14071|Q
20201106|ACHC|43381|0|168322|Q
20201106|ACHV|8028|0|18106|Q
20201106|ACI|464916|4181|765496|Q
20201106|ACIA|16197|0|133309|Q
20201106|ACIO|36445|0|38186|Q
20201106|ACIU|44569|1|172406|Q
20201106|ACIW|141975|113|312749|Q
20201106|ACLS|26994|100|87000|Q
20201106|ACM|63134|0|210565|Q
20201106|ACMR|58873|2547|90160|Q
20201106|ACN|140154|137|257079|Q
20201106|ACNB|191|0|1421|Q
20201106|ACND|1500|0|101750|Q
20201106|ACOR|469423|24100|968380|Q
20201106|ACP|7538|0|17358|Q
20201106|ACRE|15617|0|27873|Q
20201106|ACRS|17991|200|74129|Q
20201106|ACRX|561125|75250|1371441|Q
20201106|ACSG|50|0|500|Q
20201106|ACST|741306|5594|1395585|Q
20201106|ACTCU|98|0|988|Q
20201106|ACTG|31377|0|50695|Q
20201106|ACTV|3030|0|3693|Q
20201106|ACU|1058|0|1233|Q
20201106|ACV|4500|0|7898|Q
20201106|ACVF|606|0|706|Q
20201106|ACWI|201922|22009|266062|Q
20201106|ACWV|9585|0|58566|Q
20201106|ACWX|141377|0|238668|Q
20201106|ACY|12545|0|16707|Q
20201106|ADAP|51936|1279|259804|Q
20201106|ADBE|130005|500|449455|Q
20201106|ADC|21880|0|77476|Q
20201106|ADCT|18961|0|36223|Q
20201106|ADES|6447|0|11916|Q
20201106|ADI|433066|5277|1245247|Q
20201106|ADIL|47772|1260|100522|Q
20201106|ADM|463934|271|823422|Q
20201106|ADMA|1092268|99555|2230226|Q
20201106|ADME|22535|0|23531|Q
20201106|ADMP|1716411|7971|2599291|Q
20201106|ADMS|33749|1000|53971|Q
20201106|ADNT|79856|0|177948|Q
20201106|ADP|123251|434|575937|Q
20201106|ADPT|52109|0|160298|Q
20201106|ADRE|1344|0|2834|Q
20201106|ADS|341812|5284|495420|Q
20201106|ADSK|100461|0|163461|Q
20201106|ADT|869376|2656|1951208|Q
20201106|ADTN|41789|0|75948|Q
20201106|ADTX|38738|0|119146|Q
20201106|ADUS|3896|0|27704|Q
20201106|ADV|198916|0|203099|Q
20201106|ADVM|68541|8|152990|Q
20201106|ADVWW|200|0|1026|Q
20201106|ADX|29456|300|49876|Q
20201106|ADXS|343042|1099|479759|Q
20201106|AE|210|0|790|Q
20201106|AEB|1505|0|2311|Q
20201106|AEE|275950|1600|420046|Q
20201106|AEF|6242|0|71169|Q
20201106|AEFC|28377|615|31501|Q
20201106|AEG|241984|8061|357519|Q
20201106|AEGN|3452|0|10494|Q
20201106|AEHL|29581|200|43911|Q
20201106|AEHR|32312|1030|51156|Q
20201106|AEIS|20478|173|61304|Q
20201106|AEL|64187|0|248957|Q
20201106|AELpA|6047|2400|14986|Q
20201106|AELpB|3803|0|5139|Q
20201106|AEM|116564|0|259449|Q
20201106|AEMD|125962|4000|215128|Q
20201106|AEO|171078|0|403912|Q
20201106|AEP|233171|0|567482|Q
20201106|AEPPL|385|200|1105|Q
20201106|AEPPZ|921|0|142073|Q
20201106|AER|105911|0|628595|Q
20201106|AERI|262356|0|868776|Q
20201106|AES|390263|300|1117096|Q
20201106|AESE|157386|2841|267619|Q
20201106|AESR|469|0|3264|Q
20201106|AEY|116328|0|184445|Q
20201106|AEYE|20922|99|47354|Q
20201106|AEZS|173341|300|501842|Q
20201106|AFB|3407|0|19520|Q
20201106|AFC|1588|0|2391|Q
20201106|AFG|60451|0|91329|Q
20201106|AFGB|1527|0|3245|Q
20201106|AFGC|1135|0|1436|Q
20201106|AFGD|2083|0|3472|Q
20201106|AFGE|313|0|323|Q
20201106|AFGH|833|0|20213|Q
20201106|AFI|138671|0|238643|Q
20201106|AFIB|30597|0|53902|Q
20201106|AFIF|777|0|25708|Q
20201106|AFIN|98914|3019|168406|Q
20201106|AFINP|1800|0|3567|Q
20201106|AFK|218|0|2272|Q
20201106|AFL|429552|13495|853503|Q
20201106|AFMD|78306|1294|234129|Q
20201106|AFT|4457|0|8563|Q
20201106|AFYA|5991|0|11645|Q
20201106|AG|1600278|12072|3235546|Q
20201106|AGCO|35749|0|175158|Q
20201106|AGCUU|4605|0|22786|Q
20201106|AGD|6730|404|14968|Q
20201106|AGE|19221|0|41790|Q
20201106|AGEN|453317|1757|619548|Q
20201106|AGFS|6731|281|71190|Q
20201106|AGG|501993|18|2810062|Q
20201106|AGGP|215|0|2026|Q
20201106|AGGY|18500|0|61171|Q
20201106|AGI|259614|794|510610|Q
20201106|AGIO|91120|134|292451|Q
20201106|AGLE|15466|0|32209|Q
20201106|AGM|3913|0|8756|Q
20201106|AGMH|302|0|302|Q
20201106|AGMpD|2650|0|3032|Q
20201106|AGMpE|19|0|19|Q
20201106|AGMpF|500|0|2376|Q
20201106|AGNC|1089660|5856|2077845|Q
20201106|AGNCM|5648|0|8862|Q
20201106|AGNCN|6096|0|11858|Q
20201106|AGNCO|7297|0|13611|Q
20201106|AGNCP|27778|0|38274|Q
20201106|AGO|96282|0|150697|Q
20201106|AGOpB|3|0|1766|Q
20201106|AGOpE|307|0|757|Q
20201106|AGOpF|200|0|500|Q
20201106|AGQ|174769|5870|662084|Q
20201106|AGR|66009|0|99011|Q
20201106|AGRO|7191|0|29143|Q
20201106|AGRX|76672|0|169497|Q
20201106|AGS|38644|100|89638|Q
20201106|AGT|1|0|83|Q
20201106|AGTC|18626|0|45895|Q
20201106|AGX|6312|0|13135|Q
