HTTP/1.1 200 OK
Date: Sat, 14 Nov 2020 02:10:00 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 13 Nov 2020 22:27:20 GMT
ETag: "4636dc-40192-5b404882bd888"
Accept-Ranges: bytes
Content-Length: 262546
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201113|A|75530|0|331998|Q
20201113|AA|519265|2139|1552876|Q
20201113|AAAU|330324|0|365909|Q
20201113|AACG|3400|1100|28550|Q
20201113|AACQ|20387|0|50295|Q
20201113|AACQW|7195|0|25854|Q
20201113|AADR|1901|0|3229|Q
20201113|AAIC|3500|602|41083|Q
20201113|AAICpB|1000|0|1250|Q
20201113|AAICpC|801|0|976|Q
20201113|AAL|5794869|70560|18232528|Q
20201113|AAME|26|0|379|Q
20201113|AAN|34447|0|69812|Q
20201113|AAOI|115041|9648|207192|Q
20201113|AAON|29513|0|37761|Q
20201113|AAP|129973|0|243359|Q
20201113|AAPL|13743197|77536|23573248|Q
20201113|AAT|11550|0|314688|Q
20201113|AAU|94759|698|161853|Q
20201113|AAWW|121863|53200|254903|Q
20201113|AAXJ|95317|975|183492|Q
20201113|AAXN|44047|0|87574|Q
20201113|AB|82852|9180|120757|Q
20201113|ABB|98465|790|226075|Q
20201113|ABBV|727372|2550|1609250|Q
20201113|ABC|103353|0|186913|Q
20201113|ABCB|37613|500|68039|Q
20201113|ABCM|38185|0|40551|Q
20201113|ABEO|244448|4202|516820|Q
20201113|ABEQ|2758|0|2938|Q
20201113|ABEV|1286040|1800|3714515|Q
20201113|ABG|8999|0|15006|Q
20201113|ABIO|25220|791|59772|Q
20201113|ABM|15024|0|51701|Q
20201113|ABMD|21182|0|28393|Q
20201113|ABR|124757|4274|462575|Q
20201113|ABRpA|6867|0|10929|Q
20201113|ABRpC|775|0|5396|Q
20201113|ABST|8253|0|9007|Q
20201113|ABT|415372|2734|1095446|Q
20201113|ABTX|1477|0|4160|Q
20201113|ABUS|159794|4236|593467|Q
20201113|AC|739|0|2158|Q
20201113|ACA|14091|40|39591|Q
20201113|ACACU|28|0|19002|Q
20201113|ACAD|30496|115|117289|Q
20201113|ACAM|4452|0|5907|Q
20201113|ACAMW|2100|0|4200|Q
20201113|ACB|7323776|304284|14127136|Q
20201113|ACBI|4306|1500|23537|Q
20201113|ACC|74311|100|314233|Q
20201113|ACCD|21925|0|33447|Q
20201113|ACCO|67970|5429|191418|Q
20201113|ACEL|39455|0|98993|Q
20201113|ACER|19736|1229|33799|Q
20201113|ACES|18977|0|30204|Q
20201113|ACET|3592|0|10147|Q
