HTTP/1.1 200 OK
Date: Sat, 21 Nov 2020 02:36:52 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 20 Nov 2020 22:25:10 GMT
ETag: "465359-40fbe-5b491514ab770"
Accept-Ranges: bytes
Content-Length: 266174
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201120|A|360962|0|720787|Q
20201120|AA|282218|1242|1162749|Q
20201120|AAAU|26646|0|57964|Q
20201120|AACG|407|0|11147|Q
20201120|AACQ|5841|0|5892|Q
20201120|AACQU|1500|0|1652|Q
20201120|AACQW|3644|0|13160|Q
20201120|AADR|1|0|1135|Q
20201120|AAIC|9653|90|37337|Q
20201120|AAICpB|100|0|400|Q
20201120|AAICpC|636|0|1111|Q
20201120|AAL|5214026|14914|18251023|Q
20201120|AAME|305|5|434|Q
20201120|AAN|105152|30|189998|Q
20201120|AAOI|83174|1154|177094|Q
20201120|AAON|26781|0|33143|Q
20201120|AAP|88633|170|311910|Q
20201120|AAPL|12219966|147466|20379490|Q
20201120|AAT|19560|0|79879|Q
20201120|AAU|60854|0|119897|Q
20201120|AAWW|65158|0|163420|Q
20201120|AAXJ|116139|0|129975|Q
20201120|AAXN|49298|0|110172|Q
20201120|AB|34357|1586|62002|Q
20201120|ABB|200755|4080|405752|Q
20201120|ABBV|1141102|7062|2472666|Q
20201120|ABC|63594|227|176406|Q
20201120|ABCB|16130|0|34232|Q
20201120|ABCM|19385|0|20890|Q
20201120|ABEO|211038|21212|457817|Q
20201120|ABEV|1967044|645|3522317|Q
20201120|ABG|15248|0|27748|Q
20201120|ABIO|39386|1270|85412|Q
20201120|ABM|16471|100|68775|Q
20201120|ABMD|21750|0|32244|Q
20201120|ABR|87699|745|206191|Q
20201120|ABRpB|10|0|19|Q
20201120|ABST|23734|0|57393|Q
20201120|ABT|415364|253|1102899|Q
20201120|ABTX|1810|100|7484|Q
20201120|ABUS|42447|5663|280831|Q
20201120|AC|420|0|627|Q
20201120|ACA|23569|0|59460|Q
20201120|ACACU|325|0|2225|Q
20201120|ACAD|48175|0|153357|Q
20201120|ACAM|72558|0|361894|Q
20201120|ACB|5358126|163421|10140918|Q
20201120|ACBI|4970|0|14927|Q
20201120|ACC|39097|0|123950|Q
20201120|ACCD|97168|0|178717|Q
20201120|ACCO|33894|0|90961|Q
20201120|ACEL|10641|0|54634|Q
20201120|ACER|2331|0|5452|Q
20201120|ACES|14426|0|43966|Q
20201120|ACET|3142|0|8767|Q
20201120|ACEVW|9800|0|9801|Q
20201120|ACGL|529274|0|645058|Q
20201120|ACGLO|2097|0|26789|Q
20201120|ACGLP|2591|0|6552|Q
20201120|ACH|7002|0|16252|Q
20201120|ACHC|24706|0|96027|Q
20201120|ACHV|36531|376|67772|Q
20201120|ACI|173314|162|301305|Q
20201120|ACIA|500057|25|1173289|Q
20201120|ACIO|11458|0|15212|Q
20201120|ACIU|14888|100|32427|Q
20201120|ACIW|52507|0|392123|Q
20201120|ACLS|29206|200|42804|Q
20201120|ACM|74900|0|260192|Q
20201120|ACMR|20192|0|54276|Q
20201120|ACN|154524|200|413066|Q
20201120|ACNB|2458|0|3737|Q
20201120|ACND|11|0|285|Q
20201120|ACND/WS|400|0|600|Q
20201120|ACOR|620615|8300|801800|Q
20201120|ACP|14479|98|37632|Q
20201120|ACRE|25668|0|56299|Q
20201120|ACRS|22327|0|63374|Q
20201120|ACRX|75344|4600|168772|Q
20201120|ACST|3317541|88273|7551462|Q
20201120|ACTCU|4899|0|83099|Q
20201120|ACTG|4889|0|16565|Q
20201120|ACTV|483|0|1776|Q
20201120|ACU|7161|0|18766|Q
20201120|ACV|2830|0|5414|Q
20201120|ACVF|1055|0|1075|Q
20201120|ACWF|12226|0|13561|Q
20201120|ACWI|707246|64300|1687780|Q
20201120|ACWV|3049|0|262952|Q
20201120|ACWX|84527|200|263662|Q
20201120|ACY|730|0|2275|Q
20201120|ADAP|103912|6137|428258|Q
20201120|ADBE|109782|2|406598|Q
20201120|ADC|99301|0|134349|Q
20201120|ADCT|407346|100|510305|Q
20201120|ADES|11640|1000|25432|Q
20201120|ADI|274509|24|450016|Q
20201120|ADIL|33550|2157|77847|Q
20201120|ADM|221568|1026|416086|Q
20201120|ADMA|88973|1105|843648|Q
20201120|ADME|10273|0|10775|Q
20201120|ADMP|645987|10967|1166154|Q
20201120|ADMS|11987|0|28550|Q
20201120|ADNT|58672|0|116829|Q
20201120|ADOCU|3100|0|8300|Q
20201120|ADP|225515|0|376995|Q
20201120|ADPT|86800|300|249819|Q
20201120|ADRE|1248|0|22688|Q
20201120|ADS|73567|420|109356|Q
20201120|ADSK|118140|0|477344|Q
20201120|ADT|247460|1145|959135|Q
20201120|ADTN|17777|1213|27303|Q
20201120|ADTX|317311|6943|520940|Q
20201120|ADUS|2425|0|11123|Q
20201120|ADV|160682|0|181147|Q
20201120|ADVM|74948|3200|130404|Q
20201120|ADVWW|1600|0|1600|Q
20201120|ADX|45272|1046|93126|Q
20201120|ADXS|185701|20122|373054|Q
20201120|AE|64|0|67|Q
20201120|AEB|2517|292|8895|Q
20201120|AEE|142110|1105|361414|Q
20201120|AEF|4411|0|18169|Q
20201120|AEFC|10845|7747|13998|Q
20201120|AEG|249062|196|414597|Q
20201120|AEGN|7375|500|20820|Q
20201120|AEHL|93646|0|153532|Q
20201120|AEHR|6834|3100|55516|Q
20201120|AEIS|19476|0|57621|Q
20201120|AEL|53144|100|100473|Q
20201120|AELpA|2342|205|6146|Q
20201120|AELpB|1508|101|6900|Q
20201120|AEM|73363|644|246232|Q
20201120|AEMD|19419|0|42786|Q
20201120|AENZ|7743|3909|52029|Q
20201120|AEO|946603|800|1642215|Q
20201120|AEP|263013|2327|1996281|Q
20201120|AEPPL|4705|0|25185|Q
20201120|AEPPZ|5527|0|50527|Q
20201120|AER|139143|1800|306092|Q
20201120|AERI|59979|623|197118|Q
20201120|AES|1498913|811|2430938|Q
20201120|AESE|79593|4231|272028|Q
20201120|AESR|6320|0|7628|Q
20201120|AEY|21416|209|37961|Q
20201120|AEYE|9029|0|17956|Q
20201120|AEZS|4806268|194760|9216384|Q
20201120|AFB|183|0|28399|Q
20201120|AFC|1556|880|1817|Q
20201120|AFG|49225|0|77435|Q
20201120|AFGB|2686|0|3909|Q
20201120|AFGC|646|0|724|Q
20201120|AFGD|1065|0|2312|Q
20201120|AFGE|2801|0|2801|Q
20201120|AFI|31270|430|73967|Q
20201120|AFIB|27659|0|33721|Q
20201120|AFIF|47505|0|83512|Q
20201120|AFIN|63798|590|129233|Q
20201120|AFINP|1267|0|2583|Q
20201120|AFK|34|0|1187|Q
20201120|AFL|474197|11553|725900|Q
20201120|AFMD|206311|9153|656588|Q
20201120|AFT|6886|0|17481|Q
20201120|AFTY|3|0|3|Q
20201120|AFYA|20522|0|159184|Q
20201120|AG|591239|7663|1035162|Q
20201120|AGBA|4128|0|4900|Q
20201120|AGBAW|6600|0|15100|Q
20201120|AGCO|39869|16|199906|Q
20201120|AGCUU|3222|0|5806|Q
20201120|AGD|8377|0|16453|Q
20201120|AGE|83321|2475|210782|Q
20201120|AGEN|533350|642|873462|Q
20201120|AGFS|6670|0|14834|Q
20201120|AGG|2356595|0|3174660|Q
20201120|AGGP|5|0|378|Q
20201120|AGGY|14507|700|51786|Q
20201120|AGI|87712|0|282686|Q
20201120|AGIO|89686|300|187143|Q
20201120|AGLE|22840|1800|31535|Q
20201120|AGM|2819|300|10851|Q
20201120|AGMH|1299|0|1299|Q
20201120|AGMpD|100|0|500|Q
20201120|AGMpE|1147|0|8847|Q
20201120|AGNC|661750|1436|1283835|Q
20201120|AGNCM|2728|0|12719|Q
20201120|AGNCN|2895|0|6167|Q
20201120|AGNCO|12571|300|27422|Q
20201120|AGNCP|5539|0|19924|Q
20201120|AGO|37575|298|91977|Q
20201120|AGOpB|100|0|980|Q
20201120|AGOpE|743|100|2736|Q
20201120|AGOpF|950|950|1050|Q
20201120|AGQ|30871|2414|218169|Q
20201120|AGR|131649|0|184732|Q
20201120|AGRO|54955|26674|574297|Q
20201120|AGRX|84593|1859|201770|Q
20201120|AGS|28939|2100|58027|Q
20201120|AGTC|112944|100|236785|Q
20201120|AGX|3542|0|20014|Q
20201120|AGYS|50485|0|158225|Q
20201120|AGZ|3425|0|11020|Q
20201120|AHC|7|0|4991|Q
20201120|AHCO|61150|0|206248|Q
20201120|AHH|19427|100|117798|Q
20201120|AHHpA|5025|0|16565|Q
20201120|AHLpC|2739|0|7596|Q
20201120|AHLpD|1682|0|8460|Q
20201120|AHLpE|1176|0|8381|Q
20201120|AHPI|67167|3511|117115|Q
20201120|AHT|398375|24888|737080|Q
20201120|AHTpD|3069|0|9576|Q
20201120|AHTpF|4121|0|10060|Q
20201120|AHTpG|15620|300|25338|Q
20201120|AHTpH|4774|317|14486|Q
20201120|AHTpI|8365|200|24853|Q
20201120|AIA|12608|0|15741|Q
20201120|AIC|403|0|1403|Q
20201120|AIEQ|3624|0|6630|Q
20201120|AIF|5139|0|25552|Q
20201120|AIG|614598|3080|1379279|Q
20201120|AIG/WS|8094|0|53762|Q
20201120|AIGpA|3772|0|9772|Q
20201120|AIH|1600|0|8861|Q
20201120|AIHS|335751|33483|994381|Q
20201120|AIIQ|27|0|67|Q
20201120|AIKI|100673|2520|258961|Q
20201120|AIM|57142|3125|123464|Q
20201120|AIMC|23383|5900|161013|Q
20201120|AIN|16868|46|48021|Q
20201120|AINC|3870|5|7842|Q
20201120|AINV|34297|0|108181|Q
20201120|AIO|48628|0|93008|Q
20201120|AIQ|7431|0|13079|Q
20201120|AIR|34572|177|54092|Q
20201120|AIRG|3808|0|9383|Q
20201120|AIRI|5005|0|42605|Q
20201120|AIRR|911|0|4834|Q
20201120|AIRT|5|0|858|Q
20201120|AIRTP|330|0|330|Q
20201120|AIT|28773|158|42756|Q
20201120|AIV|125026|0|468165|Q
20201120|AIZ|54166|7|125252|Q
20201120|AIZP|38|0|905|Q
20201120|AJAX/U|3225|0|20978|Q
20201120|AJG|146911|100|218472|Q
20201120|AJRD|49723|0|143904|Q
20201120|AJX|1895|445|7490|Q
20201120|AKAM|142437|0|292304|Q
20201120|AKBA|575208|12328|1187063|Q
20201120|AKER|251869|14459|410147|Q
20201120|AKO/A|2|0|67|Q
20201120|AKO/B|217|0|653|Q
20201120|AKR|78630|0|322853|Q
20201120|AKRO|24391|200|43640|Q
20201120|AKTS|67035|325|104902|Q
20201120|AKTX|30212|1752|36750|Q
20201120|AKU|8699|0|19247|Q
20201120|AKUS|6011|0|63358|Q
20201120|AL|77399|1501|251816|Q
20201120|ALAC|63|0|134|Q
20201120|ALACW|10796|3200|15793|Q
20201120|ALB|86926|0|156963|Q
20201120|ALBO|14351|1|20807|Q
20201120|ALC|151699|0|207390|Q
20201120|ALCO|2158|0|3291|Q
20201120|ALDX|18206|895|62090|Q
20201120|ALE|24346|145|41893|Q
20201120|ALEC|54713|10|93693|Q
20201120|ALEX|12787|0|39434|Q
20201120|ALFA|11|0|32|Q
20201120|ALG|1883|0|3270|Q
20201120|ALGM|37001|0|631754|Q
20201120|ALGN|89191|0|128510|Q
20201120|ALGS|71666|0|85982|Q
20201120|ALGT|5352|0|16555|Q
20201120|ALIM|6596|0|6786|Q
20201120|ALINpA|10401|300|12885|Q
20201120|ALINpB|4584|0|6395|Q
20201120|ALINpE|4853|500|9804|Q
20201120|ALJJ|2402|0|66738|Q
20201120|ALK|248488|3217|461535|Q
20201120|ALKS|67973|0|118871|Q
20201120|ALL|155789|9069|320527|Q
20201120|ALLE|44004|0|117403|Q
20201120|ALLK|16452|0|45869|Q
20201120|ALLO|166644|1800|273885|Q
20201120|ALLT|15326|0|26822|Q
20201120|ALLY|239936|1588|832976|Q
20201120|ALLYpA|10033|0|25246|Q
20201120|ALLpB|12075|0|17912|Q
20201120|ALLpG|2142|0|8805|Q
20201120|ALLpH|3504|0|22036|Q
20201120|ALLpI|2023|0|4537|Q
20201120|ALNA|62346|5051|94417|Q
20201120|ALNY|34247|243|84063|Q
20201120|ALOT|12861|4200|18955|Q
20201120|ALPN|8577|3725|10875|Q
20201120|ALPpQ|1001|0|1185|Q
20201120|ALRM|64069|0|126059|Q
20201120|ALRN|186726|1000|300330|Q
20201120|ALRS|435|0|5075|Q
20201120|ALSK|116483|0|174590|Q
20201120|ALSN|136330|1|428123|Q
20201120|ALT|39533|0|151359|Q
20201120|ALTA|1204|0|5760|Q
20201120|ALTG|397|0|734|Q
20201120|ALTL|100|0|3125|Q
20201120|ALTM|11960|0|31711|Q
20201120|ALTR|40990|0|70286|Q
20201120|ALTY|406|0|1979|Q
20201120|ALUS|100|0|200|Q
20201120|ALV|34075|700|52330|Q
20201120|ALVR|10725|100|15985|Q
20201120|ALX|562|0|929|Q
20201120|ALXN|102271|8|331532|Q
20201120|ALXO|15699|0|38046|Q
20201120|ALYA|1588|0|17730|Q
20201120|ALpA|2764|0|6055|Q
20201120|AM|453866|9873|863495|Q
20201120|AMAL|2876|0|41490|Q
20201120|AMAT|722893|6426|2027331|Q
20201120|AMBA|78613|0|182701|Q
20201120|AMBC|24764|0|41373|Q
20201120|AMBC/WS|100|0|101|Q
20201120|AMBO|26794|5530|71791|Q
20201120|AMC|1747080|18367|4671015|Q
20201120|AMCI|4220|0|9900|Q
20201120|AMCIW|48808|0|278508|Q
20201120|AMCR|513513|1|792733|Q
20201120|AMCX|91979|0|164987|Q
20201120|AMD|3471492|50163|11545299|Q
20201120|AME|58253|0|168539|Q
20201120|AMED|9469|0|26752|Q
20201120|AMEH|2754|0|6151|Q
20201120|AMG|50783|0|65409|Q
20201120|AMGN|270805|21705|715908|Q
20201120|AMH|62327|0|479650|Q
20201120|AMHCW|1272|0|1572|Q
