HTTP/1.1 200 OK
Date: Tue, 24 Nov 2020 01:17:37 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 23 Nov 2020 22:23:27 GMT
ETag: "465a1d-42519-5b4cda4a8edd8"
Accept-Ranges: bytes
Content-Length: 271641
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201123|A|399579|1009|997839|Q
20201123|AA|365811|2717|1911497|Q
20201123|AAA|106|0|106|Q
20201123|AAAU|112977|6000|258014|Q
20201123|AACG|5748|0|19882|Q
20201123|AACQ|100819|0|216557|Q
20201123|AACQW|15294|0|64004|Q
20201123|AADR|352|0|1129|Q
20201123|AAIC|27475|2100|94970|Q
20201123|AAICpC|423|0|623|Q
20201123|AAL|8016408|75821|30593557|Q
20201123|AAMC|982|0|2432|Q
20201123|AAME|661|5|688|Q
20201123|AAN|102000|163|334424|Q
20201123|AAOI|62985|3349|202566|Q
20201123|AAON|10156|0|23030|Q
20201123|AAP|146429|94|275861|Q
20201123|AAPL|10218804|483589|38642008|Q
20201123|AAT|30469|1400|186818|Q
20201123|AAU|113146|874|243210|Q
20201123|AAWW|49192|100|140071|Q
20201123|AAXJ|300998|0|399955|Q
20201123|AAXN|41096|0|132183|Q
20201123|AB|38352|100|86137|Q
20201123|ABB|374002|1555|461178|Q
20201123|ABBV|745023|2679|1846498|Q
20201123|ABC|209980|800|313489|Q
20201123|ABCB|11583|0|46008|Q
20201123|ABCM|10435|0|21405|Q
20201123|ABEO|286997|5503|625169|Q
20201123|ABEQ|500|0|664|Q
20201123|ABEV|2044558|6300|3344061|Q
20201123|ABG|24023|0|38639|Q
20201123|ABIO|294289|6744|525053|Q
20201123|ABM|9703|0|40134|Q
20201123|ABMD|58425|205|65861|Q
20201123|ABR|241493|1896|556598|Q
20201123|ABRpA|900|0|2100|Q
20201123|ABRpB|105|0|129|Q
20201123|ABRpC|945|0|1411|Q
20201123|ABST|52699|0|79516|Q
20201123|ABT|366908|3729|1147521|Q
20201123|ABTX|893|0|2229|Q
20201123|ABUS|204376|15721|1172531|Q
20201123|AC|806|0|917|Q
20201123|ACA|19346|0|40045|Q
20201123|ACACU|3115|0|141095|Q
20201123|ACAD|39069|75|166303|Q
20201123|ACAM|4071|0|610379|Q
20201123|ACAMU|3606|0|3606|Q
20201123|ACAMW|2100|0|22000|Q
20201123|ACB|3143948|146928|9056097|Q
20201123|ACBI|6858|0|14845|Q
20201123|ACC|63746|10916|203386|Q
20201123|ACCD|139996|0|245746|Q
20201123|ACCO|68616|343|195724|Q
20201123|ACEL|21323|0|56717|Q
20201123|ACER|12653|0|18285|Q
20201123|ACES|32583|0|63872|Q
20201123|ACET|2736|0|9159|Q
20201123|ACEV|100|0|375|Q
20201123|ACEVW|3778|0|4528|Q
20201123|ACGL|313521|1268|555734|Q
20201123|ACGLO|2851|0|10842|Q
20201123|ACGLP|3233|0|8229|Q
20201123|ACH|29833|1265|75912|Q
20201123|ACHC|34894|0|215618|Q
20201123|ACHV|17944|950|32545|Q
20201123|ACI|319993|4442|750592|Q
20201123|ACIA|105468|0|549482|Q
20201123|ACIO|1828|0|10997|Q
20201123|ACIU|24562|0|39888|Q
20201123|ACIW|62169|100|243693|Q
20201123|ACLS|26075|279|51468|Q
20201123|ACM|56785|0|353570|Q
20201123|ACMR|11978|0|35762|Q
20201123|ACN|133442|63|269103|Q
20201123|ACNB|1818|0|5310|Q
20201123|ACND|1131|0|51573|Q
20201123|ACOR|639556|8270|815529|Q
20201123|ACP|30672|2|51900|Q
20201123|ACRE|23771|0|55663|Q
20201123|ACRS|101868|0|217637|Q
20201123|ACRX|346283|14806|496520|Q
20201123|ACSG|10|0|28|Q
20201123|ACSI|16|0|319|Q
20201123|ACST|846096|20344|2079049|Q
20201123|ACTCU|5297|0|13369|Q
20201123|ACTG|8628|0|42283|Q
20201123|ACTV|1987|0|2709|Q
20201123|ACU|3625|0|6699|Q
20201123|ACV|10490|0|19927|Q
20201123|ACVF|1345|0|1517|Q
20201123|ACWF|347|0|432|Q
20201123|ACWI|617188|1200|815381|Q
20201123|ACWV|29949|0|98023|Q
20201123|ACWX|113668|4475|365391|Q
20201123|ACY|12215|700|20639|Q
20201123|ADAP|313669|16777|651610|Q
20201123|ADBE|142980|504|523518|Q
20201123|ADC|22201|3300|197015|Q
20201123|ADCT|92002|300|248522|Q
20201123|ADES|7986|100|29648|Q
20201123|ADI|238603|287|473075|Q
20201123|ADIL|206668|4287|343797|Q
20201123|ADM|160219|58|338720|Q
20201123|ADMA|267296|83|1138878|Q
20201123|ADME|5440|0|12936|Q
20201123|ADMP|1012216|2944|1736892|Q
20201123|ADMS|10745|0|25529|Q
20201123|ADNT|110390|0|243541|Q
20201123|ADOCU|15240|0|24505|Q
20201123|ADP|146040|605|326563|Q
20201123|ADPT|65212|0|154109|Q
20201123|ADRE|6099|0|7501|Q
20201123|ADS|178470|0|243732|Q
20201123|ADSK|176329|0|365098|Q
20201123|ADT|185245|5440|589765|Q
20201123|ADTN|26709|0|42207|Q
20201123|ADTX|174553|2623|327235|Q
20201123|ADUS|46021|0|70599|Q
20201123|ADV|44578|0|60236|Q
20201123|ADVM|285150|0|369496|Q
20201123|ADVWW|800|0|3636|Q
20201123|ADX|22823|100|65439|Q
20201123|ADXN|448|0|649|Q
20201123|ADXS|111210|100|449931|Q
20201123|AE|30|0|135|Q
20201123|AEB|3222|0|9586|Q
20201123|AEE|368171|200|1332603|Q
20201123|AEF|17244|99|43054|Q
20201123|AEFC|13592|5060|24933|Q
20201123|AEG|74041|3700|203297|Q
20201123|AEGN|5046|0|12482|Q
20201123|AEHL|160792|273|272640|Q
20201123|AEHR|103070|1521|200258|Q
20201123|AEIS|27985|0|66834|Q
20201123|AEL|35759|0|106379|Q
20201123|AELpA|3883|0|12305|Q
20201123|AELpB|1727|0|2849|Q
