HTTP/1.1 200 OK
Date: Thu, 26 Nov 2020 08:23:51 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 25 Nov 2020 22:24:19 GMT
ETag: "4664db-41ce0-5b4f5e36b8940"
Accept-Ranges: bytes
Content-Length: 269536
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201125|A|338434|41|548008|Q
20201125|AA|217161|99|927494|Q
20201125|AAA|23|0|23|Q
20201125|AAAU|69721|0|110829|Q
20201125|AACG|30971|0|89013|Q
20201125|AACQ|112836|0|273397|Q
20201125|AACQU|3465|0|7549|Q
20201125|AACQW|14287|0|25179|Q
20201125|AADR|4426|0|5299|Q
20201125|AAIC|25791|1481|60255|Q
20201125|AAL|13366333|137818|35144283|Q
20201125|AAMC|7|0|66|Q
20201125|AAME|101|0|6962|Q
20201125|AAN|80563|750|128644|Q
20201125|AAOI|162657|1814|322164|Q
20201125|AAON|22419|0|25810|Q
20201125|AAP|112150|21|207783|Q
20201125|AAPL|7151956|76510|22606188|Q
20201125|AAT|21221|47|96543|Q
20201125|AAU|107080|0|152866|Q
20201125|AAWW|57604|0|77106|Q
20201125|AAXJ|229120|0|270633|Q
20201125|AAXN|23008|525|67107|Q
20201125|AB|42420|4342|61498|Q
20201125|ABB|111872|500|199806|Q
20201125|ABBV|469039|775|1212462|Q
20201125|ABC|69063|300|139426|Q
20201125|ABCB|48041|0|80468|Q
20201125|ABCM|34595|0|52541|Q
20201125|ABEO|203891|456|434423|Q
20201125|ABEQ|900|0|2329|Q
20201125|ABEV|1179721|3820|2863487|Q
20201125|ABG|10133|100|20891|Q
20201125|ABIO|39259|603|73216|Q
20201125|ABM|11759|0|29485|Q
20201125|ABMD|32463|4|43775|Q
20201125|ABR|128118|1314|244034|Q
20201125|ABRpA|506|0|1006|Q
20201125|ABRpB|250|0|800|Q
20201125|ABRpC|200|0|273|Q
20201125|ABST|8936|0|32150|Q
20201125|ABT|366217|6308|1436203|Q
20201125|ABTX|1440|0|10208|Q
20201125|ABUS|167605|2150|708737|Q
20201125|AC|451|0|1017|Q
20201125|ACA|11812|100|42608|Q
20201125|ACACU|100|0|53554|Q
20201125|ACAD|126400|0|338749|Q
20201125|ACAM|256816|0|552088|Q
20201125|ACAMW|6940|0|23441|Q
20201125|ACB|6023350|223250|11268274|Q
20201125|ACBI|8408|0|19076|Q
20201125|ACC|50245|0|223567|Q
20201125|ACCD|21464|0|101353|Q
20201125|ACCO|38970|0|116301|Q
20201125|ACEL|27121|0|65916|Q
20201125|ACER|9813|0|23140|Q
20201125|ACES|22119|0|42561|Q
20201125|ACET|2304|0|7208|Q
20201125|ACEV|320|0|320|Q
20201125|ACEVW|2299|49|102099|Q
20201125|ACGL|448303|0|559986|Q
20201125|ACGLO|1755|100|5532|Q
20201125|ACGLP|1767|0|7681|Q
20201125|ACH|12576|1740|47963|Q
20201125|ACHC|21980|0|89892|Q
20201125|ACHV|6110|100|13747|Q
20201125|ACI|306162|377|569123|Q
20201125|ACIA|32886|0|193932|Q
20201125|ACIO|945|0|6746|Q
20201125|ACIU|18381|0|51343|Q
20201125|ACIW|51286|0|102075|Q
20201125|ACLS|55504|0|81353|Q
20201125|ACM|60891|0|236060|Q
20201125|ACMR|40353|0|54938|Q
20201125|ACN|132354|442|240047|Q
20201125|ACNB|1203|0|2523|Q
20201125|ACND|8|0|170800|Q
20201125|ACND/WS|6950|0|7700|Q
20201125|ACOR|1072885|4615|1453142|Q
20201125|ACP|25356|2874|67330|Q
20201125|ACRE|21361|1500|99503|Q
20201125|ACRS|66713|0|150873|Q
20201125|ACRX|297521|400|549294|Q
20201125|ACSI|40|0|40|Q
20201125|ACST|7653234|135917|13362738|Q
20201125|ACTC|900|0|250900|Q
20201125|ACTCU|39731|0|41233|Q
20201125|ACTCW|28349|0|58557|Q
20201125|ACTG|19332|1000|44349|Q
20201125|ACTV|1845|0|2205|Q
20201125|ACU|1423|0|3774|Q
20201125|ACV|4059|0|9064|Q
20201125|ACVF|536|0|764|Q
20201125|ACWF|268|0|841|Q
20201125|ACWI|121781|0|213953|Q
20201125|ACWV|4871|100|118363|Q
20201125|ACWX|142911|0|567459|Q
20201125|ACY|976|0|2361|Q
20201125|ADAP|129161|700|601746|Q
20201125|ADBE|185852|1165|594607|Q
20201125|ADC|215679|0|302440|Q
20201125|ADCT|13950|0|22669|Q
20201125|ADES|15942|100|40992|Q
20201125|ADI|285655|0|563445|Q
20201125|ADIL|211565|3358|445722|Q
