HTTP/1.1 200 OK
Date: Wed, 02 Dec 2020 02:03:54 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 01 Dec 2020 22:21:20 GMT
ETag: "4676f4-435cc-5b56e8bd2a870"
Accept-Ranges: bytes
Content-Length: 275916
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201201|A|139840|1300|314420|Q
20201201|AA|560064|13469|2537503|Q
20201201|AAA|5|0|63|Q
20201201|AAAU|44485|0|98947|Q
20201201|AACG|1271|0|9965|Q
20201201|AACQ|7439|0|34266|Q
20201201|AACQU|6000|0|10893|Q
20201201|AACQW|9054|0|24205|Q
20201201|AADR|96992|0|100183|Q
20201201|AAIC|126257|1133|167762|Q
20201201|AAICpB|54|0|577|Q
20201201|AAICpC|140|0|140|Q
20201201|AAL|9380135|153463|25761115|Q
20201201|AAMC|530|0|1140|Q
20201201|AAME|576|0|767|Q
20201201|AAN|536555|9315|1058437|Q
20201201|AAOI|100179|100|201083|Q
20201201|AAON|29136|0|45678|Q
20201201|AAP|133422|200|360064|Q
20201201|AAPL|12731134|198121|38437170|Q
20201201|AAT|18685|0|91483|Q
20201201|AAU|199074|3100|244504|Q
20201201|AAWW|58454|106|125195|Q
20201201|AAXJ|121319|0|224312|Q
20201201|AAXN|35237|13|150470|Q
20201201|AB|63159|0|105051|Q
20201201|ABB|211373|1446|304597|Q
20201201|ABBV|580032|2329|1709435|Q
20201201|ABC|59239|0|278545|Q
20201201|ABCB|79629|0|135955|Q
20201201|ABCM|23438|0|35392|Q
20201201|ABEO|521353|3050|1182712|Q
20201201|ABEQ|403|0|478|Q
20201201|ABEV|3618019|6790|7771662|Q
20201201|ABG|26616|0|40825|Q
20201201|ABIO|32817|600|83863|Q
20201201|ABM|25326|231|55948|Q
20201201|ABMD|36510|300|68218|Q
20201201|ABR|193199|17|421278|Q
20201201|ABRpA|100|0|605|Q
20201201|ABRpB|410|0|916|Q
20201201|ABRpC|151|0|157|Q
20201201|ABST|11327|0|61340|Q
20201201|ABT|285516|2240|1103600|Q
20201201|ABTX|4300|0|5495|Q
20201201|ABUS|1001625|56034|2589986|Q
20201201|AC|259|0|300|Q
20201201|ACA|24413|0|69725|Q
20201201|ACACU|2383|0|7897|Q
20201201|ACAD|72559|160|189562|Q
20201201|ACAM|277655|0|624630|Q
20201201|ACAMW|6433|0|39387|Q
20201201|ACB|12772234|451009|30421677|Q
20201201|ACBI|13302|0|25056|Q
20201201|ACC|69110|550|181988|Q
20201201|ACCD|77940|0|142383|Q
20201201|ACCO|43263|439|75550|Q
20201201|ACEL|125498|20383|175839|Q
20201201|ACER|78949|2100|155336|Q
20201201|ACES|36494|0|89867|Q
20201201|ACET|4896|0|11065|Q
20201201|ACEV|1|0|1369|Q
20201201|ACEVW|700|0|4700|Q
20201201|ACGL|359033|338|590209|Q
20201201|ACGLO|1166|0|4042|Q
20201201|ACGLP|1445|0|8489|Q
20201201|ACH|11848|2700|56285|Q
20201201|ACHC|29885|0|107604|Q
20201201|ACHV|60930|228|86357|Q
20201201|ACI|261346|2423|640020|Q
20201201|ACIA|196858|103|576176|Q
20201201|ACIC/U|11710|0|14927|Q
20201201|ACIO|11510|0|17363|Q
20201201|ACIU|18432|0|30274|Q
20201201|ACIW|85712|0|178872|Q
20201201|ACLS|56863|100|97213|Q
20201201|ACM|71760|6600|190985|Q
20201201|ACMR|33780|0|63346|Q
20201201|ACN|172406|635|369621|Q
20201201|ACNB|1771|0|2654|Q
20201201|ACND|12600|0|14225|Q
20201201|ACND/WS|500|0|600|Q
20201201|ACOR|567995|10150|996841|Q
20201201|ACP|50470|2600|76400|Q
20201201|ACRE|29512|1100|48167|Q
20201201|ACRS|81018|332|243660|Q
20201201|ACRX|138628|5900|313840|Q
20201201|ACSG|3|0|3|Q
20201201|ACSI|60|0|65|Q
20201201|ACST|12368557|426100|21064984|Q
20201201|ACTC|2082|0|3146|Q
20201201|ACTCU|346|0|5681|Q
20201201|ACTCW|300|0|856|Q
20201201|ACTG|22781|300|146627|Q
20201201|ACTV|4042|0|5302|Q
20201201|ACU|3329|0|10851|Q
20201201|ACV|7269|0|13698|Q
20201201|ACVF|343|0|645|Q
20201201|ACWF|396|0|997|Q
20201201|ACWI|324798|0|1087519|Q
20201201|ACWV|19963|0|99880|Q
20201201|ACWX|227355|0|584752|Q
20201201|ACY|11980|0|14717|Q
20201201|ADAP|258458|54174|2124916|Q
20201201|ADBE|162114|1936|542367|Q
20201201|ADC|198646|100|238984|Q
20201201|ADCT|17664|400|38847|Q
20201201|ADES|7267|254|26234|Q
20201201|ADFI|7|0|7|Q
20201201|ADI|187764|0|798366|Q
20201201|ADIL|116033|6209|329396|Q
20201201|ADM|129456|248|742739|Q
20201201|ADMA|358915|1778|882524|Q
20201201|ADME|2829|0|3119|Q
20201201|ADMP|4571488|149797|7686930|Q
20201201|ADMS|26784|1600|56371|Q
20201201|ADNT|160955|311|695409|Q
20201201|ADOCU|649|0|10502|Q
20201201|ADP|161088|645|809285|Q
20201201|ADPT|113548|0|215716|Q
20201201|ADRE|48893|0|50958|Q
20201201|ADS|201464|400|376472|Q
20201201|ADSK|91249|9|266465|Q
20201201|ADT|216190|600|730540|Q
20201201|ADTN|54360|0|78915|Q
20201201|ADTX|120536|2320|248577|Q
20201201|ADUS|38332|0|47443|Q
20201201|ADV|36624|0|50500|Q
20201201|ADVM|53884|500|139785|Q
20201201|ADVWW|1250|0|1508|Q
20201201|ADX|39046|900|59539|Q
20201201|ADXN|230|0|330|Q
20201201|ADXS|2779776|82317|5230092|Q
20201201|AE|922|0|1918|Q
20201201|AEB|7634|100|13116|Q
20201201|AEE|147590|100|250375|Q
20201201|AEF|8155|0|91795|Q
20201201|AEFC|8952|0|29471|Q
20201201|AEG|291397|10974|587317|Q
20201201|AEGN|2602|0|6746|Q
20201201|AEHL|97495|0|175041|Q
20201201|AEHR|6198|2560|32315|Q
20201201|AEIS|42283|0|84669|Q
20201201|AEL|60067|100|214022|Q
20201201|AELpA|1232|0|12550|Q
20201201|AELpB|3240|0|8376|Q
20201201|AEM|280723|1722|450589|Q
20201201|AEMD|87151|1819|178976|Q
20201201|AENZ|2311|300|15478|Q
20201201|AEO|1440407|1556|2701207|Q
20201201|AEP|291137|6944|948887|Q
20201201|AEPPL|1555|0|30863|Q
20201201|AEPPZ|1999|0|359586|Q
20201201|AER|127931|1400|627221|Q
20201201|AERI|71827|0|160208|Q
20201201|AES|430425|406|1786372|Q
20201201|AESE|58278|0|260643|Q
20201201|AESR|44815|0|46068|Q
20201201|AEY|58157|1700|87491|Q
20201201|AEYE|36432|25|66788|Q
20201201|AEZS|251147|6500|489637|Q
20201201|AFB|3362|0|27363|Q
20201201|AFC|681|0|2597|Q
20201201|AFG|27302|0|82836|Q
20201201|AFGB|732|0|1040|Q
20201201|AFGC|2050|1400|4515|Q
20201201|AFGD|1800|0|11475|Q
20201201|AFGE|225|0|325|Q
20201201|AFI|65936|1271|83353|Q
20201201|AFIB|42173|0|96767|Q
20201201|AFIF|109003|0|119970|Q
20201201|AFIN|33461|3|96750|Q
20201201|AFINP|1096|0|4360|Q
20201201|AFK|3921|0|6990|Q
20201201|AFL|173903|654|724596|Q
20201201|AFMD|125483|9111|541976|Q
20201201|AFT|6639|681|19801|Q
20201201|AFTY|1788|0|2447|Q
20201201|AFYA|28618|0|121563|Q
20201201|AG|994309|4914|2088506|Q
20201201|AGBA|2500|0|3991|Q
20201201|AGBAR|11653|0|16753|Q
20201201|AGBAW|52721|4356|101291|Q
20201201|AGCO|29901|0|176354|Q
20201201|AGCUU|7202|0|24395|Q
20201201|AGD|2399|0|14919|Q
20201201|AGE|42803|156|93122|Q
20201201|AGEN|429290|8940|947775|Q
20201201|AGFS|5489|181|11714|Q
20201201|AGG|925412|347|2021247|Q
20201201|AGGP|800|0|13395|Q
20201201|AGGY|31077|0|56929|Q
20201201|AGI|188127|1920|608354|Q
20201201|AGIO|136280|0|323697|Q
20201201|AGLE|26245|0|117887|Q
20201201|AGM|13605|2|27931|Q
20201201|AGM/A|742|0|851|Q
20201201|AGMH|1978|0|1983|Q
20201201|AGMpD|375|0|455|Q
20201201|AGMpE|1430|0|3269|Q
20201201|AGMpF|375|0|584|Q
20201201|AGNC|911251|28543|1897514|Q
20201201|AGNCM|4820|700|169045|Q
20201201|AGNCN|12066|0|15788|Q
20201201|AGNCO|20353|0|36586|Q
20201201|AGNCP|96499|0|194189|Q
20201201|AGO|37824|0|169412|Q
20201201|AGOpB|57|0|57|Q
20201201|AGOpE|104|0|890|Q
20201201|AGOpF|900|200|1200|Q
20201201|AGQ|350786|3203|724415|Q
20201201|AGR|119609|0|284598|Q
20201201|AGRO|3541|0|32919|Q
20201201|AGRX|84944|1338|223072|Q
20201201|AGS|40633|94|70414|Q
20201201|AGT|200|0|246|Q
20201201|AGTC|132546|959|263336|Q
20201201|AGX|10132|0|36812|Q
20201201|AGYS|34659|0|79531|Q
20201201|AGZ|5976|0|18186|Q
20201201|AGZD|5117|0|32452|Q
20201201|AHAC|100|0|705|Q
20201201|AHACU|1878|0|6078|Q
20201201|AHACW|700|100|700|Q
20201201|AHC|7478|0|19875|Q
20201201|AHCO|317071|203|758745|Q
20201201|AHH|22551|162|96807|Q
20201201|AHHpA|344|0|2125|Q
20201201|AHLpC|1119|0|5441|Q
20201201|AHLpD|1673|0|5282|Q
20201201|AHLpE|1436|0|6342|Q
20201201|AHPI|91923|980|169061|Q
20201201|AHT|1903703|156181|4617435|Q
20201201|AHTpD|503|0|1848|Q
20201201|AHTpF|513|0|3102|Q
20201201|AHTpG|1136|49|1841|Q
20201201|AHTpH|3372|400|8674|Q
20201201|AHTpI|1948|0|7485|Q
20201201|AIA|50589|0|318181|Q
20201201|AIC|330|0|330|Q
20201201|AIEQ|11954|0|18108|Q
20201201|AIF|2463|100|11181|Q
20201201|AIG|520214|5745|1938495|Q
20201201|AIG/WS|30235|50|165424|Q
20201201|AIGpA|1402|0|7335|Q
20201201|AIH|16643|700|32012|Q
20201201|AIHS|269138|41378|546993|Q
20201201|AIIQ|24|0|34|Q
20201201|AIKI|948364|579|1887487|Q
20201201|AIM|210056|5406|406756|Q
20201201|AIMC|86950|0|213463|Q
20201201|AIN|17138|0|37342|Q
20201201|AINC|3207|0|10258|Q
20201201|AINV|76260|750|137622|Q
20201201|AIO|27487|2918|80585|Q
20201201|AIQ|21839|0|34685|Q
20201201|AIR|48175|41|88528|Q
20201201|AIRG|8316|22|20300|Q
20201201|AIRI|14497|0|61062|Q
20201201|AIRR|3665|0|7153|Q
20201201|AIRT|106|0|752|Q
20201201|AIRTP|11|0|11|Q
20201201|AIRTW|400|0|14710|Q
20201201|AIT|11026|0|22781|Q
20201201|AIV|149367|192|505655|Q
20201201|AIW|134|0|734|Q
20201201|AIZ|31143|0|132326|Q
20201201|AIZN|7137|400|8014|Q
20201201|AIZP|163|0|12164|Q
20201201|AJAX/U|5579|400|95312|Q
20201201|AJG|69245|0|152661|Q
20201201|AJRD|62494|60|118972|Q
20201201|AJX|16393|2022|23236|Q
20201201|AJXA|1200|0|2035|Q
20201201|AKAM|181534|0|379903|Q
20201201|AKBA|429950|5697|1274330|Q
20201201|AKER|82340|0|153206|Q
20201201|AKO/A|700|0|718|Q
20201201|AKO/B|702|0|1326|Q
20201201|AKR|50388|17|94186|Q
20201201|AKRO|17705|0|68876|Q
20201201|AKTS|98712|5262|223596|Q
20201201|AKTX|36587|0|52403|Q
20201201|AKU|795|0|4813|Q
20201201|AKUS|7662|1|9168|Q
20201201|AL|172477|572|319284|Q
20201201|ALAC|2144|38|7454|Q
20201201|ALACR|36241|920|61211|Q
20201201|ALACW|46095|0|128094|Q
20201201|ALB|358010|0|636013|Q
20201201|ALBO|24061|0|31119|Q
20201201|ALC|502486|0|934303|Q
20201201|ALCO|414|0|771|Q
20201201|ALDX|39421|0|103895|Q
20201201|ALE|37442|291|57349|Q
20201201|ALEC|101420|0|226313|Q
20201201|ALEX|27379|180|73998|Q
20201201|ALFA|25|0|234|Q
20201201|ALG|5123|0|28927|Q
20201201|ALGM|61526|0|239622|Q
20201201|ALGN|219956|0|357298|Q
20201201|ALGS|32148|250|68315|Q
20201201|ALGT|10250|0|14999|Q
20201201|ALIM|4261|0|5052|Q
20201201|ALINpA|2345|0|3582|Q
20201201|ALINpB|400|0|1007|Q
20201201|ALINpE|2651|0|7477|Q
20201201|ALJJ|14622|0|75550|Q
20201201|ALK|236452|1641|419958|Q
20201201|ALKS|74319|0|160889|Q
20201201|ALL|220866|222|577069|Q
20201201|ALLE|60709|0|212981|Q
20201201|ALLK|21477|0|111324|Q
20201201|ALLO|90854|0|151493|Q
20201201|ALLT|3920|0|33003|Q
20201201|ALLY|449646|1300|1005331|Q
20201201|ALLYpA|29168|0|57152|Q
20201201|ALLpB|2705|0|7333|Q
20201201|ALLpG|1275|0|7160|Q
20201201|ALLpH|6845|900|79820|Q
20201201|ALLpI|4630|2524|7814|Q
20201201|ALNA|103652|13442|232284|Q
20201201|ALNY|40226|0|91960|Q
20201201|ALOT|2026|0|2830|Q
20201201|ALPN|7355|0|14302|Q
20201201|ALPpQ|607|0|923|Q
20201201|ALRM|35790|0|87347|Q
20201201|ALRN|87846|2199|340500|Q
20201201|ALRS|3929|0|4447|Q
20201201|ALSK|71234|0|249564|Q
20201201|ALSN|56354|0|133120|Q
20201201|ALT|1917755|34106|3009840|Q
20201201|ALTA|1607|0|4784|Q
20201201|ALTG|2456|100|27633|Q
20201201|ALTL|1222|0|1681|Q
20201201|ALTM|12047|200|18483|Q
20201201|ALTR|303635|0|332433|Q
20201201|ALTY|7417|0|10929|Q
20201201|ALUS|1150|0|1800|Q
20201201|ALV|63404|0|147300|Q
20201201|ALVR|22112|200|47784|Q
20201201|ALX|2079|0|3632|Q
20201201|ALXN|101275|200|316984|Q
20201201|ALXO|9464|0|30835|Q
20201201|ALYA|690|0|767|Q
20201201|ALpA|36756|0|264691|Q
20201201|AM|708467|2903|1096184|Q
20201201|AMAL|5514|0|11847|Q
20201201|AMAT|433791|19728|2097644|Q
20201201|AMBA|43817|204|106119|Q
20201201|AMBC|131866|1500|359459|Q
20201201|AMBC/WS|802|0|3302|Q
20201201|AMBO|74593|343|113969|Q
20201201|AMC|1348537|128810|3960617|Q
20201201|AMCA|240|240|400|Q
20201201|AMCI|840136|1334|1737413|Q
20201201|AMCIW|406503|5548|932887|Q
20201201|AMCR|547765|0|916120|Q
20201201|AMCX|336927|1938|480449|Q
20201201|AMD|7206818|58722|20257324|Q
20201201|AME|148212|0|364450|Q
20201201|AMED|25631|0|38078|Q
20201201|AMEH|4447|0|12702|Q
20201201|AMG|123433|0|162644|Q
20201201|AMGN|291314|39418|872116|Q
20201201|AMH|113049|551|750282|Q
20201201|AMHpD|698|0|1736|Q
20201201|AMHpE|336|0|1407|Q
20201201|AMHpG|300|0|343|Q
20201201|AMHpH|450|0|961|Q
20201201|AMJ|132062|0|297238|Q
20201201|AMK|5772|0|12346|Q
20201201|AMKR|63777|293|241692|Q
20201201|AMLP|308200|10706|669669|Q
20201201|AMN|22795|0|54397|Q
20201201|AMNB|769|0|2378|Q
20201201|AMND|3|0|6|Q
20201201|AMOM|422|0|537|Q
20201201|AMOT|1977|0|4642|Q
20201201|AMOV|97|96|1444|Q
20201201|AMP|108830|0|207916|Q
20201201|AMPE|378795|9900|732141|Q
20201201|AMPH|31145|150|55089|Q
20201201|AMPY|100178|144|186769|Q
20201201|AMRB|134|0|1083|Q
20201201|AMRC|79100|8051|127638|Q
20201201|AMRH|139652|46870|291340|Q
20201201|AMRHW|3200|300|5900|Q
20201201|AMRK|19004|9097|37126|Q
20201201|AMRN|746127|729|2586539|Q
20201201|AMRS|366226|6249|572172|Q
20201201|AMRX|370238|7191|563242|Q
20201201|AMS|11817|850|32204|Q
20201201|AMSC|62675|0|119672|Q
20201201|AMSF|16849|0|23300|Q
20201201|AMST|2616|0|9569|Q
20201201|AMSWA|9866|152|52990|Q
20201201|AMT|170015|2356|783932|Q
20201201|AMTB|3235|0|5915|Q
20201201|AMTBB|968|0|1191|Q
20201201|AMTI|13445|0|17694|Q
20201201|AMTR|200|0|200|Q
20201201|AMTX|57252|2024|184969|Q
20201201|AMWD|27072|0|36147|Q
20201201|AMWL|280881|7842|684064|Q
20201201|AMX|563190|0|1058251|Q
20201201|AMYT|2|0|137|Q
20201201|AMZA|18195|0|33067|Q
20201201|AMZN|413333|5168|1314174|Q
20201201|AN|102374|548|204506|Q
20201201|ANAB|14625|100|38449|Q
20201201|ANAT|2011|100|5465|Q
20201201|ANCN|4121|200|23966|Q
20201201|ANDA|229|0|879|Q
20201201|ANDAR|1000|0|8874|Q
20201201|ANDAW|1512|0|23866|Q
20201201|ANDE|26037|0|49509|Q
20201201|ANET|35497|35|163720|Q
20201201|ANEW|2356|0|2784|Q
20201201|ANF|324194|0|1301030|Q
20201201|ANGI|191857|300|1335288|Q
20201201|ANGL|432808|0|583467|Q
20201201|ANGO|50981|0|82014|Q
20201201|ANH|145373|2300|692067|Q
20201201|ANHpA|2824|0|2845|Q
20201201|ANHpB|3356|199|6610|Q
20201201|ANHpC|4480|0|6620|Q
20201201|ANIK|12064|100|19679|Q
20201201|ANIP|9212|200|22525|Q
20201201|ANIX|42855|0|93487|Q
