HTTP/1.1 200 OK
Date: Fri, 04 Dec 2020 01:47:21 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 03 Dec 2020 22:24:30 GMT
ETag: "4681a2-42ca3-5b596d2d00bc8"
Accept-Ranges: bytes
Content-Length: 273571
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201203|A|78514|954|390976|Q
20201203|AA|481963|1263|1459956|Q
20201203|AAA|1|0|1|Q
20201203|AAAU|27939|0|60513|Q
20201203|AACG|23092|0|41703|Q
20201203|AACQ|8841|0|19862|Q
20201203|AACQU|1607|0|3606|Q
20201203|AACQW|9174|0|17751|Q
20201203|AADR|503|0|1083|Q
20201203|AAIC|25661|914|67158|Q
20201203|AAICpB|100|0|100|Q
20201203|AAL|23378153|256214|64605418|Q
20201203|AAMC|401|0|3314|Q
20201203|AAME|32|0|47|Q
20201203|AAN|123706|1353|712178|Q
20201203|AAOI|80739|537|139468|Q
20201203|AAON|19513|95|30432|Q
20201203|AAP|78639|104|161740|Q
20201203|AAPL|7405584|53187|22950880|Q
20201203|AAT|17614|0|40708|Q
20201203|AAU|378817|28390|736269|Q
20201203|AAWW|122523|0|196704|Q
20201203|AAXJ|127267|0|217498|Q
20201203|AAXN|26761|5641|73544|Q
20201203|AB|89030|400|201774|Q
20201203|ABB|192535|96|319276|Q
20201203|ABBV|574731|5939|1389794|Q
20201203|ABC|79543|0|205305|Q
20201203|ABCB|24510|0|75651|Q
20201203|ABCM|10299|0|17738|Q
20201203|ABEO|387155|12|574309|Q
20201203|ABEQ|19316|0|20180|Q
20201203|ABEV|3398633|23027|6224417|Q
20201203|ABG|30268|0|41547|Q
20201203|ABIO|39628|1200|86308|Q
20201203|ABM|14266|873|23644|Q
20201203|ABMD|17052|100|27425|Q
20201203|ABR|121821|0|254095|Q
20201203|ABRpA|131|0|1290|Q
20201203|ABRpC|1525|0|2370|Q
20201203|ABST|45390|0|90306|Q
20201203|ABT|213233|16419|755910|Q
20201203|ABTX|3652|0|4067|Q
20201203|ABUS|198282|2101|663328|Q
20201203|AC|1580|0|1598|Q
20201203|ACA|11354|0|22991|Q
20201203|ACACU|1300|0|4547|Q
20201203|ACAD|44441|0|305358|Q
20201203|ACAM|41955|0|78062|Q
20201203|ACAMW|12479|1650|17485|Q
20201203|ACB|11481188|202217|20671850|Q
20201203|ACBI|3552|1000|6173|Q
20201203|ACC|156605|0|526763|Q
20201203|ACCD|17876|43|47026|Q
20201203|ACCO|59946|617|114471|Q
20201203|ACEL|32290|15600|62512|Q
20201203|ACER|2220|0|20686|Q
20201203|ACES|42568|0|54928|Q
20201203|ACET|5706|0|20120|Q
20201203|ACEV|10|0|1121|Q
20201203|ACEVW|1512|0|2312|Q
20201203|ACGL|198186|1032|377551|Q
20201203|ACGLO|6317|4196|9624|Q
20201203|ACGLP|6007|1014|10446|Q
20201203|ACH|6105|900|94304|Q
20201203|ACHC|42879|100|199433|Q
20201203|ACHV|287011|66731|518027|Q
