HTTP/1.1 200 OK
Date: Fri, 11 Dec 2020 06:24:47 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 10 Dec 2020 22:24:06 GMT
ETag: "46bb00-439d9-5b623a2501870"
Accept-Ranges: bytes
Content-Length: 276953
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201210|A|236030|60|349276|Q
20201210|AA|475151|6024|1383461|Q
20201210|AAAU|27231|0|49838|Q
20201210|AACG|84|0|943|Q
20201210|AACQ|113450|0|671797|Q
20201210|AACQU|19711|0|71438|Q
20201210|AACQW|24761|0|98072|Q
20201210|AADR|968|0|3583|Q
20201210|AAIC|13646|63|41948|Q
20201210|AAICpB|803|0|986|Q
20201210|AAICpC|1|0|41|Q
20201210|AAL|10760149|32925|32984237|Q
20201210|AAMC|193|0|205|Q
20201210|AAME|322|0|1901|Q
20201210|AAN|114971|0|324222|Q
20201210|AAOI|71125|0|123471|Q
20201210|AAON|12821|0|36805|Q
20201210|AAP|99500|0|239300|Q
20201210|AAPL|16138023|155818|28150394|Q
20201210|AAT|11531|0|44177|Q
20201210|AAU|144972|53500|203176|Q
20201210|AAWW|48932|150|129376|Q
20201210|AAXJ|608872|44|648192|Q
20201210|AAXN|52100|35|264740|Q
20201210|AB|137210|9724|295537|Q
20201210|ABB|376509|1182|542800|Q
20201210|ABBV|723737|3315|1750060|Q
20201210|ABC|62722|0|138042|Q
20201210|ABCB|93516|317|136129|Q
20201210|ABCM|6062|0|9860|Q
20201210|ABEO|234716|783|684160|Q
20201210|ABEQ|22|0|67|Q
20201210|ABEV|1995861|2405|9391345|Q
20201210|ABG|23785|0|32852|Q
20201210|ABIO|68628|3000|141674|Q
20201210|ABM|32698|0|50755|Q
20201210|ABMD|20139|157|38750|Q
20201210|ABNB|10792943|102206|19291643|Q
20201210|ABR|100625|9072|232046|Q
20201210|ABRpA|335|0|7424|Q
20201210|ABRpB|355|0|455|Q
20201210|ABRpC|162|0|669|Q
20201210|ABST|19284|0|67224|Q
20201210|ABT|193858|5304|1063446|Q
20201210|ABTX|3240|0|5380|Q
20201210|ABUS|285291|31964|1422713|Q
20201210|AC|319|0|1864|Q
20201210|ACA|9498|0|27070|Q
20201210|ACACU|9900|0|73878|Q
20201210|ACAD|58378|0|152820|Q
20201210|ACAM|32034|0|85271|Q
20201210|ACAMU|20|0|1252|Q
20201210|ACAMW|5318|81|26918|Q
20201210|ACB|1845720|10023|6606362|Q
20201210|ACBI|3915|2239|16860|Q
20201210|ACC|135741|3500|234439|Q
20201210|ACCD|82596|0|103132|Q
20201210|ACCO|30464|0|163773|Q
20201210|ACEL|58571|5200|127068|Q
20201210|ACER|7432|100|24457|Q
20201210|ACES|17720|0|28482|Q
20201210|ACET|3680|0|14663|Q
20201210|ACEV|5869|0|17675|Q
20201210|ACEVW|4209|0|5521|Q
20201210|ACGL|148213|0|620232|Q
20201210|ACGLO|3367|0|6510|Q
20201210|ACGLP|3079|0|6681|Q
20201210|ACH|3841|10|26822|Q
20201210|ACHC|104969|0|361687|Q
20201210|ACHV|25052|0|44189|Q
20201210|ACI|436644|5172|1029967|Q
20201210|ACIA|20318|450|128268|Q
20201210|ACIC/U|1000|0|2001|Q
20201210|ACIO|929|0|1816|Q
20201210|ACIU|27041|500|74004|Q
20201210|ACIW|58271|0|138072|Q
20201210|ACLS|13514|0|36555|Q
20201210|ACM|118394|0|264362|Q
20201210|ACMR|23255|0|47824|Q
20201210|ACN|164544|1744|406751|Q
20201210|ACNB|426|0|486|Q
20201210|ACND|5260|0|132157|Q
20201210|ACND/WS|3746|0|3953|Q
20201210|ACOR|551040|48694|818353|Q
20201210|ACP|16765|0|48410|Q
20201210|ACRE|21486|1904|48347|Q
20201210|ACRS|24071|6002|51145|Q
20201210|ACRX|307957|11800|657987|Q
20201210|ACSG|44|0|45|Q
20201210|ACST|1340663|7494|4173777|Q
20201210|ACTC|22770|7171|233405|Q
20201210|ACTCU|14384|0|16100|Q
20201210|ACTCW|47628|9668|64843|Q
20201210|ACTG|8534|0|36524|Q
20201210|ACTV|402|0|886|Q
20201210|ACU|2284|400|6623|Q
20201210|ACV|9942|0|17339|Q
20201210|ACVF|80|0|102|Q
20201210|ACWF|1130|0|10673|Q
20201210|ACWI|183409|0|809633|Q
20201210|ACWV|95454|0|174217|Q
20201210|ACWX|193436|0|304804|Q
20201210|ACY|1297|0|1483|Q
20201210|ADAP|295113|0|756450|Q
20201210|ADBE|558061|1301|1196434|Q
20201210|ADC|27634|0|65916|Q
20201210|ADCT|154032|0|228150|Q
20201210|ADES|11108|200|14629|Q
20201210|ADFI|9|0|9|Q
20201210|ADI|414308|0|660895|Q
20201210|ADIL|260377|702|716047|Q
20201210|ADILW|20|0|501|Q
20201210|ADM|244719|990|651967|Q
20201210|ADMA|650081|1638|2115124|Q
20201210|ADME|3314|0|4568|Q
20201210|ADMP|1864772|46064|2898294|Q
20201210|ADMS|14894|0|26974|Q
20201210|ADNT|68941|330|225588|Q
20201210|ADOC|2140|700|228620|Q
20201210|ADOCW|3000|0|3000|Q
20201210|ADP|135580|220|397466|Q
20201210|ADPT|134502|400|335274|Q
20201210|ADRE|9687|0|10193|Q
20201210|ADS|128651|21372|264314|Q
20201210|ADSK|87910|224|240148|Q
20201210|ADT|2043412|20069|3010536|Q
20201210|ADTN|12160|0|48043|Q
