HTTP/1.1 200 OK
Date: Sat, 12 Dec 2020 01:15:40 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 11 Dec 2020 22:26:59 GMT
ETag: "46c04f-43ec4-5b637ca7180f0"
Accept-Ranges: bytes
Content-Length: 278212
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201211|A|131071|0|282065|Q
20201211|AA|399582|7134|1422129|Q
20201211|AAA|100|0|105|Q
20201211|AAAU|17262|0|29178|Q
20201211|AACG|406|0|6167|Q
20201211|AACQ|63104|160|312252|Q
20201211|AACQU|39188|0|44651|Q
20201211|AACQW|22678|0|64525|Q
20201211|AADR|35010|0|35690|Q
20201211|AAIC|25923|408|40950|Q
20201211|AAICpC|425|0|453|Q
20201211|AAL|13572055|52836|37355457|Q
20201211|AAMC|1|0|424|Q
20201211|AAME|50|0|772|Q
20201211|AAN|58776|100|369052|Q
20201211|AAOI|114088|0|196063|Q
20201211|AAON|11481|0|21039|Q
20201211|AAP|125100|51|243856|Q
20201211|AAPL|13776902|51467|25504273|Q
20201211|AAT|19679|0|28413|Q
20201211|AAU|142389|0|221113|Q
20201211|AAWW|30258|200|65790|Q
20201211|AAXJ|422290|0|996713|Q
20201211|AAXN|48284|300|147300|Q
20201211|AB|69920|1413|139455|Q
20201211|ABB|303018|0|577942|Q
20201211|ABBV|541056|132|1255084|Q
20201211|ABC|72866|247|129134|Q
20201211|ABCB|33294|107|44318|Q
20201211|ABCL|1234447|1211|2768234|Q
20201211|ABCM|5632|0|9382|Q
20201211|ABEO|220453|6400|392728|Q
20201211|ABEQ|3382|0|3544|Q
20201211|ABEV|2089007|1900|7033565|Q
20201211|ABG|5458|0|14702|Q
20201211|ABIO|152790|2880|356865|Q
20201211|ABM|13201|57|31707|Q
20201211|ABMD|47717|493|79802|Q
20201211|ABNB|4447174|17650|8945046|Q
20201211|ABR|118504|2047|252532|Q
20201211|ABRpA|550|0|3980|Q
20201211|ABRpB|1100|0|1100|Q
20201211|ABRpC|218|0|1658|Q
20201211|ABST|4977|0|6012|Q
20201211|ABT|263614|1950|1072200|Q
20201211|ABTX|1935|0|10430|Q
20201211|ABUS|815356|15107|1525674|Q
20201211|AC|36|0|41|Q
20201211|ACA|8848|0|16823|Q
20201211|ACACU|4942|0|17059|Q
20201211|ACAD|76529|1698|250247|Q
20201211|ACAM|15854|0|186095|Q
20201211|ACAMW|25875|0|70422|Q
20201211|ACB|1516744|12876|3260283|Q
20201211|ACBI|3789|0|17605|Q
20201211|ACC|54986|300|282633|Q
20201211|ACCD|74464|700|119733|Q
20201211|ACCO|47503|180|160611|Q
20201211|ACEL|72528|0|108834|Q
20201211|ACER|1935|0|14658|Q
20201211|ACES|9787|0|71192|Q
20201211|ACET|12547|0|17989|Q
20201211|ACEV|2340|0|5248|Q
20201211|ACEVW|5863|0|7464|Q
20201211|ACGL|268604|0|503037|Q
20201211|ACGLO|574|0|3641|Q
20201211|ACGLP|3887|0|24451|Q
20201211|ACH|1550|1512|8782|Q
20201211|ACHC|111351|30|223382|Q
20201211|ACHV|35389|0|71052|Q
20201211|ACI|394975|5992|861499|Q
20201211|ACIA|22744|0|75786|Q
20201211|ACIC/U|1098|0|427662|Q
20201211|ACIO|3768|0|3848|Q
20201211|ACIU|17065|0|24603|Q
20201211|ACIW|21599|86|140414|Q
20201211|ACLS|38480|0|77697|Q
20201211|ACM|50104|32|169906|Q
20201211|ACMR|12734|0|38482|Q
20201211|ACN|143385|927|349606|Q
20201211|ACNB|998|0|1649|Q
20201211|ACND|8182|0|39776|Q
20201211|ACND/WS|200|0|2400|Q
20201211|ACOR|276950|3504|426809|Q
20201211|ACP|10738|0|50415|Q
20201211|ACRE|15673|900|42349|Q
20201211|ACRS|71352|0|139716|Q
20201211|ACRX|141072|200|235266|Q
20201211|ACSG|6|0|6|Q
20201211|ACSI|49|0|110|Q
20201211|ACST|1532254|5434|3327732|Q
20201211|ACTC|103321|5|152071|Q
20201211|ACTCU|10312|0|60570|Q
20201211|ACTCW|48396|242|82888|Q
20201211|ACTG|127148|744|270482|Q
20201211|ACTV|300|0|3247|Q
20201211|ACU|1623|0|6599|Q
20201211|ACV|4883|0|9361|Q
20201211|ACVF|35|0|64|Q
20201211|ACWF|10|0|904|Q
20201211|ACWI|472621|0|542594|Q
