HTTP/1.1 200 OK
Date: Wed, 16 Dec 2020 08:51:05 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 15 Dec 2020 22:23:05 GMT
ETag: "46cc51-4417f-5b68833da3ff0"
Accept-Ranges: bytes
Content-Length: 278911
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201215|A|65584|0|358883|Q
20201215|AA|340495|28|1191622|Q
20201215|AAA|61|0|63|Q
20201215|AAAU|32598|0|147005|Q
20201215|AACG|8|0|2171|Q
20201215|AACQ|41773|0|234786|Q
20201215|AACQU|105|0|59685|Q
20201215|AACQW|81420|1410|197793|Q
20201215|AADR|746|0|5564|Q
20201215|AAIC|10204|425|21726|Q
20201215|AAICpB|147|0|160|Q
20201215|AAICpC|400|0|3831|Q
20201215|AAL|11855425|64663|35795413|Q
20201215|AAMC|2|0|258|Q
20201215|AAME|1322|0|1427|Q
20201215|AAN|71903|0|350260|Q
20201215|AAOI|137892|1883|257424|Q
20201215|AAON|6593|0|21246|Q
20201215|AAP|126669|0|270689|Q
20201215|AAPL|25502898|115162|46395213|Q
20201215|AAT|18870|0|64979|Q
20201215|AAU|115156|0|179058|Q
20201215|AAWW|76506|0|210010|Q
20201215|AAXJ|59695|0|108508|Q
20201215|AAXN|57546|0|132287|Q
20201215|AB|62672|200|99741|Q
20201215|ABB|168021|1508|280585|Q
20201215|ABBV|1337283|10461|3438664|Q
20201215|ABC|81223|0|178064|Q
20201215|ABCB|53133|0|107210|Q
20201215|ABCL|683046|15241|1724745|Q
20201215|ABCM|96124|0|100241|Q
20201215|ABEO|441824|1602|799098|Q
20201215|ABEQ|837|0|1055|Q
20201215|ABEV|1833898|9223|3130790|Q
20201215|ABG|7035|0|17331|Q
20201215|ABIO|69176|0|160167|Q
20201215|ABM|34730|0|84756|Q
20201215|ABMD|36366|0|65155|Q
20201215|ABNB|1762873|121965|3525341|Q
20201215|ABR|119664|4331|350438|Q
20201215|ABRpA|1515|0|2564|Q
20201215|ABRpB|269|0|269|Q
20201215|ABRpC|4212|0|4212|Q
20201215|ABST|98109|0|366888|Q
20201215|ABT|372510|527|1270323|Q
20201215|ABTX|3696|0|10911|Q
20201215|ABUS|4934889|82621|9075988|Q
20201215|AC|560|0|1540|Q
20201215|ACA|16617|0|51249|Q
20201215|ACACU|2176|0|7159|Q
20201215|ACACW|5000|100|5800|Q
20201215|ACAD|38262|2|168488|Q
20201215|ACAM|373537|0|979886|Q
20201215|ACAMW|36180|0|50393|Q
20201215|ACB|2515688|41339|6824053|Q
20201215|ACBI|3598|0|6440|Q
20201215|ACC|109177|0|165890|Q
20201215|ACCD|189556|2988|246069|Q
20201215|ACCO|30157|400|146802|Q
20201215|ACEL|528358|480772|675398|Q
20201215|ACER|20122|0|39733|Q
20201215|ACES|119187|0|138095|Q
20201215|ACET|4844|0|11561|Q
20201215|ACEV|630|0|2534|Q
20201215|ACEVU|76|0|76|Q
20201215|ACEVW|2816|0|6939|Q
20201215|ACGL|154914|0|592829|Q
20201215|ACGLO|2096|0|9068|Q
20201215|ACGLP|4461|34|14440|Q
20201215|ACH|692|0|12106|Q
20201215|ACHC|45461|410|280330|Q
20201215|ACHV|20158|0|52329|Q
20201215|ACI|207964|1411|507551|Q
20201215|ACIA|43358|0|195441|Q
20201215|ACIC/U|3002|0|96953|Q
