HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:42 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 16 Dec 2020 22:23:30 GMT
ETag: "46d198-43781-5b69c53366f18"
Accept-Ranges: bytes
Content-Length: 276353
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201216|A|123695|3400|534997|Q
20201216|AA|460452|17700|2267138|Q
20201216|AAAU|12772|0|126765|Q
20201216|AACG|6584|100|12687|Q
20201216|AACQ|123147|0|455360|Q
20201216|AACQU|20|0|100189|Q
20201216|AACQW|43518|7799|55725|Q
20201216|AADR|153|0|1422|Q
20201216|AAIC|34056|603|109495|Q
20201216|AAICpB|24|0|24|Q
20201216|AAICpC|131|0|227|Q
20201216|AAL|5798678|240660|20901897|Q
20201216|AAMC|1|0|2|Q
20201216|AAME|294|0|1575|Q
20201216|AAN|48016|0|166958|Q
20201216|AAOI|54076|50|128036|Q
20201216|AAON|8712|0|18882|Q
20201216|AAP|166472|0|410660|Q
20201216|AAPL|16511491|174317|29189962|Q
20201216|AAT|12684|0|35527|Q
20201216|AAU|68599|300|178890|Q
20201216|AAWW|29149|0|80732|Q
20201216|AAXJ|197696|0|371745|Q
20201216|AAXN|105825|161|253211|Q
20201216|AB|68139|0|113413|Q
20201216|ABB|88034|0|165520|Q
20201216|ABBV|800724|26507|2592549|Q
20201216|ABC|45658|100|163036|Q
20201216|ABCB|36975|0|77267|Q
20201216|ABCL|354990|13928|790749|Q
20201216|ABCM|7960|0|14277|Q
20201216|ABEO|338349|1950|709960|Q
20201216|ABEQ|19054|0|19054|Q
20201216|ABEV|2485676|19563|4212838|Q
20201216|ABG|7591|0|16368|Q
20201216|ABIO|16104|0|96849|Q
20201216|ABM|37333|0|63415|Q
20201216|ABMD|42090|11814|66655|Q
20201216|ABNB|3150093|45635|6909940|Q
20201216|ABR|125088|3414|285436|Q
20201216|ABRpA|745|0|1915|Q
20201216|ABRpB|650|0|1150|Q
20201216|ABRpC|428|228|928|Q
20201216|ABST|5955|0|8791|Q
20201216|ABT|282494|8307|1135848|Q
20201216|ABTX|3049|0|23723|Q
20201216|ABUS|569750|91443|2284986|Q
20201216|AC|719|0|2344|Q
20201216|ACA|39613|0|55307|Q
20201216|ACACU|36|0|2362|Q
20201216|ACAD|56803|1|279836|Q
20201216|ACAM|157573|0|466996|Q
20201216|ACAMW|8022|0|64983|Q
20201216|ACB|2077161|52537|5481702|Q
20201216|ACBI|4001|0|20267|Q
20201216|ACC|102884|0|147788|Q
20201216|ACCD|73130|300|107119|Q
20201216|ACCO|63130|0|134667|Q
20201216|ACEL|21131|0|69290|Q
20201216|ACER|31999|25|54487|Q
20201216|ACES|40685|0|61446|Q
20201216|ACET|29883|0|36685|Q
20201216|ACEV|844|0|2945|Q
20201216|ACEVW|900|0|1700|Q
20201216|ACGL|145195|2147|502694|Q
20201216|ACGLO|3369|0|11285|Q
20201216|ACGLP|3450|0|10369|Q
20201216|ACH|8912|0|44358|Q
20201216|ACHC|52071|0|151908|Q
20201216|ACHV|11301|0|45376|Q
20201216|ACI|320776|2400|589096|Q
20201216|ACIA|67082|0|245277|Q
20201216|ACIC/U|1309|0|62075|Q
20201216|ACIO|1008|0|47814|Q
20201216|ACIU|17110|1169|33198|Q
20201216|ACIW|32582|300|86642|Q
20201216|ACLS|27904|0|52381|Q
20201216|ACM|96481|12050|280363|Q
20201216|ACMR|14567|0|22946|Q
20201216|ACN|176040|112|480250|Q
20201216|ACNB|337|0|609|Q
20201216|ACND|505|0|52661|Q
20201216|ACND/WS|2678|0|5257|Q
20201216|ACOR|427620|38650|692796|Q
20201216|ACP|14485|4217|27413|Q
20201216|ACRE|34879|24|95658|Q
20201216|ACRS|2673560|58556|4495638|Q
20201216|ACRX|89516|3555|435766|Q
20201216|ACST|528846|27420|1056750|Q
20201216|ACTC|17051|0|45524|Q
20201216|ACTCU|2085|0|53293|Q
20201216|ACTCW|16926|850|78935|Q
20201216|ACTG|7290|500|51892|Q
20201216|ACTV|377|0|1568|Q
20201216|ACU|3588|0|8336|Q
20201216|ACV|7522|0|15756|Q
20201216|ACVF|16|0|543|Q
20201216|ACWF|124|0|5427|Q
20201216|ACWI|721858|0|915643|Q
20201216|ACWV|41597|0|199941|Q
20201216|ACWX|88744|2388|147607|Q
20201216|ACY|5405|470|10575|Q
20201216|ADAP|137989|17761|894065|Q
20201216|ADBE|175524|4447|496703|Q
20201216|ADC|83441|0|123703|Q
20201216|ADCT|25270|500|39687|Q
20201216|ADES|15603|0|24163|Q
20201216|ADFI|300|0|427|Q
20201216|ADI|179280|1300|378909|Q
20201216|ADIL|98767|700|186408|Q
20201216|ADILW|200|0|1520|Q
20201216|ADM|155160|0|270674|Q
20201216|ADMA|110856|4633|602994|Q
20201216|ADME|4623|0|40155|Q
20201216|ADMP|195702|1050|507682|Q
20201216|ADMS|21367|0|70734|Q
20201216|ADNT|45064|0|180160|Q
20201216|ADOC|12410|0|16666|Q
20201216|ADOCR|7466|0|13517|Q
20201216|ADOCW|39572|0|55623|Q
20201216|ADP|78127|39|186040|Q
20201216|ADPT|73540|0|266484|Q
20201216|ADRE|1734|0|4112|Q
20201216|ADS|76078|18102|199569|Q
20201216|ADSK|105154|0|231093|Q
20201216|ADT|153097|1481|459468|Q
20201216|ADTN|22757|0|63656|Q
20201216|ADTX|139156|6678|263142|Q
20201216|ADUS|4178|0|16066|Q
20201216|ADV|412289|0|1141973|Q
20201216|ADVM|288190|6300|395655|Q
20201216|ADVWW|100|0|1200|Q
20201216|ADX|40243|6500|68293|Q
20201216|ADXN|2405|0|2479|Q
20201216|ADXS|979980|158333|1952668|Q
20201216|AE|1886|0|3750|Q
20201216|AEB|5138|100|10095|Q
20201216|AEE|199112|0|245030|Q
20201216|AEF|10213|0|20130|Q
20201216|AEFC|13265|1140|27457|Q
20201216|AEG|102098|5526|355310|Q
20201216|AEGN|3861|254|8197|Q
20201216|AEHL|134339|302|190899|Q
20201216|AEHR|43660|12700|97074|Q
20201216|AEIS|19152|8|82677|Q
20201216|AEL|46571|1342|209079|Q
20201216|AELpA|10539|0|14297|Q
20201216|AELpB|3272|126|5221|Q
20201216|AEM|89911|1400|158501|Q
20201216|AEMD|18291724|358911|30799232|Q
20201216|AENZ|4036|0|9849|Q
20201216|AEO|186369|100|509413|Q
20201216|AEP|148378|255|646958|Q
20201216|AEPPL|4813|0|8503|Q
20201216|AEPPZ|1234|0|5926|Q
20201216|AER|76921|0|261274|Q
20201216|AERI|31144|200|111271|Q
20201216|AES|826639|1279|1285030|Q
20201216|AESE|895006|166062|1685795|Q
20201216|AEY|95954|268|146377|Q
20201216|AEYE|50497|0|90636|Q
20201216|AEZS|88710|19300|165324|Q
20201216|AFB|2018|0|22928|Q
20201216|AFC|1059|0|4942|Q
20201216|AFG|27751|0|58653|Q
20201216|AFGB|6056|0|7462|Q
20201216|AFGC|166|0|2705|Q
20201216|AFGD|1345|0|7554|Q
20201216|AFGE|1600|600|3340|Q
20201216|AFI|41061|0|57683|Q
20201216|AFIB|13392|0|38354|Q
20201216|AFIF|2956|0|10750|Q
20201216|AFIN|108344|2948|181766|Q
20201216|AFINP|2755|200|5285|Q
20201216|AFK|17064|0|18415|Q
20201216|AFL|187560|856|541716|Q
20201216|AFMD|38513|2584|258133|Q
20201216|AFT|12909|709|31107|Q
20201216|AFTY|205|0|311|Q
20201216|AFYA|41608|0|249890|Q
20201216|AG|918232|32404|2642924|Q
20201216|AGBA|1|0|117|Q
20201216|AGBAR|600|0|6584|Q
20201216|AGBAW|4050|0|23050|Q
20201216|AGC|20252|0|22970|Q
20201216|AGCO|183113|700|305360|Q
20201216|AGCUU|14951|0|19876|Q
20201216|AGCWW|500|0|901|Q
20201216|AGD|10803|0|17396|Q
20201216|AGE|18493|200|28587|Q
20201216|AGEN|112486|2900|270111|Q
20201216|AGFS|3621|0|5667|Q
20201216|AGG|1396996|0|2187480|Q
20201216|AGGY|13808|0|49170|Q
20201216|AGI|156616|1961|464799|Q
20201216|AGIO|44217|200|98743|Q
20201216|AGLE|20640|0|45650|Q
20201216|AGM|3713|26|15789|Q
20201216|AGMH|2092|0|2092|Q
20201216|AGMpD|230|0|535|Q
20201216|AGMpE|1050|0|3825|Q
20201216|AGMpF|1780|0|3200|Q
20201216|AGNC|504334|7730|1597903|Q
20201216|AGNCM|11889|0|17358|Q
20201216|AGNCN|9806|0|12508|Q
20201216|AGNCO|10437|0|32641|Q
20201216|AGNCP|15380|0|39041|Q
20201216|AGO|28973|753|104982|Q
20201216|AGOpB|1230|0|1736|Q
20201216|AGOpE|240|0|603|Q
20201216|AGOpF|900|0|2505|Q
20201216|AGQ|234894|5775|670383|Q
20201216|AGR|179275|64|246058|Q
20201216|AGRO|8251|0|39319|Q
20201216|AGRX|78105|6643|133138|Q
20201216|AGS|21160|684|49149|Q
20201216|AGTC|27180|100|105422|Q
20201216|AGX|12853|262|56749|Q
20201216|AGYS|5937|0|26879|Q
20201216|AGZ|1952|0|19419|Q
20201216|AGZD|1579|0|4760|Q
20201216|AHAC|425|0|3745|Q
20201216|AHACW|12774|0|12774|Q
20201216|AHC|2225|865|22017|Q
20201216|AHCO|36829|2|179859|Q
20201216|AHH|12539|248|65371|Q
20201216|AHHpA|1403|0|26132|Q
20201216|AHLpC|1928|141|21118|Q
20201216|AHLpD|2192|0|4257|Q
20201216|AHLpE|1208|0|2911|Q
20201216|AHPI|7733|0|23610|Q
20201216|AHT|443772|64462|1313819|Q
20201216|AHTpD|1412|0|2127|Q
20201216|AHTpF|40|0|170|Q
20201216|AHTpG|400|0|1324|Q
20201216|AHTpH|3025|0|8407|Q
20201216|AHTpI|1100|300|3769|Q
20201216|AI|1176984|39922|2232603|Q
20201216|AIA|12689|0|15403|Q
20201216|AIC|310|0|1168|Q
20201216|AIEQ|1250|0|7816|Q
20201216|AIF|19385|0|37884|Q
20201216|AIG|236844|200|824247|Q
20201216|AIG/WS|55704|170|105168|Q
20201216|AIGpA|3817|0|12143|Q
20201216|AIH|11656|0|38175|Q
20201216|AIHS|37885|0|148899|Q
20201216|AIIQ|17|0|232|Q
20201216|AIKI|101111|200|333541|Q
20201216|AIM|98850|460|223671|Q
20201216|AIMC|33937|41|89594|Q
20201216|AIN|12304|0|25400|Q
20201216|AINC|1799|0|3248|Q
