HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:35 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 18 Dec 2020 22:26:57 GMT
ETag: "46dc28-441c5-5b6c49b3e1298"
Accept-Ranges: bytes
Content-Length: 278981
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201218|A|114780|0|390305|Q
20201218|AA|270174|2032|1056750|Q
20201218|AAA|2|0|23|Q
20201218|AAAU|19553|0|157781|Q
20201218|AACG|55|0|5111|Q
20201218|AACQ|31785|0|90150|Q
20201218|AACQU|400|0|3016|Q
20201218|AACQW|71740|0|113234|Q
20201218|AADR|1484|0|2720|Q
20201218|AAIC|17837|0|38737|Q
20201218|AAICpB|500|0|600|Q
20201218|AAL|5146081|183742|19493151|Q
20201218|AAMC|1108|0|2155|Q
20201218|AAME|177|0|2833|Q
20201218|AAN|98590|313|217094|Q
20201218|AAOI|93066|630|190632|Q
20201218|AAON|28428|104|34974|Q
20201218|AAP|74125|0|184261|Q
20201218|AAPL|15532875|63829|29484831|Q
20201218|AAT|23445|0|59825|Q
20201218|AAU|65329|4610|212247|Q
20201218|AAWW|52131|0|83424|Q
20201218|AAXJ|200748|0|353017|Q
20201218|AAXN|57320|0|165274|Q
20201218|AB|43943|2583|106365|Q
20201218|ABB|79286|0|416044|Q
20201218|ABBV|831587|3870|1947756|Q
20201218|ABC|74150|1600|129814|Q
20201218|ABCB|67044|0|130872|Q
20201218|ABCL|86567|0|157359|Q
20201218|ABCM|28511|0|59254|Q
20201218|ABEO|303824|8250|473460|Q
20201218|ABEQ|27952|0|28211|Q
20201218|ABEV|2139929|200|3459222|Q
20201218|ABG|25891|0|42364|Q
20201218|ABIO|24225|0|65089|Q
20201218|ABM|36167|300|173959|Q
20201218|ABMD|59212|859|84049|Q
20201218|ABNB|2077899|22352|5241803|Q
20201218|ABR|225821|0|511582|Q
20201218|ABRpA|1350|0|1998|Q
20201218|ABRpC|1515|0|3015|Q
20201218|ABST|2536|0|5114|Q
20201218|ABT|301282|2106|796752|Q
20201218|ABTX|6018|686|11305|Q
20201218|ABUS|431673|12838|1521637|Q
20201218|AC|781|0|1522|Q
20201218|ACA|31066|0|48851|Q
20201218|ACACU|3460|0|3672|Q
20201218|ACACW|528|0|933|Q
20201218|ACAD|99188|5|256770|Q
20201218|ACAM|46432|0|87912|Q
20201218|ACAMU|1000|0|1600|Q
20201218|ACAMW|1576|0|61984|Q
20201218|ACB|2254711|25778|4373026|Q
20201218|ACBI|5064|0|8219|Q
20201218|ACC|54620|300|118518|Q
20201218|ACCD|33096|0|50351|Q
20201218|ACCO|108142|200|214890|Q
20201218|ACEL|83068|0|145707|Q
20201218|ACER|278075|197|606631|Q
20201218|ACES|44069|0|69951|Q
20201218|ACET|8368|528|33775|Q
20201218|ACEV|29983|0|49646|Q
20201218|ACEVW|200|0|3700|Q
20201218|ACGL|320304|7260|764269|Q
20201218|ACGLO|580|0|3372|Q
20201218|ACGLP|1319|400|3594|Q
20201218|ACH|6326|0|34781|Q
20201218|ACHC|83323|0|731384|Q
