HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:30 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 21 Dec 2020 22:23:55 GMT
ETag: "46e297-44d2d-5b700e9e91d48"
Accept-Ranges: bytes
Content-Length: 281901
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201221|A|157163|0|463841|Q
20201221|AA|373397|3920|1042547|Q
20201221|AAAU|16440|0|85506|Q
20201221|AACG|456|0|2121|Q
20201221|AACQ|108308|0|480519|Q
20201221|AACQU|4585|0|56037|Q
20201221|AACQW|58992|0|112872|Q
20201221|AADR|434|0|1265|Q
20201221|AAIC|61093|0|89064|Q
20201221|AAICpB|100|0|100|Q
20201221|AAICpC|1000|0|1500|Q
20201221|AAL|9851254|56649|29975526|Q
20201221|AAME|57|0|174|Q
20201221|AAN|93347|817|263633|Q
20201221|AAOI|99187|865|219807|Q
20201221|AAON|12421|0|20717|Q
20201221|AAP|53840|600|96833|Q
20201221|AAPL|18787469|89641|36092571|Q
20201221|AAT|21726|0|44640|Q
20201221|AAU|3455969|695713|6422934|Q
20201221|AAWW|21861|0|53828|Q
20201221|AAXJ|97325|0|827917|Q
20201221|AAXN|27476|0|123205|Q
20201221|AB|29328|0|68071|Q
20201221|ABB|112708|103|198504|Q
20201221|ABBV|707770|3557|1786082|Q
20201221|ABC|48994|10|159075|Q
20201221|ABCB|38544|0|78695|Q
20201221|ABCL|220244|3613|356778|Q
20201221|ABCM|321973|0|367075|Q
20201221|ABEO|780958|2256|1536249|Q
20201221|ABEQ|33|0|4625|Q
20201221|ABEV|3850597|500|5657399|Q
20201221|ABG|12746|0|22247|Q
20201221|ABIO|323221|2107|568162|Q
20201221|ABM|48539|0|154173|Q
20201221|ABMD|68267|0|97635|Q
20201221|ABNB|2514425|22637|7120015|Q
20201221|ABR|297671|111|636832|Q
20201221|ABRpA|500|0|2077|Q
20201221|ABRpB|551|0|551|Q
20201221|ABRpC|402|1|1687|Q
20201221|ABST|9696|0|11213|Q
20201221|ABT|246004|9094|837466|Q
20201221|ABTX|3756|0|7704|Q
20201221|ABUS|486688|7897|1704728|Q
20201221|AC|2891|0|4905|Q
20201221|ACA|23174|201|52825|Q
20201221|ACAC|240|0|240|Q
20201221|ACACU|2361|0|38324|Q
20201221|ACACW|3095|0|3095|Q
20201221|ACAD|81575|200|284551|Q
20201221|ACAM|15011|0|47369|Q
20201221|ACAMW|15353|200|85854|Q
20201221|ACB|1885412|52264|5302192|Q
20201221|ACBI|2756|0|10342|Q
20201221|ACC|106536|0|138409|Q
20201221|ACCD|197089|0|264117|Q
20201221|ACCO|131389|83|213353|Q
20201221|ACEL|60143|4800|89496|Q
20201221|ACER|75664|5011|195593|Q
20201221|ACES|86970|0|107555|Q
20201221|ACET|13726|0|48754|Q
20201221|ACEV|4726|0|10657|Q
20201221|ACEVW|2391|700|2791|Q
20201221|ACGL|176454|7638|331680|Q
20201221|ACGLO|1250|0|3830|Q
20201221|ACGLP|3866|445|6930|Q
20201221|ACH|3410|2392|17976|Q
20201221|ACHC|100439|0|365498|Q
20201221|ACHV|35691|215|64460|Q
20201221|ACI|395456|200|597899|Q
20201221|ACIA|28139|0|71502|Q
20201221|ACIC|528|0|529|Q
20201221|ACIC/U|350|0|2256|Q
20201221|ACIC/WS|1|0|1|Q
20201221|ACIO|8057|0|11355|Q
20201221|ACIU|23790|20|55667|Q
20201221|ACIW|59487|0|110636|Q
20201221|ACKIU|26393|0|933808|Q
20201221|ACLS|58306|0|124663|Q
20201221|ACM|90252|0|486241|Q
20201221|ACMR|49484|20845|63408|Q
20201221|ACN|203544|1530|537997|Q
20201221|ACNB|6033|463|8605|Q
20201221|ACND|3376|0|95335|Q
20201221|ACND/WS|2907|0|5118|Q
20201221|ACOR|388968|54792|985076|Q
20201221|ACP|14400|0|56449|Q
20201221|ACRE|52915|0|85005|Q
20201221|ACRS|197064|500|407803|Q
20201221|ACRX|363119|0|700984|Q
20201221|ACSG|11|0|11|Q
20201221|ACST|619771|6747|1499272|Q
20201221|ACTC|9954|0|20099|Q
20201221|ACTCU|3369|0|4249|Q
20201221|ACTCW|24034|0|56678|Q
20201221|ACTG|67408|100|291309|Q
20201221|ACTV|2471|0|3969|Q
20201221|ACU|1169|0|3286|Q
20201221|ACV|7172|0|12817|Q
20201221|ACVF|2666|0|3198|Q
20201221|ACWF|1113|0|6316|Q
20201221|ACWI|618020|0|1610541|Q
20201221|ACWV|132222|0|248033|Q
20201221|ACWX|137192|0|460008|Q
20201221|ACY|3545|300|7679|Q
20201221|ADAP|203083|4301|606721|Q
20201221|ADBE|143076|223|391685|Q
20201221|ADC|156447|0|231205|Q
20201221|ADCT|72303|0|111217|Q
20201221|ADES|18499|0|30824|Q
20201221|ADI|188469|4662|327087|Q
20201221|ADIL|32197|0|98670|Q
20201221|ADM|93881|115|219225|Q
20201221|ADMA|785362|19265|2724680|Q
20201221|ADME|3921|0|5830|Q
20201221|ADMP|343536|29507|556554|Q
20201221|ADMS|21825|0|56796|Q
20201221|ADNT|74626|0|139418|Q
20201221|ADOC|144|0|170|Q
20201221|ADOCR|6600|0|6600|Q
20201221|ADOCW|13687|0|91979|Q
20201221|ADP|90695|151|209294|Q
20201221|ADPT|149258|0|320116|Q
20201221|ADRE|2330|0|8169|Q
20201221|ADS|169185|2037|644919|Q
20201221|ADSK|145806|346|308157|Q
20201221|ADT|343074|8200|1357176|Q
20201221|ADTN|40158|0|64839|Q
20201221|ADTX|118559|6183|306640|Q
20201221|ADUS|16117|0|31012|Q
20201221|ADV|977533|23495|1373666|Q
20201221|ADVM|185933|150|320197|Q
20201221|ADVWW|6535|0|33955|Q
20201221|ADX|20436|0|42427|Q
20201221|ADXN|100|0|107|Q
20201221|ADXS|812970|22100|1547734|Q
20201221|AE|782|0|1353|Q
20201221|AEB|1395|0|5918|Q
20201221|AEE|207582|0|330908|Q
20201221|AEF|3480|0|40107|Q
20201221|AEFC|4949|400|16954|Q
20201221|AEG|249969|6985|493156|Q
20201221|AEGN|8270|0|17350|Q
20201221|AEHL|14886|0|40515|Q
20201221|AEHR|17004|0|47202|Q
20201221|AEIS|16367|500|48189|Q
20201221|AEL|44108|100|78692|Q
20201221|AELpA|2797|76|4039|Q
20201221|AELpB|9150|329|14554|Q
20201221|AEM|90987|20|145300|Q
20201221|AEMD|137577|12140|316536|Q
20201221|AENZ|10492|0|19265|Q
20201221|AEO|375596|1704|569837|Q
20201221|AEP|352398|0|667637|Q
20201221|AEPPL|7770|0|9181|Q
20201221|AEPPZ|5616|0|156816|Q
20201221|AER|277869|1071|600362|Q
20201221|AERI|43924|0|117662|Q
20201221|AES|1278805|0|1675930|Q
20201221|AESE|179381|11329|891564|Q
20201221|AESR|4981|0|5195|Q
20201221|AEY|40211|400|168773|Q
20201221|AEYE|37495|126|74277|Q
20201221|AEZS|265464|2000|391648|Q
20201221|AFB|12372|0|22164|Q
20201221|AFC|1233|0|4111|Q
20201221|AFG|26892|204|59205|Q
20201221|AFGB|4962|0|8446|Q
20201221|AFGC|158|0|3891|Q
20201221|AFGD|1129|0|1322|Q
20201221|AFGE|421|0|449|Q
20201221|AFI|36780|0|69707|Q
20201221|AFIB|4901|0|13038|Q
20201221|AFIF|530452|0|533933|Q
20201221|AFIN|115700|941|203577|Q
20201221|AFINO|12987|0|26101|Q
20201221|AFINP|1417|0|5537|Q
20201221|AFK|12219|0|21281|Q
20201221|AFL|137498|3203|783022|Q
20201221|AFLG|1|0|2|Q
20201221|AFMD|60719|0|396344|Q
20201221|AFT|1764|0|12226|Q
20201221|AFTY|643|0|2289|Q
20201221|AFYA|28916|0|49671|Q
20201221|AG|1160837|2470|2676649|Q
20201221|AGBA|200|0|589|Q
20201221|AGBAR|260|0|820|Q
20201221|AGBAW|1200|700|6889|Q
20201221|AGC|3350|0|9257|Q
20201221|AGCO|119533|0|243881|Q
20201221|AGCUU|6910|0|13278|Q
20201221|AGCWW|500|0|500|Q
20201221|AGD|19002|0|31929|Q
20201221|AGE|29542|0|58681|Q
20201221|AGEN|328754|299|690183|Q
20201221|AGFS|25978|0|36531|Q
20201221|AGG|1262242|1200|1892849|Q
20201221|AGGP|4|0|3846|Q
20201221|AGGY|9755|0|66720|Q
20201221|AGI|169964|600|379229|Q
20201221|AGIO|747201|2505|2108377|Q
20201221|AGLE|16791|0|36032|Q
20201221|AGM|5116|0|20435|Q
20201221|AGMH|1111|0|1129|Q
20201221|AGMpE|2010|0|5373|Q
20201221|AGNC|904182|2686|1612369|Q
20201221|AGNCM|3719|0|9811|Q
20201221|AGNCN|4284|0|10097|Q
20201221|AGNCO|12478|0|100756|Q
20201221|AGNCP|7560|0|17606|Q
20201221|AGO|46505|235|165451|Q
20201221|AGOpB|500|0|1507|Q
20201221|AGOpE|1640|37|1832|Q
20201221|AGOpF|239|0|1526|Q
20201221|AGQ|193390|5402|515671|Q
20201221|AGR|56325|0|130880|Q
20201221|AGRO|27077|866|61694|Q
20201221|AGRX|98884|2699|288353|Q
20201221|AGS|31473|0|55504|Q
20201221|AGT|4|0|415|Q
20201221|AGTC|14370|0|53538|Q
20201221|AGX|6252|0|20339|Q
20201221|AGYS|6210|310|17026|Q
20201221|AGZ|3325|0|20515|Q
20201221|AGZD|187|0|1482|Q
20201221|AHAC|1|0|22|Q
20201221|AHACU|30|0|322|Q
20201221|AHACW|9100|0|17450|Q
20201221|AHC|4013|0|19161|Q
20201221|AHCO|128808|700|451623|Q
20201221|AHH|29282|0|49119|Q
20201221|AHHpA|1367|0|3357|Q
20201221|AHLpC|2641|0|15921|Q
20201221|AHLpD|1329|0|2342|Q
