HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:22 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 23 Dec 2020 22:23:49 GMT
ETag: "46ed2d-448d4-5b7292538b9d0"
Accept-Ranges: bytes
Content-Length: 280788
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201223|A|78350|474|218939|Q
20201223|AA|234061|615|953360|Q
20201223|AAAU|32998|0|71418|Q
20201223|AACG|15485|0|31777|Q
20201223|AACQ|78700|810|268561|Q
20201223|AACQU|606|0|114596|Q
20201223|AACQW|52391|0|160079|Q
20201223|AADR|1530|0|3067|Q
20201223|AAIC|32074|1|48007|Q
20201223|AAICpC|300|0|302|Q
20201223|AAL|6908334|48091|21466860|Q
20201223|AAMC|1|0|2|Q
20201223|AAME|8963|0|9483|Q
20201223|AAN|55447|0|227171|Q
20201223|AAOI|144721|1600|227163|Q
20201223|AAON|27363|0|35949|Q
20201223|AAP|33848|0|116121|Q
20201223|AAPL|17475190|102737|29969220|Q
20201223|AAT|9390|0|24664|Q
20201223|AAU|492742|39160|1546090|Q
20201223|AAWW|23401|40|49570|Q
20201223|AAXJ|222091|0|703560|Q
20201223|AAXN|72633|0|131641|Q
20201223|AB|26920|0|72907|Q
20201223|ABB|124253|0|241357|Q
20201223|ABBV|539325|1532|1114426|Q
20201223|ABC|45284|529|162593|Q
20201223|ABCB|22095|0|52779|Q
20201223|ABCL|384289|16|580991|Q
20201223|ABCM|13001|0|14574|Q
20201223|ABEO|894531|8140|1668483|Q
20201223|ABEQ|504|0|958|Q
20201223|ABEV|1579426|975|2241702|Q
20201223|ABG|5891|0|11813|Q
20201223|ABIO|86274|3953|201882|Q
20201223|ABM|27640|107|95547|Q
20201223|ABMD|26107|0|34558|Q
20201223|ABNB|701669|11582|2063594|Q
20201223|ABR|71767|0|139188|Q
20201223|ABRpA|1000|0|2400|Q
20201223|ABRpB|1566|300|2143|Q
20201223|ABRpC|712|0|2750|Q
20201223|ABST|3852|0|8216|Q
20201223|ABT|228849|1200|675728|Q
20201223|ABTX|2209|0|9456|Q
20201223|ABUS|356232|35467|1094771|Q
20201223|AC|559|0|1219|Q
20201223|ACA|26826|0|70924|Q
20201223|ACAC|5999|0|7478|Q
20201223|ACACU|1271|0|4874|Q
20201223|ACACW|80|0|180|Q
20201223|ACAD|31638|502|225201|Q
20201223|ACAM|41168|200|200777|Q
20201223|ACAMW|9281|0|15125|Q
20201223|ACB|2569253|60229|6547979|Q
20201223|ACBI|1309|0|8230|Q
20201223|ACC|67974|260|174810|Q
20201223|ACCD|56789|0|95704|Q
20201223|ACCO|28188|400|99599|Q
20201223|ACEL|23985|899|131241|Q
20201223|ACER|42279|7883|84954|Q
20201223|ACES|42062|0|92842|Q
20201223|ACET|16079|87|21502|Q
20201223|ACEV|7266|0|119609|Q
20201223|ACEVU|50|0|8250|Q
20201223|ACEVW|10434|0|14020|Q
20201223|ACGL|119123|0|315815|Q
20201223|ACGLO|1182|0|3766|Q
20201223|ACGLP|1714|42|4906|Q
20201223|ACH|2237|700|32483|Q
20201223|ACHC|68580|0|94016|Q
20201223|ACHV|44616|400|77225|Q
20201223|ACI|489958|350|878465|Q
20201223|ACIA|56124|0|145081|Q
20201223|ACIC|1114|0|1314|Q
20201223|ACIC/WS|32|0|32|Q
20201223|ACIO|6093|0|10913|Q
20201223|ACIU|17231|0|40103|Q
20201223|ACIW|51356|2|126205|Q
20201223|ACKIU|6622|0|22127|Q
20201223|ACLS|21613|0|39504|Q
20201223|ACM|40624|0|119582|Q
20201223|ACMR|51659|830|117627|Q
20201223|ACN|166462|484|320729|Q
20201223|ACNB|337|1|1012|Q
20201223|ACND|1181|0|2314|Q
20201223|ACND/WS|6060|0|19275|Q
20201223|ACOR|924555|3700|1597557|Q
20201223|ACP|11058|2400|40756|Q
20201223|ACRE|34682|889|68029|Q
20201223|ACRS|220684|0|499683|Q
20201223|ACRX|392907|0|1120050|Q
20201223|ACSG|750|0|750|Q
20201223|ACSI|1|0|1|Q
20201223|ACST|104181544|1724071|236621695|Q
20201223|ACTC|36009|0|129459|Q
20201223|ACTCU|9195|0|27291|Q
20201223|ACTCW|38923|0|70973|Q
20201223|ACTG|52817|0|143725|Q
20201223|ACTV|1030|0|2786|Q
20201223|ACU|786|0|2323|Q
20201223|ACV|6006|0|13379|Q
20201223|ACVF|793|0|1308|Q
20201223|ACWF|9|0|8453|Q
20201223|ACWI|883525|362|1607817|Q
20201223|ACWV|29112|3409|113558|Q
20201223|ACWX|109379|0|204838|Q
20201223|ACY|5040|0|10884|Q
20201223|ADAP|267427|2000|696487|Q
20201223|ADBE|116721|459|322233|Q
20201223|ADC|119758|0|182327|Q
20201223|ADCT|56000|0|104500|Q
20201223|ADES|17808|100|53809|Q
20201223|ADI|180329|1899|378106|Q
20201223|ADIL|27172|1500|64890|Q
20201223|ADM|139123|158|253197|Q
20201223|ADMA|379700|3577|1059395|Q
20201223|ADME|704|0|4120|Q
20201223|ADMP|3347063|109025|5909822|Q
20201223|ADMS|37690|100|52317|Q
20201223|ADNT|49974|326|102936|Q
20201223|ADOC|270|0|432006|Q
20201223|ADOCR|8706|0|9595|Q
20201223|ADOCW|57943|0|80932|Q
20201223|ADP|68741|200|178956|Q
20201223|ADPT|83336|0|179559|Q
20201223|ADRE|3324|0|8957|Q
20201223|ADS|139810|0|264349|Q
20201223|ADSK|42736|0|124882|Q
20201223|ADT|117326|0|482309|Q
20201223|ADTN|17547|0|49317|Q
