HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:12 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 28 Dec 2020 22:22:21 GMT
ETag: "46f982-451b7-5b78db52baf20"
Accept-Ranges: bytes
Content-Length: 283063
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201228|A|147591|0|211766|Q
20201228|AA|519299|400|1549668|Q
20201228|AAA|1|0|3|Q
20201228|AAAU|31530|0|67540|Q
20201228|AACG|15944|0|25641|Q
20201228|AACQ|310441|3207|1040150|Q
20201228|AACQU|24181|0|33459|Q
20201228|AACQW|66114|0|148353|Q
20201228|AADR|2677|0|3371|Q
20201228|AAIC|24836|443|76263|Q
20201228|AAICpC|854|400|1054|Q
20201228|AAL|6243515|17065|20874244|Q
20201228|AAMC|301|0|360|Q
20201228|AAME|77|0|744|Q
20201228|AAN|67830|0|734043|Q
20201228|AAOI|77436|1734|174111|Q
20201228|AAON|18854|0|26072|Q
20201228|AAP|50345|255|163147|Q
20201228|AAPL|14345578|72314|45002052|Q
20201228|AAT|14029|0|22653|Q
20201228|AAU|397666|12550|893447|Q
20201228|AAWW|56187|1051|86004|Q
20201228|AAXJ|100037|0|206627|Q
20201228|AAXN|45514|0|119652|Q
20201228|AB|53257|1900|103929|Q
20201228|ABB|97186|3445|344944|Q
20201228|ABBV|474608|257|1019665|Q
20201228|ABC|116023|9|156740|Q
20201228|ABCB|31330|0|68702|Q
20201228|ABCL|213517|0|417448|Q
20201228|ABCM|20318|0|23536|Q
20201228|ABEO|357507|2599|749849|Q
20201228|ABEQ|467|0|467|Q
20201228|ABEV|1979092|400|3101834|Q
20201228|ABG|19619|0|43072|Q
20201228|ABIO|57320|4288|123342|Q
20201228|ABM|12058|0|34397|Q
20201228|ABMD|58119|0|72367|Q
20201228|ABNB|1184361|5935|2132224|Q
20201228|ABR|108692|1418|229695|Q
20201228|ABRpA|102|0|897|Q
20201228|ABRpC|1608|0|2213|Q
20201228|ABST|6897|0|8249|Q
20201228|ABT|223563|858|631803|Q
20201228|ABTX|3975|0|30372|Q
20201228|ABUS|760461|13901|1521919|Q
20201228|AC|269|0|475|Q
