HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:05 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 30 Dec 2020 22:22:06 GMT
ETag: "470432-44a94-5b7b5eff0c2d0"
Accept-Ranges: bytes
Content-Length: 281236
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201230|A|54001|0|246252|Q
20201230|AA|359282|4|1054117|Q
20201230|AAA|200|0|501|Q
20201230|AAAU|49762|0|69524|Q
20201230|AACG|3138|0|10977|Q
20201230|AACQ|101144|300|421055|Q
20201230|AACQU|1611|0|8434|Q
20201230|AACQW|50042|0|119983|Q
20201230|AADR|1966|0|4856|Q
20201230|AAIC|45745|980|77049|Q
20201230|AAICpB|1|0|1|Q
20201230|AAICpC|293|0|1103|Q
20201230|AAL|5004179|58660|17026278|Q
20201230|AAMC|1603|0|6215|Q
20201230|AAME|238|25|3878|Q
20201230|AAN|57122|0|142399|Q
20201230|AAOI|118565|6366|200390|Q
20201230|AAON|19031|0|45214|Q
20201230|AAP|131575|0|206018|Q
20201230|AAPL|11448581|124136|34686475|Q
20201230|AAT|9641|0|12597|Q
20201230|AAU|213254|2361|564450|Q
20201230|AAWW|60029|0|88523|Q
20201230|AAXJ|194688|0|265594|Q
20201230|AAXN|32595|0|93574|Q
20201230|AB|53227|126|86723|Q
20201230|ABB|66761|1579|149307|Q
20201230|ABBV|514735|15927|1002211|Q
20201230|ABC|90611|1400|160661|Q
20201230|ABCB|29018|0|62823|Q
20201230|ABCL|346596|0|468976|Q
20201230|ABCM|108922|0|125874|Q
20201230|ABEO|490946|12985|927923|Q
20201230|ABEQ|2039|0|2139|Q
20201230|ABEV|927843|0|1704713|Q
20201230|ABG|25557|0|42917|Q
20201230|ABIO|40232|2271|133941|Q
20201230|ABM|26202|0|44334|Q
20201230|ABMD|52373|0|67001|Q
20201230|ABNB|635610|1148|1057984|Q
20201230|ABR|76180|2436|170028|Q
20201230|ABRpA|100|0|100|Q
20201230|ABRpB|554|0|1041|Q
20201230|ABRpC|400|0|700|Q
20201230|ABST|35262|0|75491|Q
20201230|ABT|153092|2053|544231|Q
20201230|ABTX|1051|0|8313|Q
20201230|ABUS|258510|3552|928463|Q
20201230|AC|188|0|1279|Q
20201230|ACA|11412|0|32756|Q
20201230|ACAC|7399|0|9937|Q
20201230|ACACU|3639|0|9147|Q
20201230|ACACW|506|0|507|Q
20201230|ACAD|80838|2300|163033|Q
20201230|ACAM|761491|6730|1961965|Q
20201230|ACAMU|2200|0|2841|Q
20201230|ACAMW|56868|4230|110779|Q
20201230|ACB|1952927|23650|3696700|Q
20201230|ACBI|1072|0|5824|Q
20201230|ACC|60106|200|108722|Q
20201230|ACCD|111742|15567|159195|Q
20201230|ACCO|15605|0|56048|Q
20201230|ACEL|33579|500|92315|Q
20201230|ACER|41702|0|82100|Q
20201230|ACES|32261|0|59709|Q
20201230|ACET|5727|0|10753|Q
20201230|ACEV|12280|0|20977|Q
20201230|ACEVU|900|0|2997|Q
20201230|ACEVW|7886|0|9886|Q
20201230|ACGL|113979|1200|223962|Q
20201230|ACGLO|1389|0|5927|Q
20201230|ACGLP|2563|0|7808|Q
20201230|ACH|1222|0|7827|Q
20201230|ACHC|123612|86|355252|Q
20201230|ACHV|21316|300|37463|Q
20201230|ACI|411794|8593|1360783|Q
20201230|ACIA|39020|0|145600|Q
20201230|ACIC|4859|0|5938|Q
20201230|ACIC/WS|315|0|415|Q
20201230|ACIO|6470|0|9669|Q
20201230|ACIU|28432|0|62249|Q
20201230|ACIW|52388|302|110117|Q
20201230|ACKIU|21135|0|79163|Q
20201230|ACLS|20971|820|40634|Q
20201230|ACM|39990|100|100647|Q
20201230|ACMR|146072|225|239051|Q
20201230|ACN|85389|100|182815|Q
20201230|ACNB|1283|100|3586|Q
20201230|ACND|6290|0|24963|Q
20201230|ACND/WS|12355|35|34633|Q
20201230|ACOR|451103|5110|788648|Q
20201230|ACP|19037|128|32191|Q
20201230|ACRE|83752|18349|140106|Q
20201230|ACRS|42520|0|97082|Q
20201230|ACRX|426411|5204|762410|Q
20201230|ACSG|4|0|204|Q
20201230|ACST|14660853|406433|32592243|Q
20201230|ACTC|46992|956|106558|Q
20201230|ACTCU|505|0|5798|Q
20201230|ACTCW|13866|2220|28316|Q
20201230|ACTG|48001|2500|105252|Q
20201230|ACTV|47|0|1584|Q
20201230|ACU|6032|0|15230|Q
20201230|ACV|9162|0|17215|Q
20201230|ACVF|1118|0|1219|Q
20201230|ACWF|624|0|9452|Q
20201230|ACWI|119796|0|280528|Q
20201230|ACWV|78842|2105|159768|Q
20201230|ACWX|95284|0|180778|Q
20201230|ACY|154660|5345|370218|Q
