HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:48:29 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 12 Oct 2020 21:22:22 GMT
ETag: "452cee-33f61-5b17fe4db3f10"
Accept-Ranges: bytes
Content-Length: 212833
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201012|A|2163|0|8005|N
20201012|AA|142922|0|285270|N
20201012|AAAU|9877|0|25139|N
20201012|AACG|108982|0|188030|N
20201012|AACQ|514|0|14247|N
20201012|AACQW|9040|0|29905|N
20201012|AAL|3618751|0|7633938|N
20201012|AAMC|11|0|11|N
20201012|AAN|1533|0|4662|N
20201012|AAOI|20593|0|31822|N
20201012|AAON|805|0|7434|N
20201012|AAP|5074|0|12672|N
20201012|AAPL|17688036|0|36033338|N
20201012|AAT|231|0|1348|N
20201012|AAU|20799|0|64187|N
20201012|AAWW|3346|0|10673|N
20201012|AAXJ|416|0|1710|N
20201012|AAXN|3184|0|10832|N
20201012|AB|101398|0|163076|N
20201012|ABB|15455|0|30343|N
20201012|ABBV|240394|0|472062|N
20201012|ABC|8381|0|15013|N
20201012|ABCB|377|0|1230|N
20201012|ABEO|213141|0|540424|N
20201012|ABEV|209074|0|598515|N
20201012|ABG|252|0|1116|N
20201012|ABIO|62744|500|136330|N
20201012|ABM|235|0|860|N
20201012|ABMD|2314|0|3911|N
20201012|ABR|38180|0|101603|N
20201012|ABRpA|600|0|800|N
20201012|ABT|57184|0|151268|N
20201012|ABUS|34761|0|91162|N
20201012|AC|2|0|455|N
20201012|ACA|438|0|3875|N
20201012|ACAD|7299|0|29469|N
20201012|ACB|1717542|0|3151136|N
20201012|ACBI|315|0|508|N
20201012|ACC|2932|0|19216|N
20201012|ACCD|1817|0|3934|N
20201012|ACCO|4697|0|7606|N
20201012|ACEL|2683|0|3825|N
20201012|ACER|4660|0|9566|N
20201012|ACES|3653|0|6312|N
20201012|ACET|1147|0|4637|N
20201012|ACEVW|500|0|500|N
20201012|ACGL|12998|0|55101|N
20201012|ACGLO|500|0|914|N
20201012|ACGLP|124|0|693|N
20201012|ACH|1407|0|7166|N
20201012|ACHC|6648|0|9829|N
20201012|ACHV|767|0|7126|N
20201012|ACI|103264|0|214813|N
20201012|ACIA|1465|0|7338|N
20201012|ACIO|1293|0|1786|N
20201012|ACIU|19062|0|34802|N
20201012|ACIW|9058|0|24571|N
20201012|ACLS|4696|0|10344|N
20201012|ACM|16879|0|59085|N
20201012|ACMR|15674|0|34935|N
20201012|ACN|7089|33|16197|N
20201012|ACND|500|0|745|N
20201012|ACOR|476342|90|770580|N
20201012|ACP|2309|0|9777|N
20201012|ACRE|1362|0|4007|N
20201012|ACRS|38191|385|155051|N
20201012|ACRX|411958|0|726540|N
20201012|ACST|119614|0|310006|N
20201012|ACT|11|0|72|N
20201012|ACTCU|109|0|1708|N
20201012|ACTG|5609|0|6469|N
20201012|ACV|1840|0|2849|N
20201012|ACWI|4846|0|6575|N
20201012|ACWV|1315|0|7362|N
20201012|ACWX|537|0|8723|N
