HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:48:00 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 15 Oct 2020 21:22:37 GMT
ETag: "455d1c-33e02-5b1bc3f479c78"
Accept-Ranges: bytes
Content-Length: 212482
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201015|A|3841|0|8441|N
20201015|AA|704331|9884|1497157|N
20201015|AAAU|14836|0|30556|N
20201015|AACG|2027|0|3856|N
20201015|AACQ|414|0|1175|N
20201015|AACQW|2900|0|15500|N
20201015|AAL|2652245|0|5718809|N
20201015|AAMC|2|0|2|N
20201015|AAN|1961|0|7185|N
20201015|AAOI|12880|0|21033|N
20201015|AAON|422|0|1596|N
20201015|AAP|2324|0|8004|N
20201015|AAPL|8745264|504|16606764|N
20201015|AAT|818|0|4007|N
20201015|AAU|44910|0|133219|N
20201015|AAWW|5924|0|20167|N
20201015|AAXJ|10410|0|14519|N
20201015|AAXN|57314|0|125251|N
20201015|AB|25971|0|51384|N
20201015|ABB|2338|0|12986|N
20201015|ABBV|143733|0|374466|N
20201015|ABC|10761|0|18825|N
20201015|ABCB|592|0|1729|N
20201015|ABEO|81028|0|172170|N
20201015|ABEV|241660|0|493427|N
20201015|ABG|2250|0|3310|N
20201015|ABIO|20039|0|44291|N
20201015|ABM|1570|0|6154|N
20201015|ABMD|2107|0|3867|N
20201015|ABR|34556|0|90332|N
20201015|ABT|31408|118|115811|N
20201015|ABTX|119|0|422|N
20201015|ABUS|34282|0|77759|N
20201015|ACA|212|0|2779|N
20201015|ACAD|11928|0|20775|N
20201015|ACAMW|1200|0|2900|N
20201015|ACB|1096669|7950|1650669|N
20201015|ACC|6154|0|12357|N
20201015|ACCD|8412|230|21254|N
20201015|ACCO|1744|0|5358|N
20201015|ACEL|8492|0|11076|N
20201015|ACER|444|0|2596|N
20201015|ACES|5226|0|7415|N
20201015|ACET|5037|0|6162|N
20201015|ACGL|6052|10|15963|N
20201015|ACGLO|77|0|165|N
20201015|ACGLP|130|0|130|N
20201015|ACH|128|0|1361|N
20201015|ACHC|2548|0|4999|N
20201015|ACHV|1339|0|3900|N
20201015|ACI|137746|0|249847|N
20201015|ACIA|5730|0|8171|N
20201015|ACIO|685|0|788|N
20201015|ACIU|8249|0|26144|N
20201015|ACIW|49166|0|66520|N
20201015|ACLS|671|0|9016|N
20201015|ACM|11024|0|46818|N
20201015|ACMR|4965|0|12640|N
20201015|ACN|14692|0|23062|N
20201015|ACOR|81909|0|343874|N
20201015|ACP|7230|0|13561|N
20201015|ACRE|11891|0|17944|N
20201015|ACRS|2800|0|18942|N
20201015|ACRX|109541|2462|347123|N
20201015|ACST|233969|2887|594614|N
20201015|ACT|86|0|312|N
20201015|ACTCU|1436|0|1438|N
20201015|ACTG|500|0|2073|N
20201015|ACU|3|0|485|N
20201015|ACV|385|0|1521|N
20201015|ACWI|17070|0|22033|N
20201015|ACWV|2111|0|7151|N
20201015|ACWX|2724|0|10688|N
20201015|ACY|1|0|20|N
20201015|ADAP|68415|730|156460|N
20201015|ADBE|29807|7|73514|N
20201015|ADC|735|0|1021|N
20201015|ADCT|5320|37|8337|N
20201015|ADES|799|0|3383|N
20201015|ADI|13545|0|26993|N
20201015|ADIL|50966|0|105642|N
20201015|ADM|31031|0|110106|N
20201015|ADMA|151909|71|479218|N
20201015|ADMP|314101|0|1019929|N
20201015|ADMS|8428|0|10379|N
20201015|ADNT|14571|0|34824|N
20201015|ADP|12042|0|30623|N
20201015|ADPT|2150|0|7615|N
20201015|ADRE|32|0|159|N
20201015|ADS|19220|0|47208|N
20201015|ADSK|179604|40|309542|N
20201015|ADSW|14|0|320|N
20201015|ADT|71873|0|176424|N
20201015|ADTN|11094|0|16858|N
20201015|ADTX|15540|0|55813|N
20201015|ADUS|5444|0|6006|N
20201015|ADVM|12521|0|21928|N
20201015|ADX|3979|0|4528|N
20201015|ADXS|462068|0|564065|N
20201015|AE|87|0|163|N
20201015|AEB|100|0|1113|N
20201015|AEE|16210|0|23330|N
20201015|AEG|29564|0|112323|N
20201015|AEGN|1|0|4361|N
20201015|AEHL|23452|0|65269|N
20201015|AEIS|909|0|3036|N
20201015|AEL|6015|0|14107|N
20201015|AELpA|500|0|1349|N
20201015|AELpB|400|0|576|N
20201015|AEM|7522|0|16762|N
20201015|AEMD|47134|0|205347|N
20201015|AEO|54532|0|81332|N
20201015|AEP|18872|60|38814|N
20201015|AEPPL|3510|0|3600|N
20201015|AER|25943|0|108830|N
20201015|AERI|3190|0|12172|N
20201015|AES|37440|150|86816|N
20201015|AESE|229833|600|401300|N
20201015|AEY|3666|0|16630|N
