HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:47:29 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 19 Oct 2020 21:22:45 GMT
ETag: "4580b4-344de-5b20cb726fa90"
Accept-Ranges: bytes
Content-Length: 214238
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201019|A|2307|0|4057|N
20201019|AA|128900|0|406333|N
20201019|AAAU|29912|0|50564|N
20201019|AACG|57105|0|127069|N
20201019|AACQ|2325|0|11057|N
20201019|AACQU|192|0|192|N
20201019|AACQW|14500|0|16800|N
20201019|AAL|3198537|0|9408098|N
20201019|AAMC|2776|0|3726|N
20201019|AAME|7869|0|12168|N
20201019|AAN|3858|0|5758|N
20201019|AAOI|8592|0|46084|N
20201019|AAON|197|0|897|N
20201019|AAP|3538|0|7927|N
20201019|AAPL|10178954|0|19092653|N
20201019|AAT|248|0|7062|N
20201019|AAU|47935|4|153687|N
20201019|AAWW|4984|0|16399|N
20201019|AAXJ|1817|0|4075|N
20201019|AAXN|23498|89|44560|N
20201019|AB|24727|0|53775|N
20201019|ABB|23922|0|45311|N
20201019|ABBV|304172|0|531867|N
20201019|ABC|3553|8|6835|N
20201019|ABCB|1779|0|2307|N
20201019|ABEO|125872|4125|213271|N
20201019|ABEV|228062|0|495972|N
20201019|ABG|3189|0|4051|N
20201019|ABIO|28874|424|57668|N
20201019|ABM|3026|0|4606|N
20201019|ABMD|1358|0|2560|N
20201019|ABR|74031|0|110182|N
20201019|ABRpA|300|0|304|N
20201019|ABRpB|100|0|100|N
20201019|ABT|141568|4|216274|N
20201019|ABTX|93|0|815|N
20201019|ABUS|109871|5847|175185|N
20201019|ACA|1067|0|6425|N
20201019|ACAD|12707|0|28374|N
20201019|ACB|2312608|715|5247584|N
20201019|ACBI|405|0|1105|N
20201019|ACC|4074|3|13850|N
20201019|ACCD|4045|0|5873|N
20201019|ACCO|1817|0|4272|N
20201019|ACEL|95|0|2109|N
20201019|ACER|153|0|5408|N
20201019|ACES|5125|0|10303|N
20201019|ACET|744|0|5474|N
20201019|ACEVU|331|0|331|N
20201019|ACEVW|2000|0|2000|N
20201019|ACGL|6864|0|33745|N
20201019|ACGLO|187|0|307|N
20201019|ACGLP|229|0|293|N
20201019|ACH|107|0|937|N
20201019|ACHC|6199|0|8836|N
20201019|ACHV|5915|0|7714|N
20201019|ACI|206888|0|329480|N
20201019|ACIA|4931|0|7752|N
20201019|ACIO|2|0|2|N
20201019|ACIU|7973|0|13416|N
20201019|ACIW|46378|200|60852|N
20201019|ACLS|5264|0|13826|N
20201019|ACM|7067|0|24415|N
20201019|ACMR|2769|0|7134|N
20201019|ACN|9920|0|25097|N
20201019|ACND|500|0|1065|N
20201019|ACOR|93884|0|245954|N
20201019|ACP|4013|0|14582|N
20201019|ACRE|8579|0|12859|N
20201019|ACRS|21161|0|46002|N
20201019|ACRX|175039|0|285790|N
20201019|ACSG|50|0|50|N
20201019|ACST|151708|0|373283|N
20201019|ACT|38|0|211|N
20201019|ACTG|7262|0|10855|N
20201019|ACU|1365|0|1420|N
20201019|ACV|210|0|839|N
20201019|ACWI|10994|0|16341|N
20201019|ACWV|7582|0|9724|N
20201019|ACWX|1840|0|21298|N
20201019|ACY|2234|0|2448|N
20201019|ADAP|127692|1696|265673|N
20201019|ADBE|21207|0|59925|N
20201019|ADC|6347|0|12524|N
20201019|ADCT|2330|0|7833|N
20201019|ADES|2355|0|4192|N
20201019|ADI|12122|0|20363|N
20201019|ADIL|36495|0|116687|N
20201019|ADM|40795|5|107902|N
20201019|ADMA|289400|200|482678|N
20201019|ADME|1863|0|4215|N
20201019|ADMP|499678|404|940151|N
20201019|ADMS|467|0|3409|N
20201019|ADNT|4819|0|12414|N
20201019|ADP|4130|0|18989|N
20201019|ADPT|1443|0|8505|N
20201019|ADRE|520|0|1473|N
20201019|ADS|28966|0|53735|N
20201019|ADSK|75687|5|144456|N
20201019|ADSW|229|0|279|N
20201019|ADT|352310|1|594099|N
20201019|ADTN|18555|0|23831|N
20201019|ADTX|197270|1750|389458|N
20201019|ADUS|269|0|1215|N
20201019|ADVM|6405|0|16985|N
20201019|ADX|25995|2010|52453|N
20201019|ADXS|642290|300|997765|N
20201019|AE|1000|0|1207|N
20201019|AEB|100|0|100|N
20201019|AEE|12986|0|20171|N
20201019|AEFC|817|0|2017|N
20201019|AEG|20354|0|107579|N
20201019|AEGN|2508|0|3735|N
20201019|AEHL|194591|200|404684|N
20201019|AEHR|12623|0|29492|N
20201019|AEIS|2944|66|4755|N
20201019|AEL|332728|2901|625855|N
20201019|AELpA|1915|0|2918|N
20201019|AELpB|3112|0|4677|N
20201019|AEM|19440|0|45993|N
20201019|AEMD|1948|0|26087|N
20201019|AEO|200499|0|604620|N
20201019|AEP|30906|0|48966|N
