HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:47:00 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 22 Oct 2020 21:22:47 GMT
ETag: "45909d-3416a-5b24910c6c0f8"
Accept-Ranges: bytes
Content-Length: 213354
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201022|A|4368|0|25364|N
20201022|AA|203672|0|336186|N
20201022|AAA|1000|0|1000|N
20201022|AAAU|3815|0|13721|N
20201022|AACG|29746|0|45098|N
20201022|AACQ|589|0|740|N
20201022|AACQW|1515|0|9590|N
20201022|AAL|5620872|0|14752394|N
20201022|AAME|1|0|165|N
20201022|AAN|8848|0|15985|N
20201022|AAOI|30290|0|64402|N
20201022|AAON|735|0|893|N
20201022|AAP|3113|0|10349|N
20201022|AAPL|8025667|0|14964405|N
20201022|AAT|289|0|2494|N
20201022|AAU|28212|109|60765|N
20201022|AAWW|790|0|8471|N
20201022|AAXJ|386|0|1029|N
20201022|AAXN|2427|0|14955|N
20201022|AB|11659|20|26097|N
20201022|ABB|16147|0|32119|N
20201022|ABBV|220568|0|501973|N
20201022|ABC|5017|0|7562|N
20201022|ABCB|3033|0|5821|N
20201022|ABCM|56203|0|127241|N
20201022|ABEO|69083|0|111748|N
20201022|ABEQ|8|0|8|N
20201022|ABEV|279315|0|699387|N
20201022|ABG|1269|0|4525|N
20201022|ABIO|23412|0|51486|N
20201022|ABM|11589|0|15009|N
20201022|ABMD|999|0|5816|N
20201022|ABR|34359|0|54202|N
20201022|ABRpA|40|0|40|N
20201022|ABRpC|200|0|200|N
20201022|ABT|73568|0|180864|N
20201022|ABTX|101|0|312|N
20201022|ABUS|13660|0|66243|N
20201022|ACA|1051|0|6616|N
20201022|ACAD|5630|0|19169|N
20201022|ACAM|22178|0|65997|N
20201022|ACAMU|1202|0|1202|N
20201022|ACAMW|10037|0|20165|N
20201022|ACB|919341|384|1683973|N
