HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:46:50 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 23 Oct 2020 23:42:49 GMT
ETag: "459e1f-33a67-5b25f2370de30"
Accept-Ranges: bytes
Content-Length: 211559
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201023|A|2305|0|15999|N
20201023|AA|280683|0|395011|N
20201023|AAAU|10646|0|23418|N
20201023|AACG|1023|0|3755|N
20201023|AACQ|96|0|4850|N
20201023|AACQU|436|0|636|N
20201023|AACQW|412|0|3712|N
20201023|AAL|6092624|0|11961012|N
20201023|AAMC|1|0|1|N
20201023|AAME|13|0|248|N
20201023|AAN|11719|0|14528|N
20201023|AAOI|36340|0|73378|N
20201023|AAON|18|0|275|N
20201023|AAP|2266|0|8691|N
20201023|AAPL|7263601|297|13261905|N
20201023|AAT|2476|0|7906|N
20201023|AAU|21556|0|37920|N
20201023|AAWW|3161|0|7235|N
20201023|AAXJ|644|0|757|N
20201023|AAXN|2896|0|12714|N
20201023|AB|19396|0|73320|N
20201023|ABB|20552|0|47197|N
20201023|ABBV|128254|0|280205|N
20201023|ABC|5454|0|12486|N
20201023|ABCB|3769|0|19460|N
20201023|ABCM|8636|0|31374|N
20201023|ABEO|28066|0|140731|N
20201023|ABEV|418784|0|785607|N
20201023|ABG|62|0|408|N
20201023|ABIO|10456|0|28560|N
20201023|ABM|5492|0|8968|N
20201023|ABMD|2997|0|5800|N
20201023|ABR|38909|0|72181|N
20201023|ABRpA|274|0|274|N
20201023|ABRpB|18|0|18|N
20201023|ABT|40375|500|139513|N
20201023|ABTX|1|0|402|N
20201023|ABUS|28649|0|67753|N
20201023|ACA|394|0|11950|N
20201023|ACACU|3606|0|7406|N
20201023|ACAD|16802|0|35957|N
20201023|ACAM|22880|0|36169|N
20201023|ACAMW|9100|0|21342|N
20201023|ACB|983845|0|1757781|N
20201023|ACBI|3|0|337|N
20201023|ACC|10095|0|17050|N
20201023|ACCD|3050|0|14537|N
20201023|ACCO|940|0|51068|N
20201023|ACEL|20|0|851|N
20201023|ACER|1022|0|1593|N
20201023|ACES|2485|0|3963|N
20201023|ACET|6078|0|20823|N
20201023|ACGL|5749|0|40665|N
20201023|ACGLO|203|0|209|N
20201023|ACGLP|57|0|317|N
20201023|ACH|4045|0|5432|N
20201023|ACHC|8258|0|21065|N
20201023|ACHV|1758|0|3947|N
20201023|ACI|59557|0|174443|N
20201023|ACIA|2500|0|4527|N
20201023|ACIO|327|0|327|N
20201023|ACIU|804|0|9285|N
20201023|ACIW|4693|0|12905|N
20201023|ACLS|346|0|4560|N
20201023|ACM|7311|0|27379|N
20201023|ACMR|2616|0|3978|N
20201023|ACN|16461|0|37185|N
20201023|ACND|25|0|37|N
20201023|ACOR|147808|2460|411686|N
20201023|ACP|7260|0|15066|N
20201023|ACRE|6053|0|8591|N
20201023|ACRS|4453|0|7865|N
20201023|ACRX|140571|0|270920|N
20201023|ACSI|1|0|1|N
20201023|ACST|68130|0|209031|N
20201023|ACT|1000|0|1024|N
20201023|ACTCU|2|0|232|N
20201023|ACTG|7|0|1848|N
20201023|ACU|115|0|707|N
20201023|ACV|1310|0|1582|N
20201023|ACWI|11579|0|17536|N
20201023|ACWV|2875|0|17295|N
20201023|ACWX|1923|0|21593|N
20201023|ACY|18037|476|34056|N
