HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:45:11 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 26 Oct 2020 21:29:02 GMT
ETag: "45ea30-34fc6-5b2999e7b56e8"
Accept-Ranges: bytes
Content-Length: 217030
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201026|A|1495|0|6604|N
20201026|AA|162689|0|289230|N
20201026|AAAU|31797|0|52781|N
20201026|AACG|101|0|31072|N
20201026|AACQ|165|0|3695|N
20201026|AACQU|1100|0|2100|N
20201026|AACQW|705|0|4388|N
20201026|AAIC|387|0|3493|N
20201026|AAL|6991150|0|12602827|N
20201026|AAME|24|0|171|N
20201026|AAN|3068|0|7116|N
20201026|AAOI|8483|0|18529|N
20201026|AAON|170|0|1061|N
20201026|AAP|3700|0|6236|N
20201026|AAPL|8089119|8|15907217|N
20201026|AAT|59|0|440|N
20201026|AAU|17716|0|83327|N
20201026|AAWW|2163|0|7411|N
20201026|AAXJ|1391|0|5940|N
20201026|AAXN|2498|0|14884|N
20201026|AB|38195|0|73182|N
20201026|ABB|22828|0|53254|N
20201026|ABBV|216931|0|406487|N
20201026|ABC|4344|0|10226|N
20201026|ABCB|1908|17|3860|N
20201026|ABCM|2003|0|5409|N
20201026|ABEO|64342|0|117757|N
20201026|ABEV|1329984|0|3056152|N
20201026|ABG|1613|0|2911|N
20201026|ABIO|22699|0|74694|N
20201026|ABM|9617|0|11653|N
20201026|ABMD|2453|0|4019|N
20201026|ABR|67069|0|125593|N
20201026|ABRpB|1000|0|1000|N
20201026|ABT|74212|0|186538|N
20201026|ABTX|100|0|201|N
20201026|ABUS|9224|0|66272|N
20201026|ACA|2029|0|7267|N
20201026|ACAD|28860|0|61494|N
20201026|ACAM|5493|0|7228|N
20201026|ACAMU|100|0|100|N
20201026|ACAMW|500|0|500|N
20201026|ACB|562473|0|1144661|N
20201026|ACC|13223|0|18201|N
20201026|ACCD|4783|50|10678|N
20201026|ACCO|1366|0|24146|N
20201026|ACEL|652|0|10220|N
20201026|ACER|824|0|6391|N
20201026|ACES|3014|0|11634|N
20201026|ACET|693|0|10761|N
20201026|ACGL|1422|0|34928|N
20201026|ACGLO|700|0|1392|N
20201026|ACGLP|120|0|761|N
20201026|ACH|579|0|2696|N
20201026|ACHC|7433|0|13661|N
20201026|ACHV|2556|0|6260|N
20201026|ACI|115182|0|305891|N
20201026|ACIA|1302|0|1647|N
20201026|ACIO|4047|0|4047|N
20201026|ACIU|4907|0|9225|N
20201026|ACIW|3036|0|6859|N
20201026|ACLS|682|0|6468|N
20201026|ACM|6951|0|19495|N
20201026|ACMR|1189|0|2973|N
20201026|ACN|10923|0|26903|N
20201026|ACNB|1|0|508|N
20201026|ACND/WS|2850|0|3458|N
20201026|ACOR|237251|300|667706|N
20201026|ACP|6632|0|11040|N
20201026|ACRE|6604|0|9178|N
20201026|ACRS|14551|5|39316|N
20201026|ACRX|70672|0|243438|N
20201026|ACSI|1|0|1|N
20201026|ACST|146882|0|583219|N
20201026|ACT|110|0|115|N
20201026|ACTG|252|0|906|N
20201026|ACU|42|0|175|N
20201026|ACV|614|0|747|N
20201026|ACWF|32|0|1891|N
20201026|ACWI|37534|0|48153|N
20201026|ACWV|1822|0|10101|N
20201026|ACWX|4023|0|7922|N
20201026|ACY|230|25|10007|N
20201026|ADAP|130706|0|324216|N
20201026|ADBE|41007|9|104654|N
20201026|ADC|700|0|2446|N
20201026|ADCT|2150|0|2804|N
20201026|ADES|3208|0|8770|N
20201026|ADI|6424|4|24614|N
20201026|ADIL|35590|0|79574|N
20201026|ADM|35070|0|102712|N
20201026|ADMA|119434|145|282086|N
20201026|ADME|1837|0|1887|N
20201026|ADMP|581606|0|1060683|N
20201026|ADMS|4246|0|13279|N
20201026|ADNT|34435|48|43219|N
20201026|ADP|48528|7|97637|N
20201026|ADPT|16301|0|25557|N
20201026|ADRE|88|0|5361|N
20201026|ADS|54800|0|83166|N
20201026|ADSK|18751|3|42589|N
20201026|ADSW|4730|0|38666|N
20201026|ADT|114719|0|212568|N
20201026|ADTN|10975|0|26385|N
20201026|ADTX|50124|0|146415|N
20201026|ADUS|865|0|1136|N
20201026|ADVM|9874|0|18557|N
20201026|ADX|5576|0|14195|N
20201026|ADXS|1010407|4834|2107284|N
20201026|AE|435|0|549|N
20201026|AEB|204|0|774|N
20201026|AEE|42016|0|58196|N
20201026|AEFC|1600|0|2600|N
20201026|AEG|100882|0|195609|N
20201026|AEGN|17033|0|27845|N
20201026|AEHL|9836|0|46805|N
20201026|AEHR|6184|0|16956|N
20201026|AEIS|1488|0|1810|N
20201026|AEL|37001|0|49749|N
20201026|AELpA|1300|0|5841|N
20201026|AELpB|735|0|4107|N
20201026|AEM|13155|122|29587|N
20201026|AEMD|71129|0|132136|N
20201026|AEO|38285|0|93955|N
20201026|AEP|45194|0|76615|N
20201026|AEPPL|106|0|362|N
20201026|AER|26107|0|47757|N
20201026|AERI|3327|0|12532|N
20201026|AES|96480|0|174641|N
20201026|AESE|144338|75|271073|N
20201026|AEY|2826|0|8128|N
20201026|AEYE|812|0|5063|N
20201026|AEZS|198263|0|315000|N
20201026|AFC|100|0|100|N
20201026|AFG|1513|0|2881|N
20201026|AFGB|133|0|147|N
20201026|AFGC|47|0|96|N
20201026|AFGD|811|0|823|N
20201026|AFGH|1550|0|2539|N
20201026|AFI|9747|0|16835|N
20201026|AFIB|1156|0|5114|N
20201026|AFIF|700|0|701|N
20201026|AFIN|31671|0|50783|N
20201026|AFINP|100|0|4466|N
20201026|AFK|165|0|533|N
20201026|AFL|23412|0|50991|N
20201026|AFMD|10482|0|37346|N
20201026|AFSM|16|0|16|N
20201026|AFT|1|0|2701|N
20201026|AFTY|360|0|613|N
20201026|AFYA|1180|0|1597|N
20201026|AG|164183|0|345029|N
20201026|AGCO|5449|0|11171|N
20201026|AGD|5607|0|6771|N
20201026|AGE|20471|0|55307|N
20201026|AGEN|149581|0|442469|N
20201026|AGFS|6188|82|6906|N
20201026|AGG|71898|0|144604|N
20201026|AGGY|6462|0|9940|N
20201026|AGI|48372|0|152896|N
20201026|AGIO|1091|0|31839|N
20201026|AGLE|2570|0|4614|N
20201026|AGM|297|0|860|N
20201026|AGMH|814|0|833|N
20201026|AGMpF|600|0|600|N
20201026|AGNC|341427|153|544817|N
20201026|AGNCM|3481|0|4078|N
20201026|AGNCN|2343|0|2682|N
20201026|AGNCO|4562|0|5978|N
20201026|AGNCP|1545|0|4032|N
20201026|AGO|4283|0|5684|N
20201026|AGOpB|100|0|100|N
20201026|AGOpE|300|0|692|N
20201026|AGQ|8959|0|103560|N
20201026|AGR|3184|0|9829|N
20201026|AGRO|730|0|2695|N
20201026|AGRX|124576|0|215352|N
20201026|AGS|3118|0|40931|N
20201026|AGT|200|0|214|N
20201026|AGTC|709|0|2799|N
20201026|AGX|18|0|294|N
20201026|AGYS|200|0|2017|N
20201026|AGZ|1112|0|3853|N
20201026|AGZD|776|0|1094|N
20201026|AHACU|205|0|7724|N
20201026|AHC|11060|0|14888|N
20201026|AHCO|2193|0|4847|N
20201026|AHH|3122|0|3992|N
20201026|AHLpC|1802|0|6318|N
20201026|AHLpD|43|0|103|N
20201026|AHLpE|11|0|277|N
20201026|AHPI|11262|0|15731|N
20201026|AHT|79763|1845|160064|N
20201026|AHTpG|1|0|102|N
20201026|AIA|1852|0|3529|N
20201026|AIEQ|431|0|528|N
20201026|AIG|33732|0|167794|N
20201026|AIG/WS|31119|119|34521|N
20201026|AIGpA|1367|0|1375|N
20201026|AIH|1|0|6776|N
20201026|AIHS|210727|1352|554042|N
20201026|AIKI|45771|0|99273|N
20201026|AIM|93289|0|189265|N
20201026|AIMC|5267|0|14900|N
20201026|AIN|680|0|1679|N
20201026|AINC|703|0|764|N
20201026|AINV|37998|0|88507|N
20201026|AIO|5457|0|9456|N
20201026|AIQ|1322|0|2901|N
20201026|AIR|11099|0|12639|N
20201026|AIRG|1236|0|8352|N
20201026|AIRI|4580|0|10799|N
20201026|AIT|554|0|1629|N
20201026|AIV|19159|1801|35483|N
20201026|AIZ|269|0|710|N
20201026|AIZP|45|0|45|N
20201026|AJG|3420|0|7702|N
20201026|AJRD|9696|0|21842|N
20201026|AJX|564|0|3499|N
20201026|AKAM|46646|0|97568|N
20201026|AKBA|1292054|18125|2124401|N
20201026|AKER|18491|0|29704|N
20201026|AKO/B|1|0|608|N
20201026|AKR|7605|0|20454|N
20201026|AKRO|4771|0|9921|N
20201026|AKTS|47238|0|63297|N
20201026|AKTX|5423|0|5856|N
20201026|AKU|1|0|4|N
20201026|AKUS|366|0|1767|N
20201026|AL|6103|0|18914|N
20201026|ALAC|11|0|12|N
20201026|ALACR|1500|0|4230|N
20201026|ALACW|1700|0|28441|N
20201026|ALB|7765|0|25306|N
20201026|ALBO|1133|0|2408|N
20201026|ALC|3696|0|10004|N
20201026|ALCO|1|0|203|N
20201026|ALDX|23664|0|43794|N
20201026|ALE|237|0|1235|N
20201026|ALEC|9016|0|37774|N
20201026|ALEX|3413|0|5448|N
20201026|ALFA|1|0|85|N
20201026|ALG|346|0|903|N
20201026|ALGN|19938|1|107256|N
20201026|ALGS|310|0|5436|N
20201026|ALGT|754|0|5852|N
20201026|ALIM|2809|0|4528|N
20201026|ALINpB|1450|0|1650|N
20201026|ALINpE|1310|0|1510|N
20201026|ALJJ|7626|0|11646|N
20201026|ALK|122881|0|218155|N
20201026|ALKS|8241|0|23965|N
20201026|ALL|20021|0|32854|N
20201026|ALLE|1991|0|4347|N
