HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:44:51 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 28 Oct 2020 21:23:28 GMT
ETag: "45f4bc-3567b-5b2c1c644dfa0"
Accept-Ranges: bytes
Content-Length: 218747
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201028|A|4751|0|11495|N
20201028|AA|101854|0|240044|N
20201028|AAAU|13254|0|26210|N
20201028|AACG|80|0|383|N
20201028|AACQ|2276|0|4235|N
20201028|AACQW|5000|0|15696|N
20201028|AADR|1|0|285|N
20201028|AAIC|1925|0|7430|N
20201028|AAICpC|20|0|229|N
20201028|AAL|4556040|0|10052123|N
20201028|AAN|835|0|2825|N
20201028|AAOI|16756|0|31572|N
20201028|AAON|1833|0|4202|N
20201028|AAP|5910|0|11290|N
20201028|AAPL|9382724|200|18221168|N
20201028|AAT|1234|0|8091|N
20201028|AAU|47031|211|83340|N
20201028|AAWW|7310|0|19141|N
20201028|AAXJ|1280|0|9381|N
20201028|AAXN|13770|0|32023|N
20201028|AB|32636|0|63100|N
20201028|ABB|10554|0|47023|N
20201028|ABBV|270879|0|821700|N
20201028|ABC|18268|0|21782|N
20201028|ABCB|1515|0|1939|N
20201028|ABCM|95|0|2111|N
20201028|ABEO|158935|3154|230287|N
20201028|ABEQ|1049|0|1050|N
20201028|ABEV|523780|0|1087033|N
20201028|ABG|428|0|1626|N
20201028|ABIO|38904|0|84364|N
20201028|ABM|1398|0|4632|N
20201028|ABMD|5345|300|8964|N
20201028|ABR|88941|0|163726|N
20201028|ABRpB|500|0|500|N
20201028|ABRpC|155|0|1778|N
20201028|ABST|27|0|7314|N
20201028|ABT|108429|0|168425|N
20201028|ABTX|678|0|678|N
20201028|ABUS|49465|0|104850|N
20201028|AC|70|0|137|N
20201028|ACA|786|0|5244|N
20201028|ACACU|1341|0|2897|N
20201028|ACAD|24348|0|79712|N
20201028|ACAM|708|0|878|N
20201028|ACB|971179|4900|1676782|N
20201028|ACBI|3|0|813|N
20201028|ACC|16328|0|29129|N
20201028|ACCD|8676|0|18993|N
20201028|ACCO|9329|0|21681|N
20201028|ACEL|8837|0|14208|N
20201028|ACER|15787|0|20492|N
20201028|ACES|2709|0|5350|N
20201028|ACET|195|0|2931|N
20201028|ACGL|6063|0|60755|N
20201028|ACGLO|150|0|383|N
20201028|ACGLP|260|0|497|N
20201028|ACH|225|0|831|N
20201028|ACHC|2014|0|7876|N
20201028|ACHV|4506|0|8504|N
20201028|ACI|145670|0|456598|N
20201028|ACIA|834|0|2571|N
20201028|ACIC/U|2501|0|2501|N
20201028|ACIO|1721|0|1735|N
20201028|ACIU|2969|0|8245|N
20201028|ACIW|18320|0|23656|N
20201028|ACLS|783|0|5527|N
20201028|ACM|12596|0|25678|N
20201028|ACMR|8380|0|13688|N
20201028|ACN|15170|0|41691|N
20201028|ACNB|508|0|571|N
20201028|ACND|1|0|202|N
20201028|ACND/WS|1000|0|1000|N
20201028|ACOR|147831|270|410023|N
20201028|ACP|3939|0|13417|N
20201028|ACRE|4888|0|9811|N
20201028|ACRS|16071|150|34429|N
20201028|ACRX|117621|0|235958|N
20201028|ACST|298588|0|628749|N
20201028|ACT|12|0|66|N
20201028|ACTCU|1400|0|2307|N
20201028|ACTG|1569|0|2514|N
20201028|ACU|25|0|107|N
20201028|ACV|1761|0|2947|N
20201028|ACWI|21839|0|30388|N
20201028|ACWV|985|0|6686|N
20201028|ACWX|25609|0|31186|N
20201028|ACY|864|10|7194|N
20201028|ADAP|27092|0|162521|N
20201028|ADBE|46817|0|110981|N
20201028|ADC|1053|0|2272|N
20201028|ADCT|2184|0|4763|N
20201028|ADES|5455|0|10816|N
20201028|ADI|13010|0|33224|N
20201028|ADIL|22009|0|55270|N
20201028|ADM|46217|0|83794|N
20201028|ADMA|143642|0|350163|N
20201028|ADME|1225|0|2377|N
20201028|ADMP|257832|475|799037|N
20201028|ADMS|2961|0|11650|N
20201028|ADNT|15484|0|21935|N
20201028|ADP|72346|0|157744|N
20201028|ADPT|2537|0|6209|N
20201028|ADRE|27|0|440|N
20201028|ADS|16910|0|42245|N
20201028|ADSK|21749|0|41449|N
20201028|ADSW|12094|0|12561|N
20201028|ADT|69954|0|170567|N
20201028|ADTN|14934|0|22899|N
20201028|ADTX|25678|1025|149378|N
20201028|ADUS|85|0|1070|N
20201028|ADVM|685|0|9665|N
20201028|ADX|12382|100|20374|N
20201028|ADXS|318275|48|799312|N
20201028|AE|1|0|1504|N
20201028|AEB|1132|0|1331|N
20201028|AEE|5778|0|9976|N
20201028|AEF|3797|0|5034|N
20201028|AEG|114351|0|177636|N
20201028|AEGN|1266|0|1532|N
20201028|AEHL|489|0|7972|N
20201028|AEHR|2260|0|7371|N
20201028|AEIS|1615|0|4112|N
20201028|AEL|4467|0|8493|N
