HTTP/1.1 200 OK
Date: Fri, 06 Nov 2020 06:47:12 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 04 Nov 2020 22:24:08 GMT
ETag: "4610e8-333b1-5b34f7020eab8"
Accept-Ranges: bytes
Content-Length: 209841
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201104|A|3559|0|11993|N
20201104|AA|174026|0|395840|N
20201104|AAAU|23333|0|33880|N
20201104|AACG|200|0|1212|N
20201104|AACQ|1800|0|3000|N
20201104|AACQU|1|0|1001|N
20201104|AADR|185|0|1043|N
20201104|AAIC|8934|0|39330|N
20201104|AAICpB|200|0|200|N
20201104|AAICpC|50|0|50|N
20201104|AAL|2820189|0|6903173|N
20201104|AAMC|10|0|12|N
20201104|AAN|1652|0|6795|N
20201104|AAOI|37484|0|55839|N
20201104|AAON|727|60|1544|N
20201104|AAP|2813|0|12308|N
20201104|AAPL|6915213|0|17018023|N
20201104|AAT|366|0|2597|N
20201104|AAU|25096|0|84735|N
20201104|AAWW|4386|0|15229|N
20201104|AAXJ|31336|0|36899|N
20201104|AAXN|4111|0|16316|N
20201104|AB|13738|0|41121|N
20201104|ABB|8577|0|18276|N
20201104|ABBV|385850|61|1171619|N
20201104|ABC|12998|0|20386|N
20201104|ABCB|2671|0|5086|N
20201104|ABCM|5484|0|7907|N
20201104|ABEO|73060|0|202278|N
20201104|ABEV|203813|0|1079870|N
20201104|ABG|1808|0|6033|N
20201104|ABIO|54045|0|111899|N
20201104|ABM|697|0|3191|N
20201104|ABMD|5628|0|7347|N
20201104|ABR|76316|0|169682|N
20201104|ABRpB|322|0|350|N
20201104|ABRpC|880|0|3455|N
20201104|ABST|94|0|415|N
20201104|ABT|135179|0|295397|N
20201104|ABTX|31|0|297|N
20201104|ABUS|20176|0|99563|N
20201104|ACA|2728|200|7129|N
20201104|ACAD|7310|5|75231|N
20201104|ACAM|853|0|932|N
20201104|ACAMU|200|0|1100|N
20201104|ACB|3010711|115538|4509317|N
20201104|ACBI|866|0|1050|N
20201104|ACC|9442|0|19481|N
20201104|ACCD|7289|0|13512|N
20201104|ACCO|7729|0|14736|N
20201104|ACEL|65|0|1314|N
20201104|ACER|3255|0|11207|N
20201104|ACES|13350|0|20267|N
20201104|ACET|703|0|3776|N
20201104|ACGL|14660|0|34184|N
20201104|ACGLO|678|0|684|N
20201104|ACGLP|724|0|3340|N
20201104|ACH|434|0|1622|N
20201104|ACHC|4367|0|13665|N
20201104|ACHV|176|0|2414|N
20201104|ACI|46864|0|221680|N
20201104|ACIA|7236|0|12264|N
20201104|ACIO|111|0|211|N
20201104|ACIU|189553|0|341635|N
20201104|ACIW|5166|0|9505|N
20201104|ACLS|1399|0|3254|N
20201104|ACM|11693|0|50286|N
20201104|ACMR|10005|0|22510|N
20201104|ACN|6583|3|15806|N
20201104|ACNB|10|0|45|N
20201104|ACOR|427586|7295|1002444|N
20201104|ACP|2550|0|5450|N
