HTTP/1.1 200 OK
Date: Thu, 12 Nov 2020 06:19:27 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 11 Nov 2020 22:23:48 GMT
ETag: "462c1b-347ca-5b3dc3fd72290"
Accept-Ranges: bytes
Content-Length: 214986
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201111|A|6282|0|26657|N
20201111|AA|88733|0|265861|N
20201111|AAAU|12143|0|28230|N
20201111|AACG|104|0|141|N
20201111|AACQW|30|0|2530|N
20201111|AAIC|5492|0|19578|N
20201111|AAL|5095710|0|11058270|N
20201111|AAMC|194|0|235|N
20201111|AAN|1070|0|2204|N
20201111|AAOI|12050|0|30981|N
20201111|AAON|441|0|1795|N
20201111|AAP|4877|0|8858|N
20201111|AAPL|7672382|100|14525813|N
20201111|AAT|798|0|2237|N
20201111|AAU|26821|0|84854|N
20201111|AAWW|2317|0|12247|N
20201111|AAXJ|4674|0|8952|N
20201111|AAXN|3658|0|8909|N
20201111|AB|12857|0|28314|N
20201111|ABB|12665|0|38495|N
20201111|ABBV|230349|0|493388|N
20201111|ABC|6712|0|15225|N
20201111|ABCB|4915|1|13478|N
20201111|ABCM|92|0|705|N
20201111|ABEO|356411|0|853364|N
20201111|ABEV|406364|0|1088324|N
20201111|ABG|123|0|1062|N
20201111|ABIO|6365|0|21239|N
20201111|ABM|1857|0|14084|N
20201111|ABMD|1505|0|2744|N
20201111|ABR|161696|0|355756|N
20201111|ABRpB|200|0|200|N
20201111|ABRpC|600|0|2602|N
20201111|ABST|196|0|262|N
20201111|ABT|71732|0|163812|N
20201111|ABTX|68|0|68|N
20201111|ABUS|101883|0|318566|N
20201111|AC|1|0|22|N
20201111|ACA|537|0|2365|N
20201111|ACAD|3853|0|23538|N
20201111|ACAM|40|0|2840|N
20201111|ACB|12723460|309018|26968200|N
20201111|ACBI|73|0|977|N
20201111|ACC|2573|10|10864|N
20201111|ACCD|1047|0|1866|N
20201111|ACCO|22772|0|41648|N
20201111|ACEL|1278|0|3164|N
20201111|ACER|719|0|3652|N
20201111|ACES|4235|0|10667|N
20201111|ACET|18|0|3090|N
20201111|ACGL|18091|0|35686|N
20201111|ACGLO|204|0|267|N
20201111|ACGLP|235|0|1321|N
20201111|ACH|602|0|2020|N
20201111|ACHC|2072|0|6134|N
20201111|ACHV|131968|0|262736|N
20201111|ACI|103516|46|189772|N
20201111|ACIA|5930|0|12706|N
20201111|ACIO|7280|0|7453|N
20201111|ACIU|4851|0|7857|N
20201111|ACIW|3304|74|13865|N
20201111|ACLS|6828|0|10925|N
20201111|ACM|1534|0|22851|N
20201111|ACMR|1316|0|14655|N
20201111|ACN|18344|0|26274|N
20201111|ACNB|1200|0|1203|N
20201111|ACOR|67606|0|181547|N
20201111|ACP|8060|0|15327|N
20201111|ACRE|12033|0|18622|N
20201111|ACRS|3036|0|4766|N
20201111|ACRX|42613|0|91009|N
20201111|ACSI|10|0|10|N
20201111|ACST|719330|1350|1761243|N
20201111|ACTG|3374|0|5906|N
20201111|ACTV|871|0|871|N
20201111|ACU|261|0|3563|N
20201111|ACV|5105|0|5607|N
20201111|ACVF|100|0|100|N
20201111|ACWF|430|0|1169|N
20201111|ACWI|6815|0|14455|N
20201111|ACWV|3637|0|10520|N
20201111|ACWX|8045|0|18082|N
20201111|ACY|86|0|1689|N
20201111|ADAP|19073|0|51639|N
20201111|ADBE|34139|0|80945|N
20201111|ADC|3215|0|5469|N
20201111|ADCT|5608|0|7643|N
20201111|ADES|2904|0|15292|N
20201111|ADI|11753|0|32293|N
20201111|ADIL|18338|0|51975|N
20201111|ADM|24534|0|68171|N
20201111|ADMA|80461|0|291212|N
20201111|ADME|4918|0|4993|N
20201111|ADMP|479544|168|951484|N
20201111|ADMS|13208|0|39107|N
20201111|ADNT|6240|0|23512|N
20201111|ADOCU|162|0|2364|N
20201111|ADP|17167|0|82782|N
20201111|ADPT|13596|0|32547|N
20201111|ADRE|2657|0|2716|N
20201111|ADS|20266|0|44934|N
20201111|ADSK|21525|0|53465|N
20201111|ADT|37936|0|106418|N
20201111|ADTN|5125|0|9633|N
20201111|ADTX|16371|0|69750|N
20201111|ADUS|1002|0|3483|N
20201111|ADV|68|0|786|N
20201111|ADVM|3858|0|19019|N
20201111|ADX|13155|0|21876|N
20201111|ADXS|167494|0|366758|N
20201111|AE|1306|0|2212|N
20201111|AEB|7|0|1882|N
20201111|AEE|6128|0|15132|N
20201111|AEF|2472|0|5016|N
20201111|AEFC|100|0|100|N
20201111|AEG|70418|0|127850|N
20201111|AEGN|1025|0|1440|N
20201111|AEHL|76781|0|155393|N
20201111|AEHR|10385|0|40285|N
20201111|AEIS|1098|0|7510|N
20201111|AEL|1461|0|25120|N
20201111|AELpA|916|0|924|N
20201111|AELpB|721|0|1328|N
20201111|AEM|21630|0|52927|N
20201111|AEMD|8442|0|12891|N
20201111|AEO|32944|0|72868|N
20201111|AEP|14843|0|39627|N
20201111|AEPPL|19|0|39|N
