HTTP/1.1 200 OK
Date: Thu, 19 Nov 2020 07:31:48 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 18 Nov 2020 22:23:41 GMT
ETag: "46489b-36250-5b4691050ba08"
Accept-Ranges: bytes
Content-Length: 221776
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201118|A|16583|0|43651|N
20201118|AA|118183|0|272324|N
20201118|AAAU|1460|0|23342|N
20201118|AACG|19475|0|41111|N
20201118|AACQ|2608|47|4810|N
20201118|AACQU|200|0|200|N
20201118|AACQW|3405|0|4410|N
20201118|AAIC|7183|0|18402|N
20201118|AAL|7041257|0|17106587|N
20201118|AAMC|60|0|165|N
20201118|AAME|17|0|125|N
20201118|AAN|3335|0|10497|N
20201118|AAOI|30273|0|89533|N
20201118|AAON|775|0|7337|N
20201118|AAP|7604|0|11700|N
20201118|AAPL|5033373|1106|8788437|N
20201118|AAT|3109|0|3769|N
20201118|AAU|48637|0|74892|N
20201118|AAWW|11369|0|15940|N
20201118|AAXJ|22156|0|26446|N
20201118|AAXN|4681|0|11998|N
20201118|AB|7541|0|28232|N
20201118|ABB|11908|0|36608|N
20201118|ABBV|148752|0|306021|N
20201118|ABC|5577|0|10372|N
20201118|ABCB|156|0|1958|N
20201118|ABCM|426|0|639|N
20201118|ABEO|170060|0|430067|N
20201118|ABEQ|1210|0|1220|N
20201118|ABEV|995911|0|2294969|N
20201118|ABG|1059|0|3933|N
20201118|ABIO|16803|0|31952|N
20201118|ABM|34|0|1830|N
20201118|ABMD|1194|0|1826|N
20201118|ABR|51823|0|114400|N
20201118|ABRpA|115|0|915|N
20201118|ABST|2580|0|2580|N
20201118|ABT|59397|0|124743|N
20201118|ABTX|10|0|27|N
20201118|ABUS|71803|0|236239|N
20201118|AC|1|0|102|N
20201118|ACA|4042|0|5365|N
20201118|ACACU|60|0|1060|N
20201118|ACAD|17755|0|45428|N
20201118|ACAM|780|0|1186|N
20201118|ACAMU|600|0|4750|N
20201118|ACAMW|1025|0|1050|N
20201118|ACB|2570605|5199|5723784|N
20201118|ACBI|375|0|775|N
20201118|ACC|2968|0|8864|N
20201118|ACCD|2765|0|4284|N
20201118|ACCO|15242|0|26803|N
20201118|ACEL|638|0|7145|N
20201118|ACER|1154|0|4715|N
20201118|ACES|13001|0|14784|N
20201118|ACET|176|0|942|N
20201118|ACEVW|925|0|1290|N
20201118|ACGL|18643|0|31096|N
20201118|ACGLO|928|0|2283|N
20201118|ACGLP|42|0|1045|N
20201118|ACH|2162|0|6103|N
20201118|ACHC|525|51|4716|N
20201118|ACHV|9115|736|16800|N
20201118|ACI|77247|0|166761|N
20201118|ACIA|12799|0|27411|N
