HTTP/1.1 200 OK
Date: Fri, 20 Nov 2020 03:41:18 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 19 Nov 2020 22:23:25 GMT
ETag: "464dfd-35891-5b47d2d30b218"
Accept-Ranges: bytes
Content-Length: 219281
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201119|A|11736|0|27296|N
20201119|AA|105513|0|232248|N
20201119|AAAU|6004|0|32455|N
20201119|AACG|15218|0|41915|N
20201119|AACQ|237|0|4582|N
20201119|AACQW|3325|0|4068|N
20201119|AADR|1|0|72|N
20201119|AAIC|873|0|6924|N
20201119|AAICpC|2|0|2|N
20201119|AAL|5134095|0|11202203|N
20201119|AAMC|40|0|40|N
20201119|AAN|2589|0|10925|N
20201119|AAOI|28026|0|60951|N
20201119|AAON|801|0|1413|N
20201119|AAP|189679|0|203035|N
20201119|AAPL|5699257|60|10162403|N
20201119|AAT|3291|0|7996|N
20201119|AAU|26712|1585|87221|N
20201119|AAWW|13555|0|21708|N
20201119|AAXJ|7236|0|8893|N
20201119|AAXN|26822|0|45496|N
20201119|AB|7877|0|16478|N
20201119|ABB|14460|0|32203|N
20201119|ABBV|144423|0|286191|N
20201119|ABC|7536|0|16700|N
20201119|ABCB|629|0|1243|N
20201119|ABCM|1575|0|2065|N
20201119|ABEO|217500|4410|329357|N
20201119|ABEQ|599|0|599|N
20201119|ABEV|658727|0|1228436|N
20201119|ABG|1391|0|1865|N
20201119|ABIO|22700|0|101102|N
20201119|ABM|3321|0|4243|N
20201119|ABMD|1460|0|2218|N
20201119|ABR|28723|0|74653|N
20201119|ABRpA|271|0|671|N
20201119|ABRpC|200|0|200|N
20201119|ABST|7013|0|7963|N
20201119|ABT|48562|0|90167|N
20201119|ABTX|1|0|16|N
20201119|ABUS|36783|0|197324|N
20201119|AC|3|0|22|N
20201119|ACA|5229|0|7910|N
20201119|ACAD|2227|0|35149|N
20201119|ACAM|1911|0|5528|N
20201119|ACAMU|7000|0|15100|N
20201119|ACAMW|1500|0|1500|N
20201119|ACB|1885134|3463|3669056|N
20201119|ACBI|324|0|765|N
20201119|ACC|722|0|3748|N
20201119|ACCD|2535|0|14909|N
20201119|ACCO|18920|0|36367|N
20201119|ACEL|585|0|4311|N
20201119|ACER|1428|0|2653|N
20201119|ACES|2569|0|4645|N
20201119|ACET|15|0|768|N
20201119|ACEVW|100|0|840|N
20201119|ACGL|12259|0|21363|N
20201119|ACGLO|19|0|271|N
20201119|ACGLP|30|0|647|N
20201119|ACH|195|0|2282|N
20201119|ACHC|96|0|4172|N
20201119|ACHV|12429|0|21711|N
20201119|ACI|59550|0|159704|N
20201119|ACIA|2508|0|30984|N
20201119|ACIO|4858|0|5288|N
20201119|ACIU|3180|0|13508|N
20201119|ACIW|2089|0|6116|N
20201119|ACLS|2152|0|3902|N
20201119|ACM|6022|0|36922|N
20201119|ACMR|2695|0|13015|N
20201119|ACN|6683|0|22341|N
20201119|ACND|451|0|471|N
20201119|ACOR|328828|0|490484|N
20201119|ACP|4070|0|6978|N
20201119|ACRE|1263|0|18981|N
20201119|ACRS|5228|0|21938|N
20201119|ACRX|45412|0|100768|N
20201119|ACSG|1|0|1|N
20201119|ACST|1671386|1750|3601507|N
20201119|ACTV|70|0|280|N
20201119|ACU|901|0|4354|N
20201119|ACV|126|0|612|N
20201119|ACVF|234|0|792|N
20201119|ACWI|6811|0|11377|N
20201119|ACWV|2611|0|13969|N
20201119|ACWX|5183|0|7445|N
20201119|ACY|328|0|1130|N
