HTTP/1.1 200 OK
Date: Tue, 24 Nov 2020 01:17:40 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 23 Nov 2020 22:23:46 GMT
ETag: "465a27-37daa-5b4cda5cb6538"
Accept-Ranges: bytes
Content-Length: 228778
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201123|A|34782|0|77273|N
20201123|AA|74538|0|373827|N
20201123|AAA|6|0|16|N
20201123|AAAU|9650|0|38759|N
20201123|AACG|2|0|3175|N
20201123|AACQ|457|0|9363|N
20201123|AACQU|12|0|22|N
20201123|AACQW|7800|0|11640|N
20201123|AAIC|12669|0|36091|N
20201123|AAL|6024859|0|17818062|N
20201123|AAMC|18|0|128|N
20201123|AAME|402|0|402|N
20201123|AAN|4900|0|21868|N
20201123|AAOI|26731|0|58305|N
20201123|AAON|762|0|1369|N
20201123|AAP|2915|0|16211|N
20201123|AAPL|9798679|2715|18739524|N
20201123|AAT|1219|0|4453|N
20201123|AAU|130460|0|188516|N
20201123|AAWW|6078|0|12870|N
20201123|AAXJ|22063|0|23054|N
20201123|AAXN|8300|0|21359|N
20201123|AB|8254|0|32951|N
20201123|ABB|23895|0|33171|N
20201123|ABBV|189666|2|333067|N
20201123|ABC|16654|5|32601|N
20201123|ABCB|509|0|1743|N
20201123|ABCM|1082|0|1671|N
20201123|ABEO|130559|0|324224|N
20201123|ABEV|673445|0|1428608|N
20201123|ABG|882|0|2366|N
20201123|ABIO|135471|385|272904|N
20201123|ABM|77|0|1667|N
20201123|ABMD|1045|0|1827|N
20201123|ABR|56670|0|131745|N
20201123|ABRpA|95|0|395|N
20201123|ABRpB|100|0|100|N
20201123|ABST|2797|0|10010|N
20201123|ABT|51050|203|270251|N
20201123|ABUS|129299|0|373692|N
20201123|AC|5|0|35|N
20201123|ACA|1176|0|4871|N
20201123|ACAD|6589|0|28506|N
20201123|ACAM|915|0|3853|N
20201123|ACAMW|35|0|2100|N
20201123|ACB|2596607|3077|6453209|N
20201123|ACBI|1000|0|1811|N
20201123|ACC|2031|100|4331|N
20201123|ACCD|6042|0|17277|N
20201123|ACCO|6580|0|40049|N
20201123|ACEL|3736|0|6318|N
20201123|ACER|3036|0|4271|N
20201123|ACES|6555|0|9049|N
20201123|ACET|102|0|501|N
20201123|ACEV|1|0|1104|N
20201123|ACEVW|1274|0|1274|N
20201123|ACGL|10517|9|35082|N
20201123|ACGLO|701|0|730|N
20201123|ACGLP|51|0|11349|N
20201123|ACH|5653|0|14643|N
20201123|ACHC|1086|0|4897|N
20201123|ACHV|3291|0|14914|N
20201123|ACI|131385|0|239620|N
20201123|ACIA|30986|0|44606|N
20201123|ACIO|2776|0|3602|N
20201123|ACIU|819|0|11181|N
20201123|ACIW|3887|0|25534|N
20201123|ACLS|11207|0|17306|N
20201123|ACM|67853|0|90978|N
20201123|ACMR|4709|0|7388|N
20201123|ACN|10341|0|15356|N
20201123|ACNB|9|0|14|N
20201123|ACND|100|0|101|N
20201123|ACND/WS|545|0|645|N
20201123|ACOR|220603|0|399931|N
20201123|ACP|7937|0|44815|N
20201123|ACRE|5000|0|10941|N
20201123|ACRS|4255|0|12047|N
20201123|ACRX|73209|0|228158|N
20201123|ACST|327047|0|1326125|N
20201123|ACTCU|260|0|376|N
20201123|ACTG|20414|0|24811|N
20201123|ACU|602|0|3047|N
20201123|ACV|2191|0|2441|N
20201123|ACVF|95|0|184|N
20201123|ACWI|11686|0|23999|N
20201123|ACWV|3491|0|15587|N
20201123|ACWX|8064|0|25096|N
20201123|ACY|1800|0|12115|N
20201123|ADAP|183490|1935|271595|N
20201123|ADBE|45067|33|105393|N
20201123|ADC|849|0|2695|N
20201123|ADCT|8584|0|34687|N
20201123|ADES|3211|0|8621|N
20201123|ADI|28630|0|43559|N
20201123|ADIL|53195|0|117094|N
20201123|ADILW|200|0|392|N
20201123|ADM|25670|0|42868|N
20201123|ADMA|209956|1150|552430|N
20201123|ADME|536|0|904|N
20201123|ADMP|274735|1097|1009353|N
20201123|ADMS|1567|0|5078|N
20201123|ADNT|3339|0|14475|N
20201123|ADOCU|425|0|6265|N
20201123|ADP|23722|0|37043|N
20201123|ADPT|6089|0|21693|N
20201123|ADRE|1398|0|2884|N
20201123|ADS|18266|0|38199|N
20201123|ADSK|15068|0|37477|N
20201123|ADT|56294|0|296117|N
20201123|ADTN|3756|0|9865|N
20201123|ADTX|104408|20|202718|N
20201123|ADUS|2607|0|3602|N
20201123|ADV|1401|0|2691|N
20201123|ADVM|19130|0|34272|N
20201123|ADVWW|505|0|505|N
20201123|ADX|11342|0|25775|N
20201123|ADXN|1|0|2|N
20201123|ADXS|31826|0|195598|N
20201123|AE|130|0|133|N
20201123|AEB|1300|0|2837|N
20201123|AEE|12534|0|23278|N
20201123|AEF|5507|0|7388|N
20201123|AEFC|200|0|842|N
20201123|AEG|39410|0|82246|N
20201123|AEGN|21|0|182|N
20201123|AEHL|66153|0|136429|N
20201123|AEHR|46524|0|101534|N
20201123|AEIS|4208|0|8054|N
20201123|AEL|3624|0|12644|N
20201123|AELpA|662|0|763|N
20201123|AELpB|4|0|177|N
20201123|AEM|50782|0|161240|N
20201123|AEMD|6805|0|23600|N
20201123|AENZ|400|0|3400|N
20201123|AEO|185016|0|478358|N
20201123|AEP|16322|0|73013|N
20201123|AEPPL|207|0|221|N
20201123|AEPPZ|230|0|230|N
20201123|AER|16628|0|39433|N
20201123|AERI|11981|0|23674|N
20201123|AES|28275|0|74146|N
20201123|AESE|161800|0|339179|N
20201123|AEY|47481|0|133586|N
20201123|AEYE|5588|0|17462|N
20201123|AEZS|554548|3141|1757654|N
20201123|AFC|6|0|90|N
20201123|AFG|1240|0|5641|N
20201123|AFGB|9|0|10|N
20201123|AFGC|370|0|372|N
20201123|AFGD|454|0|523|N
20201123|AFGE|200|0|200|N
20201123|AFI|7121|0|7915|N
20201123|AFIB|2860|0|4876|N
20201123|AFIN|17916|100|38998|N
20201123|AFINP|520|0|840|N
20201123|AFK|405|0|911|N
20201123|AFL|24075|25|64714|N
20201123|AFMD|60737|0|134353|N
20201123|AFT|2573|0|2865|N
20201123|AFYA|610|0|3176|N
20201123|AG|383308|0|764121|N
20201123|AGBAW|575|0|674|N
20201123|AGCO|3740|0|8149|N
20201123|AGCUU|755|0|1205|N
20201123|AGD|940|0|2120|N
20201123|AGE|15880|0|85778|N
20201123|AGEN|162820|100|286649|N
20201123|AGFS|2170|0|6893|N
20201123|AGG|72769|0|176841|N
20201123|AGGY|2116|0|9159|N
20201123|AGI|81548|0|514174|N
20201123|AGIO|8081|0|13641|N
20201123|AGLE|511|0|9640|N
20201123|AGM|155|0|883|N
20201123|AGMH|616|0|616|N
20201123|AGNC|291689|0|500435|N
20201123|AGNCM|2385|0|3783|N
20201123|AGNCN|2263|0|6692|N
20201123|AGNCO|1312|0|7977|N
20201123|AGNCP|6587|0|10123|N
20201123|AGO|4939|0|9445|N
20201123|AGOpB|293|0|293|N
20201123|AGOpE|16|0|24|N
20201123|AGOpF|250|0|445|N
20201123|AGQ|40484|0|202777|N
20201123|AGR|6592|0|17524|N
20201123|AGRO|657|0|6831|N
20201123|AGRX|159860|0|259743|N
20201123|AGS|2740|0|15166|N
20201123|AGT|4|0|4|N
20201123|AGTC|17739|0|85456|N
20201123|AGX|12|0|152|N
20201123|AGYS|2059|0|11705|N
20201123|AGZ|719|0|1773|N
20201123|AHC|3491|0|7087|N
20201123|AHCO|7016|0|15281|N
20201123|AHH|2496|0|29609|N
20201123|AHHpA|806|0|981|N
20201123|AHLpC|1360|0|1384|N
20201123|AHLpD|132|0|2668|N
20201123|AHPI|84880|0|151379|N
20201123|AHT|631812|16881|1054700|N
20201123|AHTpD|340|0|1623|N
20201123|AHTpF|1500|0|1500|N
20201123|AHTpG|312|0|760|N
20201123|AHTpH|1233|0|2388|N
20201123|AHTpI|137|0|1289|N
20201123|AIA|3693|0|8183|N
20201123|AIC|55|0|55|N
20201123|AIEQ|117|0|4300|N
20201123|AIF|140|0|453|N
20201123|AIG|45561|1195|115902|N
20201123|AIG/WS|1255|0|148872|N
20201123|AIGpA|25|0|706|N
20201123|AIH|5100|0|8997|N
20201123|AIHS|763038|3427|1393156|N
20201123|AIKI|46217|0|94538|N
20201123|AIM|222983|7423|539080|N
20201123|AIMC|396|0|2309|N
20201123|AIN|1775|0|3050|N
20201123|AINC|1037|0|1426|N
20201123|AINV|7381|0|46351|N
20201123|AIO|12941|0|26080|N
20201123|AIQ|3546|0|6219|N
20201123|AIR|6622|0|13879|N
20201123|AIRG|807|0|1980|N
20201123|AIRI|112445|0|268223|N
20201123|AIRR|331|0|704|N
20201123|AIRT|789|0|795|N
20201123|AIRTW|1293|0|5493|N
20201123|AIT|671|0|2008|N
20201123|AIV|22600|0|52762|N
20201123|AIZ|5939|0|7274|N
20201123|AJAX/U|1994|0|3544|N
20201123|AJG|3074|3|6620|N
20201123|AJRD|4096|0|21578|N
20201123|AJX|1106|0|4560|N
20201123|AKAM|13883|0|29345|N
20201123|AKBA|447582|358|870457|N
20201123|AKER|38835|0|77108|N
20201123|AKO/B|2|0|734|N
20201123|AKR|9510|0|28601|N
20201123|AKRO|1260|0|3130|N
20201123|AKTS|83693|6000|136879|N
20201123|AKTX|4949|0|7038|N
20201123|AKUS|73|0|112|N
20201123|AL|10671|0|20380|N
20201123|ALAC|1800|0|1893|N
20201123|ALACW|22288|0|40388|N
20201123|ALB|16313|0|61317|N
20201123|ALBO|2839|0|5079|N
20201123|ALC|15525|0|27587|N
20201123|ALDX|9266|0|21237|N
20201123|ALE|4737|0|8254|N
20201123|ALEC|17337|0|39746|N
20201123|ALEX|12731|0|16369|N
20201123|ALG|24|0|1230|N
20201123|ALGM|21954|0|45637|N
20201123|ALGN|20337|132|34256|N
20201123|ALGS|2938|0|4268|N
20201123|ALGT|1937|0|3115|N
20201123|ALIM|3068|0|9574|N
20201123|ALINpA|1900|0|2200|N
20201123|ALINpB|2573|0|2863|N
20201123|ALJJ|1739|0|12829|N
20201123|ALK|61353|0|139264|N
20201123|ALKS|10364|0|42908|N
20201123|ALL|21977|0|32996|N
20201123|ALLE|2467|0|5329|N
20201123|ALLK|2673|0|3776|N
20201123|ALLO|7768|0|19925|N
20201123|ALLT|805|0|5235|N
20201123|ALLY|22170|4|81801|N
20201123|ALLYpA|1907|0|4918|N
