HTTP/1.1 200 OK
Date: Sat, 28 Nov 2020 07:29:20 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 27 Nov 2020 22:24:37 GMT
ETag: "466ae6-33917-5b51e20349ab0"
Accept-Ranges: bytes
Content-Length: 211223
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201127|A|15479|0|20314|N
20201127|AA|85500|100|179670|N
20201127|AAAU|4651|0|36314|N
20201127|AACG|1800|0|10192|N
20201127|AACQ|3216|0|8358|N
20201127|AACQW|5000|0|11865|N
20201127|AAIC|8748|0|23377|N
20201127|AAL|5988506|1|13198261|N
20201127|AAMC|80|0|405|N
20201127|AAME|502|0|1655|N
20201127|AAN|2116|0|5106|N
20201127|AANw|100|0|100|N
20201127|AAOI|18514|0|35971|N
20201127|AAON|304|0|1278|N
20201127|AAP|3083|0|5154|N
20201127|AAPL|2615826|0|5738532|N
20201127|AAT|139|0|145|N
20201127|AAU|1728|15|21428|N
20201127|AAWW|1458|0|3461|N
20201127|AAXJ|6025|0|8469|N
20201127|AAXN|2535|0|10574|N
20201127|AB|9006|0|15731|N
20201127|ABB|5761|0|12336|N
20201127|ABBV|67633|300|135092|N
20201127|ABC|3895|4|8097|N
20201127|ABCB|3361|0|4138|N
20201127|ABCM|17|0|172|N
20201127|ABEO|527604|100|961195|N
20201127|ABEV|228933|0|698408|N
20201127|ABG|10|0|468|N
20201127|ABIO|45993|0|163742|N
20201127|ABM|268|0|2474|N
20201127|ABMD|1542|0|3003|N
20201127|ABR|16599|0|39557|N
20201127|ABRpC|100|0|100|N
20201127|ABST|175|0|280|N
20201127|ABT|12960|0|56824|N
20201127|ABTX|374|0|755|N
20201127|ABUS|260806|0|919433|N
20201127|AC|56|0|173|N
20201127|ACA|1037|0|1726|N
20201127|ACACU|100|0|600|N
20201127|ACAD|2287|0|16718|N
20201127|ACAM|2986|0|3029|N
20201127|ACB|4031734|126627|9640190|N
20201127|ACBI|161|0|437|N
20201127|ACC|1864|0|2410|N
20201127|ACCD|1019|0|7597|N
20201127|ACCO|1401|0|8122|N
20201127|ACEL|4585|0|7345|N
20201127|ACER|1427|0|16600|N
20201127|ACES|3977|0|6171|N
20201127|ACET|131|0|1496|N
20201127|ACEV|300|0|590|N
20201127|ACGL|9590|0|14924|N
20201127|ACGLO|85|0|175|N
20201127|ACGLP|139|0|315|N
20201127|ACH|5842|0|9751|N
20201127|ACHC|3163|1|4984|N
20201127|ACHV|3962|0|8957|N
20201127|ACI|33325|0|49777|N
20201127|ACIA|7034|0|7977|N
20201127|ACIC/U|500|0|4000|N
20201127|ACIO|2698|0|2698|N
20201127|ACIU|3014|0|10129|N
20201127|ACIW|515|0|2467|N
20201127|ACLS|1853|0|5931|N
20201127|ACM|2177|6|12896|N
20201127|ACMR|25280|0|31012|N
20201127|ACN|9229|0|16830|N
20201127|ACNB|126|0|171|N
20201127|ACND|1606|0|2213|N
20201127|ACOR|100831|0|210417|N
20201127|ACP|1500|0|4238|N
20201127|ACRE|421|0|1346|N
20201127|ACRS|5628|0|7482|N
20201127|ACRX|25434|0|61771|N
20201127|ACST|413382|330|1060255|N
20201127|ACTC|2289|0|2721|N
20201127|ACTCU|4128|0|11331|N
20201127|ACTCW|175|0|175|N
20201127|ACTG|5586|0|8114|N
20201127|ACTV|100|0|100|N
20201127|ACU|127|0|783|N
20201127|ACV|19|0|127|N
20201127|ACVF|145|0|145|N
20201127|ACWI|6316|0|7872|N
20201127|ACWV|124|0|3160|N
20201127|ACWX|5742|0|8380|N
20201127|ACY|154|0|755|N
20201127|ADAP|62426|0|155614|N
20201127|ADBE|33981|0|64483|N
20201127|ADC|3656|0|4625|N
20201127|ADCT|6787|0|9385|N
20201127|ADES|2124|0|4625|N
20201127|ADI|4878|0|14210|N
20201127|ADIL|8034|0|26388|N
20201127|ADM|28964|2|34941|N
20201127|ADMA|124183|275|432926|N
20201127|ADME|2179|0|2181|N
20201127|ADMP|257862|0|486121|N
20201127|ADMS|1247|0|2376|N
20201127|ADNT|4949|9|38715|N
20201127|ADP|4057|0|6807|N
20201127|ADPT|8398|0|13269|N
20201127|ADRE|2032|0|2035|N
20201127|ADS|2405|0|9052|N
20201127|ADSK|6449|0|22719|N
20201127|ADT|29294|0|95741|N
20201127|ADTN|8381|0|15637|N
20201127|ADTX|13661|0|38211|N
20201127|ADUS|514|0|715|N
20201127|ADVM|1304|0|6526|N
20201127|ADX|5505|0|14631|N
20201127|ADXS|1183545|3998|1937826|N
20201127|AE|200|0|250|N
20201127|AEB|60|0|185|N
20201127|AEE|4474|0|7608|N
20201127|AEG|29729|0|76023|N
20201127|AEGN|443|0|514|N
20201127|AEHL|9418|0|18716|N
20201127|AEHR|620|0|5921|N
20201127|AEIS|918|0|2402|N
20201127|AEL|814|0|2983|N
20201127|AELpA|11|0|229|N
20201127|AEM|11920|2|29642|N
20201127|AEMD|58983|0|113897|N
20201127|AENZ|11463|0|11463|N
20201127|AEO|65705|1|151800|N
20201127|AEP|8179|0|23252|N
20201127|AER|26737|0|38145|N
20201127|AERI|1007|0|3858|N
20201127|AES|15548|0|31956|N
20201127|AESE|159979|0|332362|N
20201127|AEY|52224|0|120125|N
20201127|AEYE|1489|0|2992|N
20201127|AEZS|134423|0|265539|N
20201127|AFG|601|0|932|N
20201127|AFGB|9|0|9|N
20201127|AFGC|75|0|115|N
20201127|AFGD|2|0|2|N
20201127|AFI|553|0|10115|N
20201127|AFIB|527|0|1195|N
20201127|AFIN|7921|0|14287|N
20201127|AFINP|1017|0|4621|N
20201127|AFK|294|0|494|N
20201127|AFL|10622|2|19163|N
20201127|AFMD|34906|0|77247|N
20201127|AFT|31|0|284|N
20201127|AFYA|125|0|186|N
20201127|AG|220566|0|371244|N
20201127|AGBA|308|0|3948|N
20201127|AGBAR|6550|0|10383|N
20201127|AGBAW|33609|0|54062|N
20201127|AGCO|329|0|2046|N
