HTTP/1.1 200 OK
Date: Tue, 01 Dec 2020 16:07:53 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 30 Nov 2020 22:21:01 GMT
ETag: "46717c-388d3-5b55a6cda7ec0"
Accept-Ranges: bytes
Content-Length: 231635
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201130|A|13651|0|38154|N
20201130|AA|94519|0|236183|N
20201130|AAAU|19018|0|53713|N
20201130|AACG|5|0|4155|N
20201130|AACQ|11214|0|14155|N
20201130|AACQU|100|0|19649|N
20201130|AACQW|43531|0|64985|N
20201130|AAIC|63748|2840|125001|N
20201130|AAICpB|100|0|150|N
20201130|AAICpC|1500|0|1550|N
20201130|AAL|8204621|0|19245468|N
20201130|AAMC|14|0|232|N
20201130|AAME|39|0|57|N
20201130|AAN|3348|0|8436|N
20201130|AAOI|10958|192|26750|N
20201130|AAON|968|0|1419|N
20201130|AAP|3598|0|7824|N
20201130|AAPL|7371512|0|16076766|N
20201130|AAT|651|0|2879|N
20201130|AAU|35281|0|85837|N
20201130|AAWW|6615|0|10929|N
20201130|AAXJ|11989|0|13065|N
20201130|AAXN|5080|0|12440|N
20201130|AB|10101|0|16069|N
20201130|ABB|12181|0|26935|N
20201130|ABBV|151625|0|283477|N
20201130|ABC|2517|0|11617|N
20201130|ABCB|1267|0|4848|N
20201130|ABCM|416|0|3625|N
20201130|ABEO|431940|0|699464|N
20201130|ABEQ|888|0|888|N
20201130|ABEV|1031624|0|2056591|N
20201130|ABG|553|0|2568|N
20201130|ABIO|17047|0|67211|N
20201130|ABM|1460|0|2175|N
20201130|ABMD|1235|0|2412|N
20201130|ABR|60239|0|143356|N
20201130|ABRpA|337|0|661|N
20201130|ABRpB|14|0|14|N
20201130|ABRpC|212|0|399|N
20201130|ABST|716|0|1147|N
20201130|ABT|25057|0|72377|N
20201130|ABTX|1093|0|2307|N
20201130|ABUS|257842|1000|616456|N
20201130|AC|45|0|92|N
20201130|ACA|1707|0|5717|N
20201130|ACACU|149|0|239|N
20201130|ACAD|5938|0|50209|N
20201130|ACAM|13835|0|14112|N
20201130|ACAMW|1551|0|3751|N
20201130|ACB|12851668|8086|25558384|N
20201130|ACBI|2083|0|8004|N
20201130|ACC|10588|100|14628|N
20201130|ACCD|4142|0|6941|N
20201130|ACCO|3296|0|17273|N
20201130|ACEL|7062|0|9217|N
20201130|ACER|1571|0|3870|N
20201130|ACES|6114|0|13836|N
20201130|ACET|923|0|4541|N
20201130|ACEVW|3860|0|3860|N
20201130|ACGL|33149|0|67245|N
20201130|ACGLO|958|0|999|N
20201130|ACGLP|184|0|1230|N
20201130|ACH|1643|0|21842|N
20201130|ACHC|1003|0|3150|N
20201130|ACHV|7106|3|16147|N
20201130|ACI|38054|0|113322|N
20201130|ACIA|3212|0|5162|N
20201130|ACIO|1073|0|4303|N
20201130|ACIU|8868|0|14286|N
20201130|ACIW|3562|0|7500|N
20201130|ACLS|2809|0|13451|N
20201130|ACM|3273|0|8878|N
20201130|ACMR|3704|0|12457|N
20201130|ACN|7006|0|16607|N
20201130|ACOR|172969|2600|281852|N
20201130|ACP|12389|0|26182|N
20201130|ACRE|15788|0|25654|N
20201130|ACRS|6401|0|7209|N
20201130|ACRX|37370|0|123946|N
20201130|ACSI|8|0|9|N
20201130|ACST|2092123|11|4146524|N
20201130|ACTC|4691|0|6191|N
20201130|ACTCU|3400|0|5147|N
20201130|ACTCW|6510|0|6806|N
20201130|ACTG|88380|0|128000|N
20201130|ACU|185|0|1598|N
20201130|ACV|1483|0|4652|N
20201130|ACVF|67|0|71|N
20201130|ACWF|155|0|461|N
20201130|ACWI|28808|0|47638|N
20201130|ACWV|2266|0|11246|N
20201130|ACWX|5645|0|27137|N
20201130|ACY|1|0|106|N
20201130|ADAP|47654|0|159453|N
20201130|ADBE|45754|0|93391|N
20201130|ADC|4335|0|5247|N
20201130|ADCT|2898|0|8905|N
20201130|ADES|588|0|15444|N
20201130|ADI|12637|0|25380|N
20201130|ADIL|209488|194|418608|N
20201130|ADM|21004|0|35116|N
20201130|ADMA|346885|0|881507|N
20201130|ADME|1344|0|1344|N
20201130|ADMP|150182|1430|437793|N
20201130|ADMS|2978|0|9791|N
20201130|ADNT|14767|0|46995|N
20201130|ADOCU|100|0|100|N
20201130|ADP|9679|0|16098|N
20201130|ADPT|1925|0|9982|N
20201130|ADRE|1285|0|2047|N
20201130|ADS|12685|0|26916|N
20201130|ADSK|19725|0|80214|N
20201130|ADT|65577|0|199478|N
20201130|ADTN|6861|0|10174|N
20201130|ADTX|21571|0|133060|N
20201130|ADUS|813|0|2499|N
20201130|ADV|1695|0|3394|N
20201130|ADVM|19748|0|30291|N
20201130|ADX|8246|0|22296|N
20201130|ADXS|949724|1001|1957565|N
20201130|AE|237|0|487|N
20201130|AEB|1550|0|1550|N
20201130|AEE|10894|0|22403|N
20201130|AEF|1164|0|1869|N
20201130|AEFC|1100|0|1145|N
20201130|AEG|52042|0|161940|N
20201130|AEGN|13|0|1408|N
20201130|AEHL|50596|434|125489|N
20201130|AEHR|1574|0|9821|N
20201130|AEIS|3403|0|5627|N
20201130|AEL|4930|0|10574|N
20201130|AELpA|293|0|574|N
20201130|AELpB|249|0|354|N
20201130|AEM|22950|0|66858|N
20201130|AEMD|33828|125|86134|N
20201130|AEO|53632|0|104478|N
20201130|AEP|33125|0|55763|N
20201130|AER|20876|100|54139|N
20201130|AERI|5251|0|11149|N
20201130|AES|29615|0|92658|N
20201130|AESE|80861|2900|224361|N
20201130|AEY|26922|0|76018|N
20201130|AEYE|7491|0|15557|N
20201130|AEZS|104029|226|351007|N
20201130|AFG|2245|0|3591|N
20201130|AFGB|49|0|49|N
20201130|AFGC|150|0|171|N
20201130|AFGD|818|0|878|N
20201130|AFI|11110|0|29078|N
20201130|AFIB|40|0|772|N
20201130|AFIF|1|0|1|N
20201130|AFIN|13689|0|40248|N
20201130|AFINP|455|0|1121|N
20201130|AFK|1044|0|1190|N
20201130|AFL|20709|0|152324|N
20201130|AFMD|27831|0|74631|N
20201130|AFT|248|0|960|N
20201130|AFTY|196|0|197|N
20201130|AFYA|2471|0|20035|N
20201130|AG|292769|0|456960|N
20201130|AGBA|766|0|4767|N
20201130|AGBAR|100|0|201|N
20201130|AGBAW|18645|0|57670|N
20201130|AGCO|4255|0|10275|N
20201130|AGCUU|4008|0|5857|N
20201130|AGD|1123|0|6568|N
20201130|AGE|2203|0|13866|N
20201130|AGEN|87613|0|183606|N
20201130|AGFS|2471|0|5106|N
20201130|AGG|65810|0|124335|N
20201130|AGGY|5469|0|14198|N
20201130|AGI|41368|0|124266|N
20201130|AGIO|7657|0|10602|N
20201130|AGLE|1323|0|30521|N
20201130|AGM|1009|0|1375|N
20201130|AGMH|48|0|56|N
20201130|AGMpC|180|0|180|N
20201130|AGNC|269989|114|438192|N
20201130|AGNCM|813|0|8493|N
20201130|AGNCN|517|0|4659|N
20201130|AGNCO|2437|0|6676|N
20201130|AGNCP|3697|0|4110|N
20201130|AGO|2250|0|9647|N
20201130|AGOpB|400|0|400|N
20201130|AGOpE|1061|0|1561|N
20201130|AGOpF|200|0|362|N
20201130|AGQ|75127|0|192434|N
20201130|AGR|3421|0|11647|N
20201130|AGRO|961|0|2466|N
20201130|AGRX|52313|0|160450|N
20201130|AGS|4226|0|12719|N
20201130|AGT|1|0|17|N
20201130|AGTC|2564|0|22582|N
20201130|AGX|289|0|1084|N
20201130|AGYS|296|0|2452|N
20201130|AGZ|581|0|4078|N
20201130|AHC|2804|0|11132|N
20201130|AHCO|6937|0|13839|N
20201130|AHH|561|0|14792|N
20201130|AHHpA|244|0|244|N
20201130|AHLpC|374|0|385|N
20201130|AHPI|10978|0|29395|N
20201130|AHT|512420|3984|840335|N
20201130|AHTpD|135|0|135|N
20201130|AHTpF|16|0|7581|N
20201130|AHTpG|186|0|3516|N
20201130|AHTpH|403|0|2003|N
20201130|AHTpI|445|0|5270|N
20201130|AIA|9240|0|16366|N
20201130|AIEQ|792|0|1719|N
20201130|AIF|639|0|1144|N
20201130|AIG|52341|0|147140|N
20201130|AIG/WS|9143|0|76225|N
20201130|AIGpA|473|0|587|N
20201130|AIH|7272|0|14191|N
20201130|AIHS|142222|933|290420|N
20201130|AIIQ|165|0|165|N
20201130|AIKI|259251|418|581501|N
20201130|AIM|83212|62|176530|N
20201130|AIMC|2118|0|3516|N
20201130|AIN|2127|1700|3166|N
20201130|AINC|45|0|58|N
20201130|AINV|4970|0|19373|N
20201130|AIO|924|0|8336|N
20201130|AIQ|752|0|2525|N
20201130|AIR|2659|0|6253|N
20201130|AIRG|2725|0|6806|N
20201130|AIRI|105774|200|279554|N
20201130|AIRR|130|0|237|N
20201130|AIRT|200|0|200|N
20201130|AIRTW|32|32|6662|N
20201130|AIT|604|0|1822|N
20201130|AIV|14910|0|23495|N
20201130|AIZ|1367|0|3775|N
20201130|AIZN|100|0|5900|N
20201130|AJAX/U|4540|0|9305|N
20201130|AJG|4106|0|8773|N
20201130|AJRD|5871|0|7968|N
20201130|AJX|1604|0|2829|N
20201130|AKAM|19985|0|26586|N
20201130|AKBA|169238|0|574360|N
20201130|AKER|32260|0|89356|N
20201130|AKO/B|146|0|166|N
20201130|AKR|12175|0|14344|N
20201130|AKRO|1845|0|5840|N
20201130|AKTS|40407|0|90971|N
20201130|AKTX|23507|0|44372|N
20201130|AKU|1100|0|1899|N
20201130|AKUS|41|0|497|N
20201130|AL|16522|0|25443|N
20201130|ALAC|1719|0|2176|N
20201130|ALACR|38449|0|43236|N
20201130|ALACW|18980|0|30802|N
20201130|ALB|9051|0|21034|N
20201130|ALBO|1394|0|2239|N
20201130|ALC|8132|0|14062|N
20201130|ALDX|17774|0|39052|N
20201130|ALE|6296|0|12207|N
20201130|ALEC|9824|0|19485|N
20201130|ALEX|7421|0|10531|N
20201130|ALFA|10|0|114|N
20201130|ALG|174|0|347|N
20201130|ALGM|16411|0|24669|N
20201130|ALGN|8272|0|19369|N
20201130|ALGS|432|0|1437|N
20201130|ALGT|2071|0|2661|N
20201130|ALIM|1357|0|4043|N
20201130|ALINpA|155|0|202|N
20201130|ALINpB|1447|0|1494|N
20201130|ALINpE|875|0|2419|N
20201130|ALJJ|15419|4|87554|N
20201130|ALK|59783|0|136586|N
20201130|ALKS|6082|0|28563|N
20201130|ALL|31851|0|47071|N
20201130|ALLE|1931|0|3009|N
20201130|ALLK|2010|0|3551|N
20201130|ALLO|4995|0|11508|N
20201130|ALLT|2226|0|3885|N
20201130|ALLY|31180|0|70062|N
20201130|ALLYpA|882|0|2037|N
20201130|ALLpG|133|0|593|N
20201130|ALLpH|77|0|378|N
20201130|ALLpI|328|0|375|N
20201130|ALNA|222190|1085|311318|N
20201130|ALNY|1748|103|6536|N
20201130|ALOT|86|0|2124|N
20201130|ALPN|1439|0|3843|N
20201130|ALPpQ|1336|0|1655|N
20201130|ALRM|5273|0|12284|N
20201130|ALRN|61926|0|102914|N
20201130|ALRS|192|0|229|N
20201130|ALSK|12867|0|184900|N
20201130|ALSN|4743|0|8502|N
20201130|ALT|133718|0|385497|N
20201130|ALTA|484|0|1149|N
20201130|ALTG|136|0|1485|N
20201130|ALTM|403|0|1942|N
20201130|ALTR|1325|0|3940|N
20201130|ALTY|1872|0|2999|N
20201130|ALUS/WS|150|0|150|N
20201130|ALV|2748|0|7668|N
20201130|ALVR|2374|0|5764|N
20201130|ALX|30|0|404|N
20201130|ALXN|8446|2|31413|N
20201130|ALXO|2819|0|5297|N
20201130|ALYA|1000|0|1658|N
20201130|ALpA|219|0|219|N
20201130|AM|196222|0|325672|N
20201130|AMAT|72597|0|169466|N
20201130|AMBA|9258|0|18755|N
20201130|AMBC|3728|0|3929|N
20201130|AMBC/WS|10|0|10|N
20201130|AMBO|28475|0|50398|N
20201130|AMC|1896636|49826|4467428|N
20201130|AMCI|638850|0|1218380|N
20201130|AMCIW|365283|0|566465|N
20201130|AMCR|14147|0|23762|N
20201130|AMCX|8943|0|30206|N
20201130|AMD|7360241|0|13920231|N
20201130|AME|4933|0|7174|N
20201130|AMED|2275|0|3791|N
20201130|AMEH|299|0|833|N
20201130|AMG|2547|0|6141|N
20201130|AMGN|43338|0|99437|N
20201130|AMH|9085|0|13399|N
20201130|AMHpD|121|0|121|N
20201130|AMHpE|96|0|96|N
20201130|AMHpG|31|0|31|N
20201130|AMJ|33086|0|60148|N
20201130|AMK|92|0|1341|N
20201130|AMKR|14600|0|46091|N
20201130|AMLP|16418|0|89570|N
20201130|AMN|6023|0|10740|N
20201130|AMNB|280|0|280|N
