HTTP/1.1 200 OK
Date: Wed, 02 Dec 2020 02:03:55 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 01 Dec 2020 22:21:39 GMT
ETag: "4676fe-38863-5b56e8cf1bca0"
Accept-Ranges: bytes
Content-Length: 231523
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201201|A|7316|0|21720|N
20201201|AA|322721|0|846995|N
20201201|AAA|200|0|210|N
20201201|AAAU|5579|0|10838|N
20201201|AACG|1|0|1040|N
20201201|AACQ|16860|0|27186|N
20201201|AACQU|2|0|202|N
20201201|AACQW|1314|0|3414|N
20201201|AAIC|26168|0|28786|N
20201201|AAICpB|700|0|700|N
20201201|AAL|6217180|0|15573705|N
20201201|AAMC|10|0|10|N
20201201|AAME|277|0|300|N
20201201|AAN|46572|1348|105533|N
20201201|AAOI|26156|0|41575|N
20201201|AAON|733|0|2273|N
20201201|AAP|3033|0|34503|N
20201201|AAPL|8951472|0|17114912|N
20201201|AAT|4474|0|6313|N
20201201|AAU|42623|13997|218509|N
20201201|AAWW|4925|0|14546|N
20201201|AAXJ|4571|0|19682|N
20201201|AAXN|3494|0|11817|N
20201201|AB|4734|0|15494|N
20201201|ABB|16518|0|28231|N
20201201|ABBV|110591|0|248782|N
20201201|ABC|6542|0|14688|N
20201201|ABCB|1592|0|3141|N
20201201|ABCM|295|0|513|N
20201201|ABEO|178508|0|382691|N
20201201|ABEQ|1196|0|2082|N
20201201|ABEV|591722|0|1876182|N
20201201|ABG|684|0|3399|N
20201201|ABIO|21718|0|34854|N
20201201|ABM|480|0|4980|N
20201201|ABMD|2191|0|4215|N
20201201|ABR|37302|0|102901|N
20201201|ABRpA|535|0|638|N
20201201|ABRpB|27|0|1057|N
20201201|ABRpC|133|0|133|N
20201201|ABST|1165|0|3841|N
20201201|ABT|24565|0|104141|N
20201201|ABTX|106|0|886|N
20201201|ABUS|362967|11709|757996|N
20201201|ACA|303|0|4771|N
