HTTP/1.1 200 OK
Date: Fri, 04 Dec 2020 01:47:22 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 03 Dec 2020 22:24:49 GMT
ETag: "4681ac-37350-5b596d3f76140"
Accept-Ranges: bytes
Content-Length: 226128
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201203|A|3477|0|9011|N
20201203|AA|167365|0|323408|N
20201203|AAA|41|0|41|N
20201203|AAAU|4291|0|6296|N
20201203|AACG|101|0|452|N
20201203|AACQ|1687|0|2541|N
20201203|AACQW|552|0|4155|N
20201203|AAIC|31780|0|44986|N
20201203|AAICpC|1000|0|2000|N
20201203|AAL|13522213|0|34009967|N
20201203|AAME|33|0|1022|N
20201203|AAN|6054|0|34851|N
20201203|AAOI|13091|0|30987|N
20201203|AAON|596|0|1006|N
20201203|AAP|6342|0|9790|N
20201203|AAPL|4303878|0|8867432|N
20201203|AAT|942|0|2274|N
20201203|AAU|279215|26146|491521|N
20201203|AAWW|7723|0|24273|N
20201203|AAXJ|3802|0|6213|N
20201203|AAXN|3688|0|7771|N
20201203|AB|13173|0|23180|N
20201203|ABB|19197|0|30525|N
20201203|ABBV|123408|0|206636|N
20201203|ABC|6502|0|13575|N
20201203|ABCB|713|0|3123|N
20201203|ABCM|1404|0|1623|N
20201203|ABEO|203793|2096|328441|N
20201203|ABEV|298323|0|1366681|N
20201203|ABG|8212|0|9996|N
20201203|ABIO|13916|0|31836|N
20201203|ABM|1758|0|2939|N
20201203|ABMD|809|0|1612|N
20201203|ABR|37451|0|87192|N
20201203|ABRpA|9|0|178|N
20201203|ABRpB|400|0|500|N
20201203|ABRpC|400|0|400|N
20201203|ABST|444|0|490|N
20201203|ABT|21587|0|72566|N
20201203|ABTX|214|0|253|N
20201203|ABUS|94162|0|175481|N
20201203|AC|94|0|94|N
20201203|ACA|155|0|931|N
20201203|ACAD|9847|0|39075|N
20201203|ACAM|4225|0|5886|N
