HTTP/1.1 200 OK
Date: Tue, 08 Dec 2020 10:51:46 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 07 Dec 2020 22:24:14 GMT
ETag: "46aacb-38c6e-5b5e74945fa88"
Accept-Ranges: bytes
Content-Length: 232558
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201207|A|9437|33|27210|N
20201207|AA|102097|0|294369|N
20201207|AAA|40|0|40|N
20201207|AAAU|7458|0|19798|N
20201207|AACG|166|0|879|N
20201207|AACQ|20232|0|29067|N
20201207|AACQU|4680|0|5182|N
20201207|AACQW|19783|0|38290|N
20201207|AAIC|23015|0|35514|N
20201207|AAICpC|936|0|1936|N
20201207|AAL|15327433|0|33578979|N
20201207|AAMC|9|0|10|N
20201207|AAN|14057|0|35820|N
20201207|AAOI|10776|0|33350|N
20201207|AAON|245|0|6903|N
20201207|AAP|7008|0|11224|N
20201207|AAPL|5500567|1777|10652279|N
20201207|AAT|657|0|7041|N
20201207|AAU|245853|0|523289|N
20201207|AAWW|8411|0|18351|N
20201207|AAXJ|22626|0|23403|N
20201207|AAXN|3525|0|14875|N
20201207|AB|19771|0|29625|N
20201207|ABB|5356|0|26475|N
20201207|ABBV|161267|27464|303372|N
20201207|ABC|8034|0|26310|N
20201207|ABCB|1405|0|2246|N
20201207|ABCM|3226|0|3726|N
20201207|ABEO|111502|0|223620|N
20201207|ABEV|1597677|0|3054556|N
20201207|ABG|4448|0|8053|N
20201207|ABIO|5827|0|22995|N
20201207|ABM|1087|0|6124|N
20201207|ABMD|485|0|1652|N
20201207|ABR|50527|1970|95627|N
20201207|ABRpA|325|0|1050|N
20201207|ABRpC|600|0|1200|N
20201207|ABST|1785|0|1795|N
20201207|ABT|92354|0|152758|N
20201207|ABTX|106|0|1358|N
20201207|ABUS|54576|0|181462|N
20201207|AC|101|0|118|N
20201207|ACA|235|0|3247|N
20201207|ACAD|8968|0|32873|N
20201207|ACAM|11633|0|21899|N
20201207|ACAMW|2100|0|6484|N
20201207|ACB|3446146|680|7322801|N
20201207|ACBI|1116|0|1972|N
20201207|ACC|5037|0|12263|N
20201207|ACCD|8829|0|11820|N
20201207|ACCO|1395|0|20490|N
20201207|ACEL|5644|200|6667|N
20201207|ACER|2031|0|7131|N
20201207|ACES|2867|0|6049|N
20201207|ACET|218|0|3788|N
20201207|ACEVW|515|0|3615|N
20201207|ACGL|19212|0|75860|N
20201207|ACGLO|178|0|181|N
20201207|ACGLP|57|0|2303|N
20201207|ACH|355|0|3995|N
20201207|ACHC|1137|0|4487|N
20201207|ACHV|13454|0|28018|N
20201207|ACI|147378|0|231807|N
20201207|ACIA|8662|0|31079|N
20201207|ACIO|2980|0|2980|N
20201207|ACIU|57705|0|67595|N
20201207|ACIW|4519|0|21085|N
20201207|ACLS|3280|0|8701|N
20201207|ACM|12773|0|20326|N
20201207|ACMR|1725|0|15263|N
20201207|ACN|10292|0|21870|N
20201207|ACNB|227|0|3973|N
20201207|ACND|52|0|678|N
20201207|ACND/U|2000|0|2700|N
20201207|ACND/WS|175|0|975|N
20201207|ACOR|440576|0|647632|N
20201207|ACP|1587|0|6882|N
20201207|ACRE|9158|0|36819|N
20201207|ACRS|4809|0|36330|N
20201207|ACRX|64149|0|150287|N
20201207|ACST|1285628|5738|2426000|N
20201207|ACTC|9567|0|13306|N
20201207|ACTCU|1512|0|7042|N
20201207|ACTCW|5730|0|14743|N
20201207|ACTG|2924|0|8185|N
20201207|ACTV|362|0|469|N
20201207|ACU|2121|0|4127|N
20201207|ACV|3775|0|5459|N
20201207|ACVF|5|0|8|N
20201207|ACWF|100|0|995|N
20201207|ACWI|8484|0|14732|N
20201207|ACWV|3915|0|10193|N
20201207|ACWX|8254|0|30555|N
20201207|ACY|2200|0|2301|N
20201207|ADAP|37207|0|146949|N
20201207|ADBE|61407|0|126323|N
20201207|ADC|2852|0|23296|N
20201207|ADCT|5320|0|11254|N
20201207|ADES|1904|0|6789|N
20201207|ADFI|1288|0|1288|N
20201207|ADI|7826|0|22460|N
20201207|ADIL|7940|0|34865|N
20201207|ADM|13605|0|30931|N
20201207|ADMA|228987|1000|489125|N
20201207|ADME|2234|0|3025|N
20201207|ADMP|199186|0|473480|N
20201207|ADMS|6188|0|14592|N
20201207|ADNT|3642|0|25608|N
20201207|ADP|5883|0|12574|N
20201207|ADPT|17149|0|60354|N
20201207|ADRE|2327|0|2386|N
20201207|ADS|17685|0|25132|N
20201207|ADSK|14603|0|34917|N
20201207|ADT|138676|0|398560|N
20201207|ADTN|6233|0|37102|N
20201207|ADTX|20589|0|63511|N
20201207|ADUS|137|0|1619|N
20201207|ADV|15690|0|20954|N
20201207|ADVM|19852|0|22789|N
20201207|ADX|4383|0|23998|N
20201207|ADXS|959166|1218|2087843|N
20201207|AE|7|0|27|N
20201207|AEB|100|0|180|N
20201207|AEE|26701|0|30822|N
20201207|AEF|50|0|2713|N
20201207|AEG|60190|0|114142|N
20201207|AEGN|1213|0|4005|N
20201207|AEHL|739|0|10329|N
20201207|AEHR|44857|0|89105|N
20201207|AEIS|3597|0|16389|N
20201207|AEL|4218|0|7417|N
20201207|AELpA|65|0|154|N
20201207|AELpB|239|0|432|N
20201207|AEM|30216|0|62562|N
20201207|AEMD|37866|1|63856|N
