HTTP/1.1 200 OK
Date: Fri, 11 Dec 2020 06:24:48 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 10 Dec 2020 22:24:25 GMT
ETag: "46bb0a-375ea-5b623a36f0590"
Accept-Ranges: bytes
Content-Length: 226794
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201210|A|11180|0|18126|N
20201210|AA|75241|0|250135|N
20201210|AAAU|4513|0|13660|N
20201210|AACG|25|0|493|N
20201210|AACQ|37861|0|69889|N
20201210|AACQU|81|0|81|N
20201210|AACQW|14403|0|20545|N
20201210|AAIC|13471|0|22866|N
20201210|AAICpC|1041|0|1072|N
20201210|AAL|5437926|0|13536750|N
20201210|AAMC|10|0|14|N
20201210|AAME|1075|0|1081|N
20201210|AAN|8294|0|28410|N
20201210|AAOI|23914|0|36888|N
20201210|AAON|542|0|3664|N
20201210|AAP|4715|0|11182|N
20201210|AAPL|3948090|1502|7022456|N
20201210|AAT|949|0|2610|N
20201210|AAU|27246|0|151666|N
20201210|AAWW|4713|0|11064|N
20201210|AAXJ|4551|0|5176|N
20201210|AAXN|12594|0|30266|N
20201210|AB|8220|0|62084|N
20201210|ABB|138796|0|269737|N
20201210|ABBV|111021|0|220512|N
20201210|ABC|3681|0|7740|N
20201210|ABCB|1957|0|2735|N
20201210|ABCM|525|0|1139|N
20201210|ABEO|87572|1115|233564|N
20201210|ABEQ|316|0|316|N
20201210|ABEV|509231|0|3654475|N
20201210|ABG|335|0|2461|N
20201210|ABIO|27366|0|80303|N
20201210|ABM|1675|0|3580|N
20201210|ABMD|1558|2|1988|N
20201210|ABNB|2129613|0|3895261|N
20201210|ABR|40480|0|71179|N
20201210|ABRpA|200|0|4400|N
20201210|ABST|827|0|1628|N
20201210|ABT|23050|0|122704|N
20201210|ABTX|149|0|998|N
20201210|ABUS|98063|288|209811|N
20201210|AC|6|0|9|N
20201210|ACA|142|0|6028|N
20201210|ACACU|870|0|6520|N
20201210|ACAD|5383|0|17148|N
20201210|ACAM|16815|0|24632|N
20201210|ACAMU|1001|0|1001|N
20201210|ACAMW|1500|0|13175|N
20201210|ACB|815747|0|2730831|N
20201210|ACBI|140|0|323|N
20201210|ACC|5874|0|11322|N
20201210|ACCD|11946|0|15472|N
20201210|ACCO|3556|0|6258|N
20201210|ACEL|12300|0|30384|N
20201210|ACER|931|0|7236|N
20201210|ACES|3575|0|5910|N
20201210|ACET|929|0|1300|N
20201210|ACEV|4001|0|4001|N
20201210|ACEVW|500|0|500|N
20201210|ACGL|15989|18|50093|N
20201210|ACGLO|311|0|317|N
20201210|ACGLP|43|0|955|N
20201210|ACH|925|0|2704|N
20201210|ACHC|5681|0|29142|N
20201210|ACHV|13354|0|20066|N
20201210|ACI|40134|0|182353|N
20201210|ACIA|1283|0|2172|N
20201210|ACIO|12|0|760|N
20201210|ACIU|34878|0|38812|N
20201210|ACIW|5258|0|11778|N
20201210|ACLS|1959|0|6423|N
20201210|ACM|798|0|10667|N
20201210|ACMR|8674|0|11120|N
20201210|ACN|6865|0|18731|N
20201210|ACNB|1|0|54|N
20201210|ACND|100|0|2601|N
20201210|ACND/WS|2100|0|2100|N
20201210|ACOR|240716|0|481446|N
20201210|ACP|1336|0|9132|N
20201210|ACRE|962|0|8662|N
20201210|ACRS|5753|100|9789|N
20201210|ACRX|153289|2000|252799|N
20201210|ACSI|201|0|201|N
20201210|ACST|856215|173|1579056|N
20201210|ACTC|7575|0|13941|N
20201210|ACTCU|1915|0|1965|N
20201210|ACTCW|4410|0|7328|N
20201210|ACTG|9137|0|14797|N
20201210|ACU|214|0|421|N
20201210|ACV|212|0|610|N
20201210|ACVF|100|0|140|N
20201210|ACWI|9515|0|26217|N
20201210|ACWV|506|0|24443|N
20201210|ACWX|4708|0|8254|N
20201210|ADAP|148105|0|210909|N
20201210|ADBE|63409|0|186036|N
20201210|ADC|1723|0|9843|N
20201210|ADCT|964|0|3665|N
20201210|ADES|2671|0|5704|N
20201210|ADI|10666|0|23694|N
20201210|ADIL|141059|600|369500|N
20201210|ADM|24635|0|68945|N
20201210|ADMA|249636|0|894622|N
20201210|ADME|100|0|200|N
20201210|ADMP|366929|5700|947951|N
20201210|ADMS|5407|0|10121|N
20201210|ADNT|2934|0|6913|N
20201210|ADOC|52|0|52|N
20201210|ADP|10292|0|26756|N
20201210|ADPT|7851|0|27269|N
20201210|ADRE|1065|0|1092|N
20201210|ADS|24118|6577|33199|N
20201210|ADSK|17666|0|41104|N
20201210|ADT|620701|0|1019166|N
20201210|ADTN|1043|0|13336|N
20201210|ADTX|201519|1671|462211|N
20201210|ADUS|325|0|782|N
20201210|ADV|19584|0|36940|N
20201210|ADVM|10084|0|22308|N
20201210|ADX|10422|521|16466|N
20201210|ADXN|7180|0|9195|N
20201210|ADXS|552850|967|1170682|N
20201210|AE|2123|0|4119|N
20201210|AEB|200|0|400|N
20201210|AEE|7155|0|11791|N
20201210|AEF|1700|0|2000|N
20201210|AEFC|100|0|230|N
20201210|AEG|59090|0|136745|N
20201210|AEGN|33|0|461|N
