HTTP/1.1 200 OK
Date: Tue, 15 Dec 2020 12:44:22 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 14 Dec 2020 22:24:09 GMT
ETag: "46c712-38d6e-5b67419d8b398"
Accept-Ranges: bytes
Content-Length: 232814
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201214|A|3767|0|9547|N
20201214|AA|132056|0|443454|N
20201214|AAA|2|0|2|N
20201214|AAAU|3766|0|9028|N
20201214|AACG|2|0|5704|N
20201214|AACQ|47138|0|106998|N
20201214|AACQU|490|0|520|N
20201214|AACQW|13280|0|42179|N
20201214|AADR|123|0|643|N
20201214|AAIC|8998|0|25141|N
20201214|AAICpB|1|0|601|N
20201214|AAICpC|1020|0|2272|N
20201214|AAL|7576347|0|16375634|N
20201214|AAME|2|0|11|N
20201214|AAN|12771|0|34631|N
20201214|AAOI|20303|0|33507|N
20201214|AAON|211|0|2419|N
20201214|AAP|9909|0|19025|N
20201214|AAPL|5673424|1887|9122798|N
20201214|AAT|2042|0|4296|N
20201214|AAU|144179|0|231101|N
20201214|AAWW|3460|0|6477|N
20201214|AAXJ|4624|0|10031|N
20201214|AAXN|25535|0|45646|N
20201214|AB|11391|0|38522|N
20201214|ABB|9071|0|24035|N
20201214|ABBV|141606|0|302088|N
20201214|ABC|3041|0|13974|N
20201214|ABCB|1164|0|8244|N
20201214|ABCL|54810|6043|139719|N
20201214|ABCM|694|0|933|N
20201214|ABEO|98869|0|201225|N
20201214|ABEV|904114|40|1772456|N
20201214|ABG|475|0|1520|N
20201214|ABIO|12490|0|35847|N
20201214|ABM|811|0|1784|N
20201214|ABMD|2735|0|4369|N
20201214|ABNB|865895|14054|1785185|N
20201214|ABR|35755|0|134240|N
20201214|ABRpC|200|0|600|N
20201214|ABST|311|0|465|N
20201214|ABT|45097|0|126032|N
20201214|ABTX|252|0|537|N
20201214|ABUS|2146347|0|4008685|N
20201214|ACA|1248|0|2809|N
20201214|ACACU|2641|0|2979|N
20201214|ACAD|11100|0|40799|N
20201214|ACAM|12885|0|16966|N
20201214|ACAMW|16305|0|27640|N
20201214|ACB|1113100|0|2147029|N
20201214|ACBI|97|0|3155|N
20201214|ACC|4336|0|9833|N
20201214|ACCD|4200|0|10062|N
20201214|ACCO|9529|0|15927|N
20201214|ACEL|2207|0|11678|N
20201214|ACER|2598|0|4362|N
20201214|ACES|5063|0|8261|N
20201214|ACET|769|0|2350|N
20201214|ACEV|1|0|178|N
20201214|ACEVW|331|0|1060|N
20201214|ACGL|25597|0|71200|N
20201214|ACGLO|105|0|382|N
20201214|ACGLP|36|0|5736|N
20201214|ACH|339|0|1740|N
20201214|ACHC|3293|0|11916|N
20201214|ACHV|9459|0|19019|N
20201214|ACI|27452|0|66927|N
20201214|ACIA|3736|0|13106|N
20201214|ACIC/U|1514|0|3414|N
20201214|ACIO|17841|0|18223|N
20201214|ACIU|2844|0|23810|N
20201214|ACIW|1476|0|6543|N
20201214|ACLS|2427|0|4907|N
20201214|ACM|15367|100|32374|N
20201214|ACMR|3442|0|7789|N
20201214|ACN|12129|0|22978|N
20201214|ACNB|1|0|1|N
20201214|ACND|530|0|2653|N
20201214|ACND/WS|101|0|601|N
20201214|ACOR|116566|0|521737|N
