HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:43 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 16 Dec 2020 22:23:48 GMT
ETag: "46d1a2-37364-5b69c54498cc8"
Accept-Ranges: bytes
Content-Length: 226148
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201216|A|14321|0|30705|N
20201216|AA|262279|0|552160|N
20201216|AAAU|301|0|12146|N
20201216|AACG|709|0|6711|N
20201216|AACQ|8892|0|61108|N
20201216|AACQU|389|0|1489|N
20201216|AACQW|5913|5|13101|N
20201216|AAIC|26900|260|36033|N
20201216|AAL|5108342|0|11704244|N
20201216|AAMC|75|0|114|N
20201216|AAME|5|0|74|N
20201216|AAN|6409|0|17957|N
20201216|AAOI|11279|0|24295|N
20201216|AAON|570|0|2265|N
20201216|AAP|5277|0|8453|N
20201216|AAPL|9632214|462|15152788|N
20201216|AAT|1244|0|5917|N
20201216|AAU|61705|0|170649|N
20201216|AAWW|2889|0|9828|N
20201216|AAXJ|1444|0|3909|N
20201216|AAXN|36242|0|71241|N
20201216|AB|12833|0|61194|N
20201216|ABB|13398|0|18609|N
20201216|ABBV|176872|0|349836|N
20201216|ABC|4194|0|8192|N
20201216|ABCB|3779|0|7636|N
20201216|ABCL|81306|3078|162768|N
20201216|ABCM|201|0|1028|N
20201216|ABEO|190192|0|411016|N
20201216|ABEQ|61|0|63|N
20201216|ABEV|569124|0|1104027|N
20201216|ABG|1656|0|2179|N
20201216|ABIO|4341|0|27300|N
20201216|ABM|9004|0|11858|N
20201216|ABMD|441|0|2393|N
20201216|ABNB|1279696|235|2579590|N
20201216|ABR|38460|0|82473|N
20201216|ABRpB|225|0|225|N
20201216|ABST|492|0|905|N
20201216|ABT|51441|0|167701|N
20201216|ABTX|20|0|1691|N
20201216|ABUS|413313|7116|1329625|N
20201216|AC|71|0|147|N
20201216|ACA|247|0|3585|N
20201216|ACAD|14397|53|44719|N
20201216|ACAM|2673|0|21485|N
20201216|ACAMW|805|0|14405|N
20201216|ACB|1384824|0|3295486|N
20201216|ACBI|100|0|610|N
20201216|ACC|3446|0|7590|N
20201216|ACCD|8288|0|14370|N
20201216|ACCO|14432|0|15244|N
20201216|ACEL|3239|0|11415|N
20201216|ACER|2250|0|8043|N
20201216|ACES|6028|0|9361|N
20201216|ACET|427|0|2044|N
20201216|ACEV|496|0|498|N
20201216|ACEVW|21000|0|21000|N
20201216|ACGL|17996|0|50729|N
20201216|ACGLO|56|0|224|N
20201216|ACGLP|396|0|632|N
20201216|ACH|2631|0|4034|N
20201216|ACHC|1567|0|4216|N
20201216|ACHV|17738|0|25530|N
20201216|ACI|26557|0|77327|N
20201216|ACIA|3477|0|7161|N
20201216|ACIU|1489|0|22432|N
20201216|ACIW|446|0|2139|N
20201216|ACLS|1459|0|4040|N
20201216|ACM|5861|0|16154|N
20201216|ACMR|1975|0|6096|N
20201216|ACN|12137|0|23689|N
20201216|ACNB|27|0|48|N
20201216|ACND|138|0|1115|N
20201216|ACND/U|3|0|105|N
20201216|ACND/WS|510|0|1073|N
20201216|ACOR|223243|0|559555|N
20201216|ACP|1887|0|4416|N
20201216|ACRE|9471|0|15958|N
20201216|ACRS|1016033|767|1884700|N
20201216|ACRX|60920|0|177672|N
20201216|ACST|338719|0|759237|N
20201216|ACTC|1604|0|6132|N
20201216|ACTCU|2743|0|6144|N
20201216|ACTCW|1966|22|1991|N
20201216|ACTG|732|0|10871|N
20201216|ACU|104|0|2749|N
20201216|ACV|1427|0|2331|N
20201216|ACWF|543|0|645|N
20201216|ACWI|9599|0|29849|N
20201216|ACWV|603|0|21328|N
20201216|ACWX|13340|0|16866|N
20201216|ACY|2566|215|4834|N
20201216|ADAP|66930|0|223312|N
20201216|ADBE|18011|0|72883|N
20201216|ADC|13501|0|15912|N
20201216|ADCT|3742|0|8227|N
20201216|ADES|1792|0|3961|N
20201216|ADI|5371|0|17199|N
20201216|ADIL|10333|0|31061|N
20201216|ADM|19146|0|34226|N
20201216|ADMA|119695|0|373025|N
20201216|ADME|723|0|731|N
20201216|ADMP|67341|0|231739|N
20201216|ADMS|18895|0|53562|N
20201216|ADNT|2091|0|18180|N
20201216|ADOC|7940|0|10573|N
20201216|ADOCW|501|0|12301|N
20201216|ADP|3205|0|18149|N
20201216|ADPT|3785|0|12920|N
20201216|ADRE|459|0|1593|N
20201216|ADS|14750|3566|23236|N
20201216|ADSK|12309|0|31788|N
20201216|ADT|35219|0|131730|N
20201216|ADTN|5433|0|8618|N
20201216|ADTX|45751|1495|130459|N
20201216|ADUS|187|0|639|N
20201216|ADV|35927|0|42894|N
20201216|ADVM|4825|0|51916|N
20201216|ADX|7317|0|25942|N
20201216|ADXS|465717|100|1535244|N
20201216|AE|401|0|1189|N
20201216|AEB|200|0|1063|N
20201216|AEE|6527|0|9907|N
20201216|AEF|3524|0|8147|N
20201216|AEFC|100|0|278|N
20201216|AEG|13120|0|97378|N
20201216|AEGN|253|0|1208|N
20201216|AEHL|14108|0|37634|N
20201216|AEHR|1541|0|13294|N
20201216|AEIS|1855|0|6617|N
20201216|AEL|853|0|3256|N
20201216|AEM|38161|0|69902|N
20201216|AEMD|6474683|26100|13230637|N
20201216|AEO|16096|0|41788|N
20201216|AEP|16237|0|46209|N
20201216|AEPPZ|2|0|102|N
20201216|AER|5613|0|12159|N
20201216|AERI|329|0|9062|N
20201216|AES|38766|0|86326|N
20201216|AESE|490115|23490|838220|N
20201216|AEY|23663|0|43987|N
20201216|AEYE|9997|0|24311|N
20201216|AEZS|154259|0|233200|N
20201216|AFC|485|0|685|N
20201216|AFG|1914|0|3864|N
20201216|AFGB|9|0|63|N
20201216|AFGC|158|0|389|N
20201216|AFGD|163|0|576|N
20201216|AFI|9931|0|12872|N
20201216|AFIB|258|0|1781|N
20201216|AFIN|13916|0|25757|N
20201216|AFINP|137|0|2000|N
20201216|AFK|1418|0|1538|N
20201216|AFL|25404|0|50253|N
20201216|AFMD|19416|0|73252|N
20201216|AFT|2|0|717|N
20201216|AFYA|34482|0|41022|N
20201216|AG|253115|0|854443|N
20201216|AGC|1567|0|2123|N
20201216|AGCO|13885|0|24108|N
20201216|AGCUU|803|0|1053|N
20201216|AGD|462|0|1705|N
20201216|AGE|10274|0|20400|N
20201216|AGEN|38314|0|123975|N
20201216|AGFS|83|0|496|N
20201216|AGG|217889|0|305184|N
20201216|AGGY|7882|0|22207|N
20201216|AGI|31283|0|140482|N
20201216|AGIO|3458|14|20115|N
20201216|AGLE|605|0|4247|N
20201216|AGM|256|0|2625|N
20201216|AGMH|2|0|7|N
20201216|AGNC|151093|0|262960|N
20201216|AGNCM|1121|0|1295|N
20201216|AGNCN|1284|0|3993|N
20201216|AGNCO|7|0|507|N
20201216|AGNCP|1004|0|2260|N
20201216|AGO|1548|0|4172|N
20201216|AGOpB|40|0|40|N
20201216|AGOpE|400|0|1559|N
20201216|AGOpF|84|0|84|N
20201216|AGQ|40796|0|166192|N
20201216|AGR|6388|0|11387|N
20201216|AGRO|395|0|5507|N
20201216|AGRX|78544|0|254513|N
20201216|AGS|5256|0|13511|N
20201216|AGTC|7592|0|20692|N
20201216|AGX|1651|0|2920|N
20201216|AGYS|210|0|2062|N
20201216|AGZ|1479|0|4087|N
20201216|AHACW|2500|0|2500|N
20201216|AHC|1421|0|3013|N
20201216|AHCO|4738|0|20024|N
20201216|AHH|937|0|9282|N
20201216|AHHpA|1045|0|1045|N
20201216|AHLpC|375|0|885|N
20201216|AHLpE|100|0|286|N
20201216|AHPI|5238|0|22921|N
20201216|AHT|239276|3783|734916|N
20201216|AHTpF|205|0|205|N
20201216|AHTpG|200|0|1300|N
20201216|AI|435195|1000|937933|N
20201216|AIA|1444|0|1743|N
20201216|AIEQ|65|0|446|N
20201216|AIF|700|0|3421|N
20201216|AIG|64415|0|102708|N
20201216|AIG/WS|28740|440|42694|N
20201216|AIGpA|595|0|3286|N
20201216|AIH|1150|0|5691|N
20201216|AIHS|18595|0|114027|N
20201216|AIIQ|37|0|37|N
20201216|AIKI|57465|0|176718|N
20201216|AIM|43358|0|131702|N
20201216|AIMC|342|0|1819|N
20201216|AIN|405|0|1079|N
20201216|AINC|3077|0|3522|N
20201216|AINV|9585|0|63786|N
20201216|AIO|3835|0|9320|N
20201216|AIQ|2855|0|3172|N
20201216|AIR|5593|0|8481|N
20201216|AIRC|16083|0|49292|N
20201216|AIRG|274|0|2706|N
20201216|AIRI|3759|0|9840|N
20201216|AIRR|704|0|734|N
20201216|AIRT|2|0|912|N
20201216|AIT|445|0|731|N
20201216|AIV|2751787|132265|6599641|N
20201216|AIZ|573|0|1302|N
20201216|AJAX/U|10140|0|31458|N
20201216|AJG|4817|0|11212|N
20201216|AJRD|4814|0|7864|N
20201216|AJX|192|0|2570|N
20201216|AKAM|11312|0|30389|N
20201216|AKBA|209951|624|487558|N
20201216|AKER|2932|0|22421|N
20201216|AKO/A|19|0|19|N
20201216|AKO/B|200|0|400|N
20201216|AKR|1321|0|2001|N
20201216|AKRO|13250|0|20252|N
20201216|AKTS|107896|1500|191929|N
20201216|AKTX|22589|0|35453|N
20201216|AKU|8100|0|9800|N
20201216|AKUS|579|0|841|N
20201216|AL|12160|0|18463|N
20201216|ALAC|353|0|1660|N
20201216|ALACW|7984|27|11360|N
20201216|ALB|5241|0|16117|N
20201216|ALBO|901|0|1558|N
20201216|ALC|5420|0|9289|N
20201216|ALCO|1641|0|1684|N
20201216|ALDX|35010|0|110636|N
20201216|ALE|5275|0|6921|N
20201216|ALEC|10860|0|37704|N
20201216|ALEX|221|0|2321|N
20201216|ALFA|37|0|53|N
20201216|ALG|60|0|357|N
20201216|ALGM|19351|0|29562|N
20201216|ALGN|2800|0|4874|N
20201216|ALGS|7519|0|18661|N
20201216|ALGT|568|0|1796|N
20201216|ALIM|622|0|5992|N
20201216|ALINpA|997|0|997|N
20201216|ALINpB|600|0|705|N
20201216|ALJJ|2538|0|3294|N
20201216|ALK|33729|0|75771|N
20201216|ALKS|5573|51|24794|N
20201216|ALL|11188|0|21551|N
20201216|ALLE|2765|0|7421|N
20201216|ALLK|1416|0|3043|N
20201216|ALLO|54945|0|114611|N
20201216|ALLT|1996|0|4667|N
20201216|ALLY|39069|0|71450|N
20201216|ALLYpA|1999|0|6211|N
20201216|ALLpB|500|0|1160|N
20201216|ALLpG|1430|0|1586|N
20201216|ALLpH|4211|0|6281|N
20201216|ALNA|74344|0|110461|N
20201216|ALNY|2986|0|15276|N
20201216|ALOT|100|0|1164|N
20201216|ALPN|1134|0|3036|N
20201216|ALPpQ|9|0|111|N
20201216|ALRM|5456|0|44667|N
20201216|ALRN|34972|0|118897|N
20201216|ALRS|293|0|352|N
20201216|ALSK|7428|0|12709|N
20201216|ALSN|2455|0|4787|N
20201216|ALT|49806|0|103378|N
20201216|ALTA|541|0|612|N
20201216|ALTG|14|0|571|N
20201216|ALTL|3|0|1618|N
20201216|ALTM|941|0|1353|N
20201216|ALTR|189|0|3168|N
20201216|ALTY|176|0|2161|N
20201216|ALUS|402|0|411|N
20201216|ALUS/WS|450|0|450|N
20201216|ALV|723|0|831|N
20201216|ALVR|3504|0|6319|N
20201216|ALX|93|0|111|N
20201216|ALXN|34957|1|122032|N
20201216|ALXO|6102|0|15035|N
20201216|ALpA|29|0|458|N
20201216|AM|95682|0|244570|N
20201216|AMAL|2620|0|4766|N
20201216|AMAT|34610|0|192678|N
20201216|AMBA|6044|0|16963|N
20201216|AMBC|1262|0|11104|N
20201216|AMBO|4112|0|12319|N
20201216|AMC|3918590|183795|6392199|N
20201216|AMCI|42757|1649|132682|N
20201216|AMCIW|40770|199|82315|N
20201216|AMCR|45097|0|67597|N
20201216|AMCX|2025|191|5001|N
20201216|AMD|2579741|0|6393496|N
20201216|AME|260|0|2664|N
20201216|AMED|455|0|1714|N
20201216|AMEH|567|0|1782|N
20201216|AMG|345|0|1377|N
20201216|AMGN|8423|16|29668|N
20201216|AMH|4160|0|53478|N
20201216|AMHpD|125|0|127|N
20201216|AMHpE|58|0|116|N
