HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:27 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 22 Dec 2020 22:24:18 GMT
ETag: "46e7ee-38d64-5b715091f3288"
Accept-Ranges: bytes
Content-Length: 232804
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201222|A|5087|0|15847|N
20201222|AA|68788|0|201730|N
20201222|AAA|56|0|56|N
20201222|AAAU|2137|0|31792|N
20201222|AACG|2110|0|3211|N
20201222|AACQ|43457|197|118927|N
20201222|AACQU|58|0|244|N
20201222|AACQW|35287|0|47186|N
20201222|AAIC|484|0|10989|N
20201222|AAICpB|9|0|9|N
20201222|AAICpC|478|0|1136|N
20201222|AAL|6256305|0|15068686|N
20201222|AAMC|5|0|5|N
20201222|AAME|26|0|140|N
20201222|AAN|5749|0|21276|N
20201222|AAOI|32717|0|64424|N
20201222|AAON|1293|0|1818|N
20201222|AAP|3989|1|6457|N
20201222|AAPL|15572010|6165|27600065|N
20201222|AAT|347|0|1106|N
20201222|AAU|410230|2750|863532|N
20201222|AAWW|4788|0|10341|N
20201222|AAXJ|3421|0|45233|N
20201222|AAXN|20377|0|38066|N
20201222|AB|7217|0|22056|N
20201222|ABB|14837|0|28728|N
20201222|ABBV|148088|0|250042|N
20201222|ABC|5022|0|15702|N
20201222|ABCB|2178|0|3416|N
20201222|ABCL|37307|1431|67845|N
20201222|ABCM|134|0|412|N
20201222|ABEO|125843|4|353534|N
20201222|ABEV|556501|0|1055740|N
20201222|ABG|626|0|1525|N
20201222|ABIO|250751|700|560067|N
20201222|ABM|2614|0|3365|N
20201222|ABMD|2026|0|4350|N
20201222|ABNB|735778|0|1557128|N
20201222|ABR|31583|0|93651|N
20201222|ABRpA|300|0|300|N
20201222|ABRpB|450|0|450|N
20201222|ABST|291|0|672|N
20201222|ABT|25799|0|94499|N
20201222|ABUS|390315|0|935472|N
20201222|AC|100|0|100|N
20201222|ACA|27|0|1710|N
20201222|ACAC|890|0|1197|N
20201222|ACACU|1041|0|1441|N
20201222|ACAD|6846|0|27494|N
20201222|ACAM|6443|0|25264|N
20201222|ACAMW|391|0|13655|N
20201222|ACB|751284|0|1940156|N
20201222|ACBI|318|0|554|N
20201222|ACC|5993|0|7833|N
20201222|ACCD|8474|0|12040|N
20201222|ACCO|7198|0|44650|N
20201222|ACEL|2614|0|11984|N
20201222|ACER|5997|0|30862|N
