HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:19 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 24 Dec 2020 22:23:53 GMT
ETag: "46f291-35141-5b73d4344f510"
Accept-Ranges: bytes
Content-Length: 217409
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201224|A|2336|0|5280|N
20201224|AA|56671|100|123205|N
20201224|AAA|29|0|29|N
20201224|AAAU|1187|0|11124|N
20201224|AACQ|52756|0|119985|N
20201224|AACQU|450|0|541|N
20201224|AACQW|26456|0|38935|N
20201224|AAIC|2490|0|7729|N
20201224|AAICpC|100|0|100|N
20201224|AAL|2688993|0|5906838|N
20201224|AAME|100|0|399|N
20201224|AAN|2257|0|4653|N
20201224|AAOI|14648|0|25033|N
20201224|AAON|179|0|271|N
20201224|AAP|735|10|1912|N
20201224|AAPL|5364723|935|9280874|N
20201224|AAT|388|0|689|N
20201224|AAU|138390|246|383151|N
20201224|AAWW|1646|0|3352|N
20201224|AAXJ|1752|0|4394|N
20201224|AAXN|11624|0|15606|N
20201224|AB|2871|0|4861|N
20201224|ABB|10523|0|14426|N
20201224|ABBV|45830|0|83621|N
20201224|ABC|7449|15|10747|N
20201224|ABCB|577|0|963|N
20201224|ABCL|35644|0|59235|N
20201224|ABCM|2|0|818|N
20201224|ABEO|170778|1667|320414|N
20201224|ABEV|122055|0|273876|N
20201224|ABG|226|0|324|N
20201224|ABIO|52163|3132|71625|N
20201224|ABM|269|0|4532|N
20201224|ABMD|36|0|726|N
20201224|ABNB|245086|0|516281|N
20201224|ABR|15850|0|45099|N
20201224|ABRpC|593|0|1893|N
20201224|ABST|134|0|1254|N
20201224|ABT|13947|0|60551|N
20201224|ABTX|206|0|357|N
20201224|ABUS|173403|0|530608|N
20201224|ACAC|50|0|60|N
20201224|ACACU|50|0|75|N
20201224|ACACW|402|0|702|N
20201224|ACAD|1951|0|6090|N
20201224|ACAM|8051|0|10871|N
20201224|ACAMW|400|0|9720|N
20201224|ACB|946004|0|1589041|N
20201224|ACBI|1000|0|4106|N
20201224|ACC|2250|0|4948|N
20201224|ACCD|3526|0|6481|N
20201224|ACCO|6081|0|10136|N
20201224|ACEL|1066|0|2397|N
20201224|ACER|10|0|1519|N
20201224|ACES|3164|0|6741|N
20201224|ACEV|7515|0|13240|N
20201224|ACEVW|3800|0|9196|N
20201224|ACGL|3913|0|17859|N
20201224|ACGLO|420|0|529|N
20201224|ACGLP|50|0|108|N
20201224|ACH|54|0|816|N
20201224|ACHC|606|0|1007|N
20201224|ACHV|1368|0|7465|N
20201224|ACI|20598|0|65358|N
20201224|ACIA|385|0|1099|N
20201224|ACIC|8429|0|9779|N
20201224|ACIO|685|0|890|N
20201224|ACIU|22|0|587|N
20201224|ACIW|789|0|1471|N
20201224|ACKIU|375|0|1340|N
20201224|ACLS|888|0|2312|N
20201224|ACM|2571|0|5292|N
20201224|ACMR|2387|0|4945|N
20201224|ACN|3478|0|9010|N
20201224|ACNB|83|0|103|N
20201224|ACND|139|0|339|N
20201224|ACND/WS|1932|0|1932|N
20201224|ACOR|116379|0|384999|N
20201224|ACP|5503|0|8612|N
20201224|ACRE|10173|0|17275|N
20201224|ACRS|9160|0|21967|N
20201224|ACRX|41832|0|105127|N
20201224|ACST|4269151|50947|15656633|N
20201224|ACTC|60769|0|85222|N
20201224|ACTCU|5767|0|8507|N
20201224|ACTCW|17980|0|25985|N
20201224|ACTG|15902|0|19189|N
20201224|ACU|212|0|213|N
20201224|ACV|627|0|1069|N
20201224|ACVF|233|0|233|N
20201224|ACWI|1840|0|6362|N
20201224|ACWV|27|0|5303|N
20201224|ACWX|1395|0|2066|N
20201224|ACY|26427|0|44309|N
20201224|ADAP|56342|0|123682|N
20201224|ADBE|9004|0|39513|N
20201224|ADC|318|0|2791|N
20201224|ADCT|5076|0|5397|N
20201224|ADES|812|0|4548|N
20201224|ADI|3793|0|7393|N
20201224|ADIL|5216|0|18659|N
20201224|ADM|5605|90|15083|N
20201224|ADMA|230187|0|367171|N
20201224|ADME|400|0|699|N
20201224|ADMP|164277|0|355488|N
20201224|ADMS|4361|0|8080|N
20201224|ADNT|2070|0|2389|N
20201224|ADOC|300|0|6075|N
20201224|ADOCR|5299|0|5299|N
20201224|ADOCW|16206|0|26106|N
20201224|ADP|3644|0|7164|N
20201224|ADPT|5397|0|21026|N
20201224|ADRE|1284|0|2107|N
20201224|ADS|4399|0|11308|N
20201224|ADSK|3381|0|9838|N
20201224|ADT|16503|0|55457|N
20201224|ADTN|917|0|2449|N
20201224|ADTX|29897|0|56326|N
20201224|ADUS|657|0|979|N
20201224|ADV|499|0|1339|N
20201224|ADVM|5959|0|10603|N
20201224|ADX|6223|0|9357|N
20201224|ADXN|29947|8|70401|N
20201224|ADXS|694340|8480|1407981|N
20201224|AEE|537|0|2033|N
20201224|AEF|3|0|405|N
20201224|AEFC|200|0|600|N
20201224|AEG|9395|0|33269|N
20201224|AEGN|154|0|582|N
20201224|AEHL|1326|0|11979|N
20201224|AEHR|475|0|10319|N
20201224|AEIS|3419|0|4783|N
20201224|AEL|400|0|1834|N
20201224|AELpA|326|0|675|N
20201224|AELpB|58|0|58|N
20201224|AEM|9111|0|16334|N
20201224|AEMD|15379|0|39839|N
20201224|AEO|13748|0|33474|N
20201224|AEP|7944|0|30472|N
20201224|AEPPL|1292|0|2458|N
20201224|AER|1938|0|2602|N
20201224|AERI|807|0|5891|N
20201224|AES|10211|0|35945|N
20201224|AESE|409949|0|775265|N
20201224|AESR|83|0|83|N
20201224|AEY|15052|0|23597|N
20201224|AEYE|288|0|425|N
20201224|AEZS|217362|2000|495423|N
20201224|AFB|100|0|101|N
20201224|AFG|510|0|2969|N
20201224|AFGC|5|0|60|N
20201224|AFI|478|0|901|N
20201224|AFIB|1161|0|2350|N
20201224|AFIF|1665|0|1667|N
20201224|AFIN|13380|0|15725|N
20201224|AFINO|2400|0|2410|N
20201224|AFINP|400|400|1554|N
20201224|AFK|10|0|99|N
20201224|AFL|9757|0|18135|N
20201224|AFLG|11|0|11|N
20201224|AFMD|19973|0|89595|N
20201224|AFT|53|0|407|N
20201224|AFYA|414|0|1720|N
20201224|AG|86306|0|217746|N
20201224|AGBA|20|0|170|N
20201224|AGBAW|23010|0|34585|N
20201224|AGC|353|0|6994|N
20201224|AGCO|2084|0|5481|N
20201224|AGCUU|1136|0|1211|N
20201224|AGCWW|64|0|64|N
20201224|AGD|222|0|223|N
20201224|AGE|2019|0|19817|N
20201224|AGEN|52199|0|120389|N
20201224|AGFS|1174|0|4064|N
20201224|AGG|41797|0|66428|N
20201224|AGGY|211|0|2371|N
20201224|AGI|17081|0|59935|N
20201224|AGIO|2708|0|6746|N
20201224|AGLE|829|0|7192|N
20201224|AGM|1139|0|1288|N
20201224|AGMH|185|0|188|N
20201224|AGNC|228875|0|295400|N
20201224|AGNCM|66|0|124|N
20201224|AGNCN|1149|0|1972|N
20201224|AGNCO|2227|0|2954|N
20201224|AGNCP|3631|0|5844|N
20201224|AGO|614|0|1134|N
20201224|AGOpB|67|0|67|N
20201224|AGOpE|40|0|40|N
20201224|AGQ|11727|0|57519|N
20201224|AGR|1454|0|1918|N
20201224|AGRO|917|0|1291|N
20201224|AGRX|71246|0|128535|N
20201224|AGS|7635|0|14996|N
20201224|AGT|1|0|3|N
20201224|AGTC|8614|0|24887|N
20201224|AGX|182|0|194|N
20201224|AGYS|154|0|685|N
20201224|AGZ|113|0|2134|N
20201224|AGZD|1|0|676|N
20201224|AHACW|1000|0|1000|N
20201224|AHC|839|0|1561|N
20201224|AHCO|4771|0|10780|N
20201224|AHH|1225|0|2155|N
20201224|AHHpA|1000|0|1400|N
20201224|AHLpC|85|0|1875|N
20201224|AHLpD|68|0|106|N
20201224|AHLpE|38|0|62|N
20201224|AHPI|9095|0|9897|N
20201224|AHT|524720|33299|1002205|N
20201224|AHTpD|150|0|150|N
20201224|AHTpF|4|0|174|N
20201224|AHTpH|5|0|750|N
20201224|AHTpI|2|0|1031|N
20201224|AI|320811|12401|682345|N
20201224|AIA|1921|0|2278|N
20201224|AIEQ|158|0|1347|N
20201224|AIF|4|0|26|N
20201224|AIG|8643|43|30099|N
20201224|AIG/WS|81689|1514|116250|N
20201224|AIGpA|41|0|41|N
20201224|AIH|706|0|3578|N
20201224|AIHS|19185|0|71393|N
20201224|AIIQ|1|0|2|N
20201224|AIKI|176159|0|308600|N
20201224|AIM|457740|0|806639|N
20201224|AIMC|569|0|1057|N
20201224|AIN|81|0|529|N
20201224|AINC|75|0|225|N
20201224|AINV|13226|0|17947|N
20201224|AIO|4606|0|11713|N
20201224|AIQ|4215|0|5089|N
20201224|AIR|2736|200|4817|N
20201224|AIRC|24873|200|30829|N
20201224|AIRG|1188|0|4724|N
20201224|AIRI|1932|0|4931|N
20201224|AIRT|114913|0|204654|N
20201224|AIRTP|3897|0|3980|N
20201224|AIRTW|692313|0|1369085|N
20201224|AIT|4|0|157|N
20201224|AIV|251155|0|616372|N
20201224|AIZ|49|25|1995|N
20201224|AIZN|137|0|161|N
20201224|AJAX|29455|0|47127|N
20201224|AJAX/U|1105|0|1227|N
20201224|AJAX/WS|975|0|3097|N
20201224|AJRD|10190|0|28831|N
20201224|AJX|6|0|242|N
20201224|AKAM|4859|0|18432|N
20201224|AKBA|207846|10200|338405|N
20201224|AKER|2337|0|25732|N
20201224|AKR|164|0|5490|N
20201224|AKRO|322|0|19804|N
