HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:06 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 30 Dec 2020 22:22:24 GMT
ETag: "47043c-38d51-5b7b5f1087078"
Accept-Ranges: bytes
Content-Length: 232785
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201230|A|3804|0|13877|N
20201230|AA|107056|11|288024|N
20201230|AAA|935|0|991|N
20201230|AAAU|7864|0|13236|N
20201230|AACG|1000|0|6235|N
20201230|AACQ|61265|1000|132694|N
20201230|AACQU|147|0|197|N
20201230|AACQW|26339|0|52249|N
20201230|AAIC|14364|0|80717|N
20201230|AAICpB|27|0|27|N
20201230|AAICpC|9|0|9|N
20201230|AAL|3561927|0|8883701|N
20201230|AAMC|190|0|3594|N
20201230|AAN|5668|0|12148|N
20201230|AAOI|15235|0|30820|N
20201230|AAON|706|0|4850|N
20201230|AAP|1205|0|8154|N
20201230|AAPL|7509054|1|14939140|N
20201230|AAT|1178|0|5778|N
20201230|AAU|49733|0|195593|N
20201230|AAWW|6987|0|15888|N
20201230|AAXJ|7423|0|8281|N
20201230|AAXN|2818|0|19804|N
20201230|AB|12174|0|23721|N
20201230|ABB|12683|0|21453|N
20201230|ABBV|95975|0|184642|N
20201230|ABC|5727|0|9907|N
20201230|ABCB|469|0|1704|N
20201230|ABCL|35351|0|54566|N
20201230|ABCM|19323|0|20747|N
20201230|ABEO|124555|0|350390|N
20201230|ABEV|291286|0|795992|N
20201230|ABG|3240|0|4113|N
20201230|ABIO|5714|0|40546|N
20201230|ABM|2532|0|3581|N
20201230|ABMD|3279|0|6677|N
20201230|ABNB|251259|1|545167|N
20201230|ABR|30390|0|67084|N
20201230|ABT|15706|0|67470|N
20201230|ABTX|75|0|1177|N
20201230|ABUS|95827|0|282886|N
20201230|AC|1|0|2|N
20201230|ACA|409|0|2909|N
20201230|ACAC|1926|0|3404|N
20201230|ACACW|200|0|201|N
20201230|ACAD|6092|0|25598|N
20201230|ACAM|375255|145|711152|N
20201230|ACAMW|18025|182|38282|N
20201230|ACB|785400|140|1777169|N
20201230|ACBI|16|0|8792|N
20201230|ACC|6627|0|10809|N
20201230|ACCD|14409|2900|25680|N
20201230|ACCO|682|0|3816|N
20201230|ACEL|764|0|10631|N
20201230|ACER|14827|0|24664|N
20201230|ACES|3876|0|8930|N
20201230|ACET|537|0|1502|N
20201230|ACEV|1089|0|1714|N
20201230|ACEVW|4150|0|4150|N
20201230|ACGL|33045|0|56916|N
20201230|ACGLO|57|0|215|N
20201230|ACGLP|233|0|413|N
20201230|ACH|175|0|6584|N
20201230|ACHC|14081|0|23634|N
20201230|ACHV|1988|0|10246|N
20201230|ACI|109847|0|211856|N
20201230|ACIA|2361|0|7610|N
20201230|ACIC|75|0|4603|N
20201230|ACIC/WS|731|0|1401|N
20201230|ACIO|3428|0|4152|N
20201230|ACIU|5895|0|7303|N
20201230|ACIW|644|0|5602|N
20201230|ACKIU|1120|0|5493|N
20201230|ACLS|1350|0|4252|N
20201230|ACM|2668|3|5560|N
20201230|ACMR|33355|0|94640|N
20201230|ACN|8631|0|19268|N
20201230|ACNB|320|0|430|N
20201230|ACND|32|0|424|N
20201230|ACND/WS|19|0|2000|N
20201230|ACOR|330110|500|485462|N
20201230|ACP|666|0|6056|N
20201230|ACRE|6806|0|37690|N
20201230|ACRS|21918|0|40298|N
20201230|ACRX|65455|4|164240|N
20201230|ACSI|45|0|55|N
20201230|ACST|8428516|2650|17599222|N
20201230|ACTC|7061|0|23419|N
20201230|ACTCU|60|0|3860|N
20201230|ACTCW|14148|48|23819|N
20201230|ACTG|5203|0|14965|N
20201230|ACTV|135|0|490|N
20201230|ACU|164|0|750|N
20201230|ACVF|104|0|205|N
20201230|ACWF|1|0|571|N
20201230|ACWI|4529|0|7924|N
20201230|ACWV|3549|0|53615|N
20201230|ACWX|5290|0|7941|N
20201230|ACY|37331|735|107220|N
20201230|ADAP|16412|0|86833|N
20201230|ADBE|11774|0|34880|N
20201230|ADC|3685|0|4699|N
20201230|ADCT|510|0|1301|N
20201230|ADES|2194|0|11974|N
20201230|ADI|4900|0|10518|N
20201230|ADIL|16653|0|36586|N
20201230|ADM|23036|6|42197|N
20201230|ADMA|112656|0|315028|N
20201230|ADME|1|0|59|N
20201230|ADMP|216381|300|442182|N
20201230|ADMS|16794|0|20930|N
20201230|ADNT|6385|4|10324|N
20201230|ADOCR|5|0|5|N
20201230|ADOCW|9642|0|26429|N
20201230|ADP|3126|0|16245|N
20201230|ADPT|2248|0|29743|N
20201230|ADRE|663|0|1469|N
20201230|ADS|12702|2|28823|N
20201230|ADSK|4561|0|18676|N
20201230|ADT|29525|0|125660|N
20201230|ADTN|2294|0|3679|N
20201230|ADTX|19516|0|65321|N
20201230|ADUS|270|0|657|N
20201230|ADV|655|0|6471|N
20201230|ADVM|5001|0|15270|N
20201230|ADVWW|100|0|600|N
20201230|ADX|6312|0|21757|N
20201230|ADXN|613|0|2307|N
20201230|ADXS|1542973|0|2748514|N
20201230|AEB|63|0|71|N
20201230|AEE|4093|0|8543|N
20201230|AEF|1401|0|2698|N
20201230|AEG|31206|0|92111|N
20201230|AEGN|575|0|791|N
20201230|AEHL|110261|71|238416|N
20201230|AEHR|2449|0|9390|N
20201230|AEIS|2133|0|4421|N
20201230|AEL|3473|0|8501|N
20201230|AELpA|119|0|435|N
20201230|AELpB|1027|0|1376|N
20201230|AEM|19308|0|37024|N
20201230|AEMD|11937|0|32681|N
20201230|AEO|30008|0|63191|N
20201230|AEP|17056|0|48128|N
20201230|AEPPL|2035|0|2236|N
20201230|AEPPZ|200|0|200|N
20201230|AER|4417|0|10305|N
20201230|AERI|4071|0|7668|N
20201230|AES|34538|0|160473|N
20201230|AESE|40784|0|222892|N
20201230|AEY|5747|176|11333|N
20201230|AEYE|1190|0|4953|N
20201230|AEZS|149184|0|430937|N
20201230|AFB|300|0|309|N
20201230|AFC|600|0|600|N
20201230|AFG|5618|0|9039|N
20201230|AFGB|12|0|12|N
20201230|AFGC|46|0|75|N
20201230|AFGE|100|0|150|N
20201230|AFI|6|0|2589|N
20201230|AFIB|4868|0|4943|N
20201230|AFIN|9410|0|14934|N
20201230|AFINO|1480|0|1490|N
20201230|AFINP|1130|0|2296|N
20201230|AFK|981|0|1722|N
20201230|AFL|9827|21|30816|N
20201230|AFLG|400|0|424|N
20201230|AFMC|72|0|72|N
20201230|AFMD|13137|0|36524|N
20201230|AFT|2285|0|2485|N
20201230|AFYA|1371|0|1639|N
20201230|AG|161415|0|503895|N
20201230|AGBA|1|0|1|N
20201230|AGBAR|1|0|1|N
20201230|AGBAW|5500|0|23635|N
20201230|AGC|338|0|1173|N
20201230|AGCO|3400|0|8743|N
20201230|AGCUU|250|0|1150|N
20201230|AGCWW|500|0|500|N
20201230|AGD|24|0|318|N
20201230|AGE|4734|0|7829|N
20201230|AGEN|51757|0|117860|N
20201230|AGFS|8864|0|13731|N
20201230|AGG|69026|0|175047|N
20201230|AGGY|4470|0|11681|N
20201230|AGI|56373|0|246584|N
20201230|AGIO|2822|0|8412|N
20201230|AGLE|1980|0|3500|N
20201230|AGM|916|0|1401|N
20201230|AGMH|460|0|464|N
20201230|AGMpD|740|0|740|N
20201230|AGMpE|200|0|500|N
20201230|AGMpF|355|0|424|N
20201230|AGNC|223305|200|532263|N
20201230|AGNCM|4266|0|6525|N
20201230|AGNCN|658|0|2381|N
20201230|AGNCO|2186|0|4067|N
20201230|AGNCP|661|0|3587|N
20201230|AGO|1444|0|3984|N
20201230|AGOpB|125|0|735|N
20201230|AGOpE|1666|0|1701|N
20201230|AGOpF|16|0|16|N
20201230|AGQ|38900|0|142083|N
20201230|AGR|1793|0|5329|N
20201230|AGRO|4877|0|7774|N
20201230|AGRX|18872|0|86515|N
20201230|AGS|8935|0|18782|N
20201230|AGTC|31469|0|56433|N
20201230|AGX|906|0|923|N
20201230|AGYS|107|0|418|N
20201230|AGZ|414|0|1238|N
20201230|AGZD|277|0|863|N
20201230|AHAC|250|0|1450|N
20201230|AHACU|950|0|3201|N
