HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:48:07 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 14 Oct 2020 21:22:11 GMT
ETag: "4552bc-3eff8-5b1a81fef4998"
Accept-Ranges: bytes
Content-Length: 258040
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201014|A|74990|1|259244|Q
20201014|AA|637373|11749|1933072|Q
20201014|AAA|226|0|237|Q
20201014|AAAU|26784|0|74788|Q
20201014|AACG|9178|667|25583|Q
20201014|AACQ|1480|0|3303|Q
20201014|AACQU|9|0|1452|Q
20201014|AACQW|7237|0|10088|Q
20201014|AADR|1721|0|3528|Q
20201014|AAL|3769355|36121|12300807|Q
20201014|AAMC|117|0|447|Q
20201014|AAME|13111|120|22401|Q
20201014|AAN|51912|0|100817|Q
20201014|AAOI|71874|0|105689|Q
20201014|AAON|15010|0|28334|Q
20201014|AAP|72514|0|140210|Q
20201014|AAPL|21559259|105316|58544133|Q
20201014|AAT|73969|0|124437|Q
20201014|AAU|250790|0|872384|Q
20201014|AAWW|34828|291|58987|Q
20201014|AAXJ|106237|0|177632|Q
20201014|AAXN|37256|422|91274|Q
20201014|AB|159998|8618|251294|Q
20201014|ABB|42386|913|187010|Q
20201014|ABBV|341646|3172|1799103|Q
20201014|ABC|89967|2|138153|Q
20201014|ABCB|21219|0|34231|Q
20201014|ABEO|367789|12275|710363|Q
20201014|ABEQ|3204|0|8832|Q
20201014|ABEV|3613603|3810|4943198|Q
20201014|ABG|36936|0|63330|Q
20201014|ABIO|73999|248|121091|Q
20201014|ABM|14701|0|26116|Q
20201014|ABMD|52841|0|70168|Q
20201014|ABR|64876|4090|269346|Q
20201014|ABRpA|472|400|1810|Q
20201014|ABRpC|310|0|635|Q
20201014|ABT|439282|987|1182935|Q
20201014|ABTX|829|0|1774|Q
20201014|ABUS|175448|2253|344698|Q
20201014|AC|715|200|1662|Q
20201014|ACA|22186|353|41682|Q
20201014|ACAD|36938|0|159224|Q
20201014|ACAM|51|0|52|Q
20201014|ACAMW|110|0|110|Q
20201014|ACB|1830153|20884|4258164|Q
20201014|ACBI|868|0|3376|Q
20201014|ACC|71864|9|298295|Q
20201014|ACCD|69901|0|113326|Q
20201014|ACCO|28388|0|74331|Q
20201014|ACEL|19588|0|53035|Q
20201014|ACER|4502|0|18787|Q
20201014|ACES|45011|0|87572|Q
20201014|ACET|12563|71|20994|Q
20201014|ACEV|1006|0|1607|Q
20201014|ACEVW|100|0|100|Q
20201014|ACGL|129042|13|272005|Q
20201014|ACGLO|1261|0|4432|Q
20201014|ACGLP|4123|0|7064|Q
20201014|ACH|4644|240|8573|Q
20201014|ACHC|48142|0|114569|Q
20201014|ACHV|8968|0|17202|Q
20201014|ACI|1474476|1390|2332878|Q
20201014|ACIA|8194|100|19709|Q
20201014|ACIO|15029|0|18955|Q
20201014|ACIU|33468|0|80593|Q
20201014|ACIW|246962|0|386103|Q
20201014|ACLS|26451|100|54467|Q
20201014|ACM|40613|100|394766|Q
20201014|ACMR|20717|500|80547|Q
20201014|ACN|174729|808|312642|Q
20201014|ACNB|446|0|4609|Q
20201014|ACND|1454|1001|6317|Q
20201014|ACOR|315394|0|583886|Q
20201014|ACP|24313|2700|35732|Q
20201014|ACRE|17921|600|32407|Q
20201014|ACRS|44807|1064|120205|Q
20201014|ACRX|260023|2550|634069|Q
20201014|ACSI|1|0|1|Q
20201014|ACST|728176|8342|1333365|Q
20201014|ACT|411|0|1321|Q
20201014|ACTCU|925|0|2230|Q
20201014|ACTG|13568|0|172202|Q
20201014|ACU|1488|0|5136|Q
20201014|ACV|11159|200|22741|Q
20201014|ACWF|900|0|2134|Q
20201014|ACWI|155492|0|232334|Q
20201014|ACWV|21896|0|222539|Q
20201014|ACWX|425314|0|618637|Q
20201014|ACY|1225|0|6420|Q
20201014|ADAP|562944|13129|879491|Q
20201014|ADBE|166361|120|512165|Q
20201014|ADC|25343|2700|65989|Q
20201014|ADCT|116399|0|194413|Q
20201014|ADES|21552|0|60875|Q
20201014|ADI|298969|0|422459|Q
20201014|ADIL|128164|2430|204154|Q
20201014|ADILW|3330|0|6830|Q
20201014|ADM|253965|966|1091330|Q
20201014|ADMA|617293|934|1249786|Q
20201014|ADME|15260|0|19678|Q
20201014|ADMP|508752|4459|972556|Q
20201014|ADMS|7801|0|20465|Q
20201014|ADNT|36125|161|78349|Q
20201014|ADP|148743|2056|477976|Q
20201014|ADPT|69912|100|258253|Q
20201014|ADRE|729|0|3706|Q
20201014|ADS|338291|0|634529|Q
20201014|ADSK|150087|500|303412|Q
20201014|ADSW|17680|0|37365|Q
20201014|ADT|217007|0|453725|Q
20201014|ADTN|13232|0|34879|Q
20201014|ADTX|55110|0|109182|Q
20201014|ADUS|8875|0|18352|Q
20201014|ADVM|182443|0|431102|Q
20201014|ADX|26286|480|54762|Q
20201014|ADXS|133763|0|231258|Q
20201014|AE|2210|0|3170|Q
20201014|AEB|1420|0|3255|Q
20201014|AEE|103946|365|161337|Q
20201014|AEF|1910|0|24096|Q
20201014|AEFC|3404|0|16785|Q
20201014|AEG|119179|0|251712|Q
20201014|AEGN|1422|0|24882|Q
20201014|AEHR|17824|0|37111|Q
20201014|AEIS|30152|0|44215|Q
20201014|AEL|51972|0|197191|Q
20201014|AELpA|2308|0|7279|Q
20201014|AELpB|3691|0|10997|Q
20201014|AEM|117691|0|161231|Q
20201014|AEMD|388326|18418|901244|Q
20201014|AEO|429454|600|678725|Q
20201014|AEP|240649|1470|484855|Q
20201014|AEPPL|1122|0|2198|Q
20201014|AEPPZ|21624|0|42858|Q
20201014|AER|120591|2100|353977|Q
20201014|AERI|44122|1648|146120|Q
20201014|AES|420482|6008|902761|Q
20201014|AESE|191693|6005|350934|Q
20201014|AEY|141823|6200|205554|Q
20201014|AEYE|10768|599|19638|Q
