HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:47:56 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 15 Oct 2020 21:22:19 GMT
ETag: "455d12-3ee6e-5b1bc3e39be88"
Accept-Ranges: bytes
Content-Length: 257646
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201015|A|64826|0|146314|Q
20201015|AA|1878917|63872|4814694|Q
20201015|AAA|120|0|144|Q
20201015|AAAU|95796|0|118605|Q
20201015|AACG|12564|0|45132|Q
20201015|AACQ|1034|0|204852|Q
20201015|AACQW|7444|0|12177|Q
20201015|AADR|1782|0|2263|Q
20201015|AAL|4470775|118872|10647291|Q
20201015|AAME|544|0|4014|Q
20201015|AAN|41166|0|109074|Q
20201015|AAOI|31875|251|68519|Q
20201015|AAON|21377|0|33193|Q
20201015|AAP|58045|0|141147|Q
20201015|AAPL|14763677|83558|41088548|Q
20201015|AAT|4473|0|9911|Q
20201015|AAU|78052|1510|227921|Q
20201015|AAWW|29861|221|111310|Q
20201015|AAXJ|95268|0|399412|Q
20201015|AAXN|119508|95|262213|Q
20201015|AB|106813|0|189523|Q
20201015|ABB|69683|1472|147986|Q
20201015|ABBV|481882|3470|1724288|Q
20201015|ABC|170587|22|329947|Q
20201015|ABCB|29064|0|74832|Q
20201015|ABEO|257388|600|509104|Q
20201015|ABEQ|439|0|1583|Q
20201015|ABEV|1024340|3052|1862242|Q
20201015|ABG|30635|0|51768|Q
20201015|ABIO|71248|1250|131755|Q
20201015|ABM|22474|0|91063|Q
20201015|ABMD|52704|0|83161|Q
20201015|ABR|74350|755|271724|Q
20201015|ABT|360894|130|995712|Q
20201015|ABTX|2751|0|3544|Q
20201015|ABUS|106139|12231|264628|Q
20201015|AC|497|0|891|Q
20201015|ACA|20950|0|35412|Q
20201015|ACAD|100294|0|196854|Q
20201015|ACAMW|1321|0|1321|Q
20201015|ACB|1533905|6082|5072458|Q
20201015|ACBI|1415|0|11977|Q
20201015|ACC|110483|0|269588|Q
20201015|ACCD|137028|214|173675|Q
20201015|ACCO|7625|0|51301|Q
20201015|ACEL|15604|0|53180|Q
20201015|ACER|7443|0|14036|Q
20201015|ACES|18082|0|24402|Q
20201015|ACET|8299|1|14159|Q
20201015|ACEV|1|0|1|Q
20201015|ACEVW|100|0|1489|Q
20201015|ACGL|88958|0|188051|Q
20201015|ACGLO|853|0|2052|Q
20201015|ACGLP|3124|0|7881|Q
20201015|ACH|5322|0|10080|Q
20201015|ACHC|60734|0|172154|Q
20201015|ACHV|6121|0|12786|Q
20201015|ACI|856004|5671|1313096|Q
20201015|ACIA|27617|0|78975|Q
20201015|ACIO|5609|0|8940|Q
20201015|ACIU|44575|0|55319|Q
20201015|ACIW|210338|19|423747|Q
20201015|ACLS|7239|0|50521|Q
20201015|ACM|61102|79|253961|Q
20201015|ACMR|42702|222|71526|Q
20201015|ACN|154170|341|343947|Q
20201015|ACNB|791|0|4090|Q
20201015|ACND|4722|0|408995|Q
20201015|ACOR|444038|18142|721913|Q
20201015|ACP|17672|0|35158|Q
20201015|ACRE|37333|1197|47554|Q
20201015|ACRS|18749|4200|38589|Q
20201015|ACRX|238051|7554|734264|Q
20201015|ACSG|35|0|40|Q
