HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:47:35 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 16 Oct 2020 21:23:55 GMT
ETag: "457456-3f2c4-5b1d061c8ae68"
Accept-Ranges: bytes
Content-Length: 258756
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201016|A|153907|2|211809|Q
20201016|AA|537310|16186|1705697|Q
20201016|AAA|198|0|386|Q
20201016|AAAU|283478|0|377427|Q
20201016|AACG|21490|0|66658|Q
20201016|AACQ|98|0|998|Q
20201016|AACQU|100|0|438|Q
20201016|AACQW|5419|0|20056|Q
20201016|AADR|263|0|3380|Q
20201016|AAL|3276946|29891|9588964|Q
20201016|AAME|2304|1|3312|Q
20201016|AAN|33038|0|67296|Q
20201016|AAOI|44824|5732|74678|Q
20201016|AAON|13393|0|19789|Q
20201016|AAP|61518|0|88577|Q
20201016|AAPL|13260559|80615|38259976|Q
20201016|AAT|42502|0|67413|Q
20201016|AAU|61302|8432|184818|Q
20201016|AAWW|33680|100|87027|Q
20201016|AAXJ|46845|0|316305|Q
20201016|AAXN|91687|444|185584|Q
20201016|AB|71338|3497|135414|Q
20201016|ABB|69609|377|156296|Q
20201016|ABBV|602587|8761|1388785|Q
20201016|ABC|72541|14|175536|Q
20201016|ABCB|16929|5|29093|Q
20201016|ABEO|147925|0|435321|Q
20201016|ABEQ|100|0|9493|Q
20201016|ABEV|1989190|4403|3245373|Q
20201016|ABG|21749|0|30037|Q
20201016|ABIO|34882|822|62112|Q
20201016|ABM|14538|0|74211|Q
20201016|ABMD|26109|0|36893|Q
20201016|ABR|147040|4886|240326|Q
20201016|ABRpA|650|0|650|Q
20201016|ABRpB|52|0|475|Q
20201016|ABT|444759|1560|1158626|Q
20201016|ABTX|2248|0|4350|Q
20201016|ABUS|61356|2600|249860|Q
20201016|AC|10|0|35|Q
20201016|ACA|16437|0|27695|Q
20201016|ACAD|83907|200|254891|Q
20201016|ACAM|15|0|16|Q
20201016|ACAMW|2065|0|11944|Q
20201016|ACB|2857738|9222|11011471|Q
20201016|ACBI|353|0|35650|Q
20201016|ACC|53887|0|264921|Q
20201016|ACCD|74454|70|89984|Q
20201016|ACCO|28315|0|63689|Q
20201016|ACEL|26572|0|49772|Q
20201016|ACER|5480|0|8947|Q
20201016|ACES|27541|0|31959|Q
20201016|ACET|5695|0|9243|Q
20201016|ACEVU|100|0|600|Q
20201016|ACEVW|200|0|330|Q
20201016|ACGL|70317|483|147008|Q
20201016|ACGLO|3937|0|5422|Q
20201016|ACGLP|5824|0|7104|Q
20201016|ACH|5884|0|21192|Q
20201016|ACHC|31695|7980|86222|Q
20201016|ACHV|11944|0|19070|Q
20201016|ACI|543164|1263|1176639|Q
20201016|ACIA|136304|0|342471|Q
20201016|ACIO|341|0|7355|Q
20201016|ACIU|16436|0|21013|Q
20201016|ACIW|232222|0|405676|Q
20201016|ACLS|10103|0|21404|Q
20201016|ACM|48344|100|134140|Q
20201016|ACMR|30888|600|46527|Q
20201016|ACN|246529|173|527046|Q
20201016|ACNB|2248|0|5355|Q
20201016|ACND|2803|0|57995|Q
20201016|ACND/WS|5557|0|5558|Q
20201016|ACOR|466616|6150|778038|Q
20201016|ACP|11673|300|24951|Q
20201016|ACRE|11346|104|44074|Q
20201016|ACRS|134094|1415|199925|Q
20201016|ACRX|552977|19697|952566|Q
20201016|ACSG|11|0|111|Q
20201016|ACST|337507|1020|446203|Q
20201016|ACT|896|0|1091|Q
20201016|ACTCU|400|0|1731|Q
20201016|ACTG|14672|0|53306|Q
20201016|ACU|1005|0|1986|Q
20201016|ACV|15543|0|24863|Q
20201016|ACWI|86005|0|140229|Q
20201016|ACWV|19371|0|45758|Q
20201016|ACWX|93684|0|118070|Q
20201016|ACY|2065|0|3213|Q
20201016|ADAP|502654|36485|2217040|Q
20201016|ADBE|131136|830|370815|Q
20201016|ADC|22343|0|72425|Q
20201016|ADCT|25574|966|58429|Q
20201016|ADES|5693|0|20095|Q
20201016|ADI|395451|1000|575670|Q
20201016|ADIL|95278|1974|173361|Q
20201016|ADM|132720|5110|420322|Q
20201016|ADMA|371718|6318|779856|Q
20201016|ADME|564|0|2433|Q
20201016|ADMP|338213|31613|637602|Q
20201016|ADMS|5014|0|87445|Q
20201016|ADNT|31413|0|207364|Q
20201016|ADP|79369|0|218007|Q
20201016|ADPT|57904|0|180728|Q
20201016|ADRE|1748|0|5834|Q
20201016|ADS|228315|800|419667|Q
20201016|ADSK|421345|8|592522|Q
20201016|ADSW|17624|0|34546|Q
20201016|ADT|211202|0|451722|Q
20201016|ADTN|12912|100|28807|Q
20201016|ADTX|918680|10969|1687835|Q
20201016|ADUS|4174|0|7483|Q
20201016|ADVM|87297|0|165383|Q
20201016|ADX|31755|0|59311|Q
20201016|ADXS|163071|100|269373|Q
20201016|AE|252|0|786|Q
20201016|AEB|228|0|7330|Q
20201016|AEE|92428|0|199908|Q
20201016|AEF|8162|0|23615|Q
20201016|AEFC|10623|3375|28445|Q
20201016|AEG|138288|8514|280443|Q
20201016|AEGN|12091|78|114157|Q
20201016|AEHL|173364|600|437769|Q
20201016|AEHR|3081|0|13632|Q
20201016|AEIS|66495|0|114107|Q
20201016|AEL|47346|0|202503|Q
20201016|AELpA|8631|0|14827|Q
20201016|AELpB|7455|100|17188|Q
20201016|AEM|60505|200|107136|Q
20201016|AEMD|164325|20778|295971|Q
20201016|AEO|830872|374|1189381|Q
20201016|AEP|289632|1366|471796|Q
20201016|AEPPL|717|0|1384|Q
20201016|AEPPZ|449|0|50910|Q
20201016|AER|116012|0|414609|Q
20201016|AERI|29580|0|128649|Q
20201016|AES|406888|549|869512|Q
20201016|AESE|69150|0|141356|Q
20201016|AESR|6077|0|7073|Q
20201016|AEY|22904|270|50172|Q
20201016|AEYE|14194|1001|29240|Q
20201016|AEZS|188684|1500|375630|Q
20201016|AFB|2128|0|19383|Q
20201016|AFC|5351|0|6365|Q
20201016|AFG|26291|0|61610|Q
20201016|AFGB|1900|0|2447|Q
20201016|AFGC|1430|0|2327|Q
20201016|AFGD|1689|0|5583|Q
20201016|AFGE|891|0|896|Q
20201016|AFGH|6590|700|8988|Q
20201016|AFI|47839|2500|170290|Q
20201016|AFIB|28368|0|42790|Q
20201016|AFIF|12502|0|48990|Q
20201016|AFIN|40764|610|115140|Q
20201016|AFINP|2568|335|6890|Q
20201016|AFK|274|0|1644|Q
20201016|AFL|137445|1432|590737|Q
20201016|AFMD|64395|100|365642|Q
20201016|AFT|3379|0|18332|Q
20201016|AFYA|89588|0|133874|Q
20201016|AG|732475|700|1214964|Q
20201016|AGBA|515|0|516|Q
20201016|AGBAW|3600|0|3600|Q
20201016|AGCO|48851|0|276347|Q
20201016|AGCUU|6170|0|18642|Q
20201016|AGD|2434|0|6829|Q
20201016|AGE|123706|15774|230553|Q
20201016|AGEN|67260|216|258774|Q
20201016|AGFS|1326|0|122489|Q
20201016|AGG|569130|0|1547910|Q
20201016|AGGY|27486|0|132451|Q
20201016|AGI|415817|2200|917412|Q
20201016|AGIO|68650|0|259289|Q
