HTTP/1.1 200 OK
Date: Sat, 31 Oct 2020 04:10:06 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 20 Oct 2020 21:22:35 GMT
ETag: "458616-3f6f7-5b220d4629f60"
Accept-Ranges: bytes
Content-Length: 259831
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201020|A|70080|0|193460|Q
20201020|AA|373475|0|1111342|Q
20201020|AAA|305|0|3742|Q
20201020|AAAU|63794|0|83097|Q
20201020|AACG|8398|0|53869|Q
20201020|AACQ|5116|0|6502|Q
20201020|AACQU|621|0|621|Q
20201020|AACQW|32958|0|63394|Q
20201020|AADR|519|0|1374|Q
20201020|AAL|4946598|214373|15068515|Q
20201020|AAMC|352|0|1095|Q
20201020|AAME|46|12|157|Q
20201020|AAN|23594|300|80811|Q
20201020|AAOI|33781|0|61187|Q
20201020|AAON|10445|0|22683|Q
20201020|AAP|40989|0|161792|Q
20201020|AAPL|17404845|112561|46641838|Q
20201020|AAT|10492|0|16357|Q
20201020|AAU|64551|1045|132386|Q
20201020|AAWW|30053|0|109320|Q
20201020|AAXJ|222099|0|536575|Q
20201020|AAXN|60994|100|207264|Q
20201020|AB|65650|1850|133570|Q
20201020|ABB|127001|172|232250|Q
20201020|ABBV|735662|1220|2153975|Q
20201020|ABC|69031|0|180139|Q
20201020|ABCB|29347|0|74131|Q
20201020|ABEO|153189|0|292305|Q
20201020|ABEV|2313773|4543|6192861|Q
20201020|ABG|43331|0|67622|Q
20201020|ABIO|71937|3090|126268|Q
20201020|ABM|15267|0|29433|Q
20201020|ABMD|19244|0|30751|Q
20201020|ABR|106313|678|215976|Q
20201020|ABRpA|106|0|1781|Q
20201020|ABRpB|70|0|159|Q
20201020|ABRpC|5|0|182|Q
20201020|ABT|446747|1556|756089|Q
20201020|ABTX|1576|0|2256|Q
20201020|ABUS|108295|3520|268835|Q
20201020|AC|169|0|399|Q
20201020|ACA|32048|0|84053|Q
20201020|ACAD|66195|3204|432703|Q
20201020|ACAM|4800|0|30809|Q
20201020|ACAMW|6595|0|7295|Q
20201020|ACB|2730734|96463|5318080|Q
20201020|ACBI|975|0|5934|Q
20201020|ACC|104643|0|308653|Q
20201020|ACCD|80607|0|111331|Q
20201020|ACCO|20376|0|49338|Q
20201020|ACEL|9776|0|22734|Q
20201020|ACER|14568|400|26512|Q
20201020|ACES|54302|0|71514|Q
20201020|ACET|3766|0|9130|Q
20201020|ACEVU|730|0|1022|Q
20201020|ACGL|76342|0|251911|Q
20201020|ACGLO|5008|0|8820|Q
20201020|ACGLP|3120|0|4586|Q
20201020|ACH|5398|0|11427|Q
20201020|ACHC|25220|0|65659|Q
20201020|ACHV|11306|0|14156|Q
20201020|ACI|4905527|10524|7970658|Q
20201020|ACIA|31774|0|101878|Q
20201020|ACIO|15334|0|15652|Q
20201020|ACIU|60792|0|90397|Q
20201020|ACIW|149816|0|210915|Q
20201020|ACLS|16569|0|41304|Q
20201020|ACM|32034|0|206979|Q
20201020|ACMR|19217|0|38194|Q
20201020|ACN|229651|52|452593|Q
20201020|ACNB|186|0|1843|Q
20201020|ACND|3550|0|372650|Q
20201020|ACND/WS|20800|20800|106000|Q
20201020|ACOR|18912687|161957|33959317|Q
20201020|ACP|2086|0|19528|Q
20201020|ACRE|21751|1500|70658|Q
20201020|ACRS|102060|800|149868|Q
20201020|ACRX|206443|5007|374400|Q
20201020|ACST|430870|2400|825415|Q
20201020|ACT|332|0|472|Q
20201020|ACTG|32939|0|92259|Q
20201020|ACU|2842|0|5396|Q
20201020|ACV|6838|0|9531|Q
20201020|ACWF|254|0|5750|Q
20201020|ACWI|242736|5|333356|Q
20201020|ACWV|22830|0|61082|Q
20201020|ACWX|65311|0|100537|Q
20201020|ACY|3462|0|6129|Q
20201020|ADAP|198528|5146|822829|Q
20201020|ADBE|106432|2631|332582|Q
20201020|ADC|106120|0|183393|Q
20201020|ADCT|41319|0|58973|Q
20201020|ADES|12573|0|35327|Q
20201020|ADI|494975|137|697793|Q
20201020|ADIL|40943|5100|134084|Q
20201020|ADM|288022|9980|700458|Q
20201020|ADMA|272527|0|480650|Q
20201020|ADME|946|0|3375|Q
20201020|ADMP|1001088|20743|1912936|Q
20201020|ADMS|38001|300|107234|Q
20201020|ADNT|161915|0|556854|Q
20201020|ADP|106471|0|241338|Q
20201020|ADPT|71626|0|225859|Q
20201020|ADRE|1150|0|2142|Q
20201020|ADS|217574|2605|369592|Q
20201020|ADSK|155933|600|672437|Q
20201020|ADSW|45451|0|78694|Q
20201020|ADT|308183|737|589930|Q
20201020|ADTN|49339|0|98568|Q
20201020|ADTX|204979|1980|371569|Q
20201020|ADUS|4196|0|10124|Q
20201020|ADVM|153865|0|206024|Q
20201020|ADX|34740|1725|50180|Q
20201020|ADXS|338061|4000|693173|Q
20201020|AE|129|0|1167|Q
