HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:47:07 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 21 Oct 2020 21:22:35 GMT
ETag: "458b52-3f021-5b234f235aa00"
Accept-Ranges: bytes
Content-Length: 258081
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201021|A|39225|0|160234|Q
20201021|AA|761377|4580|1786099|Q
20201021|AAA|6|0|2510|Q
20201021|AAAU|69929|0|81158|Q
20201021|AACG|180|0|20008|Q
20201021|AACQ|441957|0|647952|Q
20201021|AACQW|21530|0|349366|Q
20201021|AAL|4825908|7891|11670351|Q
20201021|AAMC|126|0|270|Q
20201021|AAME|1|0|1111|Q
20201021|AAN|31250|109|109790|Q
20201021|AAOI|53201|600|122469|Q
20201021|AAON|8116|0|25198|Q
20201021|AAP|74775|0|238970|Q
20201021|AAPL|10185825|52030|29693369|Q
20201021|AAT|28290|100|60613|Q
20201021|AAU|119634|719|192822|Q
20201021|AAWW|63740|141|128323|Q
20201021|AAXJ|209547|5|462218|Q
20201021|AAXN|23083|437|116781|Q
20201021|AB|54721|1648|139575|Q
20201021|ABB|117672|1000|201177|Q
20201021|ABBV|861621|7587|3443130|Q
20201021|ABC|113722|0|243399|Q
20201021|ABCB|35662|87|51637|Q
20201021|ABEO|211547|0|368984|Q
20201021|ABEV|3232953|15750|4711770|Q
20201021|ABG|51518|0|82030|Q
20201021|ABIO|35969|300|69354|Q
20201021|ABM|9708|200|21429|Q
20201021|ABMD|49630|0|63282|Q
20201021|ABR|171090|3453|340803|Q
20201021|ABRpA|414|0|814|Q
20201021|ABRpB|17|0|94|Q
20201021|ABRpC|204|0|627|Q
20201021|ABT|489487|3143|1517016|Q
20201021|ABTX|2931|0|4475|Q
20201021|ABUS|85148|13035|240882|Q
20201021|AC|38|0|1441|Q
20201021|ACA|120858|100|272759|Q
20201021|ACAD|37916|214|109363|Q
20201021|ACAM|2600|0|7985|Q
20201021|ACAMW|2710|0|7846|Q
20201021|ACB|2740124|143536|5474098|Q
20201021|ACBI|253|0|54415|Q
20201021|ACC|157995|0|390279|Q
20201021|ACCD|166496|0|239361|Q
20201021|ACCO|13269|0|34419|Q
20201021|ACEL|6957|215|20496|Q
20201021|ACER|6950|0|10636|Q
20201021|ACES|24037|0|38851|Q
20201021|ACET|3635|0|6304|Q
20201021|ACEV|919|0|919|Q
20201021|ACGL|53124|0|824534|Q
20201021|ACGLO|1674|0|4493|Q
20201021|ACGLP|2754|0|5664|Q
20201021|ACH|19614|0|26031|Q
20201021|ACHC|51969|0|82980|Q
20201021|ACHV|12175|0|14385|Q
20201021|ACI|749290|30655|1398678|Q
20201021|ACIA|12088|0|73399|Q
20201021|ACIO|19721|0|20293|Q
20201021|ACIU|25370|0|36009|Q
20201021|ACIW|95348|38|168899|Q
20201021|ACLS|19206|560|38558|Q
20201021|ACM|43380|0|141047|Q
20201021|ACMR|12394|499|23755|Q
20201021|ACN|266465|118|507022|Q
20201021|ACNB|302|0|752|Q
20201021|ACND|26300|0|29100|Q
20201021|ACND/WS|470|70|470|Q
20201021|ACOR|963092|74641|2468422|Q
20201021|ACP|8957|0|17117|Q
20201021|ACRE|10478|2186|25015|Q
20201021|ACRS|72589|11600|157761|Q
20201021|ACRX|142934|1144|331604|Q
20201021|ACSG|2|0|2|Q
20201021|ACST|258856|8000|466808|Q
20201021|ACT|864|0|1480|Q
20201021|ACTCU|2000|0|4074|Q
20201021|ACTG|20857|0|55974|Q
20201021|ACU|4084|0|8638|Q
20201021|ACV|6818|100|27060|Q
20201021|ACWF|1201|0|3527|Q
20201021|ACWI|64465|0|305800|Q
20201021|ACWV|42474|0|219253|Q
20201021|ACWX|39886|0|67369|Q
20201021|ACY|2029|721|5362|Q
20201021|ADAP|196355|11332|995842|Q
20201021|ADBE|130569|37|357328|Q
20201021|ADC|20518|0|113997|Q
20201021|ADCT|52680|188|79089|Q
20201021|ADES|14713|1000|27985|Q
20201021|ADI|603440|1344|1020710|Q
20201021|ADIL|231412|271|395093|Q
20201021|ADM|167412|136|446471|Q
20201021|ADMA|488448|218|880601|Q
20201021|ADME|12968|0|15079|Q
20201021|ADMP|672904|11339|1072229|Q
20201021|ADMS|14444|600|44088|Q
20201021|ADNT|196398|1093|495637|Q
20201021|ADP|73886|8|364145|Q
20201021|ADPT|106096|1238|329092|Q
20201021|ADRE|1949|0|6846|Q
20201021|ADS|160037|6|348018|Q
20201021|ADSK|92156|1|241486|Q
20201021|ADSW|17654|0|35906|Q
20201021|ADT|303097|1900|526633|Q
20201021|ADTN|53956|2615|154581|Q
20201021|ADTX|152009|5885|270268|Q
20201021|ADUS|5212|0|10212|Q
20201021|ADVM|76762|16|108396|Q
20201021|ADX|16895|0|29725|Q
20201021|ADXS|2908858|7927|5603115|Q
20201021|AE|815|0|1404|Q
20201021|AEB|1384|0|2917|Q
20201021|AEE|86298|5586|219776|Q
20201021|AEF|578|100|17020|Q
20201021|AEFC|27321|579|36492|Q
20201021|AEG|174630|6600|362975|Q
20201021|AEGN|2149|0|8923|Q
20201021|AEHL|52222|7899|114336|Q
20201021|AEHR|13321|0|27868|Q
20201021|AEIS|43008|300|54076|Q
20201021|AEL|133710|144|269883|Q
20201021|AELpA|10974|0|22189|Q
20201021|AELpB|7722|0|19535|Q
20201021|AEM|160880|0|223820|Q
20201021|AEMD|28160|0|81907|Q
20201021|AEO|965647|1875|5701985|Q
20201021|AEP|210485|1004|651416|Q
20201021|AEPPL|834|0|4289|Q
20201021|AEPPZ|2823|0|40207|Q
20201021|AER|112182|137|328567|Q
20201021|AERI|58323|7841|223914|Q
20201021|AES|461985|1705|1643216|Q
20201021|AESE|120843|2358|229450|Q
20201021|AESR|10|0|320|Q
20201021|AEY|14579|0|30339|Q
20201021|AEYE|7962|0|20427|Q
