HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:46:57 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 22 Oct 2020 21:22:29 GMT
ETag: "459093-3f539-5b2490fb10f20"
Accept-Ranges: bytes
Content-Length: 259385
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201022|A|83486|75|219520|Q
20201022|AA|504378|0|1655598|Q
20201022|AAA|405|0|405|Q
20201022|AAAU|85113|0|109980|Q
20201022|AACG|81503|0|154706|Q
20201022|AACQ|3788|0|219467|Q
20201022|AACQW|24045|0|68560|Q
20201022|AADR|23|0|2674|Q
20201022|AAL|11464431|66473|28252011|Q
20201022|AAMC|410|0|592|Q
20201022|AAME|103|0|344|Q
20201022|AAN|35170|207|82177|Q
20201022|AAOI|97332|0|164625|Q
20201022|AAON|4682|0|17944|Q
20201022|AAP|67035|0|151304|Q
20201022|AAPL|12324846|122806|35276819|Q
20201022|AAT|30821|0|37952|Q
20201022|AAU|112400|2954|168999|Q
20201022|AAWW|46923|0|152962|Q
20201022|AAXJ|34250|1700|150533|Q
20201022|AAXN|15394|231|91621|Q
20201022|AB|54247|504|170320|Q
20201022|ABB|98216|2106|211258|Q
20201022|ABBV|867568|1779|3038759|Q
20201022|ABC|53618|0|144707|Q
20201022|ABCB|70590|0|166933|Q
20201022|ABCM|276443|0|810325|Q
20201022|ABEO|126109|800|286440|Q
20201022|ABEQ|11786|0|11786|Q
20201022|ABEV|1888248|2384|5491192|Q
20201022|ABG|12278|0|28157|Q
20201022|ABIO|28755|0|83167|Q
20201022|ABM|34020|21|73164|Q
20201022|ABMD|27509|0|73801|Q
20201022|ABR|92709|7394|181001|Q
20201022|ABRpA|800|0|1043|Q
20201022|ABRpB|200|0|200|Q
20201022|ABRpC|300|0|800|Q
20201022|ABT|437795|2481|1250238|Q
20201022|ABTX|2744|0|5177|Q
20201022|ABUS|60714|1519|168893|Q
20201022|AC|352|0|963|Q
20201022|ACA|16930|400|60658|Q
20201022|ACAD|39065|0|81055|Q
20201022|ACAM|212752|389|2782814|Q
20201022|ACAMU|467|0|26767|Q
20201022|ACAMW|35277|200|246527|Q
20201022|ACB|1588772|41800|3337963|Q
20201022|ACBI|818|0|16677|Q
20201022|ACC|223852|0|531453|Q
20201022|ACCD|222779|1285|717319|Q
20201022|ACCO|52307|0|116507|Q
20201022|ACEL|10730|295|81486|Q
20201022|ACER|8204|0|27276|Q
20201022|ACES|25098|0|49209|Q
20201022|ACET|5900|0|8194|Q
20201022|ACEV|25|0|6543|Q
20201022|ACEVW|1900|0|6350|Q
20201022|ACGL|60091|0|1281246|Q
20201022|ACGLO|1060|0|4978|Q
20201022|ACGLP|2708|156|12471|Q
20201022|ACH|8378|0|18244|Q
20201022|ACHC|537164|0|674469|Q
20201022|ACHV|7515|200|17470|Q
20201022|ACI|1004470|12367|1440594|Q
20201022|ACIA|5330|0|18822|Q
20201022|ACIO|9739|0|11936|Q
20201022|ACIU|38429|0|51600|Q
20201022|ACIW|99495|0|154620|Q
20201022|ACLS|19249|0|79627|Q
20201022|ACM|41975|0|149891|Q
20201022|ACMR|23894|660|51188|Q
20201022|ACN|242610|363|420603|Q
20201022|ACNB|1062|0|1679|Q
20201022|ACND|10|0|15130|Q
20201022|ACND/WS|400|0|8800|Q
20201022|ACOR|1063234|119711|2380287|Q
20201022|ACP|15678|200|21834|Q
20201022|ACRE|14817|1902|33723|Q
20201022|ACRS|26239|1734|49650|Q
20201022|ACRX|403806|10376|674148|Q
20201022|ACSI|5|0|142|Q
20201022|ACST|342414|7045|525467|Q
20201022|ACT|764|0|1337|Q
20201022|ACTCU|692|0|1067|Q
20201022|ACTG|9628|0|28911|Q
20201022|ACU|2045|0|4127|Q
20201022|ACV|10080|0|18109|Q
20201022|ACWF|82|0|1106|Q
20201022|ACWI|1055207|1173|1106841|Q
20201022|ACWV|74565|21785|260017|Q
20201022|ACWX|53568|800|125060|Q
20201022|ACY|274208|2900|553250|Q
20201022|ADAP|258055|18747|913608|Q
20201022|ADBE|209038|3765|757362|Q
20201022|ADC|11013|686|45078|Q
20201022|ADCT|73283|612|94857|Q
20201022|ADES|9068|0|23852|Q
20201022|ADFI|41|0|43|Q
20201022|ADI|252987|1500|421935|Q
20201022|ADIL|1654137|25679|2962369|Q
20201022|ADILW|3925|0|5376|Q
20201022|ADM|255778|4998|527978|Q
20201022|ADMA|411177|39741|1026816|Q
20201022|ADME|7630|0|7941|Q
20201022|ADMP|401983|1112|821101|Q
20201022|ADMS|8210|0|90706|Q
20201022|ADNT|63153|0|359062|Q
20201022|ADP|102360|200|330911|Q
20201022|ADPT|81893|0|532678|Q
20201022|ADRE|2069|0|4262|Q
20201022|ADS|129729|703|253652|Q
20201022|ADSK|143892|700|278579|Q
20201022|ADSW|16801|0|38411|Q
20201022|ADT|229331|3972|481320|Q
20201022|ADTN|27558|0|53875|Q
20201022|ADTX|367906|541|558920|Q
20201022|ADUS|4768|0|15126|Q
20201022|ADVM|105123|100|171924|Q
20201022|ADX|32515|1600|57515|Q
20201022|ADXS|639660|17770|1200699|Q
20201022|AE|303|0|409|Q
20201022|AEB|1943|0|3644|Q
20201022|AEE|75980|600|142465|Q
20201022|AEF|6376|0|18922|Q
20201022|AEFC|10562|0|20913|Q
20201022|AEG|222278|8365|362002|Q
20201022|AEGN|2730|0|10025|Q
20201022|AEHL|43565|0|83106|Q
20201022|AEHR|12339|0|28796|Q
20201022|AEIS|29786|0|49475|Q
20201022|AEL|92795|0|171214|Q
20201022|AELpA|8088|750|18223|Q
20201022|AELpB|4491|389|17720|Q
20201022|AEM|109446|0|230940|Q
20201022|AEMD|736585|6616|1174344|Q
20201022|AEO|628887|450|2719940|Q
20201022|AEP|244595|787|535130|Q
20201022|AEPPL|5373|3610|6900|Q
20201022|AEPPZ|7780|4600|19202|Q
20201022|AER|131524|688|350338|Q
20201022|AERI|261151|100|467147|Q
20201022|AES|350289|3298|825032|Q
20201022|AESE|259418|0|414028|Q
20201022|AEY|12460|0|24693|Q
20201022|AEYE|10351|12|38037|Q
20201022|AEZS|220072|2793|348438|Q
20201022|AFB|8597|0|13866|Q
20201022|AFC|3529|0|4432|Q
20201022|AFG|53885|0|99976|Q
20201022|AFGB|2214|0|6682|Q
20201022|AFGC|275|0|594|Q
20201022|AFGD|1847|0|3644|Q
20201022|AFGE|963|0|1101|Q
20201022|AFGH|302|0|2055|Q
20201022|AFI|205676|15456|344205|Q
20201022|AFIB|56425|0|63638|Q
20201022|AFIN|36115|429|91812|Q
20201022|AFINP|1027|0|4153|Q
20201022|AFK|3|0|769|Q
20201022|AFL|154533|702|364675|Q
20201022|AFMD|59175|0|447037|Q
20201022|AFT|2198|993|20049|Q
20201022|AFTY|1361|0|1635|Q
20201022|AFYA|6848|0|17895|Q
20201022|AG|723249|10800|1143348|Q
20201022|AGBAW|100|0|100|Q
20201022|AGCO|12836|0|108309|Q
20201022|AGCUU|1200|0|39956|Q
20201022|AGD|2339|0|4503|Q
20201022|AGE|12837|0|42201|Q
20201022|AGEN|122856|6226|432823|Q
20201022|AGFS|2701|606|10395|Q
20201022|AGG|1051810|12|2170689|Q
20201022|AGGY|20917|0|50551|Q
20201022|AGI|155322|300|359024|Q
20201022|AGIO|120751|0|770944|Q
20201022|AGLE|8092|0|11701|Q
20201022|AGM|3989|0|15664|Q
20201022|AGMH|700|0|755|Q
20201022|AGMpC|200|0|500|Q
20201022|AGMpE|291|0|1391|Q
20201022|AGMpF|3045|0|4831|Q
20201022|AGNC|680851|1475|2033669|Q
20201022|AGNCM|5935|0|10006|Q
20201022|AGNCN|5822|0|9006|Q
20201022|AGNCO|1667|0|3157|Q
20201022|AGNCP|3008|0|8993|Q
20201022|AGO|144764|0|212038|Q
20201022|AGOpE|368|0|1004|Q
20201022|AGQ|192121|432|434227|Q
20201022|AGR|126588|195|349135|Q
20201022|AGRO|7802|0|38858|Q
20201022|AGRX|64493|700|130703|Q
20201022|AGS|40791|1360|79637|Q
20201022|AGT|1|0|52|Q
20201022|AGTC|7691|100|41388|Q
20201022|AGX|5077|0|31097|Q
20201022|AGYS|2657|0|18130|Q
20201022|AGZ|48886|0|89975|Q
20201022|AGZD|2176|0|3071|Q
20201022|AHC|1275|0|5975|Q
20201022|AHCO|18623|0|39281|Q
20201022|AHH|8114|400|12925|Q
20201022|AHHpA|464|0|3133|Q
20201022|AHLpC|3447|0|4921|Q
20201022|AHLpD|2368|0|4905|Q
20201022|AHLpE|1956|0|6178|Q
20201022|AHPI|36856|0|43261|Q
20201022|AHT|2569481|65468|4033226|Q
20201022|AHTpD|120|0|195|Q
20201022|AHTpF|7715|0|11535|Q
20201022|AHTpG|2291|0|4314|Q
20201022|AHTpH|2560|0|3920|Q
20201022|AHTpI|8203|0|15835|Q
20201022|AI|13758|0|30035|Q
20201022|AIA|36796|0|50521|Q
20201022|AIC|300|0|300|Q
20201022|AIEQ|6864|0|22009|Q
20201022|AIF|2585|0|10684|Q
20201022|AIG|482945|0|1199306|Q
20201022|AIG/WS|50838|0|122943|Q
20201022|AIGpA|10037|0|19947|Q
20201022|AIH|4251|1304|25679|Q
20201022|AIHS|1759645|132018|3029187|Q
20201022|AIIQ|67|0|77|Q
20201022|AIKI|107084|0|181470|Q
20201022|AIM|143517|16603|333674|Q
20201022|AIMC|34379|0|136826|Q
20201022|AIN|11598|109|28027|Q
20201022|AINC|707|0|1462|Q
20201022|AINV|42653|200|69026|Q
20201022|AIO|9143|0|68256|Q
20201022|AIQ|6477|0|10886|Q
20201022|AIR|25122|15|47374|Q
20201022|AIRG|7366|0|14267|Q
20201022|AIRI|764|9|19058|Q
20201022|AIRR|1509|0|5311|Q
20201022|AIRT|10|0|10|Q
20201022|AIRTW|1|0|1|Q
20201022|AIT|10448|0|52313|Q
20201022|AIV|26228|0|122451|Q
20201022|AIW|1265|0|2135|Q
20201022|AIZ|16132|0|36650|Q
20201022|AIpB|1997|0|2000|Q
20201022|AIpC|100|0|200|Q
20201022|AJG|65703|0|110596|Q
20201022|AJRD|25228|0|119451|Q
20201022|AJX|11922|200|35305|Q
20201022|AJXA|600|0|1400|Q
20201022|AKAM|151868|2925|419596|Q
20201022|AKBA|1062828|26922|3523661|Q
20201022|AKER|17486|168|30249|Q
20201022|AKO/B|71|0|690|Q
20201022|AKR|13898|0|362316|Q
20201022|AKRO|15524|4100|24194|Q
20201022|AKTS|85771|20613|119263|Q
20201022|AKTX|95453|0|132665|Q
20201022|AKU|446|0|450|Q
20201022|AKUS|18706|0|29749|Q
20201022|AL|43943|0|176561|Q
20201022|ALAC|3408|0|3609|Q
20201022|ALACR|17100|0|47265|Q
20201022|ALACW|19884|0|85275|Q
20201022|ALB|116721|0|161326|Q
20201022|ALBO|13967|0|30614|Q
20201022|ALC|275952|157|518499|Q
20201022|ALCO|871|0|4659|Q
20201022|ALDX|48601|0|93533|Q
20201022|ALE|23194|100|57617|Q
20201022|ALEC|55920|0|135206|Q
20201022|ALEX|23696|73|67753|Q
20201022|ALFA|1|0|24|Q
20201022|ALG|2047|0|3620|Q
20201022|ALGN|764105|1564|1702356|Q
20201022|ALGS|91069|0|132829|Q
20201022|ALGT|17234|0|34314|Q
20201022|ALIM|593|0|3127|Q
20201022|ALINpA|1698|0|1965|Q
20201022|ALINpB|520|0|3004|Q
20201022|ALINpE|1885|0|2801|Q
20201022|ALJJ|41625|3300|121013|Q
20201022|ALK|375172|1031|857289|Q
20201022|ALKS|99892|72|445376|Q
20201022|ALL|80711|0|172909|Q
20201022|ALLE|421982|0|596905|Q
20201022|ALLK|87520|0|216239|Q
20201022|ALLO|67893|0|160800|Q
20201022|ALLT|6004|0|21853|Q
20201022|ALLY|414079|1|1606949|Q
20201022|ALLYpA|11155|100|25847|Q
20201022|ALLpB|2879|900|8580|Q
20201022|ALLpG|1303|200|9541|Q
20201022|ALLpH|12311|500|50504|Q
20201022|ALLpI|5408|0|10524|Q
