HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:46:47 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 23 Oct 2020 23:42:41 GMT
ETag: "459db9-3ebd8-5b25f22f19c10"
Accept-Ranges: bytes
Content-Length: 256984
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201023|A|36933|63|153789|Q
20201023|AA|883129|12651|1453489|Q
20201023|AAA|431|0|482|Q
20201023|AAAU|74708|0|114762|Q
20201023|AACG|5020|0|12267|Q
20201023|AACQ|1651|0|10797|Q
20201023|AACQU|215|0|101037|Q
20201023|AACQW|5230|0|26311|Q
20201023|AADR|7|0|4020|Q
20201023|AAL|11051660|163800|29776530|Q
20201023|AAMC|31|0|431|Q
20201023|AAME|3748|0|5154|Q
20201023|AAN|23036|0|46348|Q
20201023|AAOI|111300|800|197865|Q
20201023|AAON|5278|0|13412|Q
20201023|AAP|24994|0|63018|Q
20201023|AAPL|9095627|43840|26676136|Q
20201023|AAT|3107|0|28223|Q
20201023|AAU|81984|1720|125043|Q
20201023|AAWW|44108|156|86732|Q
20201023|AAXJ|36265|1355|292592|Q
20201023|AAXN|8935|345|112044|Q
20201023|AB|87759|1300|200817|Q
20201023|ABB|229224|486|381386|Q
20201023|ABBV|590479|10603|1302534|Q
20201023|ABC|54277|0|103663|Q
20201023|ABCB|72490|100|174093|Q
20201023|ABCM|268924|136|580608|Q
20201023|ABEO|199563|2736|378476|Q
20201023|ABEQ|4898|0|6093|Q
20201023|ABEV|2791078|800|4304021|Q
20201023|ABG|8163|0|13997|Q
20201023|ABIO|33944|786|63351|Q
20201023|ABM|30338|0|81894|Q
20201023|ABMD|22809|0|34482|Q
20201023|ABR|67296|400|171021|Q
20201023|ABRpA|100|0|622|Q
20201023|ABRpB|686|100|2417|Q
20201023|ABRpC|423|0|980|Q
20201023|ABT|446782|15938|881923|Q
20201023|ABTX|497|0|2402|Q
20201023|ABUS|104384|540|217863|Q
20201023|AC|288|0|852|Q
20201023|ACA|15777|152|46865|Q
20201023|ACACU|172041|13390|829629|Q
20201023|ACAD|328193|601|427267|Q
20201023|ACAM|524216|0|1661425|Q
20201023|ACAMU|1800|0|1800|Q
20201023|ACAMW|15052|2852|136085|Q
20201023|ACB|1067046|10795|1815264|Q
20201023|ACBI|5374|300|10656|Q
20201023|ACC|139892|0|184414|Q
20201023|ACCD|92193|68|240191|Q
20201023|ACCO|61886|0|171702|Q
20201023|ACEL|2957|0|15476|Q
20201023|ACER|7499|0|12746|Q
20201023|ACES|28456|0|32967|Q
20201023|ACET|6741|0|28140|Q
20201023|ACEVW|700|0|890|Q
20201023|ACGL|29501|0|209380|Q
20201023|ACGLO|1218|0|3548|Q
20201023|ACGLP|2739|0|7623|Q
20201023|ACH|10853|0|15614|Q
20201023|ACHC|37459|247|107362|Q
20201023|ACHV|4563|200|8188|Q
20201023|ACI|368140|2078|690945|Q
20201023|ACIA|11279|0|19619|Q
20201023|ACIO|2995|0|5223|Q
20201023|ACIU|22650|275|63526|Q
20201023|ACIW|42623|0|62649|Q
20201023|ACLS|8401|7|30060|Q
20201023|ACM|24149|0|140529|Q
20201023|ACMR|6862|0|13698|Q
20201023|ACN|153981|223|263814|Q
20201023|ACNB|745|0|1369|Q
20201023|ACOR|593292|74177|1161410|Q
20201023|ACP|9772|0|11137|Q
20201023|ACRE|13609|300|26421|Q
20201023|ACRS|11781|0|19775|Q
20201023|ACRX|269197|21598|490730|Q
20201023|ACST|241424|27788|379649|Q
20201023|ACT|101|0|444|Q
