HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:45:07 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 26 Oct 2020 21:28:44 GMT
ETag: "45ea26-401c9-5b2999d662dc8"
Accept-Ranges: bytes
Content-Length: 262601
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201026|A|62712|117|135907|Q
20201026|AA|372142|4575|980850|Q
20201026|AAAU|56851|0|103228|Q
20201026|AACG|4807|0|28124|Q
20201026|AACQ|1022|0|14925|Q
20201026|AACQU|800|0|4142|Q
20201026|AACQW|4622|0|9126|Q
20201026|AADR|213|0|1225|Q
20201026|AAIC|7950|18|34764|Q
20201026|AAICpC|1000|0|1000|Q
20201026|AAL|11271569|176734|27008408|Q
20201026|AAME|850|26|958|Q
20201026|AAN|28916|569|86749|Q
20201026|AAOI|37620|400|78850|Q
20201026|AAON|11953|0|20645|Q
20201026|AAP|129637|702|187357|Q
20201026|AAPL|12364156|107344|35621271|Q
20201026|AAT|9777|0|62934|Q
20201026|AAU|137681|900|186953|Q
20201026|AAWW|23581|394|70873|Q
20201026|AAXJ|67972|2800|134429|Q
20201026|AAXN|10425|231|82887|Q
20201026|AB|118510|549|267815|Q
20201026|ABB|267227|2895|578001|Q
20201026|ABBV|814449|8368|2894372|Q
20201026|ABC|79943|20|124502|Q
20201026|ABCB|71027|470|147449|Q
20201026|ABCM|27390|0|63485|Q
20201026|ABEO|154929|240|308681|Q
20201026|ABEQ|4211|0|4711|Q
20201026|ABEV|8324830|5390|11621898|Q
20201026|ABG|21409|0|28924|Q
20201026|ABIO|134951|2174|224672|Q
20201026|ABM|41971|0|97459|Q
20201026|ABMD|53921|0|69500|Q
20201026|ABR|217710|4399|443178|Q
20201026|ABRpA|20|0|20|Q
20201026|ABRpB|227|0|369|Q
20201026|ABT|969179|2557|3151723|Q
20201026|ABTX|4645|0|7832|Q
20201026|ABUS|100087|886|229792|Q
20201026|AC|1102|0|1998|Q
20201026|ACA|20766|0|71147|Q
20201026|ACACU|3830|0|178812|Q
20201026|ACAD|177989|1432|421757|Q
20201026|ACAM|55497|0|103016|Q
20201026|ACAMU|600|0|600|Q
20201026|ACAMW|1350|0|101851|Q
20201026|ACB|1148616|3458|2180637|Q
20201026|ACBI|5618|0|33587|Q
20201026|ACC|232743|0|539271|Q
20201026|ACCD|101615|222|194074|Q
20201026|ACCO|98724|0|167499|Q
20201026|ACEL|19349|866|60009|Q
20201026|ACER|5036|0|10172|Q
20201026|ACES|29639|0|56134|Q
20201026|ACET|10844|1|16712|Q
20201026|ACGL|77407|402|398961|Q
20201026|ACGLO|703|0|1531|Q
20201026|ACGLP|4237|0|6789|Q
20201026|ACH|15603|1666|26300|Q
20201026|ACHC|59033|500|115257|Q
