HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:44:58 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 27 Oct 2020 21:22:31 GMT
ETag: "45ef83-3f51d-5b2ada5040a28"
Accept-Ranges: bytes
Content-Length: 259357
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201027|A|81039|1185|226561|Q
20201027|AA|378635|2950|928129|Q
20201027|AAAU|100542|0|124227|Q
20201027|AACQ|6083|0|574071|Q
20201027|AACQU|667|0|667|Q
20201027|AACQW|1107|505|5506|Q
20201027|AADR|1|0|1297|Q
20201027|AAIC|12800|1890|47526|Q
20201027|AAICpB|100|0|400|Q
20201027|AAICpC|1|0|201|Q
20201027|AAL|7973744|36849|19085728|Q
20201027|AAMC|2711|0|3212|Q
20201027|AAME|200|0|977|Q
20201027|AAN|25562|362|102816|Q
20201027|AAOI|45317|50|89837|Q
20201027|AAON|15370|0|49628|Q
20201027|AAP|45974|0|91402|Q
20201027|AAPL|11019876|105742|31106178|Q
20201027|AAT|20009|1200|95692|Q
20201027|AAU|126956|36|186704|Q
20201027|AAWW|32788|198|87516|Q
20201027|AAXJ|141630|97|218400|Q
20201027|AAXN|26346|0|74754|Q
20201027|AB|103910|500|185857|Q
20201027|ABB|110730|800|308791|Q
20201027|ABBV|596612|3547|2085640|Q
20201027|ABC|122711|600|194413|Q
20201027|ABCB|62871|0|129661|Q
20201027|ABCM|99606|0|161166|Q
20201027|ABEO|366219|0|531681|Q
20201027|ABEQ|762|0|762|Q
20201027|ABEV|4574590|1100|7415202|Q
20201027|ABG|69489|2445|105913|Q
20201027|ABIO|20681|639|58265|Q
20201027|ABM|48560|0|97843|Q
20201027|ABMD|56608|0|77672|Q
20201027|ABR|83669|1589|206313|Q
20201027|ABRpA|1580|0|1942|Q
20201027|ABRpB|329|0|329|Q
20201027|ABT|507338|4253|1184244|Q
20201027|ABTX|10073|0|12999|Q
20201027|ABUS|25964|1183|134593|Q
20201027|AC|513|0|541|Q
20201027|ACA|14548|0|31525|Q
20201027|ACACU|104107|0|427095|Q
20201027|ACAD|199177|220|552181|Q
20201027|ACAM|6189|0|14020|Q
20201027|ACAMW|2069|0|18260|Q
20201027|ACB|2530959|9202|4383740|Q
20201027|ACBI|14264|28|14732|Q
20201027|ACC|344585|0|465794|Q
20201027|ACCD|64338|1153|123250|Q
20201027|ACCO|96408|1967|193412|Q
20201027|ACEL|34982|700|134584|Q
20201027|ACER|3567|0|14463|Q
20201027|ACES|17181|0|24314|Q
20201027|ACET|3670|0|7995|Q
20201027|ACEVW|5000|0|5199|Q
20201027|ACGL|45677|300|340554|Q
20201027|ACGLO|5056|0|8598|Q
20201027|ACGLP|4827|0|7618|Q
20201027|ACH|3380|0|10635|Q
20201027|ACHC|24103|46|77750|Q
20201027|ACHV|12550|0|18496|Q
20201027|ACI|512168|7348|862332|Q
20201027|ACIA|14677|0|62820|Q
20201027|ACIO|37255|0|37658|Q
20201027|ACIU|20413|0|32439|Q
20201027|ACIW|35006|0|71568|Q
20201027|ACLS|16015|0|50616|Q
20201027|ACM|27569|0|89288|Q
20201027|ACMR|29086|1128|54778|Q
20201027|ACN|132360|7886|357228|Q
20201027|ACNB|915|0|1683|Q
20201027|ACND|2696|0|2796|Q
20201027|ACOR|300325|4700|645955|Q
20201027|ACP|22998|0|42386|Q
20201027|ACRE|23988|7895|34862|Q
20201027|ACRS|22105|899|41443|Q
20201027|ACRX|411142|3185|657925|Q
20201027|ACSG|325|0|335|Q
20201027|ACST|344247|0|503842|Q
20201027|ACT|148|0|322|Q
20201027|ACTCU|950|0|246105|Q
20201027|ACTG|14386|0|217755|Q
20201027|ACU|1774|0|3374|Q
20201027|ACV|6916|0|13471|Q
20201027|ACWF|7|0|158|Q
20201027|ACWI|96151|0|193496|Q
20201027|ACWV|8250|100|61226|Q
20201027|ACWX|112817|0|220604|Q
20201027|ACY|290|0|5759|Q
20201027|ADAP|69966|21219|283373|Q
20201027|ADBE|87808|1019|421176|Q
20201027|ADC|30484|359|51905|Q
20201027|ADCT|23917|0|59581|Q
20201027|ADES|8248|200|17709|Q
20201027|ADI|346351|2124|616174|Q
20201027|ADIL|83946|0|153065|Q
20201027|ADM|174161|476|489146|Q
20201027|ADMA|376247|9128|723779|Q
20201027|ADME|27230|0|27335|Q
20201027|ADMP|342577|983|578645|Q
20201027|ADMS|19583|0|33667|Q
20201027|ADNT|167761|1214|342814|Q
20201027|ADP|212649|3095|733950|Q
20201027|ADPT|179461|0|409946|Q
20201027|ADRE|930|0|4152|Q
20201027|ADS|113740|0|235878|Q
20201027|ADSK|90486|706|157146|Q
20201027|ADSW|53977|0|274689|Q
20201027|ADT|755966|3087|1506685|Q
20201027|ADTN|22327|0|73940|Q
20201027|ADTX|22499|100|123790|Q
20201027|ADUS|4289|300|8568|Q
20201027|ADVM|70166|55|143643|Q
20201027|ADX|20239|1260|39995|Q
20201027|ADXS|816313|29783|1642562|Q
20201027|AE|16|0|1850|Q
20201027|AEB|4454|563|8322|Q
20201027|AEE|176090|2100|315873|Q
20201027|AEF|42|0|13387|Q
20201027|AEFC|18859|0|49765|Q
20201027|AEG|279234|6193|407268|Q
20201027|AEGN|2763|0|14139|Q
20201027|AEHL|160859|2728|257594|Q
20201027|AEHR|53429|0|61046|Q
20201027|AEIS|17129|215|26625|Q
20201027|AEL|61011|100|169987|Q
20201027|AELpA|9572|0|34024|Q
20201027|AELpB|2693|0|173503|Q
20201027|AEM|77789|0|145673|Q
20201027|AEMD|218945|0|429331|Q
20201027|AEO|413444|3145|879041|Q
20201027|AEP|222820|2206|606626|Q
20201027|AEPPL|2299|0|18172|Q
20201027|AEPPZ|2992|0|294046|Q
20201027|AER|167135|1393|341708|Q
20201027|AERI|43452|411|154308|Q
20201027|AES|337833|2204|906992|Q
20201027|AESE|276713|1891|469331|Q
20201027|AESR|51|0|247841|Q
20201027|AEY|11948|0|19674|Q
20201027|AEYE|2879|0|3584|Q
20201027|AEZS|102615|2573|277347|Q
20201027|AFB|1333|1000|21375|Q
20201027|AFC|625|0|775|Q
20201027|AFG|94651|0|184525|Q
20201027|AFGB|1465|0|2852|Q
20201027|AFGC|225|0|4121|Q
20201027|AFGD|1594|0|3273|Q
20201027|AFGE|400|0|1611|Q
20201027|AFGH|4763|0|7854|Q
20201027|AFI|59510|100|118577|Q
20201027|AFIB|8777|0|16638|Q
20201027|AFIF|588|0|1494047|Q
20201027|AFIN|114433|3848|225097|Q
20201027|AFINP|774|0|5325|Q
20201027|AFK|87|0|1851|Q
20201027|AFL|683425|507|1131368|Q
20201027|AFLG|1000|0|1000|Q
20201027|AFMD|31102|1050|63589|Q
20201027|AFT|633|0|8257|Q
20201027|AFTY|620|0|852|Q
20201027|AFYA|31511|700|58236|Q
20201027|AG|241518|480|810880|Q
