HTTP/1.1 200 OK
Date: Thu, 29 Oct 2020 09:44:48 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 28 Oct 2020 21:23:10 GMT
ETag: "45f4b2-4083a-5b2c1c5330df8"
Accept-Ranges: bytes
Content-Length: 264250
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201028|A|75639|614|218528|Q
20201028|AA|382913|2046|905876|Q
20201028|AAA|400|0|860|Q
20201028|AAAU|187234|0|260263|Q
20201028|AACG|2917|0|12382|Q
20201028|AACQ|2737|0|405304|Q
20201028|AACQU|500|0|3963|Q
20201028|AACQW|19639|400|29084|Q
20201028|AADR|3840|0|39139|Q
20201028|AAIC|60642|0|103471|Q
20201028|AAICpB|15|0|15|Q
20201028|AAICpC|100|0|200|Q
20201028|AAL|7935525|233410|17944751|Q
20201028|AAMC|3|0|616|Q
20201028|AAME|103|0|113|Q
20201028|AAN|46244|0|116922|Q
20201028|AAOI|52140|142|87642|Q
20201028|AAON|19745|0|62107|Q
20201028|AAP|85080|0|150366|Q
20201028|AAPL|14928950|86290|49766342|Q
20201028|AAT|29615|300|197239|Q
20201028|AAU|162841|4900|452144|Q
20201028|AAWW|91344|0|172300|Q
20201028|AAXJ|242997|217|284008|Q
20201028|AAXN|27329|0|99909|Q
20201028|AB|90373|0|250897|Q
20201028|ABB|138709|767|238127|Q
20201028|ABBV|1895509|10469|4146279|Q
20201028|ABC|140473|963|192326|Q
20201028|ABCB|55440|93|96121|Q
20201028|ABCM|118605|0|142114|Q
20201028|ABEO|434493|3750|1431966|Q
20201028|ABEQ|1711|0|1713|Q
20201028|ABEV|2591319|5955|4574105|Q
20201028|ABG|24724|6|34234|Q
20201028|ABIO|79596|263|176735|Q
20201028|ABM|23637|132|48740|Q
20201028|ABMD|85992|400|129870|Q
20201028|ABR|239415|8062|480223|Q
20201028|ABRpA|5|0|5|Q
20201028|ABRpB|73|0|73|Q
20201028|ABRpC|1162|0|3048|Q
20201028|ABST|32010|0|250682|Q
20201028|ABT|1666916|3339|2543998|Q
20201028|ABTX|5142|0|7421|Q
20201028|ABUS|89137|3406|294736|Q
20201028|AC|2569|0|5261|Q
20201028|ACA|25320|400|52910|Q
20201028|ACACU|608|100|123330|Q
20201028|ACAD|169952|1300|656313|Q
20201028|ACAM|43070|0|88975|Q
20201028|ACAMU|499|0|499|Q
20201028|ACAMW|870|200|2870|Q
20201028|ACB|2110588|10821|3352614|Q
20201028|ACBI|3425|0|8895|Q
20201028|ACC|239495|0|549744|Q
20201028|ACCD|75044|1223|181042|Q
20201028|ACCO|118589|4429|241872|Q
20201028|ACEL|29964|0|71543|Q
20201028|ACER|11735|0|27213|Q
20201028|ACES|30246|0|38542|Q
20201028|ACET|2846|0|14343|Q
20201028|ACGL|113416|6463|481447|Q
20201028|ACGLO|1009|0|4430|Q
20201028|ACGLP|2689|0|5162|Q
20201028|ACH|27536|4960|45170|Q
20201028|ACHC|27116|0|100347|Q
20201028|ACHV|8626|0|16412|Q
20201028|ACI|1230407|11999|2524867|Q
20201028|ACIA|8565|0|87267|Q
20201028|ACIC/U|3628|0|1903178|Q
20201028|ACIO|23197|0|37082|Q
20201028|ACIU|8245|0|14124|Q
20201028|ACIW|64720|0|114339|Q
20201028|ACLS|14777|0|46605|Q
20201028|ACM|70490|213|267776|Q
20201028|ACMR|65997|4|92798|Q
20201028|ACN|194963|1244|483065|Q
20201028|ACNB|1585|0|2709|Q
20201028|ACND|162|0|172|Q
20201028|ACND/WS|1000|0|1025|Q
20201028|ACOR|480183|11687|936343|Q
20201028|ACP|25226|0|70278|Q
20201028|ACRE|37250|782|69708|Q
20201028|ACRS|63891|16093|112881|Q
20201028|ACRX|142280|0|417328|Q
20201028|ACSG|36|0|2210|Q
20201028|ACST|410539|4660|935403|Q
20201028|ACT|31|0|550|Q
20201028|ACTCU|400|0|645|Q
20201028|ACTG|11129|0|29695|Q
20201028|ACTV|35100|0|35100|Q
20201028|ACU|1720|0|3093|Q
20201028|ACV|19668|0|30255|Q
20201028|ACWF|1|0|1132|Q
20201028|ACWI|391888|3|610482|Q
20201028|ACWV|87015|0|168919|Q
20201028|ACWX|221378|0|484309|Q
20201028|ACY|16619|1464|23880|Q
20201028|ADAP|55869|9087|438239|Q
20201028|ADBE|180564|201|598260|Q
20201028|ADC|26441|31|71091|Q
20201028|ADCT|34667|0|61645|Q
20201028|ADES|18924|0|58853|Q
20201028|ADFI|4|0|9|Q
20201028|ADI|387740|7176|1021607|Q
20201028|ADIL|80733|200|148493|Q
20201028|ADM|299341|8661|799227|Q
20201028|ADMA|240251|500|627194|Q
20201028|ADME|15732|0|28918|Q
20201028|ADMP|401690|23206|924530|Q
20201028|ADMS|9881|250|31299|Q
20201028|ADNT|281512|0|635118|Q
20201028|ADP|734134|245|1385301|Q
20201028|ADPT|62111|129|181863|Q
20201028|ADRE|213|0|1642|Q
20201028|ADS|259400|500|506059|Q
20201028|ADSK|147407|11|290336|Q
20201028|ADSW|54695|0|108120|Q
20201028|ADT|254064|1864|590417|Q
20201028|ADTN|9995|0|56307|Q
20201028|ADTX|55458|3246|284360|Q
20201028|ADUS|3530|0|7588|Q
20201028|ADVM|59805|0|94000|Q
20201028|ADX|59079|2400|104522|Q
20201028|ADXS|504588|19904|1065086|Q
20201028|AE|679|0|1385|Q
20201028|AEB|6947|800|9923|Q
20201028|AEE|211909|2300|269436|Q
20201028|AEF|201|0|3915|Q
20201028|AEFC|18083|0|24620|Q
20201028|AEG|320672|5735|539780|Q
20201028|AEGN|11028|0|19031|Q
20201028|AEHL|15594|0|34766|Q
20201028|AEHR|33507|228|38970|Q
20201028|AEIS|32926|300|50825|Q
20201028|AEL|62909|0|196127|Q
20201028|AELpA|8571|0|15619|Q
20201028|AELpB|5229|0|15347|Q
20201028|AEM|204391|332|347229|Q
20201028|AEMD|57896|0|151182|Q
20201028|AEO|381385|5499|757975|Q
20201028|AEP|143623|5024|773156|Q
20201028|AEPPL|8540|1890|16286|Q
20201028|AEPPZ|53993|400|76342|Q
20201028|AER|139578|101|427432|Q
20201028|AERI|151875|2070|1279309|Q
20201028|AES|543908|735|1327505|Q
20201028|AESE|207819|10104|543452|Q
20201028|AESR|1|0|411|Q
20201028|AEY|24323|119|35113|Q
20201028|AEYE|9038|0|12315|Q
20201028|AEZS|110915|2025|285684|Q
20201028|AFB|28614|0|36703|Q
20201028|AFC|591|0|2824|Q
20201028|AFG|86230|900|155196|Q
20201028|AFGB|1283|0|3583|Q
20201028|AFGC|5014|2733|6674|Q
20201028|AFGD|1668|0|3867|Q
20201028|AFGE|559|0|559|Q
20201028|AFGH|4120|700|5945|Q
20201028|AFI|89363|43|212229|Q
20201028|AFIB|8656|0|12295|Q
20201028|AFIF|27|0|2610|Q
20201028|AFIN|95734|131|193846|Q
20201028|AFINP|1654|0|4218|Q
20201028|AFK|647|0|2086|Q
20201028|AFL|636943|5006|1575274|Q
20201028|AFLG|200|0|200|Q
20201028|AFMC|200|0|200|Q
20201028|AFMD|87821|0|213081|Q
20201028|AFT|13282|463|34493|Q
20201028|AFTY|1230|0|2257|Q
20201028|AFYA|72537|0|123438|Q
20201028|AG|2096036|50291|3599462|Q
20201028|AGBA|10|0|45|Q
20201028|AGCO|18816|0|97366|Q
20201028|AGCUU|6505|0|25128|Q
20201028|AGD|6292|100|14421|Q
20201028|AGE|332547|10593|675049|Q
20201028|AGEN|217140|8415|326869|Q
20201028|AGFS|3865|0|11069|Q
20201028|AGG|1316533|0|2772829|Q
20201028|AGGP|5000|0|13241|Q
20201028|AGGY|11475|0|44636|Q
20201028|AGI|488949|5119|1058029|Q
20201028|AGIO|42469|0|123677|Q
20201028|AGLE|10439|0|21094|Q
20201028|AGM|3212|87|6487|Q
20201028|AGMH|300|0|880|Q
20201028|AGMpD|1059|0|2059|Q
20201028|AGMpE|709|0|750|Q
20201028|AGMpF|1200|0|6471|Q
20201028|AGNC|1337890|2972|2625978|Q
20201028|AGNCM|3203|0|7667|Q
20201028|AGNCN|4582|0|15823|Q
20201028|AGNCO|6667|0|19724|Q
20201028|AGNCP|12925|61|49988|Q
20201028|AGO|89989|115|126446|Q
20201028|AGOpB|1675|0|1677|Q
20201028|AGOpE|331|0|1085|Q
20201028|AGOpF|1885|0|2078|Q
20201028|AGQ|221019|5747|903948|Q
20201028|AGR|89046|0|179239|Q
