HTTP/1.1 200 OK
Date: Sat, 31 Oct 2020 04:00:06 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Fri, 30 Oct 2020 21:23:56 GMT
ETag: "45ff80-40330-5b2ea03a7eb08"
Accept-Ranges: bytes
Content-Length: 262960
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201030|A|131737|400|678692|Q
20201030|AA|449713|2280|1000119|Q
20201030|AAA|560|0|861|Q
20201030|AAAU|74790|0|110951|Q
20201030|AACG|1000|0|3875|Q
20201030|AACQ|1605|0|6707|Q
20201030|AACQU|4917|0|5235|Q
20201030|AACQW|6200|0|17549|Q
20201030|AADR|771|0|6624|Q
20201030|AAIC|37905|100|60509|Q
20201030|AAICpB|3250|0|3290|Q
20201030|AAL|4039018|94531|14240220|Q
20201030|AAME|172|0|1173|Q
20201030|AAN|82378|0|210092|Q
20201030|AAOI|172883|84|292304|Q
20201030|AAON|20258|0|28577|Q
20201030|AAP|115283|40|185081|Q
20201030|AAPL|23375806|408324|61858335|Q
20201030|AAT|12058|0|109244|Q
20201030|AAU|277562|225|429217|Q
20201030|AAWW|132767|600|210142|Q
20201030|AAXJ|248147|10|339825|Q
20201030|AAXN|30342|0|93866|Q
20201030|AB|111667|3496|191821|Q
20201030|ABB|88300|400|193569|Q
20201030|ABBV|2242508|6276|4546566|Q
20201030|ABC|200684|5077|270782|Q
20201030|ABCB|20912|0|64417|Q
20201030|ABCM|3886|0|15864|Q
20201030|ABEO|309613|500|566826|Q
20201030|ABEV|3900737|4929|7455860|Q
20201030|ABG|25071|0|36356|Q
20201030|ABIO|82318|0|139593|Q
20201030|ABM|27783|0|92526|Q
20201030|ABMD|60989|2623|98555|Q
20201030|ABR|163797|800|568041|Q
20201030|ABRpA|214|0|940|Q
20201030|ABRpB|700|0|953|Q
20201030|ABRpC|16|0|1817|Q
20201030|ABST|26952|1100|55380|Q
20201030|ABT|413322|1535|900143|Q
20201030|ABTX|4986|0|8525|Q
20201030|ABUS|141765|662|236029|Q
20201030|AC|252|0|459|Q
20201030|ACA|38361|0|61115|Q
20201030|ACACU|52207|0|71821|Q
20201030|ACAD|77182|71|340922|Q
20201030|ACAM|16649|0|95696|Q
20201030|ACB|938226|18362|1934926|Q
20201030|ACBI|899|0|2207|Q
20201030|ACC|107561|5|156694|Q
20201030|ACCD|60069|107|123186|Q
20201030|ACCO|104960|712|216665|Q
20201030|ACEL|11985|0|35406|Q
20201030|ACER|4211|0|11871|Q
20201030|ACES|10363|0|25532|Q
20201030|ACET|6797|0|13721|Q
20201030|ACGL|209039|0|836984|Q
20201030|ACGLO|6149|0|10172|Q
20201030|ACGLP|3277|0|8880|Q
20201030|ACH|11943|0|24616|Q
20201030|ACHC|341438|1135|806114|Q
20201030|ACHV|20841|0|25739|Q
20201030|ACI|641204|4964|1361104|Q
20201030|ACIA|31828|0|82668|Q
20201030|ACIC/U|800|0|6510|Q
20201030|ACIO|11488|0|18618|Q
20201030|ACIU|36961|5|89090|Q
20201030|ACIW|48458|0|76680|Q
20201030|ACLS|7877|0|28301|Q
20201030|ACM|87285|0|180746|Q
20201030|ACMR|61680|500|103340|Q
20201030|ACN|236325|34|376367|Q
20201030|ACNB|478|0|794|Q
20201030|ACOR|221879|16200|470311|Q
20201030|ACP|8913|0|25516|Q
20201030|ACRE|36008|1100|58151|Q
20201030|ACRS|26664|0|75300|Q
20201030|ACRX|130878|385|268558|Q
20201030|ACST|247832|322|585179|Q
20201030|ACT|164|0|334|Q
20201030|ACTCU|421|0|4572|Q
20201030|ACTG|1004|0|8577|Q
20201030|ACTV|12977|0|13569|Q
20201030|ACU|2126|0|5125|Q
20201030|ACV|13922|0|34977|Q
20201030|ACWF|297|0|998|Q
20201030|ACWI|450272|191|990584|Q
20201030|ACWV|92064|0|273241|Q
20201030|ACWX|136378|0|207422|Q
20201030|ACY|10251|720|13982|Q
20201030|ADAP|75185|983|255544|Q
20201030|ADBE|224189|9671|682384|Q
20201030|ADC|37715|100|72254|Q
20201030|ADCT|21279|0|33534|Q
20201030|ADES|15656|0|56369|Q
20201030|ADI|444305|218|660329|Q
20201030|ADIL|59202|100|133711|Q
20201030|ADM|466834|1079|1141909|Q
20201030|ADMA|412788|7798|740725|Q
