HTTP/1.1 200 OK
Date: Wed, 04 Nov 2020 03:12:18 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 03 Nov 2020 22:23:08 GMT
ETag: "460b6a-3fe35-5b33b4eb6e648"
Accept-Ranges: bytes
Content-Length: 261685
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201103|A|97067|0|243227|Q
20201103|AA|302841|4009|1184645|Q
20201103|AAAU|82551|0|108001|Q
20201103|AACG|9697|0|11295|Q
20201103|AACQ|152940|0|670262|Q
20201103|AACQU|117|0|75344|Q
20201103|AACQW|10089|0|16484|Q
20201103|AADR|659|0|3763|Q
20201103|AAIC|43774|1200|80341|Q
20201103|AAICpB|200|0|200|Q
20201103|AAICpC|620|0|2970|Q
20201103|AAL|3477425|46461|11388593|Q
20201103|AAME|102|0|116|Q
20201103|AAN|84165|1389|152873|Q
20201103|AAOI|78450|3377|142114|Q
20201103|AAON|17753|0|33473|Q
20201103|AAP|128123|0|204768|Q
20201103|AAPL|12820885|85512|35986461|Q
20201103|AAT|6627|1200|99252|Q
20201103|AAU|160808|6220|375088|Q
20201103|AAWW|68482|0|157612|Q
20201103|AAXJ|91053|0|121254|Q
20201103|AAXN|55810|0|132037|Q
20201103|AB|64867|0|184645|Q
20201103|ABB|77377|3705|207018|Q
20201103|ABBV|1121525|8215|2491756|Q
20201103|ABC|231583|18|466478|Q
20201103|ABCB|45707|0|75755|Q
20201103|ABCM|58429|0|140787|Q
20201103|ABEO|692631|1378|2850705|Q
20201103|ABEQ|10490|0|11220|Q
20201103|ABEV|3108095|1800|12534014|Q
20201103|ABG|17836|0|28577|Q
20201103|ABIO|28168|0|62893|Q
20201103|ABM|19377|712|39980|Q
20201103|ABMD|72732|300|105632|Q
20201103|ABR|123155|11349|567100|Q
20201103|ABRpB|20|0|20|Q
20201103|ABST|25358|0|32458|Q
20201103|ABT|469761|353|965460|Q
20201103|ABTX|1320|0|5062|Q
20201103|ABUS|41951|1615|134383|Q
20201103|AC|198|100|2023|Q
20201103|ACA|16634|400|44860|Q
20201103|ACACU|34|0|19154|Q
20201103|ACAD|49209|1400|151696|Q
20201103|ACAM|12600|0|219001|Q
20201103|ACAMW|8|0|807|Q
20201103|ACB|4942700|70278|8358194|Q
20201103|ACBI|2391|0|3700|Q
20201103|ACC|120120|0|397499|Q
20201103|ACCD|43018|0|84596|Q
20201103|ACCO|42328|261|762312|Q
20201103|ACEL|76455|0|95179|Q
20201103|ACER|17076|200|22416|Q
20201103|ACES|48044|0|51161|Q
20201103|ACET|1384|140|6505|Q
20201103|ACGL|159382|0|498351|Q
20201103|ACGLO|2444|0|4338|Q
20201103|ACGLP|7210|0|11338|Q
20201103|ACH|2793|0|5712|Q
20201103|ACHC|73992|1|171725|Q
20201103|ACHV|8186|0|9899|Q
20201103|ACI|347661|4602|678095|Q
20201103|ACIA|33164|100|233101|Q
20201103|ACIO|17569|0|22026|Q
20201103|ACIU|18792|0|57111|Q
20201103|ACIW|32469|2300|118138|Q
20201103|ACLS|17524|67|64986|Q
20201103|ACM|73150|0|293178|Q
20201103|ACMR|34466|0|79977|Q
20201103|ACN|153779|1807|337302|Q
20201103|ACNB|1410|0|2612|Q
20201103|ACND|30|0|1561|Q
20201103|ACOR|1552298|66207|3040243|Q
20201103|ACP|22053|1092|39306|Q
20201103|ACRE|20118|48|44062|Q
20201103|ACRS|16601|16|50407|Q
20201103|ACRX|206202|281|409069|Q
20201103|ACSG|200|0|200|Q
20201103|ACST|481152|104798|592927|Q
20201103|ACTG|10730|0|17236|Q
20201103|ACTV|4831|0|5026|Q
20201103|ACU|2060|0|6518|Q
20201103|ACV|10147|0|15975|Q
20201103|ACVF|250|0|531|Q
