HTTP/1.1 200 OK
Date: Fri, 06 Nov 2020 06:47:08 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 05 Nov 2020 22:21:25 GMT
ETag: "461636-40143-5b363843f7230"
Accept-Ranges: bytes
Content-Length: 262467
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201105|A|85097|500|271246|Q
20201105|AA|381398|4413|1471843|Q
20201105|AAA|102|0|253|Q
20201105|AAAU|103612|0|185533|Q
20201105|AACG|4165|104|14001|Q
20201105|AACQ|3779|0|6137|Q
20201105|AACQW|7662|0|13850|Q
20201105|AADR|317|0|3507|Q
20201105|AAIC|49679|0|100719|Q
20201105|AAICpB|100|0|100|Q
20201105|AAICpC|85|0|91|Q
20201105|AAL|5297943|27754|14221695|Q
20201105|AAN|29571|0|65448|Q
20201105|AAOI|161114|2513|256380|Q
20201105|AAON|39710|0|56162|Q
20201105|AAP|106742|214|141304|Q
20201105|AAPL|14057591|92845|38738083|Q
20201105|AAT|28101|0|202016|Q
20201105|AAU|220389|1782|495662|Q
20201105|AAWW|68825|0|252148|Q
20201105|AAXJ|1444374|0|1530743|Q
20201105|AAXN|64619|3520|142165|Q
20201105|AB|121964|2300|234491|Q
20201105|ABB|80728|196|275571|Q
20201105|ABBV|779414|6918|2205405|Q
20201105|ABC|170184|0|361450|Q
20201105|ABCB|72211|0|166832|Q
20201105|ABCM|16060|0|35965|Q
20201105|ABEO|214464|1379|750826|Q
20201105|ABEQ|634|0|634|Q
20201105|ABEV|2934952|16122|5468778|Q
20201105|ABG|16966|0|47778|Q
20201105|ABIO|49248|0|88196|Q
20201105|ABM|18143|0|36335|Q
20201105|ABMD|31876|0|57117|Q
20201105|ABR|185620|1|602925|Q
20201105|ABRpB|300|0|300|Q
20201105|ABRpC|750|0|1156|Q
20201105|ABST|13797|0|19487|Q
20201105|ABT|689583|982|1367717|Q
20201105|ABTX|1220|0|3279|Q
20201105|ABUS|191631|8659|454378|Q
20201105|AC|801|0|1108|Q
20201105|ACA|30229|0|57447|Q
20201105|ACACU|200|0|907|Q
20201105|ACAD|133222|3326|330811|Q
20201105|ACAM|1974|0|6108|Q
20201105|ACAMU|2265|0|18632|Q
20201105|ACAMW|4559|0|78469|Q
20201105|ACB|27993263|3676084|43784414|Q
20201105|ACBI|4685|0|11824|Q
20201105|ACC|233440|100|502314|Q
20201105|ACCD|71585|600|155672|Q
20201105|ACCO|31662|1388|71181|Q
20201105|ACEL|24543|0|118748|Q
20201105|ACER|3062|0|7969|Q
20201105|ACES|109689|0|116951|Q
20201105|ACET|2534|0|6669|Q
20201105|ACEV|300|0|126599|Q
20201105|ACGL|112844|0|409292|Q
20201105|ACGLO|2204|0|5549|Q
20201105|ACGLP|4468|0|7347|Q
20201105|ACH|4051|0|12836|Q
20201105|ACHC|86532|0|306294|Q
20201105|ACHV|14886|0|33552|Q
20201105|ACI|476420|6642|1011152|Q
20201105|ACIA|36814|0|135160|Q
20201105|ACIO|31162|0|34864|Q
20201105|ACIU|58183|6487|101828|Q
20201105|ACIW|149884|754|264331|Q
20201105|ACLS|28013|295|73451|Q
20201105|ACM|94372|500|380042|Q
20201105|ACMR|65475|975|103368|Q
20201105|ACN|247193|7|407978|Q
20201105|ACNB|472|0|2002|Q
20201105|ACND/WS|2232|0|2232|Q
20201105|ACOR|687685|79744|1873610|Q
20201105|ACP|13476|48|27796|Q
20201105|ACRE|16166|0|32073|Q
20201105|ACRS|24099|0|71225|Q
20201105|ACRX|164876|7000|429662|Q
20201105|ACST|393505|411|751572|Q
20201105|ACTCU|61|0|611|Q
20201105|ACTG|52789|0|143776|Q
20201105|ACTV|2735|0|2761|Q
20201105|ACU|1843|0|3245|Q
20201105|ACV|10851|0|21528|Q
20201105|ACVF|1|0|1|Q
20201105|ACWF|363|0|7758|Q
20201105|ACWI|168309|0|346379|Q
20201105|ACWV|18088|100|95627|Q
20201105|ACWX|131138|0|206925|Q
20201105|ACY|4167|0|10540|Q
20201105|ADAP|157346|15619|520961|Q
20201105|ADBE|193015|684|523908|Q
20201105|ADC|17037|0|44115|Q
20201105|ADCT|19365|0|51676|Q
20201105|ADES|4546|1111|13109|Q
20201105|ADI|313643|567|1096475|Q
20201105|ADIL|85028|400|178162|Q
20201105|ADM|265739|2399|588399|Q
20201105|ADMA|236897|555|674268|Q
20201105|ADME|23389|0|24667|Q
20201105|ADMP|947542|12933|1312410|Q
20201105|ADMS|25297|0|77175|Q
20201105|ADNT|56441|22|250353|Q
20201105|ADP|146769|12|757978|Q
20201105|ADPT|52849|1100|143457|Q
20201105|ADRE|36337|0|48573|Q
20201105|ADS|146316|0|315678|Q
20201105|ADSK|153704|204|266365|Q
20201105|ADT|671961|4290|1447944|Q
20201105|ADTN|73630|0|160393|Q
20201105|ADTX|132105|1170|246979|Q
20201105|ADUS|7787|0|14944|Q
20201105|ADV|122945|0|136088|Q
20201105|ADVM|132895|0|288814|Q
20201105|ADVWW|123250|111000|921812|Q
20201105|ADX|56012|1300|116211|Q
20201105|ADXS|150123|0|210233|Q
20201105|AE|670|0|1376|Q
20201105|AEB|1265|0|3725|Q
20201105|AEE|456684|0|648311|Q
20201105|AEF|5327|0|11011|Q
20201105|AEFC|15227|0|25207|Q
20201105|AEG|205404|2000|373143|Q
20201105|AEGN|3992|0|14379|Q
20201105|AEHL|28675|0|45793|Q
20201105|AEHR|16153|900|31418|Q
20201105|AEIS|93600|750|138020|Q
20201105|AEL|38177|0|298879|Q
20201105|AELpA|10429|900|14287|Q
20201105|AELpB|4748|0|9275|Q
20201105|AEM|162668|446|468706|Q
20201105|AEMD|48173|0|85457|Q
20201105|AEO|422188|103|1010663|Q
20201105|AEP|112271|0|771737|Q
20201105|AEPPL|292|160|5723|Q
20201105|AEPPZ|1509|0|1887|Q
20201105|AER|92841|0|572967|Q
20201105|AERI|60215|1323|193906|Q
