HTTP/1.1 200 OK
Date: Tue, 10 Nov 2020 06:54:38 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 09 Nov 2020 22:30:25 GMT
ETag: "462298-41ec4-5b3b41bd3c5b0"
Accept-Ranges: bytes
Content-Length: 270020
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201109|A|199306|0|581175|Q
20201109|AA|790358|7661|2293455|Q
20201109|AAA|426|0|858|Q
20201109|AAAU|212463|0|345802|Q
20201109|AACG|109|0|2684|Q
20201109|AACQ|2355|0|104956|Q
20201109|AACQW|9476|0|23301|Q
20201109|AADR|63|0|4088|Q
20201109|AAIC|24469|7621|107792|Q
20201109|AAICpB|100|0|395|Q
20201109|AAICpC|1600|0|2600|Q
20201109|AAL|18563624|447668|72113241|Q
20201109|AAMC|275|0|325|Q
20201109|AAN|45379|0|174966|Q
20201109|AAOI|164770|12921|255998|Q
20201109|AAON|99045|1|113019|Q
20201109|AAP|166455|0|433930|Q
20201109|AAPL|13948601|138187|39593621|Q
20201109|AAT|42767|18|520364|Q
20201109|AAU|284189|8264|459510|Q
20201109|AAWW|261943|36905|450203|Q
20201109|AAXJ|337860|2600|516156|Q
20201109|AAXN|138347|570|339744|Q
20201109|AB|132856|200|244654|Q
20201109|ABB|76074|100|405193|Q
20201109|ABBV|890787|8242|2274188|Q
20201109|ABC|122102|100|284453|Q
20201109|ABCB|62320|1|151802|Q
20201109|ABCM|58261|316|152303|Q
20201109|ABEO|305773|0|726556|Q
20201109|ABEQ|866|0|2448|Q
20201109|ABEV|7101229|4151|16708372|Q
20201109|ABG|46091|0|99821|Q
20201109|ABIO|79519|0|146958|Q
20201109|ABM|72402|0|137732|Q
20201109|ABMD|70738|110|94457|Q
20201109|ABR|176480|10544|659678|Q
20201109|ABRpA|269|0|1021|Q
20201109|ABRpB|1816|0|1897|Q
20201109|ABRpC|1384|0|1684|Q
20201109|ABST|5485|0|6385|Q
20201109|ABT|1521667|3965|3593642|Q
20201109|ABTX|6626|0|27679|Q
20201109|ABUS|399795|12488|1118689|Q
20201109|AC|117|0|609|Q
20201109|ACA|28696|0|85426|Q
20201109|ACACU|73101|0|244684|Q
20201109|ACAD|55174|634|227247|Q
20201109|ACAM|10|0|1648|Q
20201109|ACB|26851119|223623|52395564|Q
20201109|ACBI|4673|0|31135|Q
20201109|ACC|266810|0|1140887|Q
20201109|ACCD|30486|0|86369|Q
20201109|ACCO|108307|0|230373|Q
20201109|ACEL|58494|0|206313|Q
20201109|ACER|6158|0|24986|Q
20201109|ACES|52136|0|67463|Q
20201109|ACET|3769|0|14299|Q
20201109|ACEVU|4|0|39|Q
20201109|ACEVW|746|0|746|Q
20201109|ACGL|110179|312|389007|Q
20201109|ACGLO|1463|0|5120|Q
20201109|ACGLP|10845|0|18274|Q
20201109|ACH|14084|0|38852|Q
20201109|ACHC|50213|229|135730|Q
20201109|ACHV|12364|0|26540|Q
20201109|ACI|1795994|27751|2574285|Q
20201109|ACIA|153824|0|402076|Q
20201109|ACIO|41120|0|44913|Q
20201109|ACIU|28069|358|93645|Q
20201109|ACIW|99211|7|409747|Q
20201109|ACLS|24918|0|83239|Q
20201109|ACM|84550|160|381682|Q
20201109|ACMR|36798|1035|74868|Q
20201109|ACN|243006|241|535839|Q
20201109|ACNB|637|0|9112|Q
20201109|ACOR|523960|100|1266362|Q
20201109|ACP|26823|125|45938|Q
20201109|ACRE|58314|0|142491|Q
20201109|ACRS|53798|100|160707|Q
20201109|ACRX|325276|28787|628440|Q
20201109|ACSG|56|0|136|Q
20201109|ACST|469009|10790|800015|Q
20201109|ACTCU|1|0|1936|Q
20201109|ACTG|34919|100|96447|Q
20201109|ACTV|4460|0|91786|Q
20201109|ACU|577|0|915|Q
20201109|ACV|14761|0|36724|Q
20201109|ACWF|126|0|2264|Q
20201109|ACWI|506005|0|693040|Q
20201109|ACWV|55269|42146|219921|Q
20201109|ACWX|61086|0|142298|Q
20201109|ACY|20781|0|26524|Q
20201109|ADAP|522875|5813|1211613|Q
20201109|ADBE|201625|127|809110|Q
20201109|ADC|39333|105|180894|Q
20201109|ADCT|87072|0|118199|Q
20201109|ADES|13093|0|35190|Q
20201109|ADI|408467|1366|1484389|Q
20201109|ADIL|23776|0|85078|Q
20201109|ADM|128495|365|427350|Q
20201109|ADMA|351240|23346|1319923|Q
20201109|ADME|32883|0|35671|Q
20201109|ADMP|1112831|55856|1838270|Q
20201109|ADMS|26304|4094|45915|Q
20201109|ADNT|160808|94|435795|Q
20201109|ADP|123373|220|518781|Q
20201109|ADPT|91897|0|313846|Q
20201109|ADRE|12021|0|17605|Q
20201109|ADS|315729|350|504351|Q
20201109|ADSK|199917|84|441570|Q
20201109|ADT|542322|100|1636372|Q
20201109|ADTN|35262|1|64370|Q
20201109|ADTX|68950|1600|219485|Q
20201109|ADUS|16208|0|23642|Q
20201109|ADV|221991|0|243571|Q
20201109|ADVM|114624|1100|259725|Q
20201109|ADVWW|1004|4|3743|Q
20201109|ADX|60896|1300|123021|Q
20201109|ADXS|300855|12200|532626|Q
20201109|AE|365|0|1523|Q
20201109|AEB|2603|0|5448|Q
20201109|AEE|436281|400|525468|Q
20201109|AEF|7436|0|25271|Q
20201109|AEFC|14491|2536|31281|Q
20201109|AEG|589252|25421|1147862|Q
20201109|AEGN|9460|0|42059|Q
20201109|AEHL|20946|7087|30890|Q
20201109|AEHR|26483|0|61243|Q
20201109|AEIS|63351|18|127184|Q
20201109|AEL|139096|855|462324|Q
20201109|AELpA|6489|600|11505|Q
20201109|AELpB|3733|0|11870|Q
20201109|AEM|369469|11502|1163811|Q
20201109|AEMD|66179|0|131896|Q
20201109|AEO|972808|651|1881817|Q
20201109|AEP|314630|0|889964|Q
20201109|AEPPL|1221|0|4944|Q
20201109|AEPPZ|30505|0|32999|Q
20201109|AER|333038|2628|1853390|Q
20201109|AERI|90051|6765|355243|Q
20201109|AES|493251|650|1298868|Q
20201109|AESE|302145|30338|547139|Q
20201109|AESR|90|0|129|Q
20201109|AEY|44303|0|86688|Q
20201109|AEYE|17750|346|48717|Q
20201109|AEZS|183899|3595|281783|Q
20201109|AFB|8288|0|26974|Q
20201109|AFC|1463|0|3433|Q
20201109|AFG|52336|100|197490|Q
20201109|AFGB|1591|0|3582|Q
20201109|AFGC|174|0|816|Q
20201109|AFGD|1298|400|2180|Q
20201109|AFGE|11|0|11|Q
20201109|AFGH|2|0|4148|Q
20201109|AFI|82521|5700|155526|Q
20201109|AFIB|20691|0|31418|Q
20201109|AFIF|1899|0|9312|Q
20201109|AFIN|461032|7261|793957|Q
20201109|AFINP|2807|0|4472|Q
20201109|AFK|3448|0|5156|Q
20201109|AFL|564013|39273|1118696|Q
20201109|AFMD|84261|0|246436|Q
20201109|AFT|6149|0|14216|Q
20201109|AFTY|274|0|1317|Q
20201109|AFYA|5382|0|20603|Q
20201109|AG|777590|10241|2037157|Q
20201109|AGBA|400|0|501|Q
20201109|AGCO|55755|0|236554|Q
20201109|AGCUU|11598|0|13498|Q
20201109|AGD|15384|0|40500|Q
20201109|AGE|53613|0|164005|Q
20201109|AGEN|349480|501|506908|Q
20201109|AGFS|261|1|27300|Q
20201109|AGG|815573|45|2612674|Q
20201109|AGGP|1318|0|11042|Q
20201109|AGGY|50001|0|112264|Q
20201109|AGI|370237|11226|1023632|Q
20201109|AGIO|37357|179|228790|Q
20201109|AGLE|14582|252|37631|Q
20201109|AGM|8750|0|28208|Q
20201109|AGMH|217|0|517|Q
20201109|AGMpD|267|200|867|Q
20201109|AGMpF|1849|0|4709|Q
20201109|AGNC|967176|7493|2747218|Q
20201109|AGNCM|10989|0|17985|Q
20201109|AGNCN|32063|0|40824|Q
20201109|AGNCO|7961|0|17235|Q
20201109|AGNCP|4189|0|25101|Q
20201109|AGO|165718|2901|261380|Q
20201109|AGOpB|86|0|211|Q
20201109|AGOpE|539|0|1513|Q
20201109|AGOpF|350|0|350|Q
20201109|AGQ|285166|6211|1158786|Q
20201109|AGR|138214|9|180987|Q
20201109|AGRO|26119|0|53466|Q
20201109|AGRX|103582|1200|301182|Q
20201109|AGS|143959|5409|298168|Q
20201109|AGT|610|0|624|Q
20201109|AGTC|12347|331|38454|Q
20201109|AGX|3610|0|11112|Q
20201109|AGYS|26449|1|50170|Q
20201109|AGZ|3548|0|20501|Q
20201109|AGZD|920|0|6510|Q
20201109|AHC|6813|0|45294|Q
20201109|AHCO|32190|3600|92860|Q
20201109|AHH|26922|0|117308|Q
20201109|AHHpA|1416|0|3764|Q
20201109|AHLpC|1115|0|2883|Q
20201109|AHLpD|2228|0|6020|Q
20201109|AHLpE|553|0|1573|Q
20201109|AHPI|24484|0|44002|Q
20201109|AHT|23191481|201448|35844115|Q
20201109|AHTpD|8194|0|29723|Q
20201109|AHTpF|10428|0|30848|Q
20201109|AHTpG|16427|2100|40770|Q
20201109|AHTpH|5741|0|20295|Q
20201109|AHTpI|4404|0|19255|Q
20201109|AIA|135951|0|354247|Q
20201109|AIEQ|3336|0|12159|Q
20201109|AIF|4275|0|14234|Q
20201109|AIG|836083|0|4327286|Q
20201109|AIG/WS|189118|0|620803|Q
20201109|AIGpA|2280|0|7936|Q
20201109|AIH|3710|0|9845|Q
20201109|AIHS|379524|5906|657679|Q
20201109|AIIQ|82|0|1074|Q
20201109|AIKI|220861|5495|343143|Q
20201109|AIM|247000|4975|512770|Q
20201109|AIMC|78436|0|340286|Q
20201109|AIN|32807|0|82544|Q
20201109|AINC|11589|0|22538|Q
20201109|AINV|143657|8163|262285|Q
20201109|AIO|22036|0|90302|Q
20201109|AIQ|119085|0|130841|Q
20201109|AIR|33247|914|134511|Q
20201109|AIRG|7904|52|12281|Q
20201109|AIRI|14533|0|69083|Q
20201109|AIRR|14716|0|19225|Q
20201109|AIRT|136|0|240|Q
20201109|AIRTP|100|0|100|Q
20201109|AIRTW|854|0|920|Q
20201109|AIT|28178|1000|69018|Q
20201109|AIV|118926|10|475715|Q
20201109|AIZ|86940|0|144570|Q
20201109|AJAX/U|12630|6100|26013|Q
20201109|AJG|158335|26722|534006|Q
20201109|AJRD|107984|0|251865|Q
20201109|AJX|11635|0|33437|Q
20201109|AJXA|105|0|317|Q
20201109|AKAM|547658|448|828675|Q
20201109|AKBA|421367|21680|1749610|Q
20201109|AKER|87956|280|225852|Q
20201109|AKO/A|1|0|1|Q
20201109|AKO/B|24|0|425|Q
20201109|AKR|202706|0|383216|Q
20201109|AKRO|50568|0|71599|Q
20201109|AKTS|96816|10845|191875|Q
20201109|AKTX|26980|100|110856|Q
20201109|AKU|2750|0|43700|Q
20201109|AKUS|9316|0|13822|Q
20201109|AL|267921|1888|707831|Q
20201109|ALACW|11412|0|21047|Q
20201109|ALB|350197|174|710071|Q
20201109|ALBO|27590|200|39954|Q
20201109|ALC|177516|393|601834|Q
20201109|ALCO|993|0|3022|Q
20201109|ALDX|51769|8500|98115|Q
20201109|ALE|105814|128|158894|Q
20201109|ALEC|71322|0|154627|Q
20201109|ALEX|85500|4268|258424|Q
20201109|ALFA|17|0|77|Q
20201109|ALG|2336|1|5854|Q
20201109|ALGM|188735|0|625145|Q
20201109|ALGN|76489|0|199265|Q
20201109|ALGS|46350|600|112303|Q
20201109|ALGT|64133|0|130552|Q
20201109|ALIM|13737|0|22858|Q
20201109|ALINpA|1212|0|3805|Q
20201109|ALINpB|4735|1000|6747|Q
20201109|ALINpE|984|0|3601|Q
20201109|ALJJ|3050|0|35529|Q
20201109|ALK|1069126|22948|1883990|Q
20201109|ALKS|142872|586|326445|Q
20201109|ALL|411239|1183|812213|Q
20201109|ALLE|139030|0|305378|Q
20201109|ALLK|25622|0|87607|Q
20201109|ALLO|199056|0|281856|Q
20201109|ALLT|16864|0|56135|Q
20201109|ALLY|1040106|5759|2496124|Q
20201109|ALLYpA|30236|1075|82949|Q
20201109|ALLpB|1965|0|5387|Q
20201109|ALLpG|2765|0|10290|Q
20201109|ALLpH|13326|2955|21483|Q
20201109|ALLpI|6282|400|10911|Q
20201109|ALNA|79292|7236|131267|Q
20201109|ALNY|119296|920|185612|Q
20201109|ALOT|1765|0|2761|Q
20201109|ALPN|6656|0|10527|Q
20201109|ALPpQ|3292|0|4817|Q
20201109|ALRM|186834|114|334206|Q
20201109|ALRN|136773|0|232632|Q
20201109|ALRS|3975|0|10231|Q
20201109|ALSK|92007|0|482603|Q
20201109|ALSN|96986|391|337414|Q
20201109|ALT|823837|57992|1896236|Q
20201109|ALTA|1745|0|8274|Q
20201109|ALTG|4232|0|42170|Q
20201109|ALTM|44078|1134|96830|Q
20201109|ALTR|31992|0|59145|Q
20201109|ALTS|32|0|39|Q
20201109|ALTY|2262|0|12751|Q
20201109|ALUS|1|0|326|Q
20201109|ALV|97711|0|129416|Q
20201109|ALVR|11970|0|31556|Q
20201109|ALX|3929|0|6195|Q
20201109|ALXN|137641|0|313808|Q
20201109|ALXO|41920|0|75328|Q
20201109|ALYA|249|171|710|Q
20201109|ALpA|14112|0|39517|Q
20201109|AM|1102914|4947|1877107|Q
20201109|AMAG|1203814|0|1386205|Q
20201109|AMAL|3268|0|28137|Q
20201109|AMAT|677726|6828|1814686|Q
20201109|AMBA|48697|1629|154067|Q
20201109|AMBC|20960|16|76957|Q
20201109|AMBC/WS|1600|0|2776|Q
20201109|AMBO|77172|7638|164207|Q
20201109|AMC|25575499|678181|43814378|Q
20201109|AMCI|5130|0|34786|Q
20201109|AMCIW|27600|0|42594|Q
20201109|AMCR|1273394|1082|1871449|Q
20201109|AMCX|304754|1227|497483|Q
20201109|AMD|6264827|37672|17515377|Q
20201109|AME|154372|0|482501|Q
20201109|AMED|28884|0|110179|Q
20201109|AMEH|6664|100|20174|Q
20201109|AMER|1900|0|3901|Q
20201109|AMG|48056|0|119092|Q
20201109|AMGN|181422|315|583872|Q
20201109|AMH|404440|1000|1433324|Q
20201109|AMHpD|1477|0|5233|Q
20201109|AMHpE|993|0|2282|Q
20201109|AMHpF|13|0|1754|Q
20201109|AMHpG|100|0|862|Q
