HTTP/1.1 200 OK
Date: Thu, 12 Nov 2020 06:19:26 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 11 Nov 2020 22:23:29 GMT
ETag: "462c11-3fef1-5b3dc3ea950f0"
Accept-Ranges: bytes
Content-Length: 261873
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201111|A|170767|6916|554941|Q
20201111|AA|620370|1100|1896431|Q
20201111|AAAU|83160|100|107437|Q
20201111|AACG|2773|0|7712|Q
20201111|AACQ|200|0|770|Q
20201111|AACQU|200|0|623|Q
20201111|AACQW|3802|0|21999|Q
20201111|AADR|414|0|2396|Q
20201111|AAIC|13189|2300|99269|Q
20201111|AAL|9341100|146672|24502760|Q
20201111|AAMC|280|0|618|Q
20201111|AAN|38096|0|93865|Q
20201111|AAOI|99928|2128|173210|Q
20201111|AAON|14184|0|21962|Q
20201111|AAP|145626|0|251633|Q
20201111|AAPL|11924724|73217|41234661|Q
20201111|AAT|10547|0|199194|Q
20201111|AAU|92870|3652|170778|Q
20201111|AAWW|65647|1135|190188|Q
20201111|AAXJ|271696|0|321707|Q
20201111|AAXN|32276|25|106095|Q
20201111|AB|61027|4899|106343|Q
20201111|ABB|73184|264|180721|Q
20201111|ABBV|937206|5828|2394762|Q
20201111|ABC|76222|0|244206|Q
20201111|ABCB|20659|1101|59122|Q
20201111|ABCM|22353|0|24978|Q
20201111|ABEO|1300148|2124|2312597|Q
20201111|ABEQ|1248|0|4073|Q
20201111|ABEV|4144918|2300|5853561|Q
20201111|ABG|8515|0|18423|Q
20201111|ABIO|37936|100|69524|Q
20201111|ABM|37591|0|108575|Q
20201111|ABMD|25550|0|36817|Q
20201111|ABR|482705|4675|1657803|Q
20201111|ABRpA|105|0|113|Q
20201111|ABRpB|505|0|1455|Q
20201111|ABRpC|1274|0|1875|Q
20201111|ABST|8571|1|19549|Q
20201111|ABT|576874|366|1107460|Q
20201111|ABTX|2520|0|6440|Q
20201111|ABUS|250459|2704|722666|Q
20201111|AC|1219|0|1560|Q
20201111|ACA|19291|0|56126|Q
20201111|ACAD|36229|0|189722|Q
20201111|ACAM|63|0|1183|Q
20201111|ACB|21656593|1288388|44094791|Q
20201111|ACBI|6608|0|10786|Q
20201111|ACC|179153|531|395393|Q
20201111|ACCD|19795|711|29499|Q
20201111|ACCO|55996|71|104623|Q
20201111|ACEL|81381|0|105574|Q
20201111|ACER|941|0|13933|Q
20201111|ACES|24658|0|36248|Q
20201111|ACET|3912|0|7416|Q
20201111|ACEV|200|0|18194|Q
20201111|ACGL|87625|0|253631|Q
20201111|ACGLO|1036|0|2684|Q
20201111|ACGLP|4677|2611|8987|Q
20201111|ACH|5090|259|25231|Q
20201111|ACHC|34519|0|100300|Q
20201111|ACHV|254920|1241|414277|Q
20201111|ACI|552147|801|784082|Q
20201111|ACIA|101898|0|338076|Q
20201111|ACIO|24773|0|42577|Q
20201111|ACIU|16134|0|35225|Q
20201111|ACIW|101785|122|242344|Q
20201111|ACLS|26431|62|56668|Q
20201111|ACM|51436|100|260495|Q
20201111|ACMR|17492|0|36176|Q
20201111|ACN|191791|821|327614|Q
20201111|ACNB|1130|0|1385|Q
20201111|ACOR|272832|87|531876|Q
20201111|ACP|20286|0|31461|Q
20201111|ACRE|21402|0|44471|Q
20201111|ACRS|12033|0|20628|Q
20201111|ACRX|121403|3876|277788|Q
20201111|ACSI|20|0|20|Q
20201111|ACST|1741252|289339|3091362|Q
20201111|ACTG|9301|0|24873|Q
20201111|ACTV|566|0|689|Q
20201111|ACU|578|0|2019|Q
20201111|ACV|12242|0|26035|Q
20201111|ACVF|200|0|330|Q
20201111|ACWF|546|0|1178|Q
20201111|ACWI|179143|8611|331167|Q
20201111|ACWV|35344|0|660126|Q
20201111|ACWX|101407|0|169996|Q
20201111|ACY|9911|0|12752|Q
20201111|ADAP|119148|586|563518|Q
20201111|ADBE|165326|734|604607|Q
20201111|ADC|43704|0|77056|Q
20201111|ADCT|34960|0|59041|Q
20201111|ADES|8650|0|26419|Q
20201111|ADI|200340|4512|653104|Q
20201111|ADIL|45351|0|103801|Q
20201111|ADILW|1200|0|1200|Q
20201111|ADM|126254|10|773565|Q
20201111|ADMA|130223|780|336963|Q
20201111|ADME|32066|0|39369|Q
