HTTP/1.1 200 OK
Date: Wed, 18 Nov 2020 08:48:15 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 17 Nov 2020 22:22:44 GMT
ETag: "46432b-40fd0-5b454ef157e28"
Accept-Ranges: bytes
Content-Length: 266192
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201117|A|81025|0|362849|Q
20201117|AA|682253|6389|1379563|Q
20201117|AAA|500|0|621|Q
20201117|AAAU|83753|0|462831|Q
20201117|AACG|1381|0|13237|Q
20201117|AACQ|2789|0|7343|Q
20201117|AACQW|27830|0|29831|Q
20201117|AADR|464|0|25313|Q
20201117|AAIC|13953|3500|108432|Q
20201117|AAICpB|3430|0|4569|Q
20201117|AAL|6999284|55183|20069706|Q
20201117|AAMC|100|0|507|Q
20201117|AAN|32048|0|94877|Q
20201117|AAOI|63422|100|193124|Q
20201117|AAON|27923|0|47259|Q
20201117|AAP|129458|0|198547|Q
20201117|AAPL|13566420|99245|22602832|Q
20201117|AAT|32497|0|116703|Q
20201117|AAU|92130|80|145555|Q
20201117|AAWW|95876|900|147733|Q
20201117|AAXJ|711063|561|810220|Q
20201117|AAXN|17939|379|118231|Q
20201117|AB|59800|1354|112428|Q
20201117|ABB|170108|2707|476193|Q
20201117|ABBV|685477|6041|2718347|Q
20201117|ABC|443845|445|766843|Q
20201117|ABCB|9770|0|49810|Q
20201117|ABCM|17425|0|21025|Q
20201117|ABEO|341568|2118|720543|Q
20201117|ABEQ|665|0|1165|Q
20201117|ABEV|2063351|2200|5802136|Q
20201117|ABG|13432|0|25224|Q
20201117|ABIO|12889|0|39918|Q
20201117|ABM|11494|0|84738|Q
20201117|ABMD|22435|496|34278|Q
20201117|ABR|327274|3300|581471|Q
20201117|ABRpA|1700|0|2154|Q
20201117|ABRpB|72|0|97|Q
20201117|ABRpC|120|0|120|Q
20201117|ABST|52179|0|58555|Q
20201117|ABT|405711|1769|916877|Q
20201117|ABTX|3305|0|5222|Q
20201117|ABUS|119254|310|611454|Q
20201117|AC|171|0|769|Q
20201117|ACA|19397|0|45129|Q
20201117|ACACU|200|0|11617|Q
20201117|ACAD|78429|0|310497|Q
20201117|ACAM|4645|0|9113|Q
20201117|ACAMW|78|0|1078|Q
20201117|ACB|4040927|128923|14002028|Q
20201117|ACBI|2837|0|9345|Q
20201117|ACC|119637|0|279974|Q
20201117|ACCD|49875|0|77135|Q
20201117|ACCO|99789|2600|223782|Q
20201117|ACEL|57535|0|155461|Q
20201117|ACER|14259|0|26437|Q
20201117|ACES|13571|0|32806|Q
20201117|ACET|2518|0|7517|Q
20201117|ACEVW|1660|0|1700|Q
20201117|ACGL|238023|0|339706|Q
20201117|ACGLO|3569|0|6192|Q
20201117|ACGLP|8270|900|22790|Q
20201117|ACH|6240|978|34733|Q
20201117|ACHC|61795|0|209016|Q
20201117|ACHV|91118|10082|143506|Q
20201117|ACI|443605|7807|922312|Q
20201117|ACIA|46033|0|369227|Q
20201117|ACIO|765|0|8806|Q
20201117|ACIU|11102|0|35640|Q
20201117|ACIW|42841|0|124838|Q
20201117|ACLS|20786|0|47550|Q
20201117|ACM|75768|0|379183|Q
20201117|ACMR|57007|1894|91176|Q
20201117|ACN|158266|126|307147|Q
