HTTP/1.1 200 OK
Date: Thu, 19 Nov 2020 07:31:47 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 18 Nov 2020 22:23:21 GMT
ETag: "464891-41735-5b4690f14d2f0"
Accept-Ranges: bytes
Content-Length: 268085
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201118|A|112849|0|652464|Q
20201118|AA|553196|6130|1450927|Q
20201118|AAA|7138|0|8808|Q
20201118|AAAU|105456|0|141159|Q
20201118|AACG|35159|1039|63899|Q
20201118|AACQ|326|0|4141|Q
20201118|AACQU|500|0|1110|Q
20201118|AACQW|3050|0|10250|Q
20201118|AADR|1|0|1631|Q
20201118|AAIC|10399|0|92244|Q
20201118|AAICpB|200|0|896|Q
20201118|AAL|10899634|32936|32219826|Q
20201118|AAMC|26|0|882|Q
20201118|AAME|732|0|1505|Q
20201118|AAN|64558|0|172860|Q
20201118|AAOI|133476|1660|433700|Q
20201118|AAON|30635|0|41728|Q
20201118|AAP|131616|598|220783|Q
20201118|AAPL|12349343|113814|20926098|Q
20201118|AAT|16279|0|76604|Q
20201118|AAU|71885|500|161484|Q
20201118|AAWW|91176|0|156988|Q
20201118|AAXJ|120599|500|163298|Q
20201118|AAXN|37603|14|90603|Q
20201118|AB|66240|0|96702|Q
20201118|ABB|112666|0|337717|Q
20201118|ABBV|774352|13437|2399902|Q
20201118|ABC|72329|0|163212|Q
20201118|ABCB|17868|0|88100|Q
20201118|ABCM|13230|0|19055|Q
20201118|ABEO|645866|15546|1504638|Q
20201118|ABEV|2287346|100|5708297|Q
20201118|ABG|6904|0|20878|Q
20201118|ABIO|46252|0|70494|Q
20201118|ABM|10370|0|29702|Q
20201118|ABMD|18475|103|36375|Q
20201118|ABR|242101|1845|521536|Q
20201118|ABRpA|955|0|2815|Q
20201118|ABRpB|215|0|252|Q
20201118|ABRpC|99|0|349|Q
20201118|ABST|29941|0|70461|Q
20201118|ABT|474461|1530|1312418|Q
20201118|ABTX|3650|0|4411|Q
20201118|ABUS|187103|3469|583521|Q
20201118|AC|356|0|686|Q
20201118|ACA|60109|0|130522|Q
20201118|ACACU|149|0|208083|Q
20201118|ACAD|82819|0|262899|Q
20201118|ACAM|2375|0|33719|Q
20201118|ACAMU|800|0|2201|Q
20201118|ACAMW|7300|0|9000|Q
20201118|ACB|4280218|62050|8261588|Q
20201118|ACBI|6347|0|19701|Q
20201118|ACC|42063|0|100095|Q
20201118|ACCD|57352|0|91479|Q
20201118|ACCO|105700|3413|203031|Q
20201118|ACEL|34956|0|51917|Q
20201118|ACER|1493|0|15633|Q
20201118|ACES|19219|0|41912|Q
20201118|ACET|4183|0|18340|Q
20201118|ACGL|160517|0|279379|Q
20201118|ACGLO|1229|0|2434|Q
20201118|ACGLP|5706|0|30897|Q
20201118|ACH|9605|4|16964|Q
20201118|ACHC|48586|0|124779|Q
20201118|ACHV|43185|6990|61585|Q
20201118|ACI|280256|1895|545784|Q
20201118|ACIA|52049|0|457932|Q
20201118|ACIO|8750|0|12327|Q
20201118|ACIU|16683|3800|40712|Q
20201118|ACIW|55353|0|122831|Q
20201118|ACLS|35738|0|59862|Q
20201118|ACM|129733|36|647321|Q
20201118|ACMR|24747|470|72736|Q
20201118|ACN|124807|611|329015|Q
20201118|ACNB|1466|100|2162|Q
20201118|ACOR|565506|1300|735542|Q
20201118|ACP|59938|6625|96030|Q
20201118|ACRE|26652|0|63328|Q
20201118|ACRS|7341|98|46543|Q
20201118|ACRX|195733|5143|540207|Q
20201118|ACSG|28|0|128|Q
20201118|ACSI|16|0|32|Q
20201118|ACST|1629785|22294|2543569|Q
20201118|ACTCU|1351|0|1449|Q
20201118|ACTG|13039|0|71749|Q
20201118|ACTV|569|0|1018|Q
20201118|ACU|26617|0|46450|Q
20201118|ACV|8158|0|18297|Q
20201118|ACVF|1500|0|2587|Q
20201118|ACWF|719|0|16123|Q
20201118|ACWI|170303|363|585604|Q
20201118|ACWV|40657|8|136370|Q
20201118|ACWX|101959|0|148288|Q
20201118|ACY|1597|0|3082|Q
20201118|ADAP|133824|200|342411|Q
20201118|ADBE|121762|550|541507|Q
20201118|ADC|73681|119|187253|Q
20201118|ADCT|12016|0|21832|Q
20201118|ADES|4874|0|14683|Q
20201118|ADI|221683|2845|665625|Q
20201118|ADIL|57809|0|92860|Q
20201118|ADM|176348|2249|500009|Q
20201118|ADMA|331711|23532|919052|Q
20201118|ADME|6836|0|7511|Q
20201118|ADMP|694168|43300|1287257|Q
20201118|ADMS|12078|0|26604|Q
20201118|ADNT|132845|350|304404|Q
20201118|ADOCU|139|0|9729|Q
20201118|ADP|152596|683|276092|Q
20201118|ADPT|171987|16|415189|Q
20201118|ADRE|7659|0|11353|Q
20201118|ADS|125565|100|223141|Q
20201118|ADSK|91806|1100|233257|Q
20201118|ADT|336165|0|1126129|Q
20201118|ADTN|20846|0|47288|Q
20201118|ADTX|101013|100|217347|Q
20201118|ADUS|6723|0|19202|Q
20201118|ADV|51540|0|74868|Q
20201118|ADVM|29484|0|48821|Q
20201118|ADVWW|100|0|2450|Q
20201118|ADX|93219|1311|130091|Q
20201118|ADXS|233389|21539|340827|Q
20201118|AE|2982|201|4509|Q
20201118|AEB|2336|0|6571|Q
20201118|AEE|312021|0|869866|Q
20201118|AEF|3329|0|8051|Q
20201118|AEFC|6632|1450|17310|Q
20201118|AEG|253497|125|551217|Q
20201118|AEGN|5687|0|14862|Q
20201118|AEHL|80138|0|147144|Q
20201118|AEHR|13558|0|26595|Q
20201118|AEIS|17407|0|40135|Q
20201118|AEL|44865|0|144372|Q
20201118|AELpA|3600|700|6060|Q
20201118|AELpB|2806|200|8556|Q
20201118|AEM|187974|730|775888|Q
20201118|AEMD|33582|0|65249|Q
20201118|AENZ|151|0|452|Q
20201118|AEO|672794|0|2365866|Q
20201118|AEP|149201|2239|733124|Q
20201118|AEPPL|159913|0|270094|Q
20201118|AEPPZ|19499|0|189544|Q
20201118|AER|248404|0|691657|Q
20201118|AERI|58755|700|329878|Q
20201118|AES|4115540|600|5786030|Q
20201118|AESE|358600|7633|931190|Q
20201118|AESR|1|0|883|Q
20201118|AEY|24442|235|51661|Q
20201118|AEYE|5278|0|18305|Q
20201118|AEZS|142312|1400|366742|Q
20201118|AFB|3511|211|15458|Q
20201118|AFC|202|0|2085|Q
20201118|AFG|30668|1200|91700|Q
20201118|AFGB|1724|0|3562|Q
20201118|AFGC|1785|1462|2092|Q
20201118|AFGD|170|63|636|Q
20201118|AFGE|594|0|920|Q
20201118|AFI|36762|100|79001|Q
20201118|AFIB|33974|0|41381|Q
20201118|AFIF|11936|0|21803|Q
20201118|AFIN|35498|500|119790|Q
20201118|AFINP|2261|0|11384|Q
20201118|AFK|930|0|2883|Q
20201118|AFL|367284|4010|747980|Q
20201118|AFMC|1|0|1|Q
20201118|AFMD|113290|1537|555535|Q
20201118|AFT|5788|0|8246|Q
20201118|AFTY|2047|0|2325|Q
20201118|AFYA|22104|0|68526|Q
20201118|AG|764175|5302|1362773|Q
20201118|AGCO|46278|0|206715|Q
20201118|AGCUU|1341|0|5307|Q
20201118|AGD|6891|0|26241|Q
20201118|AGE|18866|10|54255|Q
20201118|AGEN|162247|2225|434491|Q
20201118|AGFS|4395|904|6620|Q
20201118|AGG|1503301|300|3127972|Q
20201118|AGGY|17029|0|59985|Q
20201118|AGI|221360|1150|534542|Q
20201118|AGIO|46327|0|107301|Q
20201118|AGLE|20896|0|69783|Q
20201118|AGM|7120|0|17964|Q
20201118|AGMH|149|0|149|Q
20201118|AGMpE|2002|0|4387|Q
20201118|AGMpF|441|0|4601|Q
20201118|AGNC|1066675|0|2523304|Q
20201118|AGNCM|4687|0|11635|Q
20201118|AGNCN|4016|0|9420|Q
20201118|AGNCO|9890|0|22499|Q
20201118|AGNCP|23633|0|88488|Q
20201118|AGO|40081|45|159023|Q
20201118|AGOpB|367|0|972|Q
20201118|AGOpE|690|0|1324|Q
20201118|AGOpF|1028|0|2028|Q
20201118|AGQ|120886|34131|347909|Q
20201118|AGR|89429|0|180036|Q
20201118|AGRO|36724|1900|179233|Q
20201118|AGRX|152526|796|258399|Q
20201118|AGS|31262|315|101600|Q
20201118|AGT|22|0|78|Q
20201118|AGTC|60227|6153|104275|Q
20201118|AGX|9126|0|40658|Q
20201118|AGYS|64833|0|111022|Q
