HTTP/1.1 200 OK
Date: Fri, 20 Nov 2020 03:41:17 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 19 Nov 2020 22:23:06 GMT
ETag: "464df3-41551-5b47d2c145538"
Accept-Ranges: bytes
Content-Length: 267601
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201119|A|113640|0|533441|Q
20201119|AA|383891|3778|977250|Q
20201119|AAAU|73930|0|121874|Q
20201119|AACG|73|0|7403|Q
20201119|AACQ|17132|0|79236|Q
20201119|AACQU|63700|0|66850|Q
20201119|AACQW|11228|0|40548|Q
20201119|AADR|563|0|2490|Q
20201119|AAIC|14352|7600|47857|Q
20201119|AAICpB|475|0|475|Q
20201119|AAICpC|590|0|1090|Q
20201119|AAL|6875309|23617|19669663|Q
20201119|AAMC|101|0|441|Q
20201119|AAME|18|0|918|Q
20201119|AAN|62008|0|132012|Q
20201119|AAOI|93605|2000|320275|Q
20201119|AAON|10556|0|26011|Q
20201119|AAP|153035|2|458883|Q
20201119|AAPL|12006884|65947|20777946|Q
20201119|AAT|30057|2|62517|Q
20201119|AAU|80058|0|147847|Q
20201119|AAWW|116122|1|215228|Q
20201119|AAXJ|150435|0|186694|Q
20201119|AAXN|91023|0|181247|Q
20201119|AB|35530|0|63445|Q
20201119|ABB|188282|906|432759|Q
20201119|ABBV|769765|11979|1751225|Q
20201119|ABC|151175|254|422697|Q
20201119|ABCB|16384|0|33715|Q
20201119|ABCM|72037|0|74924|Q
20201119|ABEO|427673|600|786541|Q
20201119|ABEQ|11907|0|16771|Q
20201119|ABEV|1729429|200|2711789|Q
20201119|ABG|8426|0|27984|Q
20201119|ABIO|57112|200|92592|Q
20201119|ABM|10522|0|38008|Q
20201119|ABMD|22852|0|41093|Q
20201119|ABR|145779|5100|281246|Q
20201119|ABRpA|25|0|621|Q
20201119|ABRpB|105|0|205|Q
20201119|ABRpC|300|0|600|Q
20201119|ABST|24265|0|97918|Q
20201119|ABT|440919|1091|848109|Q
20201119|ABTX|2049|0|5891|Q
20201119|ABUS|87365|1507|372581|Q
