HTTP/1.1 200 OK
Date: Wed, 25 Nov 2020 10:35:14 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Tue, 24 Nov 2020 22:25:43 GMT
ETag: "465f73-42e6f-5b4e1ca993200"
Accept-Ranges: bytes
Content-Length: 274031
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201124|A|991187|0|1630513|Q
20201124|AA|517518|8633|2007888|Q
20201124|AAA|116|0|116|Q
20201124|AAAU|127859|0|280958|Q
20201124|AACG|50327|0|110609|Q
20201124|AACQ|61723|0|516701|Q
20201124|AACQU|1826|0|4826|Q
20201124|AACQW|7481|0|9871|Q
20201124|AADR|101|0|3829|Q
20201124|AAIC|154572|5668|252895|Q
20201124|AAICpB|1|0|641|Q
20201124|AAL|19454802|74967|56493098|Q
20201124|AAME|593|0|3507|Q
20201124|AAN|80615|0|325114|Q
20201124|AAOI|87601|940|188883|Q
20201124|AAON|20871|0|28336|Q
20201124|AAP|87701|73|285835|Q
20201124|AAPL|11894430|279531|35003010|Q
20201124|AAT|41398|0|120774|Q
20201124|AAU|212142|240|395377|Q
20201124|AAWW|92234|0|138664|Q
20201124|AAXJ|235796|1120|425190|Q
20201124|AAXN|47245|0|118970|Q
20201124|AB|59848|200|87121|Q
20201124|ABB|1068150|20|1329219|Q
20201124|ABBV|1012851|9918|2350302|Q
20201124|ABC|119872|6|308227|Q
20201124|ABCB|36503|0|132691|Q
20201124|ABCM|21552|0|32754|Q
20201124|ABEO|251178|4406|533768|Q
20201124|ABEQ|3100|0|3474|Q
20201124|ABEV|4302001|40900|6552723|Q
20201124|ABG|8403|0|21533|Q
20201124|ABIO|104885|170|189783|Q
20201124|ABM|46147|0|68746|Q
20201124|ABMD|30430|0|58166|Q
20201124|ABR|173098|191|361394|Q
20201124|ABRpA|200|0|3390|Q
20201124|ABRpB|37|0|52|Q
20201124|ABRpC|1227|0|1527|Q
20201124|ABST|48122|0|64122|Q
20201124|ABT|497917|2911|1620536|Q
20201124|ABTX|4121|0|10100|Q
20201124|ABUS|270130|7079|634738|Q
20201124|AC|1941|0|2145|Q
20201124|ACA|39236|0|67732|Q
20201124|ACACU|3043|0|716703|Q
20201124|ACAD|81031|0|175363|Q
20201124|ACAM|1436|0|56063|Q
20201124|ACAMW|3359|0|9684|Q
20201124|ACB|16830033|280086|28784711|Q
20201124|ACBI|8975|0|29657|Q
20201124|ACC|47176|973|299737|Q
20201124|ACCD|63936|0|119581|Q
20201124|ACCO|57565|78|151651|Q
20201124|ACEL|31433|0|159344|Q
20201124|ACER|35225|2802|54431|Q
20201124|ACES|26159|0|54129|Q
20201124|ACET|1412|0|7791|Q
20201124|ACEV|104|0|1129|Q
20201124|ACEVW|1276|900|1877|Q
20201124|ACGL|689938|1260|891588|Q
20201124|ACGLO|1165|0|3267|Q
20201124|ACGLP|2026|0|4915|Q
20201124|ACH|35277|1200|97694|Q
20201124|ACHC|64431|0|516325|Q
20201124|ACHV|14161|0|30312|Q
20201124|ACI|290656|7741|841970|Q
20201124|ACIA|146799|0|580590|Q
20201124|ACIC/U|3002|0|5255|Q
20201124|ACIO|17610|0|24286|Q
20201124|ACIU|8179|0|20638|Q
20201124|ACIW|55469|0|169802|Q
20201124|ACLS|25712|1800|64111|Q
20201124|ACM|71590|0|281789|Q
20201124|ACMR|14915|0|25822|Q
20201124|ACN|184683|412|413398|Q
20201124|ACNB|4342|0|7385|Q
20201124|ACND|14206|0|289507|Q
20201124|ACND/WS|555|0|190998|Q
20201124|ACOR|1503723|1400|2459614|Q
20201124|ACP|35718|1206|61769|Q
20201124|ACRE|38681|0|96019|Q
20201124|ACRS|100473|0|223097|Q
20201124|ACRX|135593|0|293320|Q
20201124|ACSG|24|0|24|Q
20201124|ACSI|6|0|7|Q
20201124|ACST|871742|32531|1495630|Q
20201124|ACTCU|21168|0|23128|Q
20201124|ACTCW|10250|0|72749|Q
20201124|ACTG|51230|0|99419|Q
20201124|ACTV|1436|0|2891|Q
20201124|ACU|1286|0|5620|Q
20201124|ACV|15747|0|29162|Q
20201124|ACVF|501|0|911|Q
20201124|ACWF|1245|0|1430|Q
20201124|ACWI|358857|0|549744|Q
20201124|ACWV|26675|515|99401|Q
20201124|ACWX|134379|0|235416|Q
20201124|ACY|3747|0|11103|Q
20201124|ADAP|261073|4190|597323|Q
20201124|ADBE|140405|610|558402|Q
20201124|ADC|44159|20|236550|Q
20201124|ADCT|24245|100|65446|Q
20201124|ADES|30926|209|82714|Q
20201124|ADI|603598|346|1282428|Q
20201124|ADIL|101746|170|224872|Q
20201124|ADM|198499|0|553374|Q
20201124|ADMA|383756|1053|1085575|Q
20201124|ADME|15382|0|18386|Q
20201124|ADMP|783874|23500|1440486|Q
20201124|ADMS|12362|0|33952|Q
20201124|ADNT|183126|4473|711885|Q
20201124|ADOCU|4901|0|5005|Q
20201124|ADP|147184|23|309649|Q
20201124|ADPT|61904|100|134805|Q
20201124|ADRE|5287|0|6889|Q
20201124|ADS|267594|0|417261|Q
20201124|ADSK|226837|0|405629|Q
20201124|ADT|248511|5074|950099|Q
20201124|ADTN|32417|400|66765|Q
20201124|ADTX|99914|2999|190933|Q
20201124|ADUS|29581|0|44283|Q
20201124|ADV|88434|0|176584|Q
20201124|ADVM|140906|0|178841|Q
20201124|ADVWW|2126|900|7686|Q
20201124|ADX|91635|0|164276|Q
20201124|ADXS|5406624|365151|12144737|Q
20201124|AE|1091|0|1545|Q
20201124|AEB|7340|0|16162|Q
20201124|AEE|522875|0|1844012|Q
20201124|AEF|19583|0|63221|Q
20201124|AEFC|8548|5586|31053|Q
20201124|AEG|254390|3155|483913|Q
20201124|AEGN|7787|1329|14586|Q
20201124|AEHL|34353|0|110876|Q
20201124|AEHR|68509|100|93794|Q
20201124|AEIS|24711|0|47615|Q
20201124|AEL|47320|500|246616|Q
20201124|AELpA|7208|0|12460|Q
20201124|AELpB|6233|0|10489|Q
20201124|AEM|144252|4564|419051|Q
20201124|AEMD|30046|520|86551|Q
20201124|AENZ|1223|12|7456|Q
20201124|AEO|1379158|7164|4041210|Q
20201124|AEP|172236|2605|609172|Q
20201124|AEPPL|5955|0|6125|Q
20201124|AEPPZ|3461|0|38561|Q
20201124|AER|434342|188|915682|Q
20201124|AERI|28835|1521|98236|Q
20201124|AES|392093|0|1216304|Q
20201124|AESE|80590|0|133742|Q
20201124|AESR|5486|0|6588|Q
20201124|AEY|180286|12304|313377|Q
20201124|AEYE|14857|0|23807|Q
20201124|AEZS|392216|17221|916033|Q
20201124|AFB|4087|0|18091|Q
20201124|AFC|1528|0|3206|Q
20201124|AFG|37928|0|76084|Q
20201124|AFGB|1966|302|4333|Q
20201124|AFGC|4539|0|5065|Q
20201124|AFGD|2394|100|10183|Q
20201124|AFGE|840|0|902|Q
20201124|AFI|140119|2300|242726|Q
20201124|AFIB|45923|0|59538|Q
20201124|AFIF|187855|0|192165|Q
20201124|AFIN|41879|2050|133460|Q
20201124|AFINP|2916|0|17336|Q
20201124|AFK|3132|0|7324|Q
20201124|AFL|430297|1936|1082987|Q
20201124|AFMD|156331|400|474487|Q
20201124|AFSM|2|0|2|Q
20201124|AFT|10751|972|32275|Q
20201124|AFTY|2618|0|2868|Q
20201124|AFYA|15666|0|47204|Q
20201124|AG|1439707|7034|2550279|Q
20201124|AGBAW|1000|0|2100|Q
20201124|AGCO|53972|0|141150|Q
20201124|AGCUU|3733|0|8143|Q
20201124|AGD|8564|0|20889|Q
20201124|AGE|27979|595|127562|Q
20201124|AGEN|254892|900|575347|Q
20201124|AGFS|2874|0|8394|Q
20201124|AGG|1492792|838|2300574|Q
20201124|AGGP|700|0|8851|Q
20201124|AGGY|16460|0|48191|Q
20201124|AGI|455276|0|1667287|Q
20201124|AGIO|57419|66|190873|Q
20201124|AGLE|27999|0|46186|Q
20201124|AGM|4357|30|18263|Q
20201124|AGMH|1351|0|1351|Q
20201124|AGMpE|2100|0|3135|Q
20201124|AGMpF|20|0|1025|Q
20201124|AGNC|1272125|477|3065041|Q
20201124|AGNCM|6106|10|10164|Q
20201124|AGNCN|18252|0|41092|Q
20201124|AGNCO|29996|0|78722|Q
20201124|AGNCP|22612|2113|128332|Q
20201124|AGO|46562|17|169337|Q
20201124|AGOpB|300|0|643|Q
20201124|AGOpE|311|0|1858|Q
20201124|AGOpF|440|0|687|Q
20201124|AGQ|158571|1223|386181|Q
20201124|AGR|83047|0|204821|Q
20201124|AGRO|28930|0|366943|Q
20201124|AGRX|181276|1864|331618|Q
20201124|AGS|109460|0|265840|Q
20201124|AGT|2|0|123|Q
20201124|AGTC|43186|217|97981|Q
20201124|AGX|9435|0|49247|Q
20201124|AGYS|15469|19|38026|Q
20201124|AGZ|52281|0|125201|Q
20201124|AGZD|871|0|5237|Q
20201124|AHACW|430|0|430|Q
20201124|AHC|1184|0|13417|Q
20201124|AHCO|43497|700|378716|Q
20201124|AHH|9962|0|126019|Q
20201124|AHHpA|1630|0|1880|Q
20201124|AHLpC|1480|0|3889|Q
20201124|AHLpD|446|0|6154|Q
20201124|AHLpE|1784|1100|4389|Q
20201124|AHPI|182796|2478|279032|Q
20201124|AHT|1783096|328952|3227264|Q
20201124|AHTpD|5471|0|13882|Q
20201124|AHTpF|1961|0|9554|Q
20201124|AHTpG|3355|0|7615|Q
20201124|AHTpH|6054|0|12158|Q
20201124|AHTpI|2666|0|9798|Q
20201124|AIA|16546|0|35260|Q
20201124|AIC|1000|0|2350|Q
20201124|AIEQ|3215|0|8839|Q
20201124|AIF|4041|200|10571|Q
20201124|AIG|259297|356|1438728|Q
20201124|AIG/WS|96122|0|254321|Q
20201124|AIGpA|3171|0|8087|Q
20201124|AIH|2444|0|7947|Q
20201124|AIHS|1455770|173745|2436618|Q
20201124|AIIQ|69|0|230|Q
20201124|AIKI|201285|172|497338|Q
20201124|AIM|168323|19522|584271|Q
20201124|AIMC|35489|0|157267|Q
20201124|AIN|15193|2400|30390|Q
20201124|AINC|6884|0|25327|Q
20201124|AINV|62487|400|139743|Q
20201124|AIO|73995|0|100519|Q
20201124|AIQ|1577|0|7567|Q
20201124|AIR|28645|1000|174983|Q
20201124|AIRG|7293|0|12163|Q
20201124|AIRI|58487|0|153512|Q
20201124|AIRR|4971|0|43812|Q
20201124|AIRT|343|0|2343|Q
20201124|AIRTP|107|0|107|Q
20201124|AIRTW|12071|1000|28770|Q
20201124|AIT|19264|0|32652|Q
20201124|AIV|143059|0|511944|Q
20201124|AIW|100|0|250|Q
20201124|AIZ|48245|0|105576|Q
20201124|AIZP|131|0|1659|Q
20201124|AJAX/U|7842|0|29538|Q
20201124|AJG|89703|100|293733|Q
20201124|AJRD|70331|1200|129849|Q
20201124|AJX|5657|0|10428|Q
20201124|AKAM|150354|3768|404826|Q
20201124|AKBA|640477|32991|1642783|Q
20201124|AKER|69657|0|146849|Q
20201124|AKO/A|200|0|225|Q
20201124|AKO/B|277|0|912|Q
20201124|AKR|29008|7|274538|Q
20201124|AKRO|12862|0|35146|Q
20201124|AKTS|167119|10913|291252|Q
20201124|AKTX|16770|1450|44470|Q
20201124|AKU|6385|5400|7033|Q
20201124|AKUS|7563|0|15884|Q
20201124|AL|155156|0|833207|Q
20201124|ALAC|429|0|532|Q
20201124|ALACR|4|0|11047|Q
20201124|ALACW|30538|0|88725|Q
20201124|ALB|168439|1846|309880|Q
20201124|ALBO|47303|37|185321|Q
20201124|ALC|393418|32|548441|Q
20201124|ALCO|763|0|1703|Q
20201124|ALDX|19233|200|55291|Q
20201124|ALE|48645|1282|86606|Q
20201124|ALEC|67551|0|119594|Q
20201124|ALEX|128880|0|263411|Q
20201124|ALFA|78|0|163|Q
20201124|ALG|3145|0|6545|Q
20201124|ALGM|113615|0|750797|Q
20201124|ALGN|71750|0|131466|Q
20201124|ALGS|9900|0|20671|Q
20201124|ALGT|17054|0|36148|Q
20201124|ALIM|917|0|13337|Q
20201124|ALINpA|2155|0|3993|Q
20201124|ALINpB|2410|0|19019|Q
20201124|ALINpE|1245|0|3984|Q
20201124|ALJJ|7186|0|24314|Q
20201124|ALK|525718|3825|1018187|Q
20201124|ALKS|57048|0|212980|Q
20201124|ALL|546078|1337|765347|Q
20201124|ALLE|48878|0|155198|Q
20201124|ALLK|31072|0|87254|Q
20201124|ALLO|83443|100|176487|Q
20201124|ALLT|6487|0|37596|Q
20201124|ALLY|476733|5515|1032019|Q
20201124|ALLYpA|24088|0|76865|Q
20201124|ALLpB|1922|0|5985|Q
20201124|ALLpG|4383|800|8488|Q
20201124|ALLpH|4520|0|38343|Q
20201124|ALLpI|1197|0|4338|Q
20201124|ALNA|102284|0|200235|Q
20201124|ALNY|95134|0|220960|Q
20201124|ALOT|3965|0|7928|Q
20201124|ALPN|13065|0|26949|Q
20201124|ALPpQ|4863|0|6166|Q
20201124|ALRM|72235|100|137952|Q
20201124|ALRN|90500|0|250783|Q
20201124|ALRS|1906|0|4578|Q
20201124|ALSK|159460|100|271803|Q
20201124|ALSN|125340|0|218199|Q
20201124|ALT|311533|0|588600|Q
20201124|ALTA|1373|0|3901|Q
20201124|ALTG|6131|0|11889|Q
20201124|ALTG/WS|1724|0|13051|Q
20201124|ALTM|27708|2100|47731|Q
20201124|ALTR|27739|0|51869|Q
20201124|ALTS|1|0|1605|Q
20201124|ALTY|421|0|2952|Q
20201124|ALV|58771|0|85194|Q
20201124|ALVR|8171|0|12757|Q
20201124|ALX|572|0|1305|Q
20201124|ALXN|69542|0|242740|Q
20201124|ALXO|34088|0|57541|Q
20201124|ALYA|134|0|8424|Q
20201124|ALpA|526|0|46235|Q
20201124|AM|556042|914|1524052|Q
20201124|AMAL|1188|0|26610|Q
20201124|AMAT|1417452|3194|2740296|Q
20201124|AMBA|369592|1998|1057703|Q
20201124|AMBC|42538|0|117785|Q
20201124|AMBC/WS|242|0|981|Q
20201124|AMBO|53757|0|85330|Q
20201124|AMC|15731920|485316|25619549|Q
20201124|AMCI|36669|0|259333|Q
20201124|AMCIW|133099|500|440108|Q
20201124|AMCR|1518221|3126|2756258|Q
20201124|AMCX|152507|181|268527|Q
20201124|AMD|3513285|30139|11144570|Q
20201124|AME|206135|250|541410|Q
20201124|AMED|18112|0|49704|Q
20201124|AMEH|5901|0|10667|Q
20201124|AMG|50673|0|88329|Q
20201124|AMGN|165056|207|812777|Q
20201124|AMH|205461|0|890645|Q
20201124|AMHC|2|0|38|Q
20201124|AMHCW|1400|0|3300|Q
20201124|AMHpD|1734|0|2373|Q
20201124|AMHpE|363|0|1814|Q
20201124|AMHpF|200|0|3144|Q
20201124|AMHpH|245|0|589|Q
20201124|AMJ|250987|2367|448883|Q
20201124|AMK|4474|0|13757|Q
20201124|AMKR|63438|3572|235805|Q
20201124|AMLP|691685|14465|1463255|Q
20201124|AMN|75186|600|135165|Q
20201124|AMNB|1456|0|3111|Q
20201124|AMOM|320|0|603|Q
20201124|AMOT|5731|0|10690|Q
20201124|AMOV|560|0|3272|Q
20201124|AMP|82092|89|163353|Q
20201124|AMPE|185994|993|353961|Q
20201124|AMPH|14544|0|24566|Q
20201124|AMPY|593203|41589|1098079|Q
20201124|AMRB|1528|0|17400|Q
20201124|AMRC|114120|25761|178488|Q
20201124|AMRH|60971|5772|125010|Q
20201124|AMRHW|1165|0|1187|Q
20201124|AMRK|8694|0|18190|Q
20201124|AMRN|561047|3219|2139180|Q
20201124|AMRS|284538|918|842597|Q
20201124|AMRX|154534|2200|645736|Q
20201124|AMS|6887|0|15174|Q
20201124|AMSC|184026|0|331486|Q
20201124|AMSF|15186|0|22617|Q
20201124|AMST|1772|0|8811|Q
20201124|AMSWA|45688|28000|111868|Q
20201124|AMT|180208|848|532905|Q
20201124|AMTB|18432|0|29601|Q
20201124|AMTBB|7|0|7|Q
20201124|AMTI|10796|0|15535|Q
20201124|AMTX|410901|26247|620792|Q
20201124|AMUB|850|0|3963|Q
20201124|AMWD|55515|4347|101551|Q
20201124|AMWL|446451|6334|977214|Q
20201124|AMX|129809|3897|398861|Q
20201124|AMYT|2626|0|4852|Q
20201124|AMZA|40570|503|69544|Q
20201124|AMZN|322465|5594|1006307|Q
20201124|AN|71512|720|255356|Q
20201124|ANAB|29871|206|67703|Q
20201124|ANAT|3037|0|5956|Q
20201124|ANCN|15875|0|17891|Q
20201124|ANDA|10|0|190|Q
20201124|ANDAR|100|0|200|Q
20201124|ANDE|27779|0|47775|Q
20201124|ANET|56252|2|88940|Q
20201124|ANEW|1239|0|1904|Q
20201124|ANF|837502|5779|2020239|Q
20201124|ANGI|680556|421|876731|Q
20201124|ANGL|138849|6864|368283|Q
20201124|ANGO|26246|0|56379|Q
20201124|ANH|161928|11500|518621|Q
20201124|ANHpA|203|0|741|Q
20201124|ANHpB|120|0|846|Q
20201124|ANHpC|1050|0|1398|Q
20201124|ANIK|11201|1615|18915|Q
20201124|ANIP|6001|0|15800|Q
20201124|ANIX|22918|0|100366|Q
20201124|ANNX|5353|0|24379|Q
20201124|ANPC|14433|0|63996|Q
20201124|ANSS|45512|0|109851|Q
20201124|ANTE|18336|0|38950|Q
20201124|ANTM|72839|0|380716|Q
20201124|ANVS|4087|0|8950|Q
20201124|ANY|148508|0|225402|Q
20201124|AOA|26152|0|39664|Q
20201124|AOD|56681|924|125431|Q
20201124|AOK|57803|0|92591|Q
20201124|AOM|47384|0|72291|Q
20201124|AON|184320|0|324834|Q
20201124|AONE|150|0|250|Q
20201124|AONE/WS|100|0|200|Q
20201124|AOR|118923|713|150218|Q
20201124|AOS|129031|267|230812|Q
20201124|AOSL|130166|1144|227874|Q
20201124|AOUT|6541|0|22016|Q
20201124|AP|10131|1000|28865|Q
20201124|AP/WS|800|0|1850|Q
20201124|APA|2497694|20083|4966524|Q
20201124|APAM|53448|0|98168|Q
